"word","sentiment","13th"
"13th",0,0
"20th",0,0
"21st",0,0
"2nd",0,0
"3rd",0,0
"abhorrent",-0.7,0
"able",0.5,0
"above",0,0
"abridged",0.1,0
"abrupt",0,0
"absence",0,0
"absolute",0,0
"absorbed",0.3,0
"absorbing",0,0
"absurd",-0.5,0
"abundant",0.6,0
"academic",0,0
"accessible",0.5,0
"accomplished",0.2,0
"accurate",0.4,0
"acquainted",0.5,0
"across-the-board",0.1,0
"acting",0,0
"action",0.1,0
"active",-0.4,0
"actual",0,0
"acuate",0.1,0
"acute",0.6,0
"adamant",0.1,0
"addicted",-0.4,0
"addictive",0,0
"addled",-0.5,0
"adept",0.6,0
"adequate to",-0.4,0
"adequate",0.5,0
"adjectival",0.1,0
"administrable",0,0
"adorable",0.5,0
"adoring",0.2,0
"adult",0.1,0
"advanced",0.4,0
"adventurous",0.5,0
"adversative",-0.1,0
"advertent",0.5,0
"aeriform",-0.4,0
"affable",0.9,0
"affirmative",0.6,0
"affluent",0.7,0
"afloat",0,0
"aforementioned",0,0
"afraid",-0.6,0
"african",0,0
"aged",-0.1,0
"aghast",-0.6,0
"agile",0.5,0
"agitative",-0.6,0
"aglow",0,0
"aired",0.1,0
"airheaded",0.5,0
"alarming",-0.1,0
"alas",-0.4,0
"alcoholic",0,0
"algid",-0.4,0
"alien",-0.5,0
"alienating",-0.3,0
"alive",0.1,0
"all-around",0.2,0
"alleged",-0.1,0
"alleviated",0.5,0
"allusions",-0.1,0
"alternate",0,0
"amateur",0,0
"amateurish",-0.4,0
"amatory",0.1,0
"amazing",0.4,0
"ambitious",0,0
"amenable",0.2,0
"american",0,0
"amusing",0.7,0
"anger",-0.7,0
"angered",-0.9,0
"angry",-0.5,0
"annoyed",-0.4,0
"annoying",-0.8,0
"anxious",-0.5,0
"aphonic",-0.1,0
"appalled",-0.8,0
"appalling",-0.6,0
"apparent",0.1,0
"appealing",0.5,0
"appetizing",0.2,0
"applaudable",0.7,0
"applicative",0.4,0
"apportioned",0.3,0
"apposite",0.4,0
"appreciated",0.2,0
"appreciative",0.6,0
"approaching",0,0
"appropriate",0.5,0
"approximate",-0.4,0
"apt",0.6,0
"arbitrary",-0.1,0
"archaeological",0,0
"arduous",-0.4,0
"aroused",0.1,0
"arrest",-0.05,0
"artesian",0.9,0
"artificial",-0.6,0
"artistic",0.5,0
"ascetic",-0.5,0
"ashen",-0.5,0
"asian",0,0
"askew",-0.1,0
"assumptive",-0.5,0
"astonishing",0,0
"astounding",0.6,0
"astute",0.6,0
"atmospheric",0,0
"atrocious",-0.8,0
"attendant",0.2,0
"attention-getting",0.4,0
"attentive",0.4,0
"attractive",0.8,0
"atypical",0,0
"aureate",0.2,0
"australian",0,0
"authentic",0.5,0
"authoritative",0.3,0
"autistic",-0.2,0
"autobiographical",0,0
"autonomous",0.4,0
"available",0.4,0
"average",-0.3,0
"avid",0,0
"aware",0,0
"aweary",-0.5,0
"awesome",1,0
"awful",-1,0
"awkward",-0.6,0
"ahw",0.3,0
"aww",0.3,0
"awww",0.4,0
"awwww",0.5,0
"axiomatic",0,0
"back",0,0
"bad",-0.7,0
"badness",-0.3,0
"balmy",0.4,0
"banal",-0.3,0
"banded",0,0
"bang-up",0.4,0
"barbarian",-0.9,0
"barbarous",0,0
"bare",0,0
"base",-0.7,0
"basic",0,0
"bass",-0.2,0
"battleful",-0.6,0
"beautiful",1,0
"becoming",0.5,0
"beefy",0.3,0
"behind",-0.4,0
"believable",0.5,0
"beloved",0.7,0
"best",1,0
"better",0.5,0
"bewitching",0.9,0
"big",0,0
"bigger",0,0
"biographic",0,0
"bitter",-0.1,0
"bizarre",0.4,0
"black",-0.1,0
"bland",-0.5,0
"blank",0,0
"blasted",-0.6,0
"blatant",-0.5,0
"bleak",-1,0
"blech",-0.8,0
"blind",-0.5,0
"blonde",0,0
"bloodstained",-0.6,0
"bloodthirsty",-0.5,0
"bloody",-0.8,0
"blue",0,0
"bodily",0,0
"bogged",-0.2,0
"boilerplate",-0.2,0
"bold",0,0
"bonny",0.3,0
"bootleg",-0.4,0
"bored",-0.5,0
"boring",-1,0
"boundless",-0.2,0
"brainsick",-0.5,0
"brash",-0.2,0
