source,target,value
Agricultural Energy Use,Carbon Dioxide,1.4
Agriculture,Agriculture Soils,5.2
Agriculture,Livestock and Manure,5.4
Agriculture,Other Agriculture,1.7
Agriculture,Rice Cultivation,1.5
Agriculture Soils,Nitrous Oxide,5.2
Air,Carbon Dioxide,1.7
Aluminium Non-Ferrous Metals,Carbon Dioxide,1.0
Aluminium Non-Ferrous Metals,HFCs - PFCs,0.2
Cement,Carbon Dioxide,5.0
Chemicals,Carbon Dioxide,3.4
Chemicals,HFCs - PFCs,0.5
Chemicals,Nitrous Oxide,0.2
Coal Mining,Carbon Dioxide,0.1
Coal Mining,Methane,1.2
Commercial Buildings,Carbon Dioxide,6.3
Deforestation,Carbon Dioxide,10.9
Electricity and heat,Agricultural Energy Use,0.4
Electricity and heat,Aluminium Non-Ferrous Metals,0.4
Electricity and heat,Cement,0.3
Electricity and heat,Chemicals,1.3
Electricity and heat,Commercial Buildings,5.0
Electricity and heat,Food and Tobacco,0.5
Electricity and heat,Iron and Steel,1.0
Electricity and heat,Machinery,1.0
Electricity and heat,Oil and Gas Processing,0.4
Electricity and heat,Other Industry,2.7
Electricity and heat,Pulp - Paper and Printing,0.6
Electricity and heat,Residential Buildings,5.2
Electricity and heat,T and D Losses,2.2
Electricity and heat,Unallocated Fuel Combustion,2.0
Energy,Electricity and heat,24.9
Energy,Fugitive Emissions,4.0
Energy,Industry,14.7
Energy,Other Fuel Combustion,8.6
Energy,Transportation,14.3
Food and Tobacco,Carbon Dioxide,1.0
Fugitive Emissions,Coal Mining,1.3
Fugitive Emissions,Oil and Gas Processing,3.2
Harvest / Management,Carbon Dioxide,1.3
Industrial Processes,Aluminium Non-Ferrous Metals,0.4
Industrial Processes,Cement,2.8
Industrial Processes,Chemicals,1.4
Industrial Processes,Other Industry,0.5
Industry,Aluminium Non-Ferrous Metals,0.4
Industry,Cement,1.9
Industry,Chemicals,1.4
Industry,Food and Tobacco,0.5
Industry,Iron and Steel,3.0
Industry,Oil and Gas Processing,2.8
Industry,Other Industry,3.8
Industry,Pulp - Paper and Printing,0.5
Iron and Steel,Carbon Dioxide,4.0
Land Use Change,Deforestation,10.9
Land Use Change,Harvest / Management,1.3
Landfills,Methane,1.7
Livestock and Manure,Methane,5.1
Livestock and Manure,Nitrous Oxide,0.3
Machinery,Carbon Dioxide,1.0
Oil and Gas Processing,Carbon Dioxide,3.6
Oil and Gas Processing,Methane,2.8
Other Agriculture,Methane,1.4
Other Agriculture,Nitrous Oxide,0.3
Other Fuel Combustion,Agricultural Energy Use,1.0
Other Fuel Combustion,Commercial Buildings,1.3
Other Fuel Combustion,Residential Buildings,5.0
Other Fuel Combustion,Unallocated Fuel Combustion,1.8
Other Industry,Carbon Dioxide,6.6
Other Industry,HFCs - PFCs,0.4
Pulp - Paper and Printing,Carbon Dioxide,1.1
Rail - Ship and Other Transport,Carbon Dioxide,2.5
Residential Buildings,Carbon Dioxide,10.2
Rice Cultivation,Methane,1.5
Road,Carbon Dioxide,10.5
T and D Losses,Carbon Dioxide,2.2
Transportation,Air,1.7
Transportation,Rail - Ship and Other Transport,2.5
Transportation,Road,10.5
Unallocated Fuel Combustion,Carbon Dioxide,3.0
Unallocated Fuel Combustion,Methane,0.4
Unallocated Fuel Combustion,Nitrous Oxide,0.4
Waste,Landfills,1.7
Waste,Waste water - Other Waste,1.5
Waste water - Other Waste,Methane,1.2
Waste water - Other Waste,Nitrous Oxide,0.3
