SOURCE,TARGET,SOURCE_NAME,SOURCE_TYPE,TARGET_NAME,TARGET_TYPE,SIZE_DISORDER,DISORDER_TYPE
1285,3211,3-methylglutaconicaciduria,D,OPA3,G,11.619047,Metabolic
468,2914,Aarskog-Scott syndrome,D,FGD1,G,11.619047,Multiple
416,3825,ABCD syndrome,D,EDNRB,G,11.619047,Multiple
126,2566,Abetalipoproteinemia,D,APOB,G,12.187026,Metabolic
126,1329,Abetalipoproteinemia,D,MTP,G,12.187026,Metabolic
288,3831,"Achondrogenesis-hypochondrogenesis, type II",D,COL2A1,G,11.619047,Bone
407,2203,Achondrogenesis Ib,D,SLC26A2,G,11.619047,Bone
473,3720,Achondroplasia,D,FGFR3,G,11.619047,Skeletal
282,1338,Achromatopsia,D,CNGA3,G,13.181497,Ophthamological
282,1339,Achromatopsia,D,GNAT2,G,13.181497,Ophthamological
282,2851,Achromatopsia,D,CNGB3,G,13.181497,Ophthamological
686,2814,Acquired long QT syndrome,D,KCNH2,G,11.619047,Cardiovascular
575,3609,Acromegaly,D,GNAS,G,12.187026,Endocrine
575,1348,Acromegaly,D,SSTR5,G,12.187026,Endocrine
199,3160,Adenocarcinoma,D,BRAF,G,14.426924,Cancer
199,3161,Adenocarcinoma,D,EGFR,G,14.426924,Cancer
199,3248,Adenocarcinoma,D,ERBB2,G,14.426924,Cancer
199,3292,Adenocarcinoma,D,PARK2,G,14.426924,Cancer
112,3780,"Adenoma, periampullary",D,APC,G,11.619047,Cancer
113,3780,Adenomas,D,APC,G,13.181497,Cancer
113,2309,Adenomas,D,MUTYH,G,13.181497,Cancer
113,1361,Adenomas,D,PLAG1,G,13.181497,Cancer
62,3571,Adenosine deaminase deficiency,D,ADA,G,11.619047,Immunological
923,3931,Adrenocortical carcinoma,D,PRKAR1A,G,11.619047,Cancer
542,1631,Adult i phenotype,D,GCNT2,G,11.619047,Hematological
466,2105,Afibrinogenemia,D,FGA,G,12.187026,Hematological
466,3730,Afibrinogenemia,D,FGB,G,12.187026,Hematological
77,3712,Alagille syndrome,D,JAG1,G,11.619047,Multiple
856,1394,Albinism,D,OCA2,G,13.181497,Dermatological
856,3830,Albinism,D,TYR,G,13.181497,Dermatological
856,1396,Albinism,D,TYRP1,G,13.181497,Dermatological
643,3554,Alcohol dependence,D,HTR2A,G,11.619047,Unclassified
545,1402,Alexander disease,D,GFAP,G,12.187026,Multiple
545,2974,Alexander disease,D,NDUFV1,G,12.187026,Multiple
664,1515,Allergic rhinitis,D,IL13,G,11.619047,Immunological
157,2966,Alternating hemiplegia of childhood,D,ATP1A2,G,11.619047,Neurological
30,1420,Alzheimer disease,D,A2M,G,29.095102,Neurological
30,1421,Alzheimer disease,D,APBB2,G,29.095102,Neurological
30,3553,Alzheimer disease,D,APOE,G,29.095102,Neurological
30,3539,Alzheimer disease,D,APP,G,29.095102,Neurological
30,1424,Alzheimer disease,D,BLMH,G,29.095102,Neurological
30,3985,Alzheimer disease,D,ACE,G,29.095102,Neurological
30,3057,Alzheimer disease,D,MPO,G,29.095102,Neurological
30,3904,Alzheimer disease,D,NOS3,G,29.095102,Neurological
30,1428,Alzheimer disease,D,PLAU,G,29.095102,Neurological
30,3331,Alzheimer disease,D,PSEN1,G,29.095102,Neurological
30,1430,Alzheimer disease,D,PSEN2,G,29.095102,Neurological
30,1431,Alzheimer disease,D,PAXIP1,G,29.095102,Neurological
1080,2120,Amyloid neuropathy,D,TTR,G,11.619047,Neurological
120,2565,Amyloidosis,D,APOA1,G,17.445396,Neurological
120,3539,Amyloidosis,D,APP,G,17.445396,Neurological
120,2105,Amyloidosis,D,FGA,G,17.445396,Neurological
120,1442,Amyloidosis,D,GSN,G,17.445396,Neurological
120,1443,Amyloidosis,D,LYZ,G,17.445396,Neurological
120,2120,Amyloidosis,D,TTR,G,17.445396,Neurological
367,2819,Amyotrophic lateral sclerosis,D,DCTN1,G,17.445396,Neurological
367,1446,Amyotrophic lateral sclerosis,D,NEFH,G,17.445396,Neurological
367,1447,Amyotrophic lateral sclerosis,D,PRPH,G,17.445396,Neurological
367,1448,Amyotrophic lateral sclerosis,D,SOD1,G,17.445396,Neurological
367,3636,Amyotrophic lateral sclerosis,D,VAPB,G,17.445396,Neurological
367,3619,Amyotrophic lateral sclerosis,D,ALS2,G,17.445396,Neurological
136,3631,Androgen insensitivity,D,AR,G,11.619047,Endocrine
41,1455,Anemia,D,ABCB7,G,22.891994,Hematological
41,1456,Anemia,D,ALAS2,G,22.891994,Hematological
41,1457,Anemia,D,SLC11A2,G,22.891994,Hematological
41,1458,Anemia,D,PKLR,G,22.891994,Hematological
41,3505,Anemia,D,RHAG,G,22.891994,Hematological
41,1460,Anemia,D,RPS19,G,22.891994,Hematological
41,3627,Anemia,D,SPTB,G,22.891994,Hematological
41,1462,Anemia,D,NT5C3,G,22.891994,Hematological
41,1463,Anemia,D,CDAN1,G,22.891994,Hematological
765,3488,Angelman syndrome,D,MECP2,G,12.187026,Developmental
765,1465,Angelman syndrome,D,UBE3A,G,12.187026,Developmental
770,3895,"Angiofibroma, sporadic",D,MEN1,G,11.619047,Endocrine
365,3985,Angiotensin I-converting enzyme,D,ACE,G,11.619047,Endocrine
872,3958,"Aniridia, type II",D,PAX6,G,11.619047,Ophthamological
644,3554,Anorexia nervosa,D,HTR2A,G,11.619047,Nutritional
441,1660,Anterior segment anomalies and cataract,D,EYA1,G,14.426924,Ophthamological
441,3511,Anterior segment anomalies and cataract,D,FOXC1,G,14.426924,Ophthamological
441,1477,Anterior segment anomalies and cataract,D,FOXE3,G,14.426924,Ophthamological
441,1763,Anterior segment anomalies and cataract,D,PITX3,G,14.426924,Ophthamological
1002,3191,Anxiety-related personality traits,D,SLC6A4,G,11.619047,Psychiatric
453,3842,Aortic aneurysm,D,FBN1,G,11.619047,Cardiovascular
480,3523,Apert syndrome,D,FGFR2,G,11.619047,Connective tissue disorder
121,2565,Apolipoprotein deficiency,D,APOA1,G,14.426924,Metabolic
121,2507,Apolipoprotein deficiency,D,APOA2,G,14.426924,Metabolic
121,1491,Apolipoprotein deficiency,D,APOC3,G,14.426924,Metabolic
121,1492,Apolipoprotein deficiency,D,APOH,G,14.426924,Metabolic
637,2550,"Apparent mineralocorticoid excess, hypertension due to",D,HSD11B2,G,11.619047,Bone
134,1623,Aquaporin-1 deficiency,D,AQP1,G,11.619047,Unclassified
402,3599,Arrhythmogenic right ventricular dysplasia,D,DSP,G,13.181497,Cardiovascular
402,1501,Arrhythmogenic right ventricular dysplasia,D,PKP2,G,13.181497,Cardiovascular
402,3812,Arrhythmogenic right ventricular dysplasia,D,RYR2,G,13.181497,Cardiovascular
1148,3659,Arthropathy,D,WISP3,G,11.619047,Bone
1245,1552,Asperger syndrome,D,NLGN3,G,12.187026,Psychiatric
1245,2932,Asperger syndrome,D,NLGN4X,G,12.187026,Psychiatric
68,3168,Asthma,D,ADRB2,G,31.288366,Respiratory
68,1533,Asthma,D,ALOX5,G,31.288366,Respiratory
68,1512,Asthma,D,MS4A2,G,31.288366,Respiratory
68,1513,Asthma,D,HNMT,G,31.288366,Respiratory
