"year","topic","value","rank","color"
1995,"Arbeitslosigkeit",70,1,"#e31f2b"
1996,"Arbeitslosigkeit",75,1,"#e31f2b"
1997,"Arbeitslosigkeit",81,1,"#e31f2b"
1998,"Arbeitslosigkeit",74,1,"#e31f2b"
1999,"Arbeitslosigkeit",57,1,"#e31f2b"
2000,"Arbeitslosigkeit",34,5,"#e31f2b"
2001,"Arbeitslosigkeit",45,2,"#e31f2b"
2002,"Arbeitslosigkeit",52,2,"#e31f2b"
2003,"Arbeitslosigkeit",67,1,"#e31f2b"
2004,"Arbeitslosigkeit",69,1,"#e31f2b"
2005,"Arbeitslosigkeit",71,1,"#e31f2b"
2006,"Arbeitslosigkeit",66,1,"#e31f2b"
2007,"Arbeitslosigkeit",57,1,"#e31f2b"
2008,"Arbeitslosigkeit",53,1,"#e31f2b"
2009,"Arbeitslosigkeit",66,1,"#e31f2b"
2010,"Arbeitslosigkeit",76,1,"#e31f2b"
2011,"Arbeitslosigkeit",52,1,"#e31f2b"
2012,"Arbeitslosigkeit",49,1,"#e31f2b"
2013,"Arbeitslosigkeit",44,1,"#e31f2b"
2014,"Arbeitslosigkeit",51,1,"#e31f2b"
2015,"Arbeitslosigkeit",56,1,"#e31f2b"
2016,"Arbeitslosigkeit",45,1,"#e31f2b"
2017,"Arbeitslosigkeit",44,2,"#e31f2b"
2018,"Arbeitslosigkeit",22,6,"#e31f2b"
1995,"AHV / Altersvorsorge",40,3,"#1e8ce3"
1996,"AHV / Altersvorsorge",36,3,"#1e8ce3"
1997,"AHV / Altersvorsorge",39,3,"#1e8ce3"
1998,"AHV / Altersvorsorge",45,4,"#1e8ce3"
1999,"AHV / Altersvorsorge",45,4,"#1e8ce3"
2000,"AHV / Altersvorsorge",49,2,"#1e8ce3"
2001,"AHV / Altersvorsorge",37,3,"#1e8ce3"
2002,"AHV / Altersvorsorge",49,3,"#1e8ce3"
2003,"AHV / Altersvorsorge",59,3,"#1e8ce3"
2004,"AHV / Altersvorsorge",49,3,"#1e8ce3"
2005,"AHV / Altersvorsorge",45,3,"#1e8ce3"
2006,"AHV / Altersvorsorge",51,3,"#1e8ce3"
2007,"AHV / Altersvorsorge",45,2,"#1e8ce3"
2008,"AHV / Altersvorsorge",39,3,"#1e8ce3"
2009,"AHV / Altersvorsorge",36,2,"#1e8ce3"
2010,"AHV / Altersvorsorge",45,2,"#1e8ce3"
2011,"AHV / Altersvorsorge",27,5,"#1e8ce3"
2012,"AHV / Altersvorsorge",36,3,"#1e8ce3"
2013,"AHV / Altersvorsorge",29,3,"#1e8ce3"
2014,"AHV / Altersvorsorge",37,3,"#1e8ce3"
2015,"AHV / Altersvorsorge",38,3,"#1e8ce3"
2016,"AHV / Altersvorsorge",28,3,"#1e8ce3"
2017,"AHV / Altersvorsorge",44,1,"#1e8ce3"
2018,"AHV / Altersvorsorge",45,1,"#1e8ce3"
1995,"Gesundheit, Krankenkassen",32,5,"#d9d9d9"
1996,"Gesundheit, Krankenkassen",46,2,"#d9d9d9"
1997,"Gesundheit, Krankenkassen",52,2,"#d9d9d9"
1998,"Gesundheit, Krankenkassen",46,3,"#d9d9d9"
1999,"Gesundheit, Krankenkassen",48,3,"#d9d9d9"
2000,"Gesundheit, Krankenkassen",59,1,"#d9d9d9"
2001,"Gesundheit, Krankenkassen",64,1,"#d9d9d9"
2002,"Gesundheit, Krankenkassen",58,1,"#d9d9d9"
2003,"Gesundheit, Krankenkassen",63,2,"#d9d9d9"
2004,"Gesundheit, Krankenkassen",56,2,"#d9d9d9"
2005,"Gesundheit, Krankenkassen",51,2,"#d9d9d9"
2006,"Gesundheit, Krankenkassen",55,2,"#d9d9d9"
2007,"Gesundheit, Krankenkassen",38,3,"#d9d9d9"
2008,"Gesundheit, Krankenkassen",40,2,"#d9d9d9"
2009,"Gesundheit, Krankenkassen",36,3,"#d9d9d9"
2010,"Gesundheit, Krankenkassen",41,3,"#d9d9d9"
2011,"Gesundheit, Krankenkassen",30,3,"#d9d9d9"
2012,"Gesundheit, Krankenkassen",30,5,"#d9d9d9"
2013,"Gesundheit, Krankenkassen",21,6,"#d9d9d9"
2014,"Gesundheit, Krankenkassen",23,5,"#d9d9d9"
2015,"Gesundheit, Krankenkassen",22,7,"#d9d9d9"
2016,"Gesundheit, Krankenkassen",21,6,"#d9d9d9"
2017,"Gesundheit, Krankenkassen",26,4,"#d9d9d9"
2018,"Gesundheit, Krankenkassen",41,2,"#d9d9d9"
1995,"Flüchtlinge / Asyl",31,6,"#61b13e"
1996,"Flüchtlinge / Asyl",25,6,"#61b13e"
1997,"Flüchtlinge / Asyl",30,5,"#61b13e"
1998,"Flüchtlinge / Asyl",47,2,"#61b13e"
1999,"Flüchtlinge / Asyl",56,2,"#61b13e"
2000,"Flüchtlinge / Asyl",41,4,"#61b13e"
2001,"Flüchtlinge / Asyl",32,5,"#61b13e"
2002,"Flüchtlinge / Asyl",43,4,"#61b13e"
2003,"Flüchtlinge / Asyl",36,4,"#61b13e"
2004,"Flüchtlinge / Asyl",45,4,"#61b13e"
2005,"Flüchtlinge / Asyl",28,6,"#61b13e"
2006,"Flüchtlinge / Asyl",39,4,"#61b13e"
2007,"Flüchtlinge / Asyl",26,6,"#61b13e"
2008,"Flüchtlinge / Asyl",30,5,"#61b13e"
2009,"Flüchtlinge / Asyl",17,9,"#61b13e"
2010,"Flüchtlinge / Asyl",19,8,"#61b13e"
2011,"Flüchtlinge / Asyl",21,8,"#61b13e"
2012,"Flüchtlinge / Asyl",32,4,"#61b13e"
2013,"Flüchtlinge / Asyl",28,4,"#61b13e"
2014,"Flüchtlinge / Asyl",26,4,"#61b13e"
2015,"Flüchtlinge / Asyl",35,4,"#61b13e"
2016,"Flüchtlinge / Asyl",26,4,"#61b13e"
2017,"Flüchtlinge / Asyl",19,6,"#61b13e"
2018,"Flüchtlinge / Asyl",31,4,"#61b13e"
1995,"AusländerInnen",30,8,"#1cb373"
1996,"AusländerInnen",22,7,"#1cb373"
1997,"AusländerInnen",21,8,"#1cb373"
1998,"AusländerInnen",24,6,"#1cb373"
1999,"AusländerInnen",22,7,"#1cb373"
2000,"AusländerInnen",22,7,"#1cb373"
2001,"AusländerInnen",22,9,"#1cb373"
2002,"AusländerInnen",19,8,"#1cb373"
2003,"AusländerInnen",18,8,"#1cb373"
2004,"AusländerInnen",24,6,"#1cb373"
2005,"AusländerInnen",30,4,"#1cb373"
2006,"AusländerInnen",27,6,"#1cb373"
2007,"AusländerInnen",35,4,"#1cb373"
2008,"AusländerInnen",24,8,"#1cb373"
2009,"AusländerInnen",23,7,"#1cb373"
2010,"AusländerInnen",31,5,"#1cb373"
2011,"AusländerInnen",36,2,"#1cb373"
2012,"AusländerInnen",37,2,"#1cb373"
2013,"AusländerInnen",37,2,"#1cb373"
2014,"AusländerInnen",40,2,"#1cb373"
2015,"AusländerInnen",43,2,"#1cb373"
2016,"AusländerInnen",36,2,"#1cb373"
2017,"AusländerInnen",35,3,"#1cb373"
2018,"AusländerInnen",37,3,"#1cb373"
1995,"EU / Bilaterale / Integration",48,2,"#d9d9d9"
1996,"EU / Bilaterale / Integration",34,4,"#d9d9d9"
1997,"EU / Bilaterale / Integration",39,4,"#d9d9d9"
1998,"EU / Bilaterale / Integration",40,5,"#d9d9d9"
1999,"EU / Bilaterale / Integration",43,5,"#d9d9d9"
2000,"EU / Bilaterale / Integration",45,3,"#d9d9d9"
2001,"EU / Bilaterale / Integration",34,4,"#d9d9d9"
2002,"EU / Bilaterale / Integration",21,6,"#d9d9d9"
2003,"EU / Bilaterale / Integration",15,11,"#d9d9d9"
2004,"EU / Bilaterale / Integration",18,10,"#d9d9d9"
2005,"EU / Bilaterale / Integration",19,10,"#d9d9d9"
2006,"EU / Bilaterale / Integration",18,10,"#d9d9d9"
2007,"EU / Bilaterale / Integration",20,10,"#d9d9d9"
2008,"EU / Bilaterale / Integration",17,12,"#d9d9d9"
2009,"EU / Bilaterale / Integration",12,13,"#d9d9d9"
2010,"EU / Bilaterale / Integration",23,7,"#d9d9d9"
2011,"EU / Bilaterale / Integration",14,13,"#d9d9d9"
2012,"EU / Bilaterale / Integration",20,8,"#d9d9d9"
2013,"EU / Bilaterale / Integration",16,12,"#d9d9d9"
2014,"EU / Bilaterale / Integration",20,6,"#d9d9d9"
2015,"EU / Bilaterale / Integration",24,5,"#d9d9d9"
2016,"EU / Bilaterale / Integration",22,5,"#d9d9d9"
2017,"EU / Bilaterale / Integration",21,5,"#d9d9d9"
2018,"EU / Bilaterale / Integration",22,7,"#d9d9d9"
1995,"Soziale Sicherheit",22,9,"#d9d9d9"
1996,"Soziale Sicherheit",18,11,"#d9d9d9"
1997,"Soziale Sicherheit",15,11,"#d9d9d9"
1998,"Soziale Sicherheit",15,11,"#d9d9d9"
1999,"Soziale Sicherheit",17,11,"#d9d9d9"
2000,"Soziale Sicherheit",15,11,"#d9d9d9"
2001,"Soziale Sicherheit",13,14,"#d9d9d9"
2002,"Soziale Sicherheit",16,12,"#d9d9d9"
2003,"Soziale Sicherheit",21,7,"#d9d9d9"
2004,"Soziale Sicherheit",22,9,"#d9d9d9"
2005,"Soziale Sicherheit",15,12,"#d9d9d9"
2006,"Soziale Sicherheit",19,8,"#d9d9d9"
2007,"Soziale Sicherheit",19,12,"#d9d9d9"
2008,"Soziale Sicherheit",20,11,"#d9d9d9"
2009,"Soziale Sicherheit",31,4,"#d9d9d9"
2010,"Soziale Sicherheit",37,4,"#d9d9d9"
2011,"Soziale Sicherheit",26,7,"#d9d9d9"
2012,"Soziale Sicherheit",19,9,"#d9d9d9"
2013,"Soziale Sicherheit",21,7,"#d9d9d9"
2014,"Soziale Sicherheit",16,10,"#d9d9d9"
2015,"Soziale Sicherheit",12,14,"#d9d9d9"
2016,"Soziale Sicherheit",11,16,"#d9d9d9"
2017,"Soziale Sicherheit",18,8,"#d9d9d9"
2018,"Soziale Sicherheit",13,13,"#d9d9d9"
1995,"Neue Armut",NA,NA,"#d9d9d9"
1996,"Neue Armut",21,8,"#d9d9d9"
1997,"Neue Armut",19,10,"#d9d9d9"
1998,"Neue Armut",17,9,"#d9d9d9"
1999,"Neue Armut",18,9,"#d9d9d9"
2000,"Neue Armut",18,9,"#d9d9d9"
2001,"Neue Armut",27,6,"#d9d9d9"
2002,"Neue Armut",22,5,"#d9d9d9"
2003,"Neue Armut",27,5,"#d9d9d9"
2004,"Neue Armut",22,8,"#d9d9d9"
2005,"Neue Armut",29,5,"#d9d9d9"
2006,"Neue Armut",28,5,"#d9d9d9"
2007,"Neue Armut",25,8,"#d9d9d9"
2008,"Neue Armut",28,6,"#d9d9d9"
2009,"Neue Armut",22,8,"#d9d9d9"
2010,"Neue Armut",18,10,"#d9d9d9"
2011,"Neue Armut",17,9,"#d9d9d9"
2012,"Neue Armut",17,11,"#d9d9d9"
2013,"Neue Armut",18,10,"#d9d9d9"
2014,"Neue Armut",14,13,"#d9d9d9"
2015,"Neue Armut",15,10,"#d9d9d9"
2016,"Neue Armut",16,8,"#d9d9d9"
2017,"Neue Armut",14,12,"#d9d9d9"
2018,"Neue Armut",18,8,"#d9d9d9"
1995,"Umweltschutz",31,7,"#ca51af"
1996,"Umweltschutz",20,9,"#ca51af"
1997,"Umweltschutz",19,9,"#ca51af"
1998,"Umweltschutz",19,8,"#ca51af"
1999,"Umweltschutz",18,8,"#ca51af"
2000,"Umweltschutz",25,6,"#ca51af"
2001,"Umweltschutz",15,12,"#ca51af"
2002,"Umweltschutz",18,10,"#ca51af"
2003,"Umweltschutz",14,13,"#ca51af"
2004,"Umweltschutz",11,13,"#ca51af"
