animal,type,lifespan
insect,invertebrates,0.1
rat/mouse,mammals,3.5
hare,mammals,5.5
toad,other vertebrates,6
fox,mammals,6.5
squirrel,mammals,7
eel,other vertebrates,8
earthworm,invertebrates,9
blackbird,birds,11
reindeer,mammals,12
lion,mammals,12.5
sheep,mammals,13.5
wolf,mammals,14
woodpecker,birds,14.5
cat,mammals,17
dog,mammals,17.5
canary,birds,18.5
chicken,birds,19
elk,mammals,21
crocodile,other vertebrates,22.5
raven,birds,23
heron,birds,24
gull,birds,26
dove,birds,26.5
ostrich,birds,27
carp,other vertebrates,27.5
horse,mammals,28
dromedary,mammals,29
bear,mammals,31
owl,birds,31.5
crane,birds,38
hippopotamus,mammals,39
swan,birds,47
parrot,birds,48
goose,birds,49
rhinoceros,mammals,51
elephant,mammals,58
pearl mussel,invertebrates,66.5
whale,mammals,68
giant tortoise,other vertebrates,149
