Year,Total_Number_of_Countries_with_Legal_Slavery
1800,194
1801,194
1802,194
1803,193
1804,192
1805,192
1806,192
1807,192
1808,192
1809,192
1810,192
1811,192
1812,192
1813,191
1814,191
1815,191
1816,190
1817,189
1818,189
1819,189
1820,189
1821,186
1822,185
1823,184
1824,183
1825,183
1826,183
1827,181
1828,181
1829,180
1830,180
1831,179
1832,179
1833,179
1834,176
1835,176
1836,176
1837,176
1838,175
1839,175
1840,174
1841,174
1842,173
1843,173
1844,173
1845,173
1846,172
1847,171
1848,168
1849,168
1850,168
1851,168
1852,168
1853,168
1854,167
1855,166
1856,166
1857,166
1858,166
1859,166
1860,165
1861,165
1862,165
1863,163
1864,162
1865,161
1866,161
1867,161
1868,161
1869,161
1870,161
1871,161
1872,161
1873,161
1874,160
1875,160
1876,160
1877,160
1878,160
1879,160
1880,160
1881,160
1882,160
1883,160
1884,160
1885,160
1886,159
1887,159
1888,158
1889,158
1890,158
1891,158
1892,158
1893,158
1894,158
1895,158
1896,158
1897,158
1898,158
1899,158
1900,158
1901,158
1902,158
1903,158
1904,158
1905,158
1906,158
1907,158
1908,158
1909,158
1910,158
1911,158
1912,157
1913,157
1914,157
1915,157
1916,157
1917,157
1918,157
1919,157
1920,157
1921,157
1922,156
1923,155
1924,154
1925,154
1926,153
1927,153
1928,151
1929,151
1930,150
1931,149
1932,147
1933,147
1934,147
1935,147
1936,146
1937,146
1938,146
1939,146
1940,145
1941,145
1942,144
1943,144
1944,143
1945,143
1946,140
1947,140
1948,140
1949,140
1950,138
1951,137
1952,136
1953,136
1954,136
1955,133
1956,129
1957,123
1958,121
1959,120
1960,102
1961,99
1962,95
1963,90
1964,85
1965,84
1966,79
1967,78
1968,77
1969,76
1970,75
1971,75
1972,74
1973,72
1974,70
1975,67
1976,64
1977,63
1978,58
1979,55
1980,54
1981,53
1982,52
1983,51
1984,51
1985,49
1986,48
1987,46
1988,45
1989,44
1990,41
1991,39
1992,36
1993,29
1994,26
1995,25
1996,24
1997,20
1998,18
1999,18
2000,15
2001,13
2002,13
2003,10
2004,10
2005,7
2006,5
2007,5
2008,4
2009,4
2010,4
2011,4
2012,4
2013,4
2014,4
2015,4
2016,3
2017,3
