"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","PISAMATH","BOY","MEANSCORE","A","2006",499,
"FRA","PISAMATH","BOY","MEANSCORE","A","2009",505,
"FRA","PISAMATH","BOY","MEANSCORE","A","2012",499.355,
"FRA","PISAMATH","BOY","MEANSCORE","A","2015",496,
"FRA","PISAMATH","BOY","MEANSCORE","A","2018",499,
"FRA","PISAMATH","GIRL","MEANSCORE","A","2003",507,
"FRA","PISAMATH","GIRL","MEANSCORE","A","2006",492,
"FRA","PISAMATH","GIRL","MEANSCORE","A","2009",489,
"FRA","PISAMATH","GIRL","MEANSCORE","A","2012",490.853,
"FRA","PISAMATH","GIRL","MEANSCORE","A","2015",490,
"FRA","PISAMATH","GIRL","MEANSCORE","A","2018",492,
"DEU","PISAMATH","BOY","MEANSCORE","A","2003",508,
"DEU","PISAMATH","BOY","MEANSCORE","A","2006",513,
"DEU","PISAMATH","BOY","MEANSCORE","A","2009",520,
"DEU","PISAMATH","BOY","MEANSCORE","A","2012",520.19,
"DEU","PISAMATH","BOY","MEANSCORE","A","2015",514,
"DEU","PISAMATH","BOY","MEANSCORE","A","2018",503,
"DEU","PISAMATH","GIRL","MEANSCORE","A","2003",499,
"DEU","PISAMATH","GIRL","MEANSCORE","A","2006",494,
"DEU","PISAMATH","GIRL","MEANSCORE","A","2009",505,
"DEU","PISAMATH","GIRL","MEANSCORE","A","2012",506.625,
"DEU","PISAMATH","GIRL","MEANSCORE","A","2015",498,
"DEU","PISAMATH","GIRL","MEANSCORE","A","2018",496,
"GRC","PISAMATH","BOY","MEANSCORE","A","2003",455,
"GRC","PISAMATH","BOY","MEANSCORE","A","2006",462,
"GRC","PISAMATH","BOY","MEANSCORE","A","2009",473,
"GRC","PISAMATH","BOY","MEANSCORE","A","2012",457.039,
"GRC","PISAMATH","BOY","MEANSCORE","A","2015",454,
"GRC","PISAMATH","BOY","MEANSCORE","A","2018",452,
"GRC","PISAMATH","GIRL","MEANSCORE","A","2003",436,
"GRC","PISAMATH","GIRL","MEANSCORE","A","2006",457,
"GRC","PISAMATH","GIRL","MEANSCORE","A","2009",459,
"GRC","PISAMATH","GIRL","MEANSCORE","A","2012",448.984,
"GRC","PISAMATH","GIRL","MEANSCORE","A","2015",454,
"GRC","PISAMATH","GIRL","MEANSCORE","A","2018",451,
"HUN","PISAMATH","BOY","MEANSCORE","A","2003",494,
"HUN","PISAMATH","BOY","MEANSCORE","A","2006",496,
"HUN","PISAMATH","BOY","MEANSCORE","A","2009",496,
"HUN","PISAMATH","BOY","MEANSCORE","A","2012",481.749,
"HUN","PISAMATH","BOY","MEANSCORE","A","2015",481,
"HUN","PISAMATH","BOY","MEANSCORE","A","2018",486,
"HUN","PISAMATH","GIRL","MEANSCORE","A","2003",486,
"HUN","PISAMATH","GIRL","MEANSCORE","A","2006",486,
"HUN","PISAMATH","GIRL","MEANSCORE","A","2009",484,
"HUN","PISAMATH","GIRL","MEANSCORE","A","2012",472.664,
"HUN","PISAMATH","GIRL","MEANSCORE","A","2015",473,
"HUN","PISAMATH","GIRL","MEANSCORE","A","2018",477,
"ISL","PISAMATH","BOY","MEANSCORE","A","2003",508,
"ISL","PISAMATH","BOY","MEANSCORE","A","2006",503,
"ISL","PISAMATH","BOY","MEANSCORE","A","2009",508,
"ISL","PISAMATH","BOY","MEANSCORE","A","2012",489.72,
"ISL","PISAMATH","BOY","MEANSCORE","A","2015",487,
"ISL","PISAMATH","BOY","MEANSCORE","A","2018",490,
"ISL","PISAMATH","GIRL","MEANSCORE","A","2003",523,
"ISL","PISAMATH","GIRL","MEANSCORE","A","2006",508,
"ISL","PISAMATH","GIRL","MEANSCORE","A","2009",505,
"ISL","PISAMATH","GIRL","MEANSCORE","A","2012",495.947,
"ISL","PISAMATH","GIRL","MEANSCORE","A","2015",489,
"ISL","PISAMATH","GIRL","MEANSCORE","A","2018",500,
"IRL","PISAMATH","BOY","MEANSCORE","A","2003",510,
"IRL","PISAMATH","BOY","MEANSCORE","A","2006",507,
"IRL","PISAMATH","BOY","MEANSCORE","A","2009",491,
"IRL","PISAMATH","BOY","MEANSCORE","A","2012",509.035,
"IRL","PISAMATH","BOY","MEANSCORE","A","2015",512,
"IRL","PISAMATH","BOY","MEANSCORE","A","2018",503,
"IRL","PISAMATH","GIRL","MEANSCORE","A","2003",495,
"IRL","PISAMATH","GIRL","MEANSCORE","A","2006",496,
"IRL","PISAMATH","GIRL","MEANSCORE","A","2009",483,
"IRL","PISAMATH","GIRL","MEANSCORE","A","2012",493.705,
"IRL","PISAMATH","GIRL","MEANSCORE","A","2015",495,
"IRL","PISAMATH","GIRL","MEANSCORE","A","2018",497,
"ITA","PISAMATH","BOY","MEANSCORE","A","2003",475,
"ITA","PISAMATH","BOY","MEANSCORE","A","2006",470,
"ITA","PISAMATH","BOY","MEANSCORE","A","2009",490,
"ITA","PISAMATH","BOY","MEANSCORE","A","2012",494.199,
"ITA","PISAMATH","BOY","MEANSCORE","A","2015",500,
"ITA","PISAMATH","BOY","MEANSCORE","A","2018",494,
"ITA","PISAMATH","GIRL","MEANSCORE","A","2003",457,
"ITA","PISAMATH","GIRL","MEANSCORE","A","2006",453,
"ITA","PISAMATH","GIRL","MEANSCORE","A","2009",475,
"ITA","PISAMATH","GIRL","MEANSCORE","A","2012",475.794,
"ITA","PISAMATH","GIRL","MEANSCORE","A","2015",480,
"ITA","PISAMATH","GIRL","MEANSCORE","A","2018",479,
"JPN","PISAMATH","BOY","MEANSCORE","A","2003",539,
"JPN","PISAMATH","BOY","MEANSCORE","A","2006",533,
"JPN","PISAMATH","BOY","MEANSCORE","A","2009",534,
"JPN","PISAMATH","BOY","MEANSCORE","A","2012",544.884,
"JPN","PISAMATH","BOY","MEANSCORE","A","2015",539,
"JPN","PISAMATH","BOY","MEANSCORE","A","2018",532,
"JPN","PISAMATH","GIRL","MEANSCORE","A","2003",530,
"JPN","PISAMATH","GIRL","MEANSCORE","A","2006",513,
"JPN","PISAMATH","GIRL","MEANSCORE","A","2009",524,
"JPN","PISAMATH","GIRL","MEANSCORE","A","2012",527.011,
"JPN","PISAMATH","GIRL","MEANSCORE","A","2015",525,
"JPN","PISAMATH","GIRL","MEANSCORE","A","2018",522,
"KOR","PISAMATH","BOY","MEANSCORE","A","2003",552,
"KOR","PISAMATH","BOY","MEANSCORE","A","2006",552,
"KOR","PISAMATH","BOY","MEANSCORE","A","2009",548,
"KOR","PISAMATH","BOY","MEANSCORE","A","2012",562.114,
"KOR","PISAMATH","BOY","MEANSCORE","A","2015",521,
"KOR","PISAMATH","BOY","MEANSCORE","A","2018",528,
"KOR","PISAMATH","GIRL","MEANSCORE","A","2003",528,
"KOR","PISAMATH","GIRL","MEANSCORE","A","2006",543,
"KOR","PISAMATH","GIRL","MEANSCORE","A","2009",544,
"KOR","PISAMATH","GIRL","MEANSCORE","A","2012",544.193,
"KOR","PISAMATH","GIRL","MEANSCORE","A","2015",528,
"KOR","PISAMATH","GIRL","MEANSCORE","A","2018",524,
"LUX","PISAMATH","BOY","MEANSCORE","A","2003",502,
"LUX","PISAMATH","BOY","MEANSCORE","A","2006",498,
"LUX","PISAMATH","BOY","MEANSCORE","A","2009",499,
"LUX","PISAMATH","BOY","MEANSCORE","A","2012",502.193,
"LUX","PISAMATH","BOY","MEANSCORE","A","2015",491,
"LUX","PISAMATH","BOY","MEANSCORE","A","2018",487,
"LUX","PISAMATH","GIRL","MEANSCORE","A","2003",485,
"LUX","PISAMATH","GIRL","MEANSCORE","A","2006",482,
"LUX","PISAMATH","GIRL","MEANSCORE","A","2009",479,
"LUX","PISAMATH","GIRL","MEANSCORE","A","2012",477.117,
"LUX","PISAMATH","GIRL","MEANSCORE","A","2015",480,
"LUX","PISAMATH","GIRL","MEANSCORE","A","2018",480,
"MEX","PISAMATH","BOY","MEANSCORE","A","2003",391,
"MEX","PISAMATH","BOY","MEANSCORE","A","2006",410,
"MEX","PISAMATH","BOY","MEANSCORE","A","2009",425,
"MEX","PISAMATH","BOY","MEANSCORE","A","2012",420.411,
"MEX","PISAMATH","BOY","MEANSCORE","A","2015",412,
"MEX","PISAMATH","BOY","MEANSCORE","A","2018",415,
"MEX","PISAMATH","GIRL","MEANSCORE","A","2003",380,
"MEX","PISAMATH","GIRL","MEANSCORE","A","2006",401,
"MEX","PISAMATH","GIRL","MEANSCORE","A","2009",412,
"MEX","PISAMATH","GIRL","MEANSCORE","A","2012",406.427,
"MEX","PISAMATH","GIRL","MEANSCORE","A","2015",404,
"MEX","PISAMATH","GIRL","MEANSCORE","A","2018",403,
"NLD","PISAMATH","BOY","MEANSCORE","A","2003",540,
"NLD","PISAMATH","BOY","MEANSCORE","A","2006",537,
"NLD","PISAMATH","BOY","MEANSCORE","A","2009",534,
"NLD","PISAMATH","BOY","MEANSCORE","A","2012",527.967,
"NLD","PISAMATH","BOY","MEANSCORE","A","2015",513,
"NLD","PISAMATH","BOY","MEANSCORE","A","2018",520,
"NLD","PISAMATH","GIRL","MEANSCORE","A","2003",535,
"NLD","PISAMATH","GIRL","MEANSCORE","A","2006",524,
"NLD","PISAMATH","GIRL","MEANSCORE","A","2009",517,
"NLD","PISAMATH","GIRL","MEANSCORE","A","2012",517.738,
"NLD","PISAMATH","GIRL","MEANSCORE","A","2015",511,
"NLD","PISAMATH","GIRL","MEANSCORE","A","2018",519,
"NZL","PISAMATH","BOY","MEANSCORE","A","2003",531,
"NZL","PISAMATH","BOY","MEANSCORE","A","2006",527,
"NZL","PISAMATH","BOY","MEANSCORE","A","2009",523,
"NZL","PISAMATH","BOY","MEANSCORE","A","2012",507.112,
"NZL","PISAMATH","BOY","MEANSCORE","A","2015",499,
"NZL","PISAMATH","BOY","MEANSCORE","A","2018",499,
"NZL","PISAMATH","GIRL","MEANSCORE","A","2003",516,
"NZL","PISAMATH","GIRL","MEANSCORE","A","2006",517,
"NZL","PISAMATH","GIRL","MEANSCORE","A","2009",515,
"NZL","PISAMATH","GIRL","MEANSCORE","A","2012",492.057,
"NZL","PISAMATH","GIRL","MEANSCORE","A","2015",491,
"NZL","PISAMATH","GIRL","MEANSCORE","A","2018",490,
"NOR","PISAMATH","BOY","MEANSCORE","A","2003",498,
"NOR","PISAMATH","BOY","MEANSCORE","A","2006",493,
"NOR","PISAMATH","BOY","MEANSCORE","A","2009",500,
"NOR","PISAMATH","BOY","MEANSCORE","A","2012",490.399,
"NOR","PISAMATH","BOY","MEANSCORE","A","2015",501,
"NOR","PISAMATH","BOY","MEANSCORE","A","2018",497,
"NOR","PISAMATH","GIRL","MEANSCORE","A","2003",492,
"NOR","PISAMATH","GIRL","MEANSCORE","A","2006",487,
"NOR","PISAMATH","GIRL","MEANSCORE","A","2009",495,
"NOR","PISAMATH","GIRL","MEANSCORE","A","2012",488.293,
"NOR","PISAMATH","GIRL","MEANSCORE","A","2015",503,
"NOR","PISAMATH","GIRL","MEANSCORE","A","2018",505,
"POL","PISAMATH","BOY","MEANSCORE","A","2003",493,
"POL","PISAMATH","BOY","MEANSCORE","A","2006",500,
"POL","PISAMATH","BOY","MEANSCORE","A","2009",497,
"POL","PISAMATH","BOY","MEANSCORE","A","2012",519.564,
"POL","PISAMATH","BOY","MEANSCORE","A","2015",510,
"POL","PISAMATH","BOY","MEANSCORE","A","2018",516,
"POL","PISAMATH","GIRL","MEANSCORE","A","2003",487,
"POL","PISAMATH","GIRL","MEANSCORE","A","2006",491,
"POL","PISAMATH","GIRL","MEANSCORE","A","2009",493,
"POL","PISAMATH","GIRL","MEANSCORE","A","2012",515.533,
"POL","PISAMATH","GIRL","MEANSCORE","A","2015",499,
"POL","PISAMATH","GIRL","MEANSCORE","A","2018",515,
"PRT","PISAMATH","BOY","MEANSCORE","A","2003",472,
"PRT","PISAMATH","BOY","MEANSCORE","A","2006",474,
"PRT","PISAMATH","BOY","MEANSCORE","A","2009",493,
"PRT","PISAMATH","BOY","MEANSCORE","A","2012",492.703,
"PRT","PISAMATH","BOY","MEANSCORE","A","2015",497,
"PRT","PISAMATH","BOY","MEANSCORE","A","2018",497,
"PRT","PISAMATH","GIRL","MEANSCORE","A","2003",460,
"PRT","PISAMATH","GIRL","MEANSCORE","A","2006",459,
"PRT","PISAMATH","GIRL","MEANSCORE","A","2009",481,
"PRT","PISAMATH","GIRL","MEANSCORE","A","2012",481.296,
"PRT","PISAMATH","GIRL","MEANSCORE","A","2015",487,
"PRT","PISAMATH","GIRL","MEANSCORE","A","2018",488,
"SVK","PISAMATH","BOY","MEANSCORE","A","2003",507,
"SVK","PISAMATH","BOY","MEANSCORE","A","2006",499,
"SVK","PISAMATH","BOY","MEANSCORE","A","2009",498,
"SVK","PISAMATH","BOY","MEANSCORE","A","2012",486.134,
"SVK","PISAMATH","BOY","MEANSCORE","A","2015",478,
"SVK","PISAMATH","BOY","MEANSCORE","A","2018",488,
"SVK","PISAMATH","GIRL","MEANSCORE","A","2003",489,
"SVK","PISAMATH","GIRL","MEANSCORE","A","2006",485,
"SVK","PISAMATH","GIRL","MEANSCORE","A","2009",495,
"SVK","PISAMATH","GIRL","MEANSCORE","A","2012",476.712,
"SVK","PISAMATH","GIRL","MEANSCORE","A","2015",472,
"SVK","PISAMATH","GIRL","MEANSCORE","A","2018",484,
"ESP","PISAMATH","BOY","MEANSCORE","A","2003",490,
"ESP","PISAMATH","BOY","MEANSCORE","A","2006",484,
"ESP","PISAMATH","BOY","MEANSCORE","A","2009",493,
"ESP","PISAMATH","BOY","MEANSCORE","A","2012",492.422,
"ESP","PISAMATH","BOY","MEANSCORE","A","2015",494,
"ESP","PISAMATH","BOY","MEANSCORE","A","2018",485,
"ESP","PISAMATH","GIRL","MEANSCORE","A","2003",481,
"ESP","PISAMATH","GIRL","MEANSCORE","A","2006",476,
"ESP","PISAMATH","GIRL","MEANSCORE","A","2009",474,
"ESP","PISAMATH","GIRL","MEANSCORE","A","2012",475.965,
"ESP","PISAMATH","GIRL","MEANSCORE","A","2015",478,
"ESP","PISAMATH","GIRL","MEANSCORE","A","2018",478,
"SWE","PISAMATH","BOY","MEANSCORE","A","2003",512,
"SWE","PISAMATH","BOY","MEANSCORE","A","2006",505,
"SWE","PISAMATH","BOY","MEANSCORE","A","2009",493,
"SWE","PISAMATH","BOY","MEANSCORE","A","2012",476.916,
"SWE","PISAMATH","BOY","MEANSCORE","A","2015",493,
"SWE","PISAMATH","BOY","MEANSCORE","A","2018",502,
"SWE","PISAMATH","GIRL","MEANSCORE","A","2003",506,
"SWE","PISAMATH","GIRL","MEANSCORE","A","2006",500,
"SWE","PISAMATH","GIRL","MEANSCORE","A","2009",495,
"SWE","PISAMATH","GIRL","MEANSCORE","A","2012",479.629,
"SWE","PISAMATH","GIRL","MEANSCORE","A","2015",495,
"SWE","PISAMATH","GIRL","MEANSCORE","A","2018",503,
"CHE","PISAMATH","BOY","MEANSCORE","A","2003",535,
"CHE","PISAMATH","BOY","MEANSCORE","A","2006",536,
"CHE","PISAMATH","BOY","MEANSCORE","A","2009",544,
"CHE","PISAMATH","BOY","MEANSCORE","A","2012",537.369,
"CHE","PISAMATH","BOY","MEANSCORE","A","2015",527,
"CHE","PISAMATH","BOY","MEANSCORE","A","2018",519,
"CHE","PISAMATH","GIRL","MEANSCORE","A","2003",518,
"CHE","PISAMATH","GIRL","MEANSCORE","A","2006",523,
"CHE","PISAMATH","GIRL","MEANSCORE","A","2009",524,
"CHE","PISAMATH","GIRL","MEANSCORE","A","2012",524.473,
"CHE","PISAMATH","GIRL","MEANSCORE","A","2015",515,
"CHE","PISAMATH","GIRL","MEANSCORE","A","2018",512,
"TUR","PISAMATH","BOY","MEANSCORE","A","2003",430,
"TUR","PISAMATH","BOY","MEANSCORE","A","2006",427,
"TUR","PISAMATH","BOY","MEANSCORE","A","2009",451,
"TUR","PISAMATH","BOY","MEANSCORE","A","2012",451.934,
"TUR","PISAMATH","BOY","MEANSCORE","A","2015",423,
"TUR","PISAMATH","BOY","MEANSCORE","A","2018",456,
"TUR","PISAMATH","GIRL","MEANSCORE","A","2003",415,
"TUR","PISAMATH","GIRL","MEANSCORE","A","2006",421,
"TUR","PISAMATH","GIRL","MEANSCORE","A","2009",440,
"TUR","PISAMATH","GIRL","MEANSCORE","A","2012",443.948,
"TUR","PISAMATH","GIRL","MEANSCORE","A","2015",418,
"TUR","PISAMATH","GIRL","MEANSCORE","A","2018",451,
"GBR","PISAMATH","BOY","MEANSCORE","A","2006",504,
"GBR","PISAMATH","BOY","MEANSCORE","A","2009",503,
"GBR","PISAMATH","BOY","MEANSCORE","A","2012",500.295,
"GBR","PISAMATH","BOY","MEANSCORE","A","2015",498,
"GBR","PISAMATH","BOY","MEANSCORE","A","2018",508,
"GBR","PISAMATH","GIRL","MEANSCORE","A","2006",487,
"GBR","PISAMATH","GIRL","MEANSCORE","A","2009",482,
"GBR","PISAMATH","GIRL","MEANSCORE","A","2012",487.815,
"GBR","PISAMATH","GIRL","MEANSCORE","A","2015",487,
"GBR","PISAMATH","GIRL","MEANSCORE","A","2018",496,
"USA","PISAMATH","BOY","MEANSCORE","A","2003",486,
"USA","PISAMATH","BOY","MEANSCORE","A","2006",479,
"USA","PISAMATH","BOY","MEANSCORE","A","2009",497,
"USA","PISAMATH","BOY","MEANSCORE","A","2012",483.647,
"USA","PISAMATH","BOY","MEANSCORE","A","2015",474,
"USA","PISAMATH","BOY","MEANSCORE","A","2018",482,
"USA","PISAMATH","GIRL","MEANSCORE","A","2003",480,
"USA","PISAMATH","GIRL","MEANSCORE","A","2006",470,
"USA","PISAMATH","GIRL","MEANSCORE","A","2009",477,
"USA","PISAMATH","GIRL","MEANSCORE","A","2012",478.995,
"USA","PISAMATH","GIRL","MEANSCORE","A","2015",465,
"USA","PISAMATH","GIRL","MEANSCORE","A","2018",474,
"BRA","PISAMATH","BOY","MEANSCORE","A","2003",365,
"BRA","PISAMATH","BOY","MEANSCORE","A","2006",380,
"BRA","PISAMATH","BOY","MEANSCORE","A","2009",394,
"BRA","PISAMATH","BOY","MEANSCORE","A","2012",400.769,
"BRA","PISAMATH","BOY","MEANSCORE","A","2015",385,
"BRA","PISAMATH","BOY","MEANSCORE","A","2018",388,
"BRA","PISAMATH","GIRL","MEANSCORE","A","2003",348,
"BRA","PISAMATH","GIRL","MEANSCORE","A","2006",361,
"BRA","PISAMATH","GIRL","MEANSCORE","A","2009",379,
"BRA","PISAMATH","GIRL","MEANSCORE","A","2012",382.925,
"BRA","PISAMATH","GIRL","MEANSCORE","A","2015",370,
"BRA","PISAMATH","GIRL","MEANSCORE","A","2018",379,
"CHL","PISAMATH","BOY","MEANSCORE","A","2006",424,
"CHL","PISAMATH","BOY","MEANSCORE","A","2009",431,
"CHL","PISAMATH","BOY","MEANSCORE","A","2012",435.525,
"CHL","PISAMATH","BOY","MEANSCORE","A","2015",432,
"CHL","PISAMATH","BOY","MEANSCORE","A","2018",421,
"CHL","PISAMATH","GIRL","MEANSCORE","A","2006",396,
"CHL","PISAMATH","GIRL","MEANSCORE","A","2009",410,
"CHL","PISAMATH","GIRL","MEANSCORE","A","2012",410.543,
"CHL","PISAMATH","GIRL","MEANSCORE","A","2015",413,
"CHL","PISAMATH","GIRL","MEANSCORE","A","2018",414,
"EST","PISAMATH","BOY","MEANSCORE","A","2006",515,
"EST","PISAMATH","BOY","MEANSCORE","A","2009",516,
"EST","PISAMATH","BOY","MEANSCORE","A","2012",523.214,
"EST","PISAMATH","BOY","MEANSCORE","A","2015",522,
"EST","PISAMATH","BOY","MEANSCORE","A","2018",528,
"EST","PISAMATH","GIRL","MEANSCORE","A","2006",514,
"EST","PISAMATH","GIRL","MEANSCORE","A","2009",508,
"EST","PISAMATH","GIRL","MEANSCORE","A","2012",517.93,
"EST","PISAMATH","GIRL","MEANSCORE","A","2015",517,
"EST","PISAMATH","GIRL","MEANSCORE","A","2018",519,
"IDN","PISAMATH","BOY","MEANSCORE","A","2003",362,
"IDN","PISAMATH","BOY","MEANSCORE","A","2006",399,
"IDN","PISAMATH","BOY","MEANSCORE","A","2009",371,
"IDN","PISAMATH","BOY","MEANSCORE","A","2012",377.376,
"IDN","PISAMATH","BOY","MEANSCORE","A","2015",385,
"IDN","PISAMATH","BOY","MEANSCORE","A","2018",374,
"IDN","PISAMATH","GIRL","MEANSCORE","A","2003",358,
"IDN","PISAMATH","GIRL","MEANSCORE","A","2006",382,
"IDN","PISAMATH","GIRL","MEANSCORE","A","2009",372,
"IDN","PISAMATH","GIRL","MEANSCORE","A","2012",372.785,
"IDN","PISAMATH","GIRL","MEANSCORE","A","2015",387,
"IDN","PISAMATH","GIRL","MEANSCORE","A","2018",383,
"ISR","PISAMATH","BOY","MEANSCORE","A","2006",448,
"ISR","PISAMATH","BOY","MEANSCORE","A","2009",451,
"ISR","PISAMATH","BOY","MEANSCORE","A","2012",472.398,
"ISR","PISAMATH","BOY","MEANSCORE","A","2015",474,
"ISR","PISAMATH","BOY","MEANSCORE","A","2018",458,
"ISR","PISAMATH","GIRL","MEANSCORE","A","2006",436,
"ISR","PISAMATH","GIRL","MEANSCORE","A","2009",443,
"ISR","PISAMATH","GIRL","MEANSCORE","A","2012",460.749,
"ISR","PISAMATH","GIRL","MEANSCORE","A","2015",466,
"ISR","PISAMATH","GIRL","MEANSCORE","A","2018",467,
"RUS","PISAMATH","BOY","MEANSCORE","A","2003",473,
"RUS","PISAMATH","BOY","MEANSCORE","A","2009",469,
"RUS","PISAMATH","BOY","MEANSCORE","A","2012",481.394,
"RUS","PISAMATH","BOY","MEANSCORE","A","2015",497,
"RUS","PISAMATH","BOY","MEANSCORE","A","2018",490,
"RUS","PISAMATH","GIRL","MEANSCORE","A","2003",463,
"RUS","PISAMATH","GIRL","MEANSCORE","A","2009",467,
"RUS","PISAMATH","GIRL","MEANSCORE","A","2012",482.944,
"RUS","PISAMATH","GIRL","MEANSCORE","A","2015",491,
"RUS","PISAMATH","GIRL","MEANSCORE","A","2018",485,
"SVN","PISAMATH","BOY","MEANSCORE","A","2006",507,
"SVN","PISAMATH","BOY","MEANSCORE","A","2009",502,
"SVN","PISAMATH","BOY","MEANSCORE","A","2012",502.748,
"SVN","PISAMATH","BOY","MEANSCORE","A","2015",512,
