tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-death-comments,animal-life-stage,animal-ring-id,animal-sex,attachment-type,deploy-on-person,deployment-comments,deployment-end-comments,deployment-id,duty-cycle,manipulation-type,study-site,tag-beacon-frequency,tag-comments,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
1794,1794/HE138/Priesi,Ciconia ciconia,2011-07-24 00:00:00.000,,"fledglings: 2 (2012), 2 (2013), 3 (2014)",,adult,DEH HE138,f,harness,Michael Kaatz & Shay Rotics,,,17940138,GPS: ea 5 min or ea 20 min with poor solar conditions; ACC: 3.8 s burst at 10.54 Hz ea 5 min,none,"Saxony-Anhald, Germany",867.399,pinger: 14:00-2:00,E-Obs Gmbh,43.0,8 Mega Solar GPS,other-wireless
1791,1791/HE140,Ciconia ciconia,2011-07-26 00:00:00.000,,"fledglings: 2 (2012), 2 (2013), 2 (2014), 3 (2015)",,adult,DEH HE140,m,harness,Michael Kaatz & Shay Rotics,,,17910140,GPS: ea 5 min or ea 20 min with poor solar conditions; ACC: 3.8 s burst at 10.54 Hz ea 5 min,none,"Saxony-Anhald, Germany",867.299,pinger: 14:00-2:00,E-Obs Gmbh,43.0,8 Mega Solar GPS,other-wireless
1793,1793/HE742,Ciconia ciconia,2011-07-26 00:00:00.000,,"fledglings: 0 (2012), 3 (2013), 0 (2014), 0 (2015), attempted breeding all years",,adult,DEH HE742,m,harness,Michael Kaatz & Shay Rotics,,,17930742,GPS: ea 5 min or ea 20 min with poor solar conditions; ACC: 3.8 s burst at 10.54 Hz ea 5 min,none,"Saxony-Anhald, Germany",867.349,pinger: 14:00-2:00,E-Obs Gmbh,43.0,8 Mega Solar GPS,other-wireless
1796,1796/HE743,Ciconia ciconia,2011-07-26 00:00:00.000,,"fledglings: 2 (2012), 4 (2013), 3 (2014)",,adult,DEH HE743,f,harness,Michael Kaatz & Shay Rotics,,,17960743,GPS: ea 5 min or ea 20 min with poor solar conditions; ACC: 3.8 s burst at 10.54 Hz ea 5 min,none,"Saxony-Anhald, Germany",867.499,pinger: 14:00-2:00,E-Obs Gmbh,43.0,8 Mega Solar GPS,other-wireless
1797,1797/HE744,Ciconia ciconia,2011-07-26 00:00:00.000,2012-06-01 00:00:00.000,"attempted breeding 2012, died during season",died during breeding season 2012,adult,DEH HE744,m,harness,Michael Kaatz & Shay Rotics,,,17970744,GPS: ea 5 min or ea 20 min with poor solar conditions; ACC: 3.8 s burst at 10.54 Hz ea 5 min,none,"Saxony-Anhald, Germany",867.549,pinger: 14:00-2:00,E-Obs Gmbh,43.0,8 Mega Solar GPS,other-wireless
1787,1787/HH582,Ciconia ciconia,2011-08-12 00:00:00.000,,"fledglings: 3 (2012), 2 (2013)",,adult,DEH HH582,f,harness,Michael Kaatz & Shay Rotics,,,17870582,GPS: ea 5 min or ea 20 min with poor solar conditions; ACC: 3.8 s burst at 10.54 Hz ea 5 min,none,"Saxony-Anhald, Germany",867.099,pinger: 14:00-2:00,E-Obs Gmbh,43.0,8 Mega Solar GPS,other-wireless
2322,2322/H5188,Ciconia ciconia,2012-05-12 00:00:00.000,,"fledglings: 0 (2013), no attempt (2014), 0 (2015), 0 (2016)",,adult,DEH H5188,m,harness,Michael Kaatz & Shay Rotics,,,23220188,GPS: ea 5 min or ea 20 min with poor solar conditions; ACC: 3.8 s burst at 10.54 Hz ea 5 min,none,"Saxony-Anhald, Germany",867.825,pinger: 14:00-2:00,E-Obs Gmbh,43.0,16 Mega Solar GPS,other-wireless
2301,2301/HH596,Ciconia ciconia,2012-05-14 00:00:00.000,,"fledglings: 1 (2013), 2 (2014), 2 (2015), unknown (2016)",,adult,DEH HH596,f,harness,Michael Kaatz & Shay Rotics,,,23010596,GPS: ea 5 min or ea 20 min with poor solar conditions; ACC: 3.8 s burst at 10.54 Hz ea 5 min,none,"Saxony-Anhald, Germany",867.075,pinger: 14:00-2:00,E-Obs Gmbh,43.0,16 Mega Solar GPS,other-wireless
2303,2303/HH597/Elsa,Ciconia ciconia,2012-05-17 00:00:00.000,,fledglings: unknown,,adult,DEH HH597,f,harness,Michael Kaatz & Shay Rotics,excluded from analysis due to missing breeding status,disappeared upon arrival at breeding grounds 2013,23030597,GPS: ea 5 min or ea 20 min with poor solar conditions; ACC: 3.8 s burst at 10.54 Hz ea 5 min,none,"Saxony-Anhald, Germany",867.175,pinger: 14:00-2:00,E-Obs Gmbh,43.0,16 Mega Solar GPS,other-wireless
2305,2305/HH598,Ciconia ciconia,2012-05-19 00:00:00.000,,"fledglings: 0 (2013), 1 (2014), attempted breeding all years",,adult,DEH HH598,m,harness,Michael Kaatz & Shay Rotics,,,23050598,GPS: ea 5 min or ea 20 min with poor solar conditions; ACC: 3.8 s burst at 10.54 Hz ea 5 min,none,"Saxony-Anhald, Germany",867.225,pinger: 14:00-2:00,E-Obs Gmbh,43.0,16 Mega Solar GPS,other-wireless
