"Date","Cause","Deaths","Month","Regime"
1854-04-01,"Disease",1.4,"April","Before"
1854-05-01,"Disease",6.2,"May","Before"
1854-06-01,"Disease",4.7,"June","Before"
1854-07-01,"Disease",150,"July","Before"
1854-08-01,"Disease",328.5,"August","Before"
1854-09-01,"Disease",312.2,"September","Before"
1854-10-01,"Disease",197,"October","Before"
1854-11-01,"Disease",340.6,"November","Before"
1854-12-01,"Disease",631.5,"December","Before"
1855-01-01,"Disease",1022.8,"January","Before"
1855-02-01,"Disease",822.8,"February","Before"
1855-03-01,"Disease",480.3,"March","Before"
1855-04-01,"Disease",177.5,"April","After"
1855-05-01,"Disease",171.8,"May","After"
1855-06-01,"Disease",247.6,"June","After"
1855-07-01,"Disease",107.5,"July","After"
1855-08-01,"Disease",129.9,"August","After"
1855-09-01,"Disease",47.5,"September","After"
1855-10-01,"Disease",32.8,"October","After"
1855-11-01,"Disease",56.4,"November","After"
1855-12-01,"Disease",25.3,"December","After"
1856-01-01,"Disease",11.4,"January","After"
1856-02-01,"Disease",6.6,"February","After"
1856-03-01,"Disease",3.9,"March","After"
1854-04-01,"Wounds",0,"April","Before"
1854-05-01,"Wounds",0,"May","Before"
1854-06-01,"Wounds",0,"June","Before"
1854-07-01,"Wounds",0,"July","Before"
1854-08-01,"Wounds",0.4,"August","Before"
1854-09-01,"Wounds",32.1,"September","Before"
1854-10-01,"Wounds",51.7,"October","Before"
1854-11-01,"Wounds",115.8,"November","Before"
1854-12-01,"Wounds",41.7,"December","Before"
1855-01-01,"Wounds",30.7,"January","Before"
1855-02-01,"Wounds",16.3,"February","Before"
1855-03-01,"Wounds",12.8,"March","Before"
1855-04-01,"Wounds",17.9,"April","After"
1855-05-01,"Wounds",16.6,"May","After"
1855-06-01,"Wounds",64.5,"June","After"
1855-07-01,"Wounds",37.7,"July","After"
1855-08-01,"Wounds",44.1,"August","After"
1855-09-01,"Wounds",69.4,"September","After"
1855-10-01,"Wounds",13.6,"October","After"
1855-11-01,"Wounds",10.5,"November","After"
1855-12-01,"Wounds",5,"December","After"
1856-01-01,"Wounds",0.5,"January","After"
1856-02-01,"Wounds",0,"February","After"
1856-03-01,"Wounds",0,"March","After"
1854-04-01,"Other",7,"April","Before"
1854-05-01,"Other",4.6,"May","Before"
1854-06-01,"Other",2.5,"June","Before"
1854-07-01,"Other",9.6,"July","Before"
1854-08-01,"Other",11.9,"August","Before"
1854-09-01,"Other",27.7,"September","Before"
1854-10-01,"Other",50.1,"October","Before"
1854-11-01,"Other",42.8,"November","Before"
1854-12-01,"Other",48,"December","Before"
1855-01-01,"Other",120,"January","Before"
1855-02-01,"Other",140.1,"February","Before"
1855-03-01,"Other",68.6,"March","Before"
1855-04-01,"Other",21.2,"April","After"
1855-05-01,"Other",12.5,"May","After"
1855-06-01,"Other",9.6,"June","After"
1855-07-01,"Other",9.3,"July","After"
1855-08-01,"Other",6.7,"August","After"
1855-09-01,"Other",5,"September","After"
1855-10-01,"Other",4.6,"October","After"
1855-11-01,"Other",10.1,"November","After"
1855-12-01,"Other",7.8,"December","After"
1856-01-01,"Other",13,"January","After"
1856-02-01,"Other",5.2,"February","After"
1856-03-01,"Other",9.1,"March","After"
