"","headlines","links","summary","body","date"
"1","Ethiopia, Kenya Discuss Power Purchase Agreement","https://ethiopianmonitor.com/2021/09/13/ethiopia-kenya-discuss-power-purchase-agreement/","ADDIS ABABA – Ethiopia and Kenya on Monday started hammering out power purchase agreement (PPA)  as the construction of Ethio-Kenya electricity highway project nears completion.","ADDIS ABABA – Ethiopia and Kenya on Monday started hammering out power purchase agreement (PPA) as the construction of Ethio-Kenya electricity highway project nears completion. The electric transmission line has a capacity of carrying up to 2,000 megawatts and covers 1,055Km. 

(adsbygoogle = window.adsbygoogle || []).push({}); Minister of Water, Irrigation and Energy, Dr. Seleshi Bekele and Kenya’s Energy Minister, Vharles Keter, met in Addis Ababa to deliberate on guidelines linked to the transmission line. “We discussed completion of construction, guidelines for operation & PPA on Ethio-Kenyan energy interconnection,” said Dr. Seleshi in a brief message posted on Twitter. The Minister said the technical teams from two sides will conclude drafting of the agreement. “The system is an investment of 1.3B US Dollars with modern 500KV line, an important vehicle for East Africa interconnection and nucleus for regional integration and prosperity,” he added. The Ethiopia-Kenya electricity transmission line is expected to integrate power systems of five countries including Ethiopia, Kenya, Tanzania, Uganda and Rwanda under the Eastern African Power Pool (EAPP) Master Plan. The plan seeks to take advantage of excess capacity within the network and facilitate trade of electricity between member countries.","September 13, 2021"
"2","Ethiopian Airlines Takes Delivery of 32nd Dash 8-400","https://ethiopianmonitor.com/2021/09/13/ethiopian-airlines-takes-delivery-of-32nd-dash-8-400/","ADDIS ABABA – De Havilland Aircraft of Canada has delivered another Dash 8-400 aircraft to Ethiopian Airlines, with the airline reaching a milestone of 32 Dash 8-400 aircraft in its fleet.","ADDIS ABABA – De Havilland Aircraft of Canada has delivered another Dash 8-400 aircraft to Ethiopian Airlines, with the airline reaching a milestone of 32 Dash 8-400 aircraft in its fleet. “We’re honoured to announce the delivery of Ethiopian Airlines’ 32nd Dash 8-400 aircraft,” says De Havilland Aircraft on Saturday. “We wish flyethiopian and its strategic airline partners much ongoing success!” 

     (adsbygoogle = window.adsbygoogle || []).push({}); Ethiopian Airlines received its 30th and 31st Dash 8-400 aircraft registration numbers ET-AXY and ET-AXZ from the Canadian planemaker earlier recently. The delivery highlights the carrier’s confidence in the aircraft in supporting its growing network across Africa. Its officials believe the aircraft provides the operational flexibility, performance capability, capacity and passenger comfort the airlines want. Ethiopian is a recognized Authorized Service Facility having acquired the first Dash 8-400 simulator in Africa and just recently added a second simulator with the goal of bringing as much of its training in-house as possible.","September 13, 2021"
"3","Renaissance Dam to Generate Electricity in First Months of Ethiopian New Year","https://ethiopianmonitor.com/2021/09/10/renaissance-dam-to-generate-electricity-in-first-months-of-ethiopian-new-year/","ADDIS ABABA – The Grand Ethiopian Renaissance Dam (GERD) will start to generate electricity in the first months of the Ethiopian New year, said  Dr. Sileshi Bekele,   Minister of Water, Irrigation and Energy.","ADDIS ABABA – The Grand Ethiopian Renaissance Dam (GERD) will start to generate electricity in the first months of the Ethiopian New year, said Dr. Sileshi Bekele, Minister of Water, Irrigation and Energy. Ethiopia started the construction of the Dam in 2011 through domestic finance mobilization after conventional financial institutions became reluctant to support the project. With more than 80 percent complete, authorities conducted filling the dam’s reservoir in two consecutive kiremt rainy seasons and currently stored 18.4 billion cubic meters. The necessary preparations are now underway to enable the two turbines of the GERD to generate electricity in the first months of the coming Ethiopian New year, said Minister Seleshi in an interview he gave to the state-run Ethiopian News Agency Thursday. 

(adsbygoogle = window.adsbygoogle || []).push({}); Despite encountering various challenges in the negotiation process of GERD, Seleshi said the construction process of the dam has intensified. He also insisted Ethiopia is within its full right to use its natural resources in order to defeat poverty in the country. The GERD, being built on Abay River (Blue Nile), will be vital in that process, he added. Blessing from religious leaders On the eve of 2014 Ethiopian new year, leaders of seven religions in Ethiopia have paid a visit to the renaissance dam construction project site. “Religious leaders conducted prayers and passed good wishes to All at the New Year’s Eve,” said Dr. Sileshi, who accompanied them during the visit, together with top officials from the ministry of peace and Ethiopian Electric Power (EEP). “Ethiopia has 1000s years of proud history, peace & tranquility where major religions like Christianity, Muslim and Jewish religions lived side by side. Praying together for Ethiopia and its people and the world. Happy 2014!,” the minister said. Apart from filling its ever growing electric energy for domestic and industrial use, Ethiopia plans to generate much needed foreign currency from the sale of electricity generated from the Dam to neighboring countries.","September 10, 2021"
"4","mPharma, Belayab Open Haltons Pharmacy in Ethiopia","https://ethiopianmonitor.com/2021/09/09/mpharma-belayab-open-haltons-pharmacy-in-ethiopia/","ADDIS ABABA – mPharma, a patient-centered and technology-driven healthcare company and Belayab Pharmaceuticals Plc, announced today the opening of the first Haltons Pharmacy at Sarbet in Addis Ababa, Ethiopia. ","ADDIS ABABA – mPharma, a patient-centered and technology-driven healthcare company and Belayab Pharmaceuticals Plc, announced today the opening of the first Haltons Pharmacy at Sarbet in Addis Ababa, Ethiopia. Through the franchise agreement signed in March 2021 by mPharma and Belayab, the new pharmacy in Ethiopia is intended to support expanded growth opportunities locally and in the region. “We are excited to be opening the first Haltons Pharmacy in Ethiopia and expect to do a lot more work in the near future,” said Mike Ghebru, Shareholder at Belayab Pharmaceuticals. 

(adsbygoogle = window.adsbygoogle || []).push({}); As the population and economy of Ethiopia continue to grow, the country is investing in strengthening its health systems to improve the standard of health for its people. Powered by mPharma’s proprietary Bloom technology, the new Haltons Pharmacy in Addis Ababa is expected to provide patients with access to affordable and quality medications. “mPharma is deepening its long-standing commitment to Africa as a whole by increasing access to health care resources in the region,” said Naa Akwetey, SVP of Strategy and Business Development at mPharma. “We continue to work with our retail partners to transform community pharmacies into primary care centers that provide value-added services to all patients so they can live not just longer but healthier lives,” Akwetey added. Haltons Limited is a subsidiary of mPharma following an acquisition in 2019. The company operates the second-largest pharmacy chain in Kenya and has retail outlets in high-traffic residential estates capitalizing on volumes created by healthcare medicine prescribers. Haltons Pharmacies are located in Nairobi, Kisumu, Mombasa, Nakuru, and Nyeri in Kenya, and now in Addis Ababa.","September 9, 2021"
"5","Cybercrime: A barrier to Africa’s thriving digital economy","https://ethiopianmonitor.com/2021/09/09/cybercrime-a-barrier-to-africas-thriving-digital-economy/","ADDIS ABABA – Cybercrime is one of the top risk factors likely to jeopardize Africa’s economy especially at this time when the continent is transitioning to E-commerce under the Africa Continental Free Trade Area (AfCFTA). That’s according to panelists at a Book Talk.","ADDIS ABABA – Cybercrime is one of the top risk factors likely to jeopardize Africa’s economy especially at this time when the continent is transitioning to E-commerce under the Africa Continental Free Trade Area (AfCFTA). That’s according to panelists at a Book Talk. The “Book Talk” was jointly organised by the Economic Commission for Africa or ECA’s Knowledge Management Section and the Information and Communications Technology Services Section (ICTSS) in collaboration with the Communications Section under the theme ‘Dangers/Risks of Cybercrime to E-Commerce in Africa’. 

(adsbygoogle = window.adsbygoogle || []).push({}); The panelists all agreed that cybercrime can be an impediment to a thriving digital economy in Africa and requires international, regional, private sector cooperation. “Many domestic regulations on the internet are being enforced without paying due consideration to the global and universal nature of cyberspace, cyber security and its relevance for e-commerce,” said Almoustapha Cisse, ICTSS Chief. According to the chief, cybercrime has become a big issue in the world because of emerging technology and high internet penetration on the continent. Cisse said African governments should accept the standard cyber norms and international laws for a responsible state behavior in a cyberspace. Nnenna Ifeanyi-Ajufo, Senior Lecturer at the School of Law, UK’s Swansea University, said cyber governance and E-commerce play a critical role in ensuring cyber security, and that the interface between cyber governance, cybersecurity and economic viability is one of the most complex policy challenges in the current day digital economy in Africa. Ms Ifeanyi-Ajufo said, “It is important that African countries ratify the Malabo convention on cybersecurity and personal data protection to fight the threats of cyber security.” The Malabo convention on cybersecurity and personal data protection, she noted, is one of the most elaborate conventions in the world on cybersecurity and so African countries should ratify for it to be enforced. So far, only 10 African countries have ratified the Malabo agreement. For it to come into force, at least 16 African countries should ratify it. Ifeanyi-Ajufo said the measures implemented to ensure cyber security in Africa can stifle the continent’s thriving digital economy through restrictive legislations, unreasonable standards on internet security which can stifle businesses, deter foreign companies and affect consumers of digital services. However, simultaneous cybersecurity is essential to facilitate economic transactions via the internet. “To implement internet security, a delicate balance needs to be struck between security held by the governments, companies and internet users,” said Ifeanyi-Ajufo. Anand Ramaswamy, ICHIP Attorney Advisor, U.S. Mission to the African Union, said Africa is the fastest growing region of the world for Internet penetration and for use of mobile-based financial services, has become an increasingly attractive area for cybercriminals. Law enforcement officers, prosecutors, magistrates, and judges should fulfil their respective roles in increasingly complex environments, which require up to date skills and adequate tools, both technical and legal. “To fight the dangers and risks of cybercrime to e-commerce in Africa, countries need cyber security measures in place, law, law enforcement and consumer protection services,” said Mr Ramaswamy. Mactar Seck from ECA’s Technology, Climate Change and Natural Resource Management Division said cybercrime in Africa has increased because the growing internet penetration. He said between 2005 and 2020 internet growths in Africa was 10 % and it is projected to grow by three folds by 2025. Seck said ECA and its partners are working hard to promote e-commerce on the continent while helping countries to create and implement laws and policies on cyber security. “Most countries in Africa have policies on cyber security but operationalization is the problem. ECA is helping with capacity building,” noted Seck.","September 9, 2021"
"6","Ethiopia Eyes $1.2bln Annual Revenue from Coffee Export","https://ethiopianmonitor.com/2021/09/07/ethiopia-eyes-1-2bln-annual-revenue-from-coffee-export/","ADDIS ABABA – Ethiopia plans to secure 1.2 billion USD from the export trade of coffee in the current fiscal year, said Umer Hussien, ministry of agriculture Minister.","ADDIS ABABA – Ethiopia plans to secure 1.2 billion USD from the export trade of coffee in the current fiscal year, said Umer Hussien, ministry of agriculture Minister. The Minister Monday said attention has been given to modernize the coffee development sector and efforts are being undertaken to support the sector with technology, state run Ethiopian news agency reports. 

(adsbygoogle = window.adsbygoogle || []).push({}); The report says the ministry has been supporting the investors engaged in the sector to enhance coffee productivity and boost foreign currency earnings. The country is now planning to earn 1.2 billion US dollars during the current 2021/22 Ethiopian fiscal year, Umer said. Among agricultural export items, coffee has been taking the lion share in terms of foreign currency earnings. A total of 927 million US Dollar revenue was secured from coffee export trade in the previous budget year, which ended on June 7, 2021.","September 7, 2021"
"7","Ethiopian Rejects Inaccurate Media Report from Sudan on Shipment of Weapons","https://ethiopianmonitor.com/2021/09/06/ethiopian-rejects-inaccurate-media-report-from-sudan-on-shipment-of-weapons/","ADDIS ABABA – The Ethiopian Airlines has dismissed the inaccurate report that appeared on Sudan News Agency (SUNA) about the shipment of weapons to Sudan.","ADDIS ABABA – The Ethiopian Airlines has dismissed the inaccurate report that appeared on Sudan News Agency (SUNA) about the shipment of weapons to Sudan. Ethiopian has responded “to the wrong article which appeared in SUNA, Sudan News Agency” in a statement issued on Monday. 

(adsbygoogle = window.adsbygoogle || []).push({}); The statement says, “Ethiopian Airlines shipment of weapons to Sudan is a legal and commercial transportation of hunting guns with all proper documents of the shipper and the consignee”. “The hunting guns were held by security authorities in Addis Ababa for a long time for verification and the consignee sued Ethiopian in Sudanese court to either deliver the hunting guns or pay close to USD250,000 as compensation.   “As we have got a clearance from Ethiopian security authorities after completing the due verification process, we shipped them to the consignee in Sudan.  “We have all the documentations that prove the legality of the shipment including a letter from Sudanese Ministry of Foreign Affairs”. The airlines issued the statement along with the Air waybill or consignment note.","September 6, 2021"
"8","Gov’t Lifts Tax Some Consumers Goods","https://ethiopianmonitor.com/2021/09/05/govt-lifts-tax-some-consumers-goods/","ADDIS ABABA – The Ministry of Finance decided to exempt tax and tariff levied on some basic food commodities in an effort to control inflation and stabilize the market in Ethiopia.","ADDIS ABABA – The Ministry of Finance decided to exempt tax and tariff levied on some basic food commodities in an effort to control inflation and stabilize the market in Ethiopia. State Minister of Finance Eyob Tekalegn told reporters on Friday the decision was made in an effort to control the increasing inflation and stabilize the market. The commodities on which tax and tariff are fully exempted are wheat, edible oil, sugar and rice.
Value added tax on egg, spaghetti and Macaroni have also been exempted, according to the ministry. 

(adsbygoogle = window.adsbygoogle || []).push({}); Citing a study, the state minister said the government will lose billions of Birr due to the decision to be implemented for an unspecified duration. The ministry has recently been taking monetary, fiscal and structural measures to increase the purchasing power of the people. The government is committed to continue to take similar measures when deemed necessary, Eyob said. To sustainably control the rising inflation, the minister said the government will work on improving productivity, especially in the agriculture sector, increasing supply, checking the market system and fiscal policy decisions. Apart from purchasing and distributing consumer goods such as wheat and edible oil, the government has extended the Franco-Valuta License permit to import basic goods without foreign currency for the next six months.","September 5, 2021"
"9","Ethiopian COVID- 19 Vaccine Airlift Exceeds 50 Million Doses","https://ethiopianmonitor.com/2021/09/04/ethiopian-covid-19-vaccine-airlift-exceeds-50-lmln-doses/","ADDIS ABABA – Ethiopian Airlines Group said it has transported 50 million doses of vaccine to more than 28 countries across the globe. ","ADDIS ABABA – Ethiopian Airlines Group said it has transported 50 million doses of vaccine to more than 28 countries across the globe. This has made the airlines the only African carrier to reach such a milestone playing crucial role during the pandemic hit period. 

     (adsbygoogle = window.adsbygoogle || []).push({}); Ethiopian Cargo and Logistics Services, Africa’s largest cargo service provider, has successfully distributed the vaccines to different countries with its technologically equipped facility called ‘Pharma Wing’, the airlines said. Yewolde GebreMariam, Group CEO of Ethiopian Airlines said he was “delighted to see such a great humanitarian achievement due to our concerted and determined lifesaving efforts”. “In fact, Ethiopian Airlines has played its irreplaceable role in responding to dire need of the global cargo transportation amidst the pandemic,’he said. “By this, the Airline has proved to be the pioneer and an epitome of continental and global solidarity.” Ethiopian was one of the few airlines that didn’t quit operation despite boarder closures and travel restrictions by countries due to the pandemic. As a result, the airline reunited more than 63 thousand stranded citizens of different countries with their families and
loved ones. It has also has transported the most needed medical supplies to over 80 countries since the outbreak. Ethiopian Airlines has been ranked among the top 25 leading global cargo transporters, according to the International Air Transport Association’s (IATA). In addition, it has been ranked 21st in scheduled Cargo Tonne Kilometres (CTKs) and 19th by scheduled freight tonnes carried.","September 4, 2021"
"10","Safaricom Ethiopia Plc Gears Up for Commercial Launch Next year","https://ethiopianmonitor.com/2021/09/03/safaricom-ethiopia-plc-gears-up-for-commercial-launch-next-year/","ADDIS ABABA – Safaricom Telecommunications Ethiopia Plc or(Safaricom Ethiopia) has today announced a countrywide staff recruitment drive and introduced its leadership team as it affirmed its commitment to investing in Ethiopia’s digital future ahead of its commercial launch. ","ADDIS ABABA – Safaricom Telecommunications Ethiopia Plc or(Safaricom Ethiopia) has today announced a countrywide staff recruitment drive and introduced its leadership team as it affirmed its commitment to investing in Ethiopia’s digital future ahead of its commercial launch. Leading a senior delegation from the Global Partnership for Ethiopia (GPE) for a visit to Addis Ababa this week, and provided updates to the Ethiopian government officials about the company’s preparation to begin its operation in 2022. 

(adsbygoogle = window.adsbygoogle || []).push({}); Peter Ndegwa, CEO of Safaricom Plc, told reporters today the delegation’s visit conveyed the shareholders’ commitment to investment in Ethiopia and contributing to the achievement of the digital Ethiopia objectives. “The Global Partnership for Ethiopia is proud to be investing in Ethiopia and thanks the Government of Ethiopia and other key partners for their support in the initial preparations for commercial launch,” he said. “Such partnerships are the building blocks of digital transformation, and I would like to thank all our partners for their support as we work towards enabling our commercial launch and contribution to digital Ethiopia as a purpose-led technology company,” Ndegwa added. Anwar Soussa, Managing Director of Safaricom Ethiopia, provided updates on the preparations for commercial launch. The company, he said, has commenced recruitment of Ethiopian nationals for technology, commercial and corporate functions in various capacities ranging from executive management to graduate level opportunities. “Our ongoing recruitment process is intentionally guided by the promise of a digital future for the people of Ethiopia,” he said. By June next year, the company aims to build a team of 1000 employees driven by innovation and digital solutions. “We will also offer all employees comprehensive digital training packages through our #1moreskill training program – a gateway to new skills in the digital economy,” he said. Additionally, the company is set to recruit 450 graduates over the next three years into a global development program dubbed the ‘Discover Graduate Management Program’. The graduates will undergo accelerated learning rotations across different functions in the business as well as extensive leadership coaching and mentorship programs. As part of the ongoing recruitment process, the company officially introduced the 11 confirmed members of its Executive Committee (ExCo) during the press on Friday     Featured Image: Members of the Safaricom Ethiopia Executive Committee joined by Safaricom plc CEO, Peter Ndegwa and Safaricom Ethiopia Plc, MD Anwar Soussa during the press briefing where the firm announced a countrywide staff recruitment drive as it gets ready for commercial launch.
(From left) Chief Regulatory and External Affairs Officer, Matthew Harrison-Harvey, Chief Finance Officer, Stanley Njoroge, Chief Financial Services Officer, Paul Kavavu, Chief Human Resource Officer – Mokaya Mokaya, Chief Consumer Business Officer, Charles Wanjohi.","September 3, 2021"
