FID,the_geom,NAME,SOURCE,DATE_,Syn_name,POINT_X,POINT_Y,FID_1,STATE,Fmr_County,New_COUNTY,New_PAYAM,New_BOMA,VILLAGE,LAT,LON,Classifica,OBJECTID_1,OBJECTID_2,OBJECTID,HIC_PCODE,NAME2,NAME3,TYPE,NAME1,PCODE,LATITUDE,LONGITUDE,LOCALITY_C,SETTLEMENT,SETTLMENT_,LOCALITY,Long,SetType,AdminUnit,Id,Pop,Cluster,FID_1_1,EASTING,NORTHING,TILE,LCCODE,LOC_COUNT,X,Y,Con_Name,Con_ID,Con_Type,Time,TRMA_PCODE,X__DD_,Y__DD_,HIERARCHY
southernsudan_settlements_imwg_merged_agr.1,POINT (34.02888189054113 9.596972039217235),Dogubeli,Locality Workhop,Novemeber 2008,-,34.02888189,9.59697204,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.2,POINT (34.07912001558793 11.365810009614563),Marol,Central Bureau of statistics,May 2008,,34.07912002,11.36581001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.3,POINT (34.08529001559367 11.355940009605376),Jikad,Central Bureau of statistics,May 2008,,34.08529002,11.35594001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.4,POINT (34.0844700155929 11.305550009558488),Nagada,Central Bureau of statistics,May 2008,,34.08447002,11.30555001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.5,POINT (34.07830464058719 11.304044259557088),Gamar,Central Bureau of statistics,May 2008,,34.07830464,11.30404426,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.6,POINT (34.07583001558487 11.292800009546568),Migwa,Central Bureau of statistics,May 2008,,34.07583002,11.29280001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.7,POINT (34.05670001556706 11.269350009524771),Sayga,Central Bureau of statistics,May 2008,,34.05670002,11.26935001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.8,POINT (34.07727001558618 11.268730009524177),Agna,Central Bureau of statistics,May 2008,,34.07727002,11.26873001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.9,POINT (34.10668001561362 11.230680009488765),Mogm,Central Bureau of statistics,May 2008,,34.10668002,11.23068001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
southernsudan_settlements_imwg_merged_agr.10,POINT (34.15274998440651 11.257630009513832),Morig,Central Bureau of statistics,May 2008,,34.15274998,11.25763001,0,,,,,,,0,0,,0,0,0,,,,,,,0,0,,,,,0,,,0,0,,0,0,0,,,,0,0,,,,0,,0,0,0
