source,target,value
0,1,124.729
1,2,0.597
1,3,26.862
1,4,280.322
1,5,81.144
6,2,35
7,4,35
8,9,11.606
10,9,63.965
9,4,75.571
11,12,10.639
11,13,22.505
11,14,46.184
15,16,104.453
15,14,113.726
15,17,27.14
15,12,342.165
15,18,37.797
15,19,4.412
15,13,40.858
15,3,56.691
15,20,7.863
15,21,90.008
15,22,93.494
23,24,40.719
25,24,82.233
5,13,0.129
5,3,1.401
5,26,151.891
5,19,2.096
5,12,48.58
27,15,7.013
17,28,20.897
17,3,6.242
28,18,20.897
29,15,6.995
2,12,121.066
2,30,128.69
2,18,135.835
2,31,14.458
2,32,206.267
2,19,3.64
2,33,33.218
2,20,4.413
34,1,4.375
24,5,122.952
35,26,839.978
36,37,504.287
38,37,107.703
37,2,611.99
39,4,56.587
39,1,77.81
40,14,193.026
40,13,70.672
41,15,59.901
42,14,19.263
43,42,19.263
43,41,59.901
4,19,0.882
4,26,400.12
4,12,46.477
26,15,525.531
26,3,787.129
26,11,79.329
44,15,9.452
45,1,182.01
46,15,19.013
47,15,289.366
