Dates,Start Year,End Year,Conflict Deaths,Size Of Conflict,Type Of Conflict,YEARS OF CONFLICT,Deaths,Deaths As % Of Targeted Peoples,Conflict_Years,Conflict_Months,No. Targeted Peoples
1861-1865,1861,1865,AMERICAN CIVIL WAR,LARGE COUNTRY,CIVIL WAR,1861,750000,2.40%,4,48,31429891
1915-1918,1915,1918,ARMENIAN GENOCIDE,SMALL COUNTRY,GENOCIDE,1915,1500000,75.00%,3,36,2000000
1971,1971,1971,BANGLADESH LIBERATION WAR,SMALL COUNTRY,GENOCIDE,1971,1650000,2.40%,0,2,69326000
July-Nov 1916,1916,1916,BATTLE OF THE SOMME,GLOBAL,WAR,1916,310486,10.40%,0,4,3000000
Jul-95,1995,1995,BOSNIAN GENOCIDE,SMALL COUNTRY,GENOCIDE,1995,8000,0.30%,0,36,2440000
1992-1995,1992,1995,BOSNIAN WAR,CIVIL WAR,CIVIL WAR,1992,110000,2.60%,4,45,4301200
May-July 1972,1972,1972,BURUNDIAN GENOCIDE,SMALL COUNTRY,GENOCIDE,1972,150000,18.10%,0,3,830000
1989-1996,1989,1996,CHARLES TAYLOR (LIBERIA),SMALL COUNTRY,GENOCIDE,1989,220000,10.30%,7,84,2137000
1928-1937,1928,1937,CHINESE CIVIL WAR,LARGE COUNTRY,CIVIL WAR,1928,5000000,1.00%,9,108,485508838
1998-2005,1998,2008,CONGO WAR,MEDIUM COUNTRY,CIVIL WAR,1998,3000000,6.70%,7,84,44960000
1962-1992,1962,1992,ERITREAN WAR OF INDEPENDENCE,MEDIUM COUNTRY,CIVIL WAR,1962,2000000,8.10%,30,360,24693000
1-Jul-16,1916,1916,FIRST DAY ON THE SOMME,INTERNATIONAL,WAR,1916,25000,2.40%,0,0.023271732,1030000
1955-1972,1955,1972,FIRST SUDANESE CIVIL WAR,MEDIUM COUNTRY,CIVIL WAR,1955,500000,7.60%,17,204,6542583
1945-47,1945,1947,FLIGHT AND EXPULSION OF GERMANS (1944-50),LARGE REGION,WAR,1945,2100000,19.10%,2,24,11000000
1968-1979,1968,1979,FRANCISCO MACíAS NGUEMA,SMALL COUNTRY,GENOCIDE,1968,80000,27.70%,11,132,288701
2008-2014,2008,2014,GAZA-ISRAEL CONFLICT,SMALL REGION,WAR,2008,5429,0.10%,6,,3920000
August 1990 - Feb 1991,1990,1991,GULF WAR,INTERNATIONAL,WAR,1990,40349,0.10%,1,6,41298250
1969-1979,1969,1979,IDI AMIN,SMALL COUNTRY,GENOCIDE,1969,300000,3.30%,10,120,9162800
1975-98,1975,1998,INSURGENCY IN ACEH,MEDIUM REGION,GENOCIDE,1975,200000,10.00%,23,276,2008341
1980-1988,1980,1988,IRAN-IRAQ WAR,INTERNATIONAL,WAR,1980,1000000,1.90%,8,96,52321600
2003-2011,2003,2011,IRAQ WAR,GLOBAL,WAR,2003,189000,0.70%,8,96,25806000
1975-1979,1975,1979,KHMER ROUGE,SMALL COUNTRY,GENOCIDE,1975,1700000,22.50%,4,48,7552000
1950-1953,1950,1953,KOREAN WAR,GLOBAL,WAR,1950,1177000,3.90%,3,36,30316911
1975-1990,1975,1990,LEBANESE CIVIL WAR,GLOBAL,CIVIL WAR,1975,150000,5.80%,15,180,2575700
1905-1907,1905,1907,MAJI-MAJI REBELLION,MEDIUM REGION,WAR,1905,175000,5.00%,2,24,3500000
1910-1920,1910,1920,MEXICAN REVOLUTION,LARGE COUNTRY,WAR,1910,1000000,6.70%,10,120,15000000
Dec-37,1937,1937,NANKING MASSACRE,INTERNATIONAL,GENOCIDE,1937,300000,85.70%,0,1,350000
1966-1970,1967,1970,NIGERIAN CIVIL WAR,MEDIUM COUNTRY,CIVIL WAR,1967,1000000,1.90%,3,36,52468600
1937,1937,1937,PARSLEY MASSACRE,SMALL COUNTRY,GENOCIDE,1937,4500,7.90%,0,0.013689254,56657
1975-1978,1975,1978,RED TERROR (ETHIOPIA),MEDIUM COUNTRY,GENOCIDE,1975,1500000,4.60%,3,36,32568500
1917-1922,1917,1922,RUSSIAN CIVIL WAR,LARGE COUNTRY,CIVIL WAR,1917,9000000,7.20%,5,60,125640021
1904-1905,1904,1905,RUSSO-JAPANESE WAR,INTERNATIONAL,WAR,1904,130000,0.10%,1,17,172260021
April-July 1994,1994,1994,RWANDAN GENOCIDE,SMALL COUNTRY,GENOCIDE,1994,800000,72.70%,0,3,1100000
1899-1902,1899,1902,SECOND BOER WAR,MEDIUM REGION,WAR,1899,59000,3.20%,3,36,1872000
1983-2005,1983,2005,SECOND SUDANESE CIVIL WAR,MEDIUM COUNTRY,CIVIL WAR,1983,2000000,9.30%,22,264,21600000
1979-89,1979,1989,SOVIET WAR IN AFGHANISTAN,INTERNATIONAL,WAR,1979,1000000,7.50%,10,120,13375000
2011 - present,2011,2016,SYRIAN CIVIL WAR,SMALL COUNTRY,CIVIL WAR,2011,342551,1.70%,5,36,20501200
1934-1945,1934,1945,THE HOLOCAUST,LARGE REGION,GENOCIDE,1934,11283000,68.00%,11,132,16585000
1965-1973,1965,1973,VIETNAM WAR,GLOBAL,WAR,1965,1719000,4.20%,8,96,41040000
2001- present (2013),2001,2013,WAR IN AFGHANISTAN (2001-14),GLOBAL,WAR,2001,50000,0.20%,12,144,20569200
1914-1918,1914,1918,WORLD WAR I,GLOBAL,WAR,1914,16280000,1.00%,4,48,1700000000
1939-45,1939,1945,WORLD WAR II,GLOBAL,WAR,1939,66000000,2.90%,6,72,2300000000
