Cause Of Conflict (Long),Comment,Dates,End Year,Link,Notes On Targeted Peoples Figures,NULL Highlight,Parameter - Size Sort by,Parameter - Sort by in dashboard,Selected Conflict,Senseless / Conflict Deaths,Size Of Conflict,Source,Start Year,Summary,Tooltip - year(s) plural/singular,Type Of Conflict,Type Of Conflict2,Wikipedia Link,YEARS OF CONFLICT,Deaths,Deaths As % Of Targeted Peoples,Duration Of Conflict,How Many Years?,Months (For Wars <3 Years),No. Targeted Peoples,Size Of Conflict As Integer
Economic differences between northern & southern states with major differences in their opinions on slavery.,,1861-1865,1865,http://www.nytimes.com/2012/04/03/science/civil-war-toll-up-by-20-percent-in-new-estimate.html?pagewanted=all&_r=0,Population of US c.1861.,,,,False,AMERICAN CIVIL WAR,LARGE COUNTRY,New York Times,1861,"Economic differences & views on the legality of slavery between confederate ""southern"" states and Unionist northern states led to a prolonged and bloody civil war.",years,CIVIL WAR,ideological,http://en.wikipedia.org/wiki/American_Civil_War,1861,750000,2.4%,4,4,48,31429891,4
Economic differences between northern & southern states with major differences in their opinions on slavery.,,1861-1865,1865,http://www.nytimes.com/2012/04/03/science/civil-war-toll-up-by-20-percent-in-new-estimate.html?pagewanted=all&_r=0,Population of US c.1861.,,,,False,AMERICAN CIVIL WAR,LARGE COUNTRY,New York Times,1861,"Economic differences & views on the legality of slavery between confederate ""southern"" states and Unionist northern states led to a prolonged and bloody civil war.",years,CIVIL WAR,ideological,http://en.wikipedia.org/wiki/American_Civil_War,1862,750000,2.4%,4,4,48,31429891,4
Economic differences between northern & southern states with major differences in their opinions on slavery.,,1861-1865,1865,http://www.nytimes.com/2012/04/03/science/civil-war-toll-up-by-20-percent-in-new-estimate.html?pagewanted=all&_r=0,Population of US c.1861.,,,,False,AMERICAN CIVIL WAR,LARGE COUNTRY,New York Times,1861,"Economic differences & views on the legality of slavery between confederate ""southern"" states and Unionist northern states led to a prolonged and bloody civil war.",years,CIVIL WAR,ideological,http://en.wikipedia.org/wiki/American_Civil_War,1863,750000,2.4%,4,4,48,31429891,4
Economic differences between northern & southern states with major differences in their opinions on slavery.,,1861-1865,1865,http://www.nytimes.com/2012/04/03/science/civil-war-toll-up-by-20-percent-in-new-estimate.html?pagewanted=all&_r=0,Population of US c.1861.,,,,False,AMERICAN CIVIL WAR,LARGE COUNTRY,New York Times,1861,"Economic differences & views on the legality of slavery between confederate ""southern"" states and Unionist northern states led to a prolonged and bloody civil war.",years,CIVIL WAR,ideological,http://en.wikipedia.org/wiki/American_Civil_War,1864,750000,2.4%,4,4,48,31429891,4
Economic differences between northern & southern states with major differences in their opinions on slavery.,,1861-1865,1865,http://www.nytimes.com/2012/04/03/science/civil-war-toll-up-by-20-percent-in-new-estimate.html?pagewanted=all&_r=0,Population of US c.1861.,,,,False,AMERICAN CIVIL WAR,LARGE COUNTRY,New York Times,1861,"Economic differences & views on the legality of slavery between confederate ""southern"" states and Unionist northern states led to a prolonged and bloody civil war.",years,CIVIL WAR,ideological,http://en.wikipedia.org/wiki/American_Civil_War,1865,750000,2.4%,4,4,48,31429891,4
Ottoman government's systematic extermination of its minority Armenian subjects from their historic homeland.,,1915-1918,1918,http://www.nytimes.com/ref/timestopics/topics_armeniangenocide.html,Number of Armenians living in the Ottoman Empire c.1915.,,,,False,ARMENIAN GENOCIDE,SMALL COUNTRY,NYT,1915,"Systematic genocide of the Armenian populace of the Ottoman Empire (Turkey) via massacres, forced labour and death marches.",years,GENOCIDE,,http://en.wikipedia.org/wiki/Armenian_Genocide,1915,1500000,75.0%,3,3,36,2000000,2
Ottoman government's systematic extermination of its minority Armenian subjects from their historic homeland.,,1915-1918,1918,http://www.nytimes.com/ref/timestopics/topics_armeniangenocide.html,Number of Armenians living in the Ottoman Empire c.1915.,,,,False,ARMENIAN GENOCIDE,SMALL COUNTRY,NYT,1915,"Systematic genocide of the Armenian populace of the Ottoman Empire (Turkey) via massacres, forced labour and death marches.",years,GENOCIDE,,http://en.wikipedia.org/wiki/Armenian_Genocide,1916,1500000,75.0%,3,3,36,2000000,2
Ottoman government's systematic extermination of its minority Armenian subjects from their historic homeland.,,1915-1918,1918,http://www.nytimes.com/ref/timestopics/topics_armeniangenocide.html,Number of Armenians living in the Ottoman Empire c.1915.,,,,False,ARMENIAN GENOCIDE,SMALL COUNTRY,NYT,1915,"Systematic genocide of the Armenian populace of the Ottoman Empire (Turkey) via massacres, forced labour and death marches.",years,GENOCIDE,,http://en.wikipedia.org/wiki/Armenian_Genocide,1917,1500000,75.0%,3,3,36,2000000,2
Ottoman government's systematic extermination of its minority Armenian subjects from their historic homeland.,,1915-1918,1918,http://www.nytimes.com/ref/timestopics/topics_armeniangenocide.html,Number of Armenians living in the Ottoman Empire c.1915.,,,,False,ARMENIAN GENOCIDE,SMALL COUNTRY,NYT,1915,"Systematic genocide of the Armenian populace of the Ottoman Empire (Turkey) via massacres, forced labour and death marches.",years,GENOCIDE,,http://en.wikipedia.org/wiki/Armenian_Genocide,1918,1500000,75.0%,3,3,36,2000000,2
"Pakistan Army launched a military operation called Operation Searchlight against Bengali civilians, students, intelligentsia and armed personnel, who were demanding that the Pakistani military junta accept the results of the 1970 first democratic elections of Pakistan, which were won by an eastern party, or to allow separation between East and West Pakistan. A guerrilla army retalliated and the Pakistan Army then engaged in the systematic genocide and atrocities of Bengali civilians.",,1971,1971,http://www.hawaii.edu/powerkills/SOD.CHAP8.HTM,"Population of former Dominion of Pakistan, which became Pakistan & Bangladesh following the Liberation War.",,,,False,BANGLADESH LIBERATION WAR,SMALL COUNTRY,hawaii dot edu,1971,"A purge of Bangladeshi forces, religious minorities & dissidents during a separatist uprising in Pakistan.",years,GENOCIDE,,http://en.wikipedia.org/wiki/Bangladesh_Liberation_War,1971,1650000,2.4%,0.17,0,2,69326000,3
