X,Y,osm_id,operatorty,amenity,healthcare,healthca_1,addrfull,capacitype,addrcity,name,source,building
38.7597072,8.9891687,470321671,,clinic,,,,,,Senay Higer Clinic,,
37.26367,10.679809,595140098,,pharmacy,,,,,,Gerado,,
37.26852,10.680216,595141023,,pharmacy,,,,,,Abaye drug store,,
37.46967,12.610404,595144423,,pharmacy,,,,,,Mekegewa,,
37.4701795,12.6117881,595145639,,pharmacy,,,,,,Goha,,
37.4676999,12.6127281,595145673,,pharmacy,,,,,,Rewina Drugstore,,
37.4509954,12.6168703,595145872,,hospital,,,,,,Gonder university hospital,,
37.463688,12.612786,595146077,,pharmacy,,,,,,Meaza pharmacy,,
39.47438,13.4939762,611549869,,pharmacy,,,,,,Ethiopia Pharmacy,,
38.7556102,9.0315317,730829110,,dentist,,,,,,St. Mary Dental Clinic,GPS data,
38.7575924,9.0140113,731000113,,pharmacy,,,,,,Ghion Pharmacy,,
38.7711602,9.0154353,774899819,,pharmacy,,,,,,Kazanchis Pharmacy,,
38.7893533,9.0050983,784693172,,doctors,doctor,,,,,Bole Sub City 17 Health Center,,
38.7468861,8.9380687,800904452,,hospital,,,,,,Selihom Clinic,Photo IMG_3366.JPG,
38.7084096,9.0331881,837433757,,pharmacy,,,,,Addis Ababa,Emanda,,
38.7184466,8.9976877,838787473,,pharmacy,,,,,,Haron Pharmacy,,
38.670895,8.962984,838787491,,pharmacy,,,,,,St. Giberiel Pharmacy,,
38.747036,8.998641,838787506,,pharmacy,,,,,Addis Ababa,Ambercho Pharmacy,,
38.6994334,8.9830498,838787509,,pharmacy,,,,,,Arseima Drug Store,,
38.680115,8.975713,838787514,,pharmacy,,,,,,Karakore Public Pharmacy,,
38.7477102,8.9942045,838787520,,pharmacy,,,,,,El Betel Drug store,,
38.8118532,9.0041562,838832134,,pharmacy,,,,,,Tsega Pharmacy,GPS Data,
38.729573,9.0336474,844577692,,pharmacy,,,,,Addis Ababa,Harar Pharmacy,,
38.7276493,9.0407787,844577700,,pharmacy,,,,,,Zacshalom Pharmacy,,
38.7818391,8.9868496,845055403,,doctors,,,,,,Blue & White Clinic,,
38.7558806,9.0038634,846942797,,doctors,,,,,,Merry Hope Medium Clinic,Transliterated,
38.9653044,8.7514047,846950821,,pharmacy,,,,,,St. Mary,,
38.7498065,8.984639,847291401,,pharmacy,,,,,,Kenema Pharmacy No 5,,
38.7499762,8.9843573,847291408,,pharmacy,,,,,,Helina Pharmacy,,
38.76963,8.897806,849597017,,pharmacy,,,,,,Kenema Pharmacy,,
38.766293,8.993776,866550916,,pharmacy,pharmacy,,,,Addis Ababa,Nile Pharmacy,,
38.757525,9.0141913,873774421,,dentist,,,,,,Ambassador Dental Clinic,,
38.817825,9.0028,912018511,,pharmacy,,,,,,Kaleab Pharmacy,,
38.792694,8.9890199,912018635,,pharmacy,,,,,,Dashen,,
38.7685339,9.0028703,923937672,,pharmacy,,,,,Addis Ababa,Zogdom Pharmacy,,
38.753635,9.032397,923943172,,pharmacy,,,,,,Kenema No 2 ከነማ  መድሃኒት ቤት ቁ.2,,
38.752487,9.038489,923951331,,pharmacy,,,,,,Alium Pharmacy,,
39.5964777,13.9611392,977989610,,,centre,,,,,Dingket Health Centre,,
39.5282829,13.8473189,978207806,,,centre,,,,,Abreha We Atsbeha Health Centre,,
38.7151975,9.0106822,1110429627,,doctors,,,,,,Swedish Clinic,,
38.750023,8.9865988,1110429707,,doctors,,,,,,Panorama Clinic,,
38.7554049,9.0152977,1110691820,,hospital,,,,,Addis Ababa,Ghandi Hospital,,
43.5506434,5.9510599,1136376987,,pharmacy,,,,,,,,
43.5537971,5.9520455,1138798668,,pharmacy,,,,,,,,
38.7796705,8.999501,1152530564,,pharmacy,pharmacy,,,,,Life drug store,,
38.7947732,9.0074156,1175729108,,pharmacy,,,,,,Local Pharmacy,,
36.5117557,9.201491,1298133865,,hospital,,,,,,Health Center,,
38.7572921,9.0143154,1435184422,,pharmacy,,,,,,Kenema Pharmacy,,
38.758448,8.9958233,1435213269,,doctors,,,,,,Marie Stops Clinic,,
38.788968,8.8709052,1435238890,,doctors,,,,,,Akaki Health Center,,
38.7300204,8.9963564,1446849744,,pharmacy,,,,,,Old Airport Pharmacy,,
38.8244584,8.1517982,1592291904,,doctors,,,,,,Beza General Clinic,"GPS,Photo",
38.9840614,8.7487896,1592291967,,pharmacy,,,,,,ERCS Bishoftu Pharmarcy.Magaalaa b-Bishooftuu,GPS,
38.7676284,9.034965,1592292216,,doctors,,,,,,Sunshine Clinic,,
38.668643,8.9407184,1592292265,,doctors,,,,,,Zodiac Higher Clinic,"GPS,Photo",
38.1423715,9.0275352,1592429528,,doctors,,,,,,Abdi Adugna Medium Clinic with Laboratory,,
38.6707066,7.3605217,1592575115,,doctors,,,,,,Awade Clinic,,
38.670615,7.3574765,1592575152,,pharmacy,,,,,,Deme Drug Store,,
38.6704519,7.3537013,1592575153,,doctors,,,,,,Dr. Beny Medical Center,"GPS,Photo",
38.6703386,7.349148,1592575201,,doctors,,,,,,Rohobot Higher Clinic,"GPS,Photo",
38.7593026,9.0007063,1594430096,,doctors,,,,,,Dagem Yilma Higher Clinic,GPS Data,
38.7662672,8.9960852,1594492576,,doctors,,,,,,Arsho Medical Laboratory,GPS Data,
38.7673367,9.0012638,1594492578,,doctors,,,,,,BGM Mothers and Children Clinic,GPS Data,
39.0441523,12.0350592,1639090279,,doctors,,,,,,Lalibela Health,,
38.7387232,9.012842,1674569378,,pharmacy,,,,,,Lucy Pharmacy,,
38.715366,9.023415,1690570786,,doctors,,,,,,Bethesida Higher Clinic,,
38.746525,9.0313885,1727969112,,pharmacy,,,,,,Tekelehaymanot Pharmacy,,
37.6088443,10.8493702,1748678062,,hospital,,,,,,Health Center Feres Bet,,
34.5425929,10.0596845,1829439712,,pharmacy,,,,,,,,
38.7681492,8.8802284,1858934638,,pharmacy,,,,,,Kenuma Drug Store,,
38.7803766,8.9891497,2047703626,,doctors,,,,,,Bole Sub city Adminstration 17/20 clinc,,
38.791916,8.988415,2096525094,,dentist,,,,,,Air Port dental clinic,,
37.2180968,4.7005856,2140613131,,doctors,,,,,,Mamara Health Post,,
