Country killed,Country killed (group),Coverage,Date,Date 1 New,Date1,Date2,Freelance,Impunity for murder,Job,Local Foreign,Medium,Name,Nationality,Number,Organization,Point,Sex,Source fire,Taken captive,Threatened,Tortured,Type,Type (group),Type death,Type death (group),Type death (group) 1,Year,Number of Records,X,Y
Afghanistan,Afghanistan,"Politics, War","july 29, 1994",7/29/1994,"july 29, 1994",,No,Yes,Broadcast,Local,Radio,Mirwais Jalil,Afghanistan,1,BBC World Service,1,Male,Unknown Fire,Yes,Yes,No,Motive Confirmed,Other,Murder,Murder,Murder,1994,1,-3.090169944,-9.510565163
Afghanistan,Afghanistan,Politics,"august  8, 1998",8/8/1998,"august  8, 1998",,No,Yes,Editor,Foreign,Print,Mahmoud Saremi,Iran,2,Iranian News Agency (IRNA),2,Male,Political Group,Yes,No,No,Motive Confirmed,Other,Murder,Murder,Murder,1998,1,7.773190463,-9.498410343
Afghanistan,Afghanistan,War,"september 5, 2001",9/5/2001,"september 5, 2001",,Yes,,Print Reporter,Foreign,Print,Marc Brunereau,France,3,freelance,3,Male,Military Officials,No,No,No,Motive Confirmed,Other,Crossfire/Combat-Related,Crossfire/Combat-Related,Crossfire/Combat-Related,2001,1,14.091306992,-0.990859251
Afghanistan,Afghanistan,War,"november 11, 2001",11/11/2001,"november 11, 2001",,No,,Broadcast,Foreign,Radio,Pierre Billaud,Belgium,4,Radio T̩l̩vision Luxembourg,4,Male,Military Officials,No,No,No,Motive Confirmed,Other,Crossfire/Combat-Related,Crossfire/Combat-Related,Crossfire/Combat-Related,2001,1,12.642991314,9.368294483
Afghanistan,Afghanistan,War,"november 11, 2001",11/11/2001,"november 11, 2001",,Yes,,Print Reporter,Foreign,Print,Volker Handloik,Germany,5,freelance reporter,5,Male,Military Officials,No,No,No,Motive Confirmed,Other,Crossfire/Combat-Related,Crossfire/Combat-Related,Crossfire/Combat-Related,2001,1,5.037593584,16.425388861
Afghanistan,Afghanistan,War,"november 11, 2001",11/11/2001,"november 11, 2001",,No,,Broadcast,Foreign,Radio,Johanne Sutton,France,6,Radio France Internationale,6,Female,Military Officials,No,No,No,Motive Confirmed,Other,Crossfire/Combat-Related,Crossfire/Combat-Related,Crossfire/Combat-Related,2001,1,-5.193030175,17.760275011
Afghanistan,Afghanistan,War,"november 19, 2001",11/19/2001,"november 19, 2001",,No,No,Camera Operator,Foreign,Television,Harry Burton,Australia,7,Reuters Television,7,Male,Paramilitary Group,Yes,No,No,Motive Confirmed,Other,Murder,Murder,Murder,2001,1,-14.493130968,13.391292603
Afghanistan,Afghanistan,War,"november 19, 2001",11/19/2001,"november 19, 2001",,No,No,Photographer,Local,Print,Azizullah Haidari,Afghanistan,8,Reuters,8,Male,Paramilitary Group,Yes,No,No,Motive Confirmed,Other,Murder,Murder,Murder,2001,1,-20.290584026,4.946738521
Afghanistan,Afghanistan,War,"november 19, 2001",11/19/2001,"november 19, 2001",,No,No,Print Reporter,Foreign,Print,Julio Fuentes,Spain,9,El Mundo,9,Male,Paramilitary Group,Yes,No,No,Motive Confirmed,Other,Murder,Murder,Murder,2001,1,-21.345366462,-5.216451179
Afghanistan,Afghanistan,War,"november 19, 2001",11/19/2001,"november 19, 2001",,No,No,Print Reporter,Foreign,Print,Maria Grazia Cutuli,Italy,10,Corriere della Serra,10,Female,Paramilitary Group,Yes,No,No,Motive Confirmed,Other,Murder,Murder,Murder,2001,1,-17.674835018,-14.730231596
Afghanistan,Afghanistan,War,"november 26, 2001",11/26/2001,"november 26, 2001",,No,Yes,Camera Operator,Foreign,Television,Ulf Str̦mberg,Sweden,11,TV4,11,Male,Criminal Group,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,2001,1,-10.251222035,-21.696573791
Afghanistan,Afghanistan,War,"july 22, 2006",7/22/2006,"july 22, 2006",,No,,Camera Operator,Local,Television,Abdul Qodus,Afghanistan,12,Aryana TV,12,Male,Political Group,No,No,No,Motive Confirmed,Other,Dangerous Assignment,Dangerous Assignment,Dangerous Assignment,2006,1,-0.615119571,-24.936340482
Afghanistan,Afghanistan,"Politics, War","october  7, 2006",10/7/2006,"october  7, 2006",,No,Yes,Broadcast,Foreign,Radio,Christian Struwe,Germany,13,freelance,13,Male,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,2006,1,9.499876598,-24.046943024
Afghanistan,Afghanistan,"Politics, War","october  7, 2006",10/7/2006,"october  7, 2006",,Yes,Yes,Broadcast,Foreign,Radio,Karen Fischer,Germany,14,freelance,14,Female,Unknown Fire,No,No,No,Motive Confirmed,Other,Murder,Murder,Murder,2006,1,18.476275687,-19.322952385
Afghanistan,Afghanistan,,"march 15, 2007",3/15/2007,"march 15, 2007",,Unknown,,,Unknown,,Sayed Agha,Unknown,15,freelance,15,,,Unknown,,Unknown,Media Workers,Other,,Unknown,Unknown,2007,1,25.030744782,-11.593410284
Afghanistan,Afghanistan,War,"april  8, 2007",4/8/2007,"april  8, 2007",,Yes,Yes,Print Reporter,Local,Print,Ajmal Naqshbandi,Afghanistan,16,freelance,16,Male,Political Group,Yes,Yes,No,Motive Confirmed,Other,Murder,Murder,Murder,2007,1,28.337408412,-2.022082411
Afghanistan,Afghanistan,"Human Rights, Politics","june  4, 2007",6/4/2007,"june  4, 2007",,No,Yes,,Local,Radio,Zakia Zaki,Afghanistan,17,Sada-i-Sulh,17,Female,Local Residents,No,Yes,No,Motive Confirmed,Other,Murder,Murder,Murder,2007,1,28.066078448,8.093584670
