Actor1,Actor2,Admin1,Admin2,Admin3,Assoc Actor 1,Assoc Actor 2,Country,Event Date,Event Id Cnty,Event ID Irrespective,Event Id No Cnty,Event Type,Latitude,Location,Longitude,Notes,Region,Source,Source Scale,Year,"Annual Fatalities Per 100,000 Population","Events Per 100,000 Population",Fatalities,Geo Precision,Inter1,Inter2,Interaction,Iso,Latitude1,Long Name of Region,Longitude1,Name of Region for Title Sheet,Number of Records,Population,Rounded Latitude to 30min,Rounded Longitude to 30min,Short Name of Region,Time Precision
Unidentified Armed Group (Syria),,Aleppo,A'zaz,Nabul,,,Syria,11/10/2017,,14288,14288,Remote violence,36.5,Zahraa,37,An unidentified armed group shelled Zahraa in Aleppo province. There were no reported fatalities.,Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=76047,Other-Local,2017,0,0.096622844,0,1,3,0,30,760,36.3598,Middle East: Syria: Aleppo: A'zaz: Nabul: Zahraa,37.0122,Middle East: Syria: Aleppo: A'zaz: Nabul: Zahraa,1,819340.4,36.5,37,,1
Unidentified Armed Group (Syria),,Aleppo,A'zaz,Nabul,,,Syria,12/10/2017,,14320,14320,Remote violence,36.5,Zahraa,37,An unidentified armed group shelled Zahraa in Aleppo province. There were no reported fatalities.,Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=76124,Other-Local,2017,0,0.096622844,0,1,3,0,30,760,36.3598,Middle East: Syria: Aleppo: A'zaz: Nabul: Zahraa,37.0122,Middle East: Syria: Aleppo: A'zaz: Nabul: Zahraa,1,819340.4,36.5,37,,1
Unidentified Armed Group (Syria),,Aleppo,A'zaz,Nabul,,,Syria,4/11/2017,,15546,15546,Remote violence,36.5,Bashmra,37,An unidentified group targeted Bashmrah of Afrin in the northwestern countryside of Aleppo with shelling. No losses were reported.,Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=77792,Other-Local,2017,0,0.096622844,0,1,3,0,30,760,36.3101,Middle East: Syria: Aleppo: A'zaz: Nabul: Bashmra,36.9787,Middle East: Syria: Aleppo: A'zaz: Nabul: Bashmra,1,819340.4,36.5,37,,1
Unidentified Armed Group (Syria),,Aleppo,Menbij,Maskana,,,Syria,7/7/2017,,9089,9089,Remote violence,36,Maskana,38,"Unidentified armed group detonated a mine that killed two people in Meskaneh on July 7, 2017.",Middle East,SOHR: SOHR_www.syriahr.com/en/?p=69564,Other-Local,2017,0,0.630275885,0,1,3,0,30,760,35.9696,Middle East: Syria: Aleppo: Menbij: Maskana: Maskana,38.0284,Middle East: Syria: Aleppo: Menbij: Maskana: Maskana,1,125606.9,36,38,,1
Unidentified Armed Group (Syria),,Al-Hasakeh,Al-Malikeyyeh,Jawadiyah,,,Syria,12/6/2017,,7817,7817,Remote violence,37,Salhiyeh,42,An explosion was heard in Al-Hasaka city caused by a sound bomb dropped by unknown person on a car in Al-Salhiya area in Al-Hasaka city which caused material damage to the car. No fatalities were reported.,Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=67967,Other-Local,2017,0,0.198972152,0,1,3,0,30,760,37.0966,Middle East: Syria: Al-Hasakeh: Al-Malikeyyeh: Jawadiyah: Salhiyeh,41.8146,Middle East: Syria: Al-Hasakeh: Al-Malikeyyeh: Jawadiyah: Salhiyeh,1,397879.8,37,42,,1
Unidentified Armed Group (Palestine),,HaDarom,Beer Sheva,,,,Israel,11/12/2017,,290,290,Remote violence,31,Naveh,34.5,A rocket fired from the Gaza Strip exploded in the Eshkol Regional Council near the Israel-Gaza border Monday evening. No casualties were reported.,Middle East,Anadolu Agency (AA); Arutz Sheva,Regional,2017,0,0.187140588,0,1,3,0,30,376,31.1618,Middle East: Israel: HaDarom: Beer Sheva: Naveh,34.3308,Middle East: Israel: HaDarom: Beer Sheva: Naveh,1,423034.9,31,34.5,,1
Unidentified Armed Group (Israel),,HaZafon,Akko,,,,Israel,3/6/2017,,156,156,Remote violence,33,Deir al Assad,35.5,A handmade explosive device blew up under a vehicle belonging to a Palestinian citizen ofIsraelin the village of Deir al-Assad in the Galilee of northernIsraelon Saturday.,Middle East,Ma'an News Agency,Subnational,2017,0,0.190802476,0,1,3,0,30,376,32.936,Middle East: Israel: HaZafon: Akko: Deir al Assad,35.27,Middle East: Israel: HaZafon: Akko: Deir al Assad,1,414916,33,35.5,,1
Unidentified Armed Group (Lebanon),,South,Saida,,,,Lebanon,10/6/2017,,183,183,Remote violence,33.5,Ein el Hilweh,35.5,Unidentified assailants set off an explosive device in Ain al-Hilweh near to where the joint Palestinian security force were stationed on Saturday.,Middle East,Ma'an News Agency,Subnational,2017,0,0.029789871,0,1,3,0,30,422,33.5408,Middle East: Lebanon: South: Saida: Ein el Hilweh,35.3767,Middle East: Lebanon: South: Saida: Ein el Hilweh,1,2657514,33.5,35.5,,1
Unidentified Armed Group (Saudi Arabia),Police Forces of Saudi Arabia (2015-),Ash Sharqiyah,Al Qatif,,,,Saudi Arabia,4/7/2017,,575,575,Remote violence,26.5,Al Awamiyah,50,One Saudi Arabian policeman was killed and three others wounded Tuesday in a bomb attack that took place in the al-Masora neighborhood in Qatif region. The policemen were on patrol in the early morning in the Qatif area in Saudi Arabia's Eastern Province when the device blew up.,Middle East,Xinhua,International,2017,1.36899744,1.36899744,1,1,3,1,13,682,26.5936,Middle East: Saudi Arabia: Ash Sharqiyah: Al Qatif: Al Awamiyah,49.9875,Middle East: Saudi Arabia: Ash Sharqiyah: Al Qatif: Al Awamiyah,1,57828.45,26.5,50,,1
Unidentified Armed Group (Saudi Arabia),Police Forces of Saudi Arabia (2015-),Ash Sharqiyah,Al Qatif,,,,Saudi Arabia,8/7/2017,,586,586,Remote violence,26.5,Al Nassirah,50,"On Saturday, two police officers were wounded by an explosive shell when passing by a building under construction at Al-Naserah District in Qatif governorate. The injured were transferred to a hospital to recieve treatment for their wounds.",Middle East,Agence France Presse; Kuwait News Agency (KUNA),International-National,2017,0,1.36899744,0,1,3,1,13,682,26.5761,Middle East: Saudi Arabia: Ash Sharqiyah: Al Qatif: Al Nassirah,50.0121,Middle East: Saudi Arabia: Ash Sharqiyah: Al Qatif: Al Nassirah,1,57828.45,26.5,50,,1
Unidentified Armed Group (Iraq),Police Forces of Iraq (2014-),Ninewa,Mosul,,,,Iraq,2/10/2017,,4011,4011,Remote violence,36.5,Mosul - Al-Rabee,43,"A police was killed and another wounded by the detonation of an IED that targeted their patrol in the area of Suq al-Maash, al-Rabee district in west Mosul.",Middle East,National Iraqi News Agency,National,2017,0.13489341,0.13489341,1,1,3,1,13,368,36.3513,Middle East: Iraq: Ninewa: Mosul: Mosul - Al-Rabee,43.0928,Middle East: Iraq: Ninewa: Mosul: Mosul - Al-Rabee,1,586885.6,36.5,43,,1
Unidentified Armed Group (Saudi Arabia),Police Forces of Saudi Arabia (2015-),Ash Sharqiyah,Al Qatif,,,,Saudi Arabia,11/6/2017,,523,523,Remote violence,26.5,Al Awamiyah,50,One Saudi patrol was targeted in a bomb blast that killed an officer and injured two policemen in Qatif region in the Eastern Province. The attack took place at 11:30 p.m. local time (2030 GMT) on Sunday while the patrol was deployed in al-Masora neighbourhood of Awamiyah town.,Middle East,Saudi Press Agency,National,2017,1.36899744,1.36899744,1,1,3,1,13,682,26.5936,Middle East: Saudi Arabia: Ash Sharqiyah: Al Qatif: Al Awamiyah,49.9875,Middle East: Saudi Arabia: Ash Sharqiyah: Al Qatif: Al Awamiyah,1,57828.45,26.5,50,,1
Unidentified Armed Group (Syria),Military Forces of Syria (2000-),Rural Damascus,Duma,Harasta,,,Syria,9/8/2017,,10533,10533,Remote violence,33.5,Dahiet Elasad,36.5,"Shells fell on areas on areas in the outskirts of the Dahiet Alasad neighborhood of Damascus, which is under regime control. No fatalities reported.",Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=71666,Other-Local,2017,0,0.239902181,0,1,3,1,13,760,33.5811,Middle East: Syria: Rural Damascus: Duma: Harasta: Dahiet Elasad,36.3581,Middle East: Syria: Rural Damascus: Duma: Harasta: Dahiet Elasad,1,329997,33.5,36.5,,1
Unidentified Armed Group (Syria),Military Forces of Syria (2000-),Rural Damascus,Duma,Harasta,,,Syria,11/8/2017,,10658,10658,Remote violence,33.5,Harasta,36.5,"Several mortar shells hit areas in the vicinity of the regime-held Military Hospital of Harasta, causing material damage. No fatalities reported.",Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=71724,Other-Local,2017,0,0.239902181,0,1,3,1,13,760,33.5643,Middle East: Syria: Rural Damascus: Duma: Harasta: Harasta,36.3712,Middle East: Syria: Rural Damascus: Duma: Harasta: Harasta,1,329997,33.5,36.5,,1
Islamist Militia (Syria),Military Forces of Syria (2000-),Hama,Muhradah,Muhradah,Opposition Rebels (Syria),,Syria,8/1/2017,,276,276,Remote violence,35,Muhradah,36.5,"Islamic factions shelled areas of Muhradah, which is controlled by regime forces and largely inhabited by Christians.",Middle East,SOHR; SHAM: SOHR_http://www.syriahr.com/en/?p=58675; SHAM_http://www.shaam.org/reports/battleground-reports/%D8%AD%D8%B5%D8%A7%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D8%AF%D8%A7%D8%AB-%D8%A7%D9%84%D9%85%D9%8A%D8%AF%D8%A7%D9%86%D9%8A%D8%A9-%D9%84%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D8%A3%D8%AD%D8%AF-08-01-2017.html,Other-Local,2017,0,0.092026251,0,1,3,1,13,760,35.2466,Middle East: Syria: Hama: Muhradah: Muhradah: Muhradah,36.5745,Middle East: Syria: Hama: Muhradah: Muhradah: Muhradah,1,860265.4,35,36.5,,1
Unidentified Armed Group (Syria),Military Forces of Syria (2000-),Homs,Ar-Rastan,Talbiseh,,,Syria,4/4/2017,,5105,5105,Remote violence,35,Al-Kam,36.5,"Armed groups targeted the regime positions in the town of Al-Kam, no reported injuries.",Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=64122,Other-Local,2017,0,0.092026251,0,1,3,1,13,760,34.8139,Middle East: Syria: Homs: Ar-Rastan: Talbiseh: Al-Kam,36.7161,Middle East: Syria: Homs: Ar-Rastan: Talbiseh: Al-Kam,1,860265.4,35,36.5,,1
Islamist Militia (Syria),Military Forces of Syria (2000-) Syrian Arab Air Force,Hama,Hama,Hama,,,Syria,7/4/2017,,5278,5278,Remote violence,35,Hama - Airbase,36.5,Islamist factions launched GRAD missiles on regime-held Hama airbase in the western countryside of Hama city. No reported casualties.,Middle East,SOHR; SHAM: SOHR_http://www.syriahr.com/en/?p=64366; SHAM_http://www.shaam.org/reports/battleground-reports/%D8%AD%D8%B5%D8%A7%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D8%AF%D8%A7%D8%AB-%D8%A7%D9%84%D9%85%D9%8A%D8%AF%D8%A7%D9%86%D9%8A%D8%A9-%D9%84%D9%8A%D9%88%D9%85-%D8%A7%D9%84%D8%AC%D9%85%D8%B9%D8%A9-007-04-2017.html,Other-Local,2017,0,0.092026251,0,1,3,1,13,760,35.12,Middle East: Syria: Hama: Hama: Hama: Hama - Airbase,36.715,Middle East: Syria: Hama: Hama: Hama: Hama - Airbase,1,860265.4,35,36.5,,1
Unidentified Armed Group (Syria),Military Forces of Syria (2000-),Hama,Masyaf,Oj,,,Syria,2/8/2017,,10196,10196,Remote violence,35,Qarmas,36.5,Shelling on the village of Qarmas led to the injury of 2 people. The village is under regime control.,Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=71037,Other-Local,2017,0,0.092026251,0,1,3,1,13,760,34.9096,,36.4529,Middle East: Syria: Hama: Masyaf: Oj: Qarmas,1,860265.4,35,36.5,Middle East: Syria: Hama: Masyaf: Oj: Qarmas,1
Unidentified Armed Group (Syria),Military Forces of Syria (2000-),Homs,Homs,Taldu,,,Syria,10/8/2017,,10626,10626,Remote violence,35,Krad Dasniyeh,36.5,"Shells fell on areas of the village of Krad Dasniyeh, which is under regime control. No fatalities reported.",Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=71668,Other-Local,2017,0,0.092026251,0,1,3,1,13,760,34.8359,Middle East: Syria: Homs: Homs: Taldu: Krad Dasniyeh,36.6207,Middle East: Syria: Homs: Homs: Taldu: Krad Dasniyeh,1,860265.4,35,36.5,,1
Unidentified Armed Group (Syria),Military Forces of Syria (2000-),Hama,As-Suqaylabiyah,As-Suqaylabiyah,,,Syria,4/4/2017,,5108,5108,Remote violence,35.5,Ammurin,36.5,"Armed groups targeted the regime controlled towns of Muhradah, Tal Salhab, Tal Sekkin, Jorin, As-Suqaylabiyah and Hurat Ammurin. 3 Fatalities are reported in the ranks of a pro government militia. Fatalities are coded in the first 3 locations respectively.",Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=64122,Other-Local,2017,0,0.103021613,0,1,3,1,13,760,35.3222,Middle East: Syria: Hama: As-Suqaylabiyah: As-Suqaylabiyah: Ammurin,36.381,Middle East: Syria: Hama: As-Suqaylabiyah: As-Suqaylabiyah: Ammurin,1,768450.4,35.5,36.5,,1
Islamist Militia (Syria),Military Forces of Syria (2000-),Aleppo,Jebel Saman,Jebel Saman,Opposition Rebels (Syria),,Syria,8/1/2017,,209,209,Remote violence,36,Aleppo - International Airport,37,Rebel and Islamic factions targeted the regime-held Neirab Airbase section of the Aleppo International Airport with missiles.,Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=58656,Other-Local,2017,0,0.025988662,0,1,3,1,13,760,36.1811,Middle East: Syria: Aleppo: Jebel Saman: Jebel Saman: Aleppo - International Airport,37.2183,Middle East: Syria: Aleppo: Jebel Saman: Jebel Saman: Aleppo - International Airport,1,3046213,36,37,,1
Islamist Militia (Syria),Military Forces of Syria (2000-),Idleb,Idleb,Bennsh,,Civilians (Syria),Syria,12/1/2017,,530,530,Remote violence,36,Foah,36.5,"Islamic factions shelled areas in the town of Foah, which is inhabited by Shiite citizens in the northeast of Idlib city. 8 people were injured, and one soldier from the Syrian regime forces died.",Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=58865; http://www.syriahr.com/en/?p=58880,Other-Local,2017,0.1443846,0.1443846,1,1,3,1,13,760,35.982,Middle East: Syria: Idleb: Idleb: Bennsh: Foah,36.7036,Middle East: Syria: Idleb: Idleb: Bennsh: Foah,1,548306.4,36,36.5,,1
Unidentified Armed Group (Syria),Military Forces of Syria (2000-),Damascus,Damascus,Damascus,,Militia (Pro-Government); Civilians (Syria),Syria,4/12/2017,,17039,17039,Remote violence,33.5,Damascus - Sarouja,36.5,"Shells fell on the Al-Abasiyyin area of the Sarouja district of Damascus city, killing at least 2 people who were either pro-regime gunmen or member of the regime forces and injuring 8 other people.",Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=80045; http://www.syriahr.com/en/?p=79921; http://www.syriahr.com/en/?p=79932,Other-Local,2017,0.479804362,0.239902181,2,1,3,1,13,760,33.5216,Middle East: Syria: Damascus: Damascus: Damascus: Damascus - Sarouja,36.3089,Middle East: Syria: Damascus: Damascus: Damascus: Damascus - Sarouja,1,329997,33.5,36.5,,1
Unidentified Armed Group (Syria),Military Forces of Syria (2000-),Homs,Homs,Homs,,Civilians (Syria),Syria,9/2/2017,,2451,2451,Remote violence,34.5,Homs - Al-Zahra,36.5,"An IED from an unidentified group exploded in Al-Zahraa in Homs, killing three people, including two regime soldiers.",Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=60606,Other-Local,2017,0.178342213,0.059447404,3,1,3,1,13,760,34.73,Middle East: Syria: Homs: Homs: Homs: Homs - Al-Zahra,36.7391,Middle East: Syria: Homs: Homs: Homs: Homs - Al-Zahra,1,1331715,34.5,36.5,,1
Unidentified Armed Group (Syria),Military Forces of Syria (2000-),Aleppo,Menbij,Maskana,,,Syria,1/7/2017,,8761,8761,Remote violence,36,Maskana,38,"A Brigadier in the Syrian regime forces, and a retired General along with his driver were killed in an IED explosion in their car in the countryside of Maskanah town located in eastern countryside of Aleppo. The Brigadier had led an operation against IS in Kweires area in the eastern countryside of Aleppo.",Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=69241,Other-Local,2017,1.890827654,0.630275885,3,1,3,1,13,760,35.9696,Middle East: Syria: Aleppo: Menbij: Maskana: Maskana,38.0284,Middle East: Syria: Aleppo: Menbij: Maskana: Maskana,1,125606.9,36,38,,1
Unidentified Armed Group (Syria),Military Forces of Syria (2000-),Damascus,Damascus,Damascus,,,Syria,12/1/2017,,23232,23232,Remote violence,33.5,Damascus - Kafr Sousah,36.5,A car bomb was detonated in Syrian army officers club in Kafr Sousah neighborhood in Damascus city which led to kill 5 officers and injure several others.,Middle East,LiveUMap: LiveUMap_https://syria.liveuamap.com/en/2017/12-january-suicide-bomber-strikes-syrian-army-officers-club,Other-Local,2017,1.199510905,0.239902181,5,1,3,1,13,760,33.4899,Middle East: Syria: Damascus: Damascus: Damascus: Damascus - Kafr Sousah,36.2682,Middle East: Syria: Damascus: Damascus: Damascus: Damascus - Kafr Sousah,1,329997,33.5,36.5,,1
Unidentified Armed Group (Syria),Police Forces of Syria (2000-),Damascus,Damascus,Damascus,,Militia (Pro-Government); Civilians (Syria),Syria,2/10/2017,,13848,13848,Remote violence,33.5,Al-Midan,36.5,"3 Explosions hit Al-Midan neighborhood. 1 was caused by a car bomb exploding near the police station in the neighborhood, while the other 2 explosion were 2 armed militants who exploded their explosive vests. As a result, 16 people were killed, including at least 13 members of the Syrian police forces and their allied militiamen, and 2 civilians in addition to other 2 employers working for the police forces. Fatalities split over a battle and remote violence.",Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=75458,Other-Local,2017,1.919217447,0.239902181,8,1,3,1,13,760,33.4921,Middle East: Syria: Damascus: Damascus: Damascus: Al-Midan,36.298,Middle East: Syria: Damascus: Damascus: Damascus: Al-Midan,1,329997,33.5,36.5,,1
Islamist Militia (Syria),Military Forces of Syria (2000-),Hama,Muhradah,Muhradah,,Militia (Pro-Government),Syria,10/8/2017,,10601,10601,Remote violence,35,Batish,36.5,"Islamic factions targeted regime position in Batish, in the northern Hama countryside. Casualties were reported in the ranks of regime and militia fighters. fatalities are assumed. Unknown fatalities coded as 10.",Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=71635,Other-Local,2017,0.920262514,0.092026251,10,1,3,1,13,760,35.2314,Middle East: Syria: Hama: Muhradah: Muhradah: Batish,36.6271,Middle East: Syria: Hama: Muhradah: Muhradah: Batish,1,860265.4,35,36.5,,1
Islamist Militia (Syria),Military Forces of Syria (2000-),Hama,Muhradah,Muhradah,,Militia (Pro-Government),Syria,10/8/2017,,10609,10609,Remote violence,35.5,Halfaya,36.5,"Islamic factions targeted regime position in Halfaya, in the northern Hama countryside. Casualties were reported in the ranks of regime and militia fighters. fatalities are assumed. Unknown fatalities coded as 10.",Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=71635,Other-Local,2017,1.030216134,0.103021613,10,1,3,1,13,760,35.2585,Middle East: Syria: Hama: Muhradah: Muhradah: Halfaya,36.609,Middle East: Syria: Hama: Muhradah: Muhradah: Halfaya,1,768450.4,35.5,36.5,,1
Unidentified Armed Group (Syria),Military Forces of Syria (2000-),Aleppo,Jebel Saman,Jebel Saman,,,Syria,7/8/2017,,10414,10414,Remote violence,36,Aleppo - Al-Sabeel,37,"An explosion hit Syrian army barracks ""Tariq Ibn Ziyad"" in Al-Sabeel neighborhood in Aleppo city the explosion, eading to the to the killing ofing of several militants. Unknown fatalities coded as 10.",Middle East,SOHR: SOHR_http://www.syriahr.com/2017/08/07/%d8%aa%d9%81%d8%ac%d9%8a%d8%b1-%d9%8a%d8%aa%d9%84%d9%82%d9%8a-%d9%81%d8%ac%d8%a3%d8%a9-%d8%ab%d9%83%d9%86%d8%a9-%d9%84%d9%84%d9%86%d8%b8%d8%a7%d9%85-%d8%a7%d9%84%d8%b3%d9%88%d8%b1%d9%89-%d9%81%d9%8a/,Other-Local,2017,0.25988662,0.025988662,10,1,3,1,13,760,36.2191,Middle East: Syria: Aleppo: Jebel Saman: Jebel Saman: Aleppo - Al-Sabeel,37.1328,Middle East: Syria: Aleppo: Jebel Saman: Jebel Saman: Aleppo - Al-Sabeel,1,3046213,36,37,,1
Islamist Militia (Syria),Military Forces of Syria (2000-),Aleppo,A'zaz,Nabul,,,Syria,1/7/2017,,8771,8771,Remote violence,36.5,Retyan,37,Islamic factions targeted one of the regime' bulldozers with a guided missile in the vicinity of Ratyan town in the northern countryside of Aleppo which caused its damage. Casualties were reported in the ranks of the Syrian regime forces and their allied militiamen. fatalities are assumed. Unknown fatalities coded as 10.,Middle East,SOHR: SOHR_http://www.syriahr.com/en/?p=69206,Other-Local,2017,0.966228444,0.096622844,10,1,3,1,13,760,36.3472,Middle East: Syria: Aleppo: A'zaz: Nabul: Retyan,37.0935,Middle East: Syria: Aleppo: A'zaz: Nabul: Retyan,1,819340.4,36.5,37,,1
