female_id,male_id,cycle_id,consort,conceptive,female_hybridscore,male_hybridscore,female_gendiv,male_gendiv,gen_distance,female_age,male_rank,female_rank,males_present,females_present,male_rank_transform,gen_distance_transform,rank_interact,assort_index,female_age_transform
ABB,LUI,5068,1,0,0.307333333,0.465666667,0.7857,0.9286,0.0335,7.156741958,3,2,6,9,0.100575136,0.99887775,6,0.370114889,-0.238929493
ABB,IAG,5068,0,0,0.307333333,0.213333333,0.7857,0.7143,-0.0581,7.156741958,6,2,6,9,0.017162128,0.99662439,12,0.544897778,-0.238929493
ABB,LAX,5068,0,0,0.307333333,0.291333333,0.7857,1,-0.2084,7.156741958,1,2,6,9,0.326916593,0.95656944,2,0.490869778,-0.238929493
ABB,LEB,5068,0,0,0.307333333,0.476666667,0.7857,0.7857,0.1218,7.156741958,2,2,6,9,0.181327551,0.98516476,4,0.362495555,-0.238929493
ABB,NAW,5068,0,0,0.307333333,0.367333333,0.7857,0.8571,0.1836,7.156741958,5,2,6,9,0.030941709,0.96629104,10,0.438227112,-0.238929493
ABB,ZIB,5068,0,0,0.307333333,0.635,0.7857,0.7692,0.0716,7.156741958,4,2,6,9,0.055785003,0.99487344,8,0.252823333,-0.238929493
ABB,LUI,5073,1,0,0.307333333,0.465666667,0.7857,0.9286,0.0335,7.252566735,4,2,7,9,0.066666305,0.99887775,8,0.370114889,-0.232284978
ABB,FIG,5073,0,0,0.307333333,0.386666667,0.7857,1,0.2762,7.252566735,1,2,7,9,0.305484685,0.92371356,2,0.424835556,-0.232284978
ABB,IAG,5073,0,0,0.307333333,0.213333333,0.7857,0.7143,-0.0581,7.252566735,7,2,7,9,0.014548671,0.99662439,14,0.544897778,-0.232284978
ABB,LAX,5073,0,0,0.307333333,0.291333333,0.7857,1,-0.2084,7.252566735,2,2,7,9,0.183919773,0.95656944,4,0.490869778,-0.232284978
ABB,LEB,5073,0,0,0.307333333,0.476666667,0.7857,0.7857,0.1218,7.252566735,3,2,7,9,0.110730536,0.98516476,6,0.362495555,-0.232284978
ABB,NAW,5073,0,0,0.307333333,0.367333333,0.7857,0.8571,0.1836,7.252566735,5,2,7,9,0.040137042,0.96629104,10,0.438227112,-0.232284978
ABB,ZIB,5073,0,0,0.307333333,0.635,0.7857,0.7692,0.0716,7.252566735,6,2,7,9,0.024164863,0.99487344,12,0.252823333,-0.232284978
ABB,LUI,5078,1,0,0.307333333,0.465666667,0.7857,0.9286,0.0335,7.353867214,4,2,7,9,0.066666305,0.99887775,8,0.370114889,-0.225362658
ABB,IAG,5078,0,0,0.307333333,0.213333333,0.7857,0.7143,-0.0581,7.353867214,8,2,7,9,0.008759157,0.99662439,16,0.544897778,-0.225362658
ABB,LAX,5078,0,0,0.307333333,0.291333333,0.7857,1,-0.2084,7.353867214,2,2,7,9,0.183919773,0.95656944,4,0.490869778,-0.225362658
ABB,LEB,5078,0,0,0.307333333,0.476666667,0.7857,0.7857,0.1218,7.353867214,3,2,7,9,0.110730536,0.98516476,6,0.362495555,-0.225362658
ABB,LOB,5078,0,0,0.307333333,0.652333333,0.7857,0.9231,0.1101,7.353867214,7,2,7,9,0.014548671,0.98787799,14,0.240817111,-0.225362658
ABB,NAW,5078,0,0,0.307333333,0.367333333,0.7857,0.8571,0.1836,7.353867214,5,2,7,9,0.040137042,0.96629104,10,0.438227112,-0.225362658
ABB,ZIB,5078,0,0,0.307333333,0.635,0.7857,0.7692,0.0716,7.353867214,6,2,7,9,0.024164863,0.99487344,12,0.252823333,-0.225362658
ABB,ZIB,5083,1,0,0.307333333,0.635,0.7857,0.7692,0.0716,7.441478439,6,2,7,9,0.024164863,0.99487344,12,0.252823333,-0.21946023
ABB,IAG,5083,0,0,0.307333333,0.213333333,0.7857,0.7143,-0.0581,7.441478439,7,2,7,9,0.014548671,0.99662439,14,0.544897778,-0.21946023
ABB,LAX,5083,0,0,0.307333333,0.291333333,0.7857,1,-0.2084,7.441478439,2,2,7,9,0.183919773,0.95656944,4,0.490869778,-0.21946023
ABB,LEB,5083,0,0,0.307333333,0.476666667,0.7857,0.7857,0.1218,7.441478439,1,2,7,9,0.305484685,0.98516476,2,0.362495555,-0.21946023
ABB,LOB,5083,0,0,0.307333333,0.652333333,0.7857,0.9231,0.1101,7.441478439,4,2,7,9,0.066666305,0.98787799,8,0.240817111,-0.21946023
ABB,LUI,5083,0,0,0.307333333,0.465666667,0.7857,0.9286,0.0335,7.441478439,3,2,7,9,0.110730536,0.99887775,6,0.370114889,-0.21946023
ABB,NAW,5083,0,0,0.307333333,0.367333333,0.7857,0.8571,0.1836,7.441478439,5,2,7,9,0.040137042,0.96629104,10,0.438227112,-0.21946023
ABB,ZIB,5087,1,0,0.307333333,0.635,0.7857,0.7692,0.0716,7.534565366,5,2,6,9,0.030941709,0.99487344,10,0.252823333,-0.213274719
ABB,IAG,5087,0,0,0.307333333,0.213333333,0.7857,0.7143,-0.0581,7.534565366,7,2,6,9,0.009519145,0.99662439,14,0.544897778,-0.213274719
ABB,LAX,5087,0,0,0.307333333,0.291333333,0.7857,1,-0.2084,7.534565366,2,2,6,9,0.181327551,0.95656944,4,0.490869778,-0.213274719
ABB,LEB,5087,0,0,0.307333333,0.476666667,0.7857,0.7857,0.1218,7.534565366,1,2,6,9,0.326916593,0.98516476,2,0.362495555,-0.213274719
