Country,Expectation (% of salary),Actual (% of salary),Difference
 Poland,103,56,-47
 Japan,81,37,-44
 Indonesia,105,65,-40
 Chile*,93,57,-36
 Hong Kong,80,44,-36
 Russia*,66,32,-34
 Singapore,67,42,-25
 South Korea,67,45,-22
 South Africa,80,59,-21
 Belgium,75,54,-21
 Australia,71,52,-20
 Sweden,83,66,-17
 France,78,61,-17
 U.S.,74,58,-16
 Brazil,88,74,-14
 Switzerland,68,55,-13
 U.K.,66,53,-13
 China*,80,67,-13
 Canada,71,61,-10
 Denmark,74,68,-6
 Italy,80,74,-6
 Netherlands,75,69,-6
 Spain,73,68,-5
 Germany,67,65,-2
 Thailand*,66,64,-1
 Austria,64,67,3
 India,71,96,25
 Portugal,46,72,26
 Taiwan*,68,117,49
