reference,dateofocc,subreg,hostility_,victim_d,descriptio,hostilityt,hostilit_D,victim_l,victim_l_D,navarea,x,y
1990-9,1990/06/03,"26",CUBAN GUNBOAT,BELESBAT QUEEN,A CUBAN GUNBOAT COMMANDEERED LUXURY YACHT BELESBAT QUEEN (145 FEET)    14 MILES NORTH OF CUBA ON 13 JUNE 1990.  THE CUBAN GUNBOAT             FIRED SHOTS ACROSS THE YACHT'S BOW SEVERAL TIMES.  CUBAN               AUTHORITIES HELD THE YACHT THE MASTER AND,"2",Naval Engagement,"11",Vessel,IV,-75.1333333000,21.9333333004
1990-10,1990/03/20,"71",PIRATES,RO/RO SEA DRAGON,"20 MARCH 1990. BORNEO.                                                                                                                        PIRATES HELD THE MASTER OF THE SEA DRAGON BEFORE ROBBING               HIM OF US$ 7,000 AND VALUABLES.  THE INCI","1",Pirate Assault,"3",Cargo Ship,XI,108.0000000002,3.0000000004
1990-11,1990/03/20,"61",PIRATES,RO/RO SUNRISE,20 MARCH 1990. SINGAPORE.                                                                                                                     FOUR MEN WITH KNIVES BOARDED THE SUNRISE ON 20 MARCH 1990 NEAR         HORSBURGH LIGHTHOUSE.  THE PIRATES TIED U,"1",Pirate Assault,"3",Cargo Ship,VIII,89.9999999997,-0.9999999997
1989-16,1989/01/01,"62",PEOPLES DEMOCRATIC REPUBLIC OF YEMEN,U.S. MARINERS,"RED SEA, YEMEN                                                                                                                                1. MARINERS ARE ADVISED THAT CAUTION SHOULD BE OBSERVED IN ENTERING       THE TWELVE NAUTICAL MILE TERRITORIAL S","2",Naval Engagement,"13",Other,IX,41.9999999999,13.9999999999
1989-17,1989/09/23,"63",PIRATES,LASH STONEWALL JACKSON,"Indian ocean                                                                                                                                  On Sept. 24th 1989 0200hrs. (local time) while approaching the pilot   Station at madras, India, the vessel Ston","1",Pirate Assault,"11",Vessel,VIII,80.3000000003,13.0999999996
1989-18,1989/12/14,"24",PIRATES,CHEMICAL CARRIER:STOLT EAGLE,"ARATU, BRAZIL  14 DECEMBER 1989                                                                                                               While at anchor in the harbor of Aratu, Brazil, the STOLT EAGLE        was boarded by (6) six pirates. The pirat","1",Pirate Assault,"11",Vessel,V,-38.4833340002,-12.7833340004
1989-19,1989/12/05,"62",MOGADISHU REBELS,ALL SHIPPING,"The Somali National Movement (SNM) warns all shipping agencies     not to cooperate with the dying regime of Mogadishu,because they       are not able to ensure the safety of ships and their crews against     any dangers that they may be exposed to.","6",Other,"13",Other,IX,45.0000000000,10.5000000002
1989-20,1989/12/20,"26",PIRATE,CONTAINER SHIP,"PANAMA CANAL. 20 DECEMBER 1989.                                                                                                               THE MOTOR CONTAINER SHIP ASIAN SENATOR, LIBERIAN REGISTRY,             O.N. 8561, WAS BOARDED AND TAKEN OVER BY","1",Pirate Assault,"3",Cargo Ship,IV,-80.0000000004,9.9999999998
1990-1,1989/06/27,"22",PIRATES,S/S MALLORY LYKES,"Guayaquil Equador.                                                                                                                            At 270015z Dec 1989 during undocking at Guayaquil, the channel         Pilot noted pirates alongside starboard s","1",Pirate Assault,"11",Vessel,XII,-80.9999999996,-2.9999999998
1989-6,1989/07/01,"92",PIRATES,M/V ISLA LUZON,PHILLIPINES.                                                           THE M/V ISLA LUZON WAS SEIZED BY 18 GUNMEN OFF OF THE SOUTHERN PORT    CITY OF ILIGAN. THREE CREWMEN WERE TAKEN HOSTAGE AND 27 WERE SET       ADRIFT ON A RUBBER RAFT  THE ISLA LUZON W,"1",Pirate Assault,"5",Merchant Vessel,XI,124.2333333002,8.2333333000
1997-82,1997/10/22,"24",PIRATES,CONTAINERSHIP ZIM MONTEVIDEO,"BRAZIL:                                                                                                                                       The 15,922-ton Antigua flagged containership (Zim Montevideo) was      robbed while docked in Guanabara Bay, Rio","1",Pirate Assault,"3",Cargo Ship,V,-44.1333332999,-22.8999999998
1997-83,1997/10/17,"91",PIRATES,CONTAINERSHIP YI HE,"PHILIPPINES                                                                                                                                        The 21,609 ton Chinese flag containership Yi He was boarded       in Manilla Bay 17 Oct 97 by four armed me","1",Pirate Assault,"3",Cargo Ship,XI,120.9166640002,14.4833340001
1997-84,1997/09/30,"93",PIRATES,CARGO SHIP TRONO,"THAILAND                                                                    The 10,967 ton Panamanian flag cargo ship Trono was attacked      by pirates during the night of 30 Sep 97 near Map-Ta-Phut, Thailand.   Stores and money were stolen but no injur","1",Pirate Assault,"3",Cargo Ship,XI,101.0000000000,12.2833333000
1997-85,1997/11/04,"71",PIRATES,TANKER NORTHSEAS BELLOWS,"STRAITS OF MALACCA                                                                                                                                 The 43,398 ton Danish flag tanker Northsea Bellows was attacked   in the Singapore straits area of the Stra","1",Pirate Assault,"9",Tanker,XI,103.4999999996,1.1500000000
1997-86,1997/10/26,"93",PIRATES,TANKER ORIENTAL CITY,THAILAND                                                                                                                                           The 192 ton Honduran flag tanker Oriental City was seized by      pirates in International waters in the Gu,"1",Pirate Assault,"9",Tanker,XI,101.1666667004,7.2499999999
1997-78,1997/08/09,"63",PIRATES,NORMAR SPLENDOUR,"INDIA - ROADS OF KANDLA                                                                                                                       The 4,159 gross ton Liberian-flagged tanker (Normar Splendour) was     boarded by pirates at 0100 local time whi","1",Pirate Assault,"11",Vessel,VIII,70.2249999998,23.0361111000
1997-87,1997/11/08,"62",PIRATES,YACHT POLOFLAT,RED SEA: ERITRREA-ZUBAYR ISLANDS                                                                                                                   The Australian-flag yacht Poloflat had been attacked by pirates   while on the Red Sea close to the Zubayr,"1",Pirate Assault,"8",Sailing Vessel,IX,41.9999999999,13.9999999999
1997-70,1997/08/16,"53",ASSAILANTS,MERCHANT VESSEL,"Mediterranean Sea                                                                                                                             Malta: The Bunkering vessel (Seagull) (NFI) was boarded in port at     Hay Wharf, Marsamxett, Malta at 1230 16Au","1",Pirate Assault,"5",Merchant Vessel,III,14.5500000002,35.8166659996
1997-71,1997/08/15,"22",ASSAILANTS,MERCHANT VESSEL,"Ecuador                                                                                                                                       The 17,367 gross ton Bahamian flagged general cargo ship (Illapel)     was boarded by two armed robbers while it","1",Pirate Assault,"5",Merchant Vessel,XII,-79.8833310003,-2.2000000001
1997-72,1997/08/20,"93",ASSAILANTS,MERCHANT VESSEL,"Thailand                                                                                                                                      The 11,356 gross ton Maltese flag bulk carrier (Aro) was boarded by    approximatetly five to eight persons whil","1",Pirate Assault,"5",Merchant Vessel,XI,114.0949999999,22.3049999996
1997-73,1997/08/23,"57",ASSAILANTS,MERCHNANT VESSEL,"CAMEROON, PORT DOUALA.                                                                                                                        THE 12,445 GROSS TON BAHAMAS-FLAG CONTAINER SHIP (CMBT EXPRESS), WAS   BOARDED IN PORT AT DOUALA, CAMEROON BY A","1",Pirate Assault,"5",Merchant Vessel,II,9.6833330003,4.0500000003
1995-125,1995/10/10,"63",PIRATES,YUN CHENG,ON 10 OCT 95 THE CHINESE-FLAGGED GENERAL CARGO SHIP YUN CHENG          WAS BOARDED BY TWO ARMED PIRATES WHILE IN THE HOOGHLY RIVER            PROCEEDING TO CALCUTTA. THE PIRATES DEPARTED WITHIN 15 MINUTES.        THE CREW WAS UNHARMED. THERE WERE NO REPO,"1",Pirate Assault,"11",Vessel,VIII,88.3374999998,22.5691666996
1995-115,1995/08/10,"93",ASSAILANTS,PRESIDENT HARRISON,"ON 10 AUG 95, AT 1930 LOCAL TIME, THE U.S.-FLAGGED CONTAINERSHIP       PRESIDENT HARRISON TOOK EVASIVE ACTION AND OUTMANEUVERED A             THREATENING SPEEDBOAT. THE INCIDENT TOOK PLACE IN 22-04N 114-41E,      ABOUT 40NM SOUTHEAST OF HONG KONG, IN THE","1",Pirate Assault,"11",Vessel,XI,114.6833340001,22.0666680003
1995-116,1995/08/02,"63",PIRATES,NEDLLOYD SAO PAULO,"ON 02 AUG 95, AT 2010 LOCAL TIME, WHILE AT ANCHOR IN COLOMBO ROADS     1.5NM FROM THE PORT ENTRANCE BREAKWATER, THE GERMAN-FLAGGED            CONTAINERSHIP NEDLLOYD SAO PAULA WAS BOARDED BY 20 PIRATES. THE        ROVING DECKWATCH SIGHTED SEVEN BOATS TIED","1",Pirate Assault,"11",Vessel,VIII,79.8000030000,6.9499999998
1995-117,1995/08/22,"71",PIRATES,ESSBERGER PILOT,"ON 22 AUG 95, AT ABOUT 2200 LOCAL TIME, WHILE ENROUTE TO LABUAN,       MALAYSIA THE SINGAPOREAN-FLAGGED CHEMICAL TANKER ESSBERGER PILOT       WAS BOARDED BY PIRATES IN 00-45N 108-05E. THE PIRATES ATTEMPTED TO     GAIN ACCESS TO CREW ACCOMMODATIONS THROUG","1",Pirate Assault,"11",Vessel,XI,108.0833359998,0.7500000001
1995-118,1995/08/23,"24",PIRATES,NEDLLOYD CRISTOBAL,"ON 23 AUG 95, AT 0345 LOCAL TIME, SIX PIRATES BOARDED THE              BAHAMIAN-FLAGGED GENERAL CARGO SHIP NEDLLOYD CRISTOBAL WHILE           ANCHORED IN RIO DE JANEIRO INNER ROADS. THE MASTER SOUNDED THE         GENERAL ALARM, PLACED THE SHIP'S WHISTLE","1",Pirate Assault,"11",Vessel,V,-43.1666680001,-22.8999999998
1995-119,1995/08/16,"28",THIEVES,F/V LADY DIANA,"ON 16 AUG 95 THIEVES BOARDED THE HONDURAN-FLAGGED FISHING VESSEL       LADY DIANA OFF CAYOS MISKITOS, APPROXIMATELY 40NM OFF THE              NICARAGUAN COAST. THE SHIP'S CATCH WAS STOLEN AND THE CREW ROBBED.     A SIMILIAR ATTACK OCCURRED AGAINST ANOTHE","1",Pirate Assault,"4",Fishing Vessel,IV,-82.6333310002,14.3666670001
1995-120,1995/07/20,"25",STOWAWAYS,GUR MAIDEN,"ON 20 JUL 95 STOWAWAYS ABOARD THE BAHAMIAN-FLAGGED GENERAL CARGO       SHIP GUR MAIDEN OVERTOOK THE CREW AND DEMANDED PASSAGE TO THE          UNITED STATES. THE SHIP DEPARTED RIO HAINA, DOMINICAN REPUBLIC ON      17 JUL ENROUTE FREEPORT, BAHAMAS. IT IS U","6",Other,"11",Vessel,IV,-66.5500000003,16.6500000000
1995-121,1995/08/28,"63",REBELS,IRISH MONA,"ON 28 AUG 95 THE SRI LANKAN FERRY IRISH MONA WAS HIJACKED BY TAMIL     REBELS. ON 29 AUG 95 THE REBELS USED THE FERRY TO LURE AND SINK        TWO SRI LANKAN NAVAL PATROL BOATS OFF MULLAITIVU (09-16N 080-05E),     NORTH OF TRINCOMALEE ON THE EAST COAST OF","1",Pirate Assault,"11",Vessel,VIII,80.0833333001,9.2666666999
1995-122,1995/08/15,"24",THIEVES,MERCHANT VESSEL,ON 15 AUG 95 A BAND OF SEVEN THIEVES BOARDED AN UNIDENTIFIED           MERCHANT SHIP WHILE ANCHORED OFF SANTOS AWAITING BERTH. THE            THIEVES GAINED ACCESS TO THE SHIP USING GRAPPLING HOOKS. THE           THIEVES HELD THE DECKWATCH AT GUNPOINT WH,"1",Pirate Assault,"5",Merchant Vessel,V,-46.2999990003,-23.9500009997
1995-123,1995/08/13,"93",PIRATES,ANNA SIERRA,"ON 13 SEP 95 APPROXIMATELY 25-30 PIRATES, ARMED WITH MACHINE GUNS      AND WEARING MASKS, HIJACKED THE CYPRIOT-FLAGGED GENERAL CARGO SHIP     ANNA SIERRA IN THE GULF OF THAILAND, 70NM SOUTHEAST OF BANGKOK.        THE VESSEL WAS ON A VOYAGE FROM KO SI CHA","1",Pirate Assault,"11",Vessel,XI,103.4999999996,7.5000000001
1994-42,1994/09/10,"62",ASSAILANTS,MERCHANT VESSEL,A BIMCO owner member reports an incident which took place off the      Somali coast in the Gulf of Aden on 10 September 1994. The vessel      had sheltered off the coast during heavy weather. At 1538 hrs GMT      she was underway at a speed of 12.2 knots,"1",Pirate Assault,"5",Merchant Vessel,IX,48.0000000001,11.9999999998
2015-170,2015/07/31,"93",Pirates,Fishing Ship,"VIETNAM: On 31 July near position 16-30N 112-00E, the Vietnam-flagged fishing ship QNg 96507 TS reported that a group of pirates from three Chinese ships boarded the fishing ship, attacked the crewmen and ransacked the ship in an area of the western Para","1",Pirate Assault,"4",Fishing Vessel,XI,112.0000000004,16.5000000004
2015-171,2015/07/24,"63",Robbers,Product Tanker,"INDIA: On 24 July, at 0445 local time, a duty watchman informed the duty officer on the bridge that two robbers had boarded an anchored product tanker via the forecastle near position  23-01N 070-13E, Kandla Port Anchorage. The alarm was raised and the c","1",Pirate Assault,"9",Tanker,VIII,70.2166667002,23.0166667001
2015-172,2015/07/23,"63",Robbers,Product Tanker,"INDIA: On 23 July, at 2345 local time, a duty officer on board an anchored product tanker noticed two robbers had boarded the ship using a ladder in a small boat near position 23-01N 070-13E, Kandla Port Anchorage. Ship's Master raised the general alarm","1",Pirate Assault,"9",Tanker,VIII,70.2166667002,23.0166667001
2015-173,2015/08/08,"71",Pirates,Tanker,MALAYSIA: Malaysian authorities have located the tanker MT Joaquim on 9 August near position  02-03N 101-59E in the Malacca Straits. The tanker was hijacked on 08 August and the oil cargo was stolen. Two crew members were injured during the incident and,"1",Pirate Assault,"9",Tanker,XI,101.9833333001,2.0500000003
2015-174,2015/08/09,"71",Robbers,Bulk Carrier,"SINGAPORE STRAIT: On 9 August near position 01-06N 103-34E, six robbers with long knives in a small fast boat boarded the stern of a bulk carrier underway. They entered the engine room and stole ship's spares. The duty crew sighted the robbers as the rob","1",Pirate Assault,"3",Cargo Ship,XI,103.5666667003,1.1000000001
1994-32,1994/06/01,"71",PIRATES,VIETNAMESE,"FROM BIMCO WEEKLY NEWS, DATED 27 JULY 1994:                            VIETNAMESE BORDER POLICE HAVE MANAGED TO MAKE ARRESTS IN               EIGHT CASES OF PIRACY DURING THE FIRST SIX MONTHS OF 1994, THE         VIETNAMESE GOVERNMENT HAS SAID.  SOME 28","1",Pirate Assault,"13",Other,XI,101.0000000000,3.0000000004
1994-33,1994/08/03,"91",PIRATES,M/V GORNO ALTAYSK,M/V GORNO ALTAYSK WHILE AT ANCHOR IN MANILA BAY WAS ATTACKED BY        PIRATES. TWO BOAT LOADS OF PIRATES BOARDED THE M/V DURING A STORM.     PIRATES WERE ABLE TO GET ON BOARD BY CLIMBING THROUGH THE HOLE FOR     THE ANCHOR CHAIN. GUARDS POSTED ON THE M/,"1",Pirate Assault,"5",Merchant Vessel,XI,120.5833359998,14.5000000004
