Year,# of Fires,# of Acres Burned
1990,"66,481","4,621,621"
1991,"75,754","2,953,578"
1992,"87,394","2,069,929"
1993,"58,810","1,797,574"
1994,"79,107","4,073,579"
1995,"82,234","1,840,546"
1996,"96,363","6,065,998"
1997,"66,196","2,856,959"
1998,"81,043","1,329,704"
1999,"92,487","5,626,093"
2000,"92,250","7,393,493"
2001,"84,079","3,570,911"
2002,"73,457","7,184,712"
2003,"63,629","3,960,842"
2004,"65,461","*8,097,880"
2005,"66,753","8,689,389"
2006,"96,385","9,873,745"
2007,"85,705","9,328,045"
2008,"78,979","5,292,468"
2009,"78,792","5,921,786"
2010,"71,971","3,422,724"
2011,"74,126","8,711,367"
2012,"67,774","9,326,238"
2013,"47,579","4,319,546"
2014,"63,312","3,595,613"
2015,"68,151","10,125,149"
2016,"67,743","5,509,995"
2017,"71,499","10,026,086"
2018,"58,083","8,767,492"
2019,"50,477","4,664,364"
2020,"58,950","10,122,336"
2021*,"43,250","5,024,744"
