Birthday,cub id,Cub Name,mother id,Mother Name,Point,relation id,# point,point X
8/31/2016,3,Chulina,2,Hua Zui Ba,20,1,20,3
8/31/2016,3,Chulina,2,Hua Zui Ba,19,1,20,2.993180652
8/31/2016,3,Chulina,2,Hua Zui Ba,18,1,20,2.972908621
8/31/2016,3,Chulina,2,Hua Zui Ba,17,1,20,2.939736876
8/31/2016,3,Chulina,2,Hua Zui Ba,16,1,20,2.894570255
8/31/2016,3,Chulina,2,Hua Zui Ba,15,1,20,2.838640786
8/31/2016,3,Chulina,2,Hua Zui Ba,14,1,20,2.773474079
8/31/2016,3,Chulina,2,Hua Zui Ba,13,1,20,2.700847712
8/31/2016,3,Chulina,2,Hua Zui Ba,12,1,20,2.622742744
8/31/2016,3,Chulina,2,Hua Zui Ba,11,1,20,2.541289673
8/31/2016,3,Chulina,2,Hua Zui Ba,10,1,20,2.458710327
8/31/2016,3,Chulina,2,Hua Zui Ba,9,1,20,2.377257256
8/31/2016,3,Chulina,2,Hua Zui Ba,8,1,20,2.299152288
8/31/2016,3,Chulina,2,Hua Zui Ba,7,1,20,2.226525921
8/31/2016,3,Chulina,2,Hua Zui Ba,6,1,20,2.161359214
8/31/2016,3,Chulina,2,Hua Zui Ba,5,1,20,2.105429745
8/31/2016,3,Chulina,2,Hua Zui Ba,4,1,20,2.060263124
8/31/2016,3,Chulina,2,Hua Zui Ba,3,1,20,2.027091379
8/31/2016,3,Chulina,2,Hua Zui Ba,2,1,20,2.006819348
8/31/2016,3,Chulina,2,Hua Zui Ba,1,1,20,2
8/4/2017,8,Yuan Meng,7,Huan Huan,20,2,20,8
8/4/2017,8,Yuan Meng,7,Huan Huan,19,2,20,7.993180652
8/4/2017,8,Yuan Meng,7,Huan Huan,18,2,20,7.972908621
8/4/2017,8,Yuan Meng,7,Huan Huan,17,2,20,7.939736876
8/4/2017,8,Yuan Meng,7,Huan Huan,16,2,20,7.894570255
8/4/2017,8,Yuan Meng,7,Huan Huan,15,2,20,7.838640786
8/4/2017,8,Yuan Meng,7,Huan Huan,14,2,20,7.773474079
8/4/2017,8,Yuan Meng,7,Huan Huan,13,2,20,7.700847712
8/4/2017,8,Yuan Meng,7,Huan Huan,12,2,20,7.622742744
8/4/2017,8,Yuan Meng,7,Huan Huan,11,2,20,7.541289673
8/4/2017,8,Yuan Meng,7,Huan Huan,10,2,20,7.458710327
8/4/2017,8,Yuan Meng,7,Huan Huan,9,2,20,7.377257256
8/4/2017,8,Yuan Meng,7,Huan Huan,8,2,20,7.299152288
8/4/2017,8,Yuan Meng,7,Huan Huan,7,2,20,7.226525921
8/4/2017,8,Yuan Meng,7,Huan Huan,6,2,20,7.161359214
8/4/2017,8,Yuan Meng,7,Huan Huan,5,2,20,7.105429745
8/4/2017,8,Yuan Meng,7,Huan Huan,4,2,20,7.060263124
8/4/2017,8,Yuan Meng,7,Huan Huan,3,2,20,7.027091379
8/4/2017,8,Yuan Meng,7,Huan Huan,2,2,20,7.006819348
8/4/2017,8,Yuan Meng,7,Huan Huan,1,2,20,7
6/2/2016,11,Tian Bao,10,Hao Hao,20,3,20,11
6/2/2016,11,Tian Bao,10,Hao Hao,19,3,20,10.993180652
6/2/2016,11,Tian Bao,10,Hao Hao,18,3,20,10.972908621
6/2/2016,11,Tian Bao,10,Hao Hao,17,3,20,10.939736876
6/2/2016,11,Tian Bao,10,Hao Hao,16,3,20,10.894570255
6/2/2016,11,Tian Bao,10,Hao Hao,15,3,20,10.838640786
6/2/2016,11,Tian Bao,10,Hao Hao,14,3,20,10.773474079
6/2/2016,11,Tian Bao,10,Hao Hao,13,3,20,10.700847712
6/2/2016,11,Tian Bao,10,Hao Hao,12,3,20,10.622742744
6/2/2016,11,Tian Bao,10,Hao Hao,11,3,20,10.541289673
6/2/2016,11,Tian Bao,10,Hao Hao,10,3,20,10.458710327
6/2/2016,11,Tian Bao,10,Hao Hao,9,3,20,10.377257256
6/2/2016,11,Tian Bao,10,Hao Hao,8,3,20,10.299152288
6/2/2016,11,Tian Bao,10,Hao Hao,7,3,20,10.226525921
6/2/2016,11,Tian Bao,10,Hao Hao,6,3,20,10.161359214
6/2/2016,11,Tian Bao,10,Hao Hao,5,3,20,10.105429745
6/2/2016,11,Tian Bao,10,Hao Hao,4,3,20,10.060263124
6/2/2016,11,Tian Bao,10,Hao Hao,3,3,20,10.027091379
6/2/2016,11,Tian Bao,10,Hao Hao,2,3,20,10.006819348
6/2/2016,11,Tian Bao,10,Hao Hao,1,3,20,10
8/8/2019,12,Bao Di,10,Hao Hao,20,4,20,12
8/8/2019,12,Bao Di,10,Hao Hao,19,4,20,11.986361303
8/8/2019,12,Bao Di,10,Hao Hao,18,4,20,11.945817242
8/8/2019,12,Bao Di,10,Hao Hao,17,4,20,11.879473751
8/8/2019,12,Bao Di,10,Hao Hao,16,4,20,11.789140509
8/8/2019,12,Bao Di,10,Hao Hao,15,4,20,11.677281572
8/8/2019,12,Bao Di,10,Hao Hao,14,4,20,11.546948158
8/8/2019,12,Bao Di,10,Hao Hao,13,4,20,11.401695425
8/8/2019,12,Bao Di,10,Hao Hao,12,4,20,11.245485487
8/8/2019,12,Bao Di,10,Hao Hao,11,4,20,11.082579345
8/8/2019,12,Bao Di,10,Hao Hao,10,4,20,10.917420655
8/8/2019,12,Bao Di,10,Hao Hao,9,4,20,10.754514513
8/8/2019,12,Bao Di,10,Hao Hao,8,4,20,10.598304575
8/8/2019,12,Bao Di,10,Hao Hao,7,4,20,10.453051842
8/8/2019,12,Bao Di,10,Hao Hao,6,4,20,10.322718428
8/8/2019,12,Bao Di,10,Hao Hao,5,4,20,10.210859491
8/8/2019,12,Bao Di,10,Hao Hao,4,4,20,10.120526249
8/8/2019,12,Bao Di,10,Hao Hao,3,4,20,10.054182758
8/8/2019,12,Bao Di,10,Hao Hao,2,4,20,10.013638697
8/8/2019,12,Bao Di,10,Hao Hao,1,4,20,10
8/8/2019,13,Bao Mei,10,Hao Hao,20,5,20,13
8/8/2019,13,Bao Mei,10,Hao Hao,19,5,20,12.979541955
8/8/2019,13,Bao Mei,10,Hao Hao,18,5,20,12.918725863
8/8/2019,13,Bao Mei,10,Hao Hao,17,5,20,12.819210627
8/8/2019,13,Bao Mei,10,Hao Hao,16,5,20,12.683710764
8/8/2019,13,Bao Mei,10,Hao Hao,15,5,20,12.515922357
8/8/2019,13,Bao Mei,10,Hao Hao,14,5,20,12.320422237
8/8/2019,13,Bao Mei,10,Hao Hao,13,5,20,12.102543137
8/8/2019,13,Bao Mei,10,Hao Hao,12,5,20,11.868228231
