Country,Females Married by 15,Females Married by 18,Males Married by 18
Afghanistan,0.042,0.283,0.073
Albania,0.014,0.118,0.012
Algeria,0.004,0.025,
Angola,0.079,0.303,0.06
Armenia,0,0.053,0.004
Azerbaijan,0.019,0.11,0.004
Bangladesh,0.224,0.586,0.044
Barbados,0.077,0.292,
Belarus,0,0.05,0.009
Belize,0.063,0.335,0.222
Benin,0.094,0.306,0.048
Bhutan,0.062,0.258,
Bolivia (Plurinational State of),0.034297907,0.196611257,0.084
Bosnia and Herzegovina,0.002,0.035,0.001
Brazil,0.059,0.262,
Burkina Faso,0.102,0.516,0.039
Burundi,0.028,0.19,0.014
Cabo Verde,0.028,0.18,0.03
Cambodia,0.019,0.185,0.036
Cameroon,0.102,0.31,0.038
Central African Republic,0.291,0.679,0.279
Chad,0.297,0.669,0.08
Colombia,0.049,0.234,0.067
Comoros,0.1,0.316,0.119
Congo,0.069,0.273,0.059
Costa Rica,0.068,0.212,
Cote d'Ivoire,0.07,0.27,0.035
Cuba,0.047,0.26,0.107
Democratic People's Republic of Korea,0,0.001,0
Democratic Republic of the Congo,0.1,0.373,0.057
Djibouti,0.012735883,0.05325236,
Dominican Republic,0.123,0.359,0.08
Ecuador,0.025,0.204,
Egypt,0.02,0.174,0.002
El Salvador,0.058,0.255,
Equatorial Guinea,0.086,0.295,0.035
Eritrea,0.129,0.407,0.023
Eswatini,0.008,0.053,0.01
Ethiopia,0.141,0.403,0.05
Gabon,0.056,0.219,0.047
Gambia,0.075,0.257,0.002
Georgia,0.003,0.139,0.005
Ghana,0.049,0.205,0.023
Guatemala,0.062,0.295,0.096
Guinea,0.17,0.465,0.019
Guinea-Bissau,0.063,0.244,0.02
Guyana,0.036,0.302,0.085
Haiti,0.021,0.149,0.016
Honduras,0.076,0.336,0.122
India,0.066,0.273,0.0424
Indonesia,0.02,0.163,0.053
Iran (Islamic Republic of),0.027,0.167,
Iraq,0.072,0.279,
Jamaica,0.014,0.079,
Jordan,0.015,0.097,0.001
Kazakhstan,0.002,0.07,0.003
Kenya,0.044,0.229,0.025
Kiribati,0.028,0.203,0.05
Kyrgyzstan,0.003,0.129,0.004
Lao People's Democratic Republic,0.071,0.327,0.108
Lebanon,0.012,0.061,
Lesotho,0.01,0.164,0.019
Liberia,0.088,0.359,0.047
Madagascar,0.13,0.4,0.129
Malawi,0.09,0.421,0.065
Maldives,0,0.022,0.022
Mali,0.159,0.537,0.021
Marshall Islands,0.055,0.263,0.118
Mauritania,0.178,0.37,0.02
Mexico,0.038,0.261,
Mongolia,0.009,0.12,0.021
Montenegro,0.019,0.058,0.001
Morocco,0.005,0.137,
Mozambique,0.168,0.529,0.097
Myanmar,0.019,0.16,0.05
Namibia,0.016,0.069,0.014
Nauru,0.019,0.268,0.123
Nepal,0.07,0.395,0.103
Nicaragua,0.097,0.352,0.194
Niger,0.28,0.763,0.057
Nigeria,0.157,0.434,0.032
North Macedonia,0.009,0.069,
Oman,0.012,0.04,
Pakistan,0.036,0.183,0.047
Panama,0.068,0.264,
Papua New Guinea,0.08,0.273,0.037
Paraguay,0.036,0.216,
Peru,0.025,0.174,
Philippines,0.022,0.165,0.029
Qatar,0,0.042,0.006
Republic of Moldova,0.004,0.122,0.007
Rwanda,0.004,0.068,0.006
Saint Lucia,0.037,0.24,
Samoa,0.007,0.108,0.017
Sao Tome and Principe,0.079,0.354,0.032
Senegal,0.084,0.288,0.006
Serbia,0.003,0.032,0.009
Sierra Leone,0.129,0.299,0.065
Singapore,0,0.002,
Solomon Islands,0.056,0.213,0.044
Somalia,0.084,0.453,
South Africa,0.009,0.036,0.006
South Sudan,0.089,0.515,
Sri Lanka,0.009,0.098,
Palestinian Territories,0.01,0.153,
Sudan,0.119,0.342,
Suriname,0.088,0.36,0.196
Syrian Arab Republic,0.025,0.133,
Tajikistan,0.001,0.087,
Thailand,0.044,0.225,0.101
Timor-Leste,0.026,0.149,0.012
Togo,0.064,0.248,0.026
Tonga,0.003,0.056,0.06
Trinidad and Tobago,0.027,0.112,
Tunisia,0,0.015,0
Turkey,0.02,0.147,
Turkmenistan,0,0.057,
Tuvalu,0,0.099,0
Uganda,0.073,0.34,0.055
Ukraine,0.001,0.091,0.038
United Republic of Tanzania,0.052,0.305,0.039
Uruguay,0.007,0.246,
Uzbekistan,0.003,0.072,0.005
Vanuatu,0.025,0.214,0.046
Viet Nam,0.009,0.106,0.027
Yemen,0.094,0.319,
Zambia,0.052,0.29,0.028
Zimbabwe,0.054,0.337,0.019
