Rank,City,Population
1, Tokyo,"37,393,000"
2, Delhi,"30,291,000"
3, Shanghai,"27,058,000"
4, São Paulo,"22,043,000"
5, Mexico City,"21,782,000"
6, Dhaka,"21,006,000"
7, Cairo,"20,901,000"
8, Beijing,"20,463,000"
9, Mumbai,"20,411,000"
10, Osaka,"19,165,000"
11, New York City,"18,804,000"
12, Karachi,"16,094,000"
13, Chongqing,"15,872,000"
14, Istanbul,"15,190,000"
15, Buenos Aires,"15,154,000"
16, Kolkata,"14,850,000"
17, Lagos,"14,368,000"
18, Kinshasa,"14,342,000"
19, Manila,"13,923,000"
20, Tianjin,"13,580,000"
