Rank,Country,Avg_Price_of_1GB_USD
1,India,0.09
2,Israel,0.11
3,Kyrgyzstan,0.21
4,Italy,0.43
5,Ukraine,0.46
6,Kazakhstan,0.46
7,Somalia,0.5
8,Sri Lanka,0.51
9,Russian Federation,0.52
10,Vietnam,0.57
11,China,0.61
12,Sudan,0.63
13,Indonesia,0.64
14,Algeria,0.65
15,Australia,0.68
16,Pakistan,0.69
17,Poland,0.7
18,Bangladesh,0.7
19,Chile,0.71
20,Turkey,0.72
21,Tanzania,0.73
22,Dominican Republic,0.74
23,Mongolia,0.74
24,Iran,0.75
25,Kuwait,0.77
26,Myanmar,0.78
27,Denmark,0.8
28,France,0.81
29,Nepal,0.86
30,Belarus,0.89
31,Georgia,0.93
32,Ghana,0.94
33,Monaco,0.98
34,Western Sahara,0.99
35,Morocco,0.99
36,Brazil,1.01
37,Romania,1.03
38,Jordan,1.03
39,Kenya,1.05
40,Armenia,1.05
41,Austria,1.08
42,Egypt,1.09
43,Moldova,1.12
44,Malaysia,1.12
45,Thailand,1.23
46,Estonia,1.27
47,Uzbekistan,1.34
48,Ireland,1.36
49,Zambia,1.36
50,Tunisia,1.37
51,Nigeria,1.39
52,United Kingdom,1.39
53,Philippines,1.42
54,El Salvador,1.45
55,Argentina,1.45
56,Rwanda,1.48
57,Slovenia,1.48
58,Cambodia,1.5
59,Afghanistan,1.55
60,Uruguay,1.58
61,Serbia,1.6
62,Uganda,1.62
63,Nicaragua,1.71
64,Macedonia,1.75
65,Spain,1.81
66,Lithuania,1.85
67,Azerbaijan,1.86
68,Congo,1.94
69,Sweden,2.07
70,Guinea,2.08
71,Timor-Leste,2.08
72,Saudi Arabia,2.12
73,Burundi,2.12
74,Peru,2.13
75,Lesotho,2.13
76,Finland,2.14
77,Guatemala,2.17
78,Bulgaria,2.22
79,Bahrain,2.27
80,Paraguay,2.3
81,Ethiopia,2.44
82,Singapore,2.47
83,Burkina Faso,2.47
84,Croatia,2.48
85,Mauritius,2.48
86,Hong Kong,2.55
87,Haiti,2.74
88,Costa Rica,2.74
89,Cameroon,2.75
90,Albania,2.83
91,Netherlands,2.98
92,Bosnia and Herzegovina,3.04
93,Honduras,3.12
94,Côte d'Ivoire,3.2
95,Ecuador,3.24
96,Liberia,3.25
97,Palestine,3.26
98,Niger,3.3
99,Senegal,3.3
100,Mozambique,3.33
101,Colombia,3.46
102,Sierra Leone,3.69
103,United Arab Emirates,3.78
104,Latvia,3.79
105,Lebanon,3.82
106,Slovakia,3.84
107,Jamaica,3.88
108,Japan,3.91
109,Germany,4.06
110,Qatar,4.12
111,Guinea-Bissau,4.12
112,Mali,4.12
113,Lao PDR,4.16
114,Iraq,4.2
115,South Africa,4.3
116,Togo,4.5
117,Oman,4.58
118,Mauritania,4.63
119,Tajikistan,4.65
120,Libya,4.73
121,Mexico,4.77
122,Namibia,4.78
123,Belgium,4.88
124,Gabon,4.89
125,Portugal,4.97
126,Bolivia,5.09
127,Gambia,5.1
128,Norway,5.28
129,Angola,5.29
130,Hungary,5.32
131,Papua New Guinea,5.4
132,Taiwan,5.91
133,Trinidad and Tobago,5.92
134,New Zealand,6.06
135,Syria,6.55
136,Panama,6.69
137,Czech Republic,7.95
138,United States,8
139,Central African Republic,8.25
140,Switzerland,8.38
141,Madagascar,8.81
142,Puerto Rico,9.17
143,South Korea,10.94
144,Turkmenistan,11.44
145,Greece,12.06
146,Canada,12.55
147,Equatorial Guinea,12.78
148,Eswatini,13.31
149,Cuba,13.33
150,Cyprus,13.56
151,Botswana,13.87
152,Yemen,15.98
153,Chad,23.33
154,Benin,27.22
155,Malawi,27.41
