Type,Name,4/1,4/2,4/3,4/4,4/5,4/6,4/7,4/8,4/9,4/10,4/11,4/12,4/13,4/14,4/15,4/16,4/17,4/18,4/19,4/20,4/21,4/22,4/23,4/24,4/25,4/26,4/27,4/28,4/29,4/30,5/1,5/2,5/3,5/4,5/5,5/6,5/7,5/8,5/9,5/10,5/11,5/12,5/13,5/14,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,5/27,5/28,5/29,5/30,5/31,6/1,6/2,6/3,6/4,6/5,6/6,6/7,6/8,6/9,6/10,6/11,6/12,6/13,6/14,6/15,6/16,6/17,6/18,6/19,6/20,6/21,6/22,6/23,6/24,6/25,6/26,6/27,6/28,6/29,6/30,7/1,7/2,7/3,7/4,7/5,7/6,7/7,7/8,7/9,7/10,7/11,7/12,7/13,7/14,7/15,7/16,7/17,7/18,7/19,7/20,7/21,7/22,7/23,7/24,7/25,7/26,7/27,7/28,7/29,7/30,7/31,8/1,8/2,8/3,8/4,8/5,8/6,8/7,8/8,8/9,8/10,8/11,8/12,8/13,8/14,8/15,8/16,8/17,8/18,8/19,8/20,8/21,8/22,8/23,8/24,8/25,8/26,8/27,8/28,8/29,8/30,8/31,9/1,9/2,9/3,9/4,9/5,9/6,9/7,9/8,9/9,9/10,9/11,9/12,9/13,9/14,9/15,9/16,9/17,9/18,9/19,9/20,9/21,9/22,9/23,9/24,9/25,9/26,9/27,9/28,9/29,9/30,10/1,10/2,10/3,10/4,10/5,10/6,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,10/15,10/16,10/17,10/18,10/19,10/20,10/21,10/22,10/23,10/24,10/25,10/26,10/27,10/28,10/29,10/30,10/31,11/1,11/2,11/3,11/4,11/5,11/6,11/7,11/8,11/9,11/10,11/11,11/12,11/13,11/14,11/15,11/16,11/17,11/18,11/19,11/20,11/21,11/22,11/23,11/24,11/25,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3,12/4,12/5,12/6,12/7,12/8,12/9,12/10,12/11,12/12,12/13,12/14,12/15,12/16,12/17,12/18,12/19,12/20,12/21,12/22,12/23,12/24,12/25,12/26,12/27,12/28,12/29,12/30,12/31,1/1,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,1/12,1/13,1/14,1/15,1/16,1/17,1/18,1/19,1/20,1/21,1/22,1/23,1/24,1/25,1/26,1/27
country,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.56,39.52,33.32,35.05,34.65,37.33,39.08,44.93,45.18,42.26,43.91,52.81,49.03,49.3,46.48,52.25,52.41,48.89,51.33,46.77,49.81,49.07,53.87,54.36,56.36,54.62,53.73,55.27,57.94,61.17,59.25,40.17,60.18,60.04,58.5,58.27,62.69,63.68,88.08,60.6,58.48,57.77,57.39,61.12,61.99,59.35,57.65,59.8,54.57,53.33,59.37,51.6,61.82,60.36,55.99,54.93,56.04,56.84,61.2,61.48,58.43,56.57,56.13,56.6,60.79,63.02,59.66,60.59,57.96,55.2,56.66,62.21,64.8,62.89,61.26,61.08,61.55,61.74,65.51,66.76,64.44,65.92,61.1,66.75,62.92,66.07,70.53,68.06,70.17,68.73,66.7,63.59,69.54,72.3,68.24,74.94,72.8,70.55,69.04,73.13,76.86,72.58,78.05,75.99,78.59,71.57,77.03,79.25,68.67,68.75,88.75,80.7,79.93,84.23,85.62,100,100,63.64,66.19,65.55,74.93,79.9,76.67,71.2,71.18,71.56,70.38,76.33,81.91,79.94,72.49,70.02,70.65,71.91,79.34,81.67,81.23,75.3,67.84,71.68,71.04,75.33,81.46,80.59,79.55,70.6,70.79,71.1,78.35,82.7,76.09,68.61,67.03,70.82,71.67,73.51,80.99,77.27,67.31,65.33,65.58,67.8,76.87,81.76,74.22,63.22,64.11,70.73,83.14,70.29,58.26,69.82,65.84,59.34,63.19,62.25,71.39,74.22,64.73,57.32,69.65,70.06,58.56,64.99,69.09,65.89,59.57,53.89,53.32,56.14,60.44,63.13,61.35,60.31,58.96,54.86,47.07,53.42,60.28,65.87,54.31,47.38,45.76,47.19,54.04,59.36,58.42,47.52,43.92,44.75,46.53,53.37,59.63,57.8,48.56,49.26,42.38,45.48,54.01,60.92,55.21,48.52,43.98,32.89,67.04,66.15,53.16,58.84,59.45,40.24,64.23,100,70.13,72.06,68.22,70.51,64.79,59.08,61.11,65.97,69.9,64.96,60.79,57.39,56.68,60.49,67.89,72.89,69.86,65.38,54.93,54.37,57.99,65.8,69.24,58.71,57.99,53.69,54.97
country,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.18,42.55,,57.97,50.76,49.57,47.36,43.46,44.9,58.36,52.9,54.6,46.65,50.44,49.29,51.77,58.09,49.58,51.52,51.98,53.31,51.47,35.23,53.11,59.31,56.36,56.96,57.52,58.59,82.49,66.37,58.59,55.74,53.73,60.99,60.73,55.8,50.83,82.68,77.98,52.04,57.52,58.91,64.31,64.16,58.23,58.95,57.49,60.16,56.9,65.26,66.47,65.52,65.32,51.76,65.31,67.07,55.83,72.19,66.96,55.7,58.91,63.47,68.24,64.46,65,69.57,66.02,66.63,71.48,71.62,63.11,68.6,62.08,69.17,64.54,67.48,73.79,71.69,72.79,67.69,66.34,66.84,71.44,74.56,67,69.18,71.99,69.15,67.57,70.96,77.85,74.43,78.73,77.69,70.99,69.46,78.24,76.95,65.94,66.56,98.65,83.85,83.39,80.17,82.8,100,100,65,65.81,69.33,71.34,74.62,69.69,67.18,67.63,68.95,64.9,67.06,70.4,72.86,68.45,64.79,63.81,61.78,69.98,71.41,75.55,72.38,65.33,64.88,62.73,64.95,67.41,61.44,76.73,66.13,59.15,59.82,65.5,65.37,55.89,61.85,60.91,60.69,56.71,60.62,64.88,60.73,61.56,60.54,58.08,56.88,66.21,69.66,65.94,62.89,59.07,67.47,91.49,65.53,51.15,62.86,66.32,55.3,62.29,65.32,71.26,71.18,63.17,65.36,88.07,79.82,59.78,58.92,58.4,52.85,53.95,46.4,44.9,47.12,49.3,48.01,42.85,48.3,41.19,39.48,36.71,38.62,40.75,47.78,43.67,35.47,35.3,34.24,38.45,42.75,38.55,38.46,32.23,34.04,34.29,39.45,49.62,36.2,32.75,30.4,29.29,31.32,34.92,44.81,40.37,34.63,54.93,24.1,38.24,,32.37,40.36,50.58,32.44,44.41,81.56,50.16,44.75,60.75,59.22,56.52,59.15,59.73,60.25,60.34,68.29,63.75,58.54,81.31,65.67,59.39,61.06,60.26,56.9,53.04,54.73,52.27,56.11,58.97,44.91,50.02,50.47,53.52
country,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.25,31.75,45.49,41.04,44.89,41.88,49.9,43.95,41.9,50.02,89.49,52.42,41.29,47.75,46.68,43.95,44.74,32.63,56.54,64.65,98.96,100,64.44,67.27,57.39,72.46,73.09,58.38,49.04,84.22,84.75,100,96.82,83.09,75.82,74.45,75.88,74.45,65.73,88.64,88.96,99.67,87.8,89.07,91.77,86.73,91.57,91.7,100,83.06,87.9,87.96,84.36,93.99,94.37,94.67,85.14,87.64,90.94,87.93,90.77,93.6,95.89,93.32,96.59,98.44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.15,100,100,100,100,100,100,91.71,93.04,99.44,88.33,99.64,93.64,100,95.93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9,100,97.57,100,96.11,100,94.46,94.96,100,94.44,100,100,100,99.04,96.19,94.04,88.7,93.52,100,100,95.24,91.91,89.67,88.72,89.27,92.2,93.43,93.78,92.27,79.3,62.1,92.01,99.07,100,81.7,82.02,89.48,87.01,90.65,93.22,97.33,94.29,90.69,82.89,85.95,83.64,78.22,84.02,78.08,76.93,73.19,73.33,67.88,65.49,68.44,58.84,58.39,61.63,58.39,67.1,75.82,97.6,7.97,7.76,8.48,9.11,10.22,9.28,6.87,6.6,10.38,12.16,10.74,11.23,12.32,11.39,,13.23,8.41,13.04,11.25,10.74,9.81,,,9.87,8.58,11.76,11.38,13.14,,7.18,8.31,10.39,14.16,13.67,12.13,8.99,8.27,10.68,9.9,15.25,13.26,16.23,,13.19,10.05,16.91,17.82,17.48,11.48,9.75,10.28,9.37,,53.63,39.2,11.03,,,11.42,30.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,Mexico,9.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.65,26.59,21.27,22.16,28.67,22.13,23.22,23.02,24.98,24.35,22.81,27.03,27.93,25.65,26.76,28.41,27.2,23.21,27.05,24.98,26.36,29.38,31.79,29.3,18.06,31.88,29.21,32.12,31.23,33.88,34.76,47.58,37.21,35.57,32.22,32.28,37.9,38.22,34.09,38.69,37.21,28.04,25.43,28.87,28.85,30.73,32.06,27.3,27.38,28.04,31.68,32.63,32.55,35.68,30.49,31.34,31.06,34.53,36.76,33.2,36.12,34.53,33.95,35.52,36.98,38.62,37.91,38.06,38.85,37.68,37.69,39.43,40.48,42.18,44.3,39.82,39.39,39.91,41.88,44.89,43.45,47.76,40.82,39.98,39.3,42.09,44.71,43.59,47.58,43.76,39.49,41.49,46.52,49.64,47.74,51.63,47.22,42.81,47.56,48.91,50.92,50.77,50.47,49.47,51.71,51.32,53.54,56.89,60.3,63.66,54.91,53.43,53.96,61.06,63.73,57.13,48.56,91,68.36,53.59,56.53,60.89,55.36,64.77,58.81,56.51,57.79,58.87,63.47,60.2,64.51,60.1,61.35,58.83,63.65,64.84,63.94,78.09,59.11,58.86,60.45,64.13,67.61,63.09,66.93,59.02,60.62,64.73,66.07,68.99,67.52,70.46,63.74,58.51,61.4,64.96,65.84,61.41,59.48,60.77,63.13,63.27,58.32,59.47,60.97,72.83,53.87,51.29,53.09,56.97,62.51,61.45,61.45,58.44,58.52,57.93,63.62,65.58,64.86,63.92,64.49,59.52,60.2,61.04,64.37,63.05,63.16,61.57,58.37,58.88,58.36,60.93,61.06,61.69,53.79,52.48,52.09,55.66,63.36,61.86,52.31,47.85,45.34,47.76,50.54,57.71,59.3,45.22,42.74,42.39,43.28,49.61,45.19,44.41,44.04,61.74,51.37,41.16,48.76,48.85,56.27,56.51,60.36,77.48,66.83,70.26,68.76,84.64,89.64,78.39,70.06,69.59,60.66,57.95,67.64,64.24,59.52,56.67,56.12,59.27,55.76,65.76,50.01,40.32,37.38,37.96,39.07,41.9,41.41,40.9,36.71,37.14
country,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.79,,,,,,,14.77,,,,,,,17.69,,,,,,,,,,,,,,76.04,80.46,68.24,66.75,65.88,65.11,81.87,89.39,96.39,73.77,70.45,68.4,71.01,91.29,91.94,86.34,84.32,81.53,82.69,80.41,91.82,89.91,91.49,83.65,87.47,87.53,88.25,97.21,99.46,97.04,100,100,100,84.1,92.81,94.13,88.35,100,100,100,79.85,90.99,97.53,91.84,100,100,100,97,98.26,100,96.26,100,100,100,98.45,100,100,100,100,100,100,91.78,100,100,100,100,100,100,93.64,100,100,100,100,100,100,94.41,98.6,100,100,100,100,91.16,81.09,88.79,97.77,96.91,100,92.44,85.82,82.9,82.07,90.38,90.01,84.46,79.38,83.24,83.33,89.34,95.03,97.27,80.76,75.51,76.41,82.58,89.82,80.48,85.23,75.3,71.71,68.31,74.67,79.98,83.19,92.73,93.4,83.23,91.41,90,92.33,86.46,100,100,100,100,21.13,22.8,26.55,27.43,42.45,32.77,32.16,34.73,30.78,30.16,35.24,52.65,49.72,44.94,46.89,36.42,27.99,35.68,,,,,30.98,28.72,34.74,,,47.27,51.34,64.48,76.81,74.71,55.38,52.89,54.6,58.01,65.67,81.88,76.92,66.6,83.79,53.03,63.53,68.62,67.06,64.49,59.66,54.81,66.06,100,40.13,33.17,36.09,42.71,35.28,61.35,33.42,19.43,11.86,14.69,,,,,,,,,,,,,,,,,,,,,,,,
country,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.69,38.14,41,34.8,35.44,34.07,37.14,38.09,41.15,46.29,45.09,45.4,54.35,50.67,51.55,50.41,54.12,54.03,46.6,45.42,45.48,48.76,49.41,53.52,54.96,57.84,56.19,53.12,54.49,56.52,60.83,59.68,39.48,61.17,60.18,58.56,58.74,62.52,63.63,90,59.62,57.55,56.89,56.8,59.97,61.18,58.13,57.46,56.83,50.84,52.99,58.89,48.26,59.3,58.97,53.77,51.88,54.24,53.52,58.46,57.76,55.24,53.23,52.44,54.58,56.78,58.85,56.48,56.02,53.64,50.92,52.52,58.57,61.31,59.44,57.69,56.49,57.33,57.69,61.87,63,60.49,59.03,53.86,60.01,59.96,63.33,68.16,65.81,62.24,62.61,59.55,61.09,67.37,69.85,65.61,67.18,65.11,63.23,66.35,71.42,74.04,69.71,68.37,65.99,70.14,69.03,74.74,76.98,64.28,52.34,87.54,78.73,79.39,84.08,84.5,100,100,58.15,61.15,61.04,72.55,77.5,73.98,68.23,66.9,67.94,68.62,75.57,81.37,78.15,68.88,66.85,69.32,72.04,80.13,81.58,80.79,72.84,64.11,70.8,71.98,75.4,81.78,80.86,79.66,69.93,70.36,70.68,78.75,83.07,75.37,67.26,65.44,70.91,71.59,73.18,83.04,77.84,66.28,64.37,65.72,68.1,78.46,84.64,74.11,60.89,63.23,69.79,86.32,69.38,54.75,65.77,61.78,52.53,56.45,63.14,72.91,76.12,65.22,56.16,69,70.45,58.13,65.49,70.39,66.58,59.09,53.29,52.7,55.72,60.98,64.33,61.89,60.1,59.35,54.72,46.42,53.19,61.47,67,52.75,46.7,44.51,46.05,53.01,57.83,56.41,44.62,41.23,41.98,43.85,51.93,56.86,54.94,45.16,44.23,39.15,42.46,52.76,60.27,54.22,47.49,40.27,30.72,68.82,67.44,53.85,59.52,59.3,38.71,64.17,100,70.71,73.21,66.77,67.84,62.19,56.25,58.66,65.64,70.5,64.21,59.7,55.75,54.75,59.28,67.78,73.46,69.54,65.71,54.54,53.89,58.01,66.72,70.17,58.63,57.29,52.65,55.35
state,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.77,67.6,70.52,62.27,60.62,60.93,50.46,39.95,42.69,50.3,45.64,54.37,55.73,60.46,58.21,57.38,57.83,58.65,56.97,56.4,40.69,60.49,60.98,60.66,59.7,65.07,66.78,91.95,64.15,61.44,59.68,58.6,62.5,64.46,60.77,59.26,57.77,46.78,45.15,55.83,46.98,59.39,60.14,53.28,52.1,50.63,53.86,53.78,55.09,53.37,49.12,47.09,47.24,50.5,51.79,54.21,52.94,52.44,50.97,50.49,55.24,56.48,58.47,57.03,56.09,56.37,54.41,57.96,60.48,60.89,59.82,59.1,56.89,59.12,63.62,65.6,65.96,65.46,63.17,61.75,59.44,61.84,62.63,62.82,64.28,60.64,57.97,57,62.69,64.32,63.69,65.79,67.15,67.03,68.47,69.86,70.41,60.47,46.64,90,82.46,81.39,81.03,78.99,89.03,100,64.79,65.04,63.64,68.05,73.13,73.63,72.45,71.89,72.39,74.05,79.07,82.65,83.52,77.5,75.48,73.53,77.06,82.86,86.87,84.95,82.09,73.2,75.94,74.54,76.91,84.13,81.95,88.42,77.72,73.95,76.37,80.1,84.89,83.77,84.39,79.82,77.55,77.1,83.59,87.89,83.9,76.2,73.81,72.24,69.65,83.98,90.83,81.08,71.49,70.32,80.82,100,82.1,65.52,78.21,75.3,58.91,65.82,70.05,74.72,68.45,59.47,54.07,74.6,90.09,69.78,70.27,75.47,74.8,69.23,59.33,60.8,59.82,61.54,63.71,65.43,65.69,69.44,63.83,39.42,54.86,62.95,68.08,60.46,54.44,53.29,47.81,56.14,63.94,62.8,24.13,21.64,24.13,24.75,22.35,24.96,21.06,26.06,25.23,26.76,27.91,23.78,27.74,29.76,25.45,21.17,13.04,34.54,,26.87,29.56,21.37,23.16,30.23,48.01,,49.2,61.63,,,,,64.58,62.33,,,,,,63.72,60.23,73.59,,,,73.37,65.62,50.99,67.25,,51.26,53.8
state,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.63,36.31,35.95,41.67,41.81,36.75,32.73,45.73,45.35,46.08,48.01,47.59,50.74,52.16,41,47.14,49.54,50.83,54.37,55.14,51.66,56.36,52.44,57.05,57.04,63.9,66.38,57.44,50.97,53.94,55.09,58.35,66.48,65.88,71.75,66.61,67.52,63.73,69.62,75.05,70.48,47.42,70.25,70.48,68.19,64.84,65.13,71.8,100,63.41,62.78,60.57,57.78,64.63,61.78,60.36,59.08,56.47,48.7,50.54,58.35,45.57,58.32,58.16,55.73,52.03,51.46,54.63,53.91,53.26,51.56,50.37,47.67,51.36,53.82,54.94,58.21,51.09,49.25,50.18,48.56,57.06,58.24,59.08,51.68,53.15,53.77,57.07,60.27,50.09,48.68,54.09,53.65,55.07,56.47,63.68,66.92,66.44,62.38,60.74,59.66,63.17,69.3,69.38,71.06,62.57,61.26,58.82,63.9,68.19,75,71.26,64.42,63.4,68.03,79.08,100,99.97,87.75,70,100,100,100,88.66,92.33,100,100,64.84,66.48,71.15,78.47,73.29,75.72,71.44,68.79,73.79,73.63,80.8,82.05,79.67,70.48,74.59,75.07,75.35,81.77,82.89,86.21,71.17,71.89,78.62,77.07,77.31,83.09,82.65,88.62,77.14,80.47,77.26,83.06,85.39,84.08,77.62,75,74.87,77.29,81.29,91.4,85.79,72.42,70.83,68.22,72.82,85.31,90.1,83.35,72.77,74.99,80.75,91.07,81.18,66.15,80.69,68.17,60.02,63.02,67,78.84,77.37,53.2,49.52,65.83,67.01,69.01,81.44,84.38,84.43,69.04,69.78,70.05,70.61,76.13,83.18,81.07,76.85,77.71,72.37,67.96,73.79,81.98,82.33,66.21,66.09,63.35,63.44,70.44,79.75,74.54,60.49,60.68,62.65,66.31,72.57,81.13,77.29,65.86,66.77,62.59,67.82,75.19,83.37,76.15,63,52.39,37.14,77.28,82.7,66.51,69.81,68.66,57.65,81.39,100,88.26,94.65,82.29,81.44,79.58,74.92,75.37,78.72,82.26,82.27,68.68,68.15,62.92,70.18,77.26,79.69,79.8,71.1,63.79,64.3,71.11,78.23,83.86,72.45,73.02,70.5,71.26
state,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.61,46.91,27.01,23.37,34.81,38.23,45.03,41.98,43.19,48.17,42.86,18.77,36.65,57.37,48.8,45.46,33.54,51.8,53.3,61.27,56.19,52.18,41.13,80.28,34.3,55.87,55.15,60.55,42.97,63.59,67.37,50.03,61.52,56.54,59.61,64.52,43.96,58.9,57.27,46.69,46.46,44.74,58.91,62.52,62.66,51.96,50.16,38.05,56.3,58.67,58.55,51.73,48.7,43.37,49.36,55.77,57.72,61.55,54.56,50.19,52.06,48,54.42,61.93,61.56,56.67,45.5,51.6,53,57.13,60.93,67.43,63.42,34.59,55.35,55.46,56.15,62.65,62.67,69.94,58.09,63.94,61.83,59.49,65.55,69.96,64.59,64.64,57.67,55.13,59.73,65.67,73.05,56.34,40.32,70.5,71.82,75.81,77.3,74.72,90.06,100,33.08,42.56,46.83,60.21,60.79,76.68,53.64,58.64,63.4,58.34,63.58,74.32,72.38,57.42,56.73,60.87,63.39,88.7,76.17,77.19,53.24,53.34,63.41,55.91,69.06,70.91,62.48,60.12,59.55,65.26,60.53,79.59,74.9,66.04,49.27,54.29,56.46,50.7,63.21,64.92,50.92,46.88,43.42,48.53,64.99,49.38,64.45,48.63,35.74,43.6,48.41,82.1,35.3,26.59,21.43,28.5,36,43.33,46.47,55.27,54.94,58.21,76.89,29.27,30.45,31.83,29.45,27.09,21.22,19.05,19.69,21.19,32.99,28.92,22.6,20.86,24.62,21.85,22.55,11.01,22.59,31.78,30.11,22.7,21.63,24.77,27.32,30.56,33.93,27.9,23.11,25.46,30.79,34.67,27.71,33.38,33.92,26.28,26.55,28.23,29.19,36.14,38.69,34.94,31.25,25.1,14.55,42.36,,35.37,38.39,41.99,15.38,35.92,90.69,41.35,46.19,43.74,51.69,49.02,49.74,50.2,52.36,74.18,53.91,53.07,47.09,51.66,50.09,74.48,61.08,62.97,64.74,49.16,50.45,59.43,58.64,62.89,47.5,33.24,29.77,41.06
state,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.57,54.65,49.89,29.56,52.28,53.2,42.7,57.5,63.42,60.84,61.4,63.16,55.03,70.94,61,63.28,54.97,62.66,63.81,57.92,52.14,48.76,49.27,51.91,62.82,63.22,58.8,62.35,71.84,62.79,55.62,59.66,58.62,69.39,66.31,56.95,55.64,63.48,65.82,62.92,69.07,61.75,61.83,64.98,59.13,51.75,69.91,70.21,65.12,59.08,60.25,65.54,62.92,70.45,73.94,68.09,65.63,44.25,64.31,66.41,71.52,76.4,68.4,67,62.53,60.44,64.45,74.61,73.95,63.67,71.6,69.4,64.76,73.16,75.97,77.47,64.86,73.6,75.91,83.2,61.61,82.96,71.01,71.23,56.62,91.45,69.36,82.15,92.82,82.34,100,100,63.49,64.37,58.18,75.93,85.11,74.57,69.14,64.82,68.32,72.05,74.08,81.25,77.9,57.4,55.5,67.39,77.23,83.72,84.48,78.54,66.2,66.59,66.32,75.94,75.18,88.04,87.33,71.52,62.11,56.14,70.3,84.02,90.49,75.98,57.98,39.7,65.82,78.99,63.79,79.74,70.53,53.46,58.09,57.82,68,79.76,86.89,85.17,45.21,51.26,50.27,68.36,50.23,53.55,55.17,44.06,44.64,42.83,65.01,69.04,76.48,65.04,46.68,82.93,74.19,44,49.8,61.76,63.19,45.15,39.8,40.75,40.34,58.4,59.39,57.92,34.49,40.45,48.56,42.78,42.04,56.4,76.27,42.09,47.48,33.66,34.72,49.79,27.39,47.49,35.14,30.62,31.79,31.52,44.33,47.43,52.2,25.59,38.24,23.33,10.24,33.59,53.58,34.32,28.38,32.39,25.68,48.14,,36.72,48.96,55.96,27.23,47.29,100,53.55,56.65,41.31,43.15,38.57,39.19,41.62,48.64,48.85,50.11,44.95,43.33,40.05,45.26,55.83,62.95,61.77,59.87,46.56,42.17,46.62,55.97,60.32,48.68,47.68,37.77,41.01
