Country,"Share of Population Younger Than 15 (% of total, 2019)"
 Niger,49.80%
 Mali,47.30%
 Chad,46.80%
 Angola,46.60%
 Uganda,46.50%
 Somalia,46.40%
" Congo, Dem. Rep.",46.00%
 Burundi,45.40%
 Burkina Faso,44.70%
 Zambia,44.50%
 Mozambique,44.40%
 The Gambia,44.10%
 Tanzania,43.80%
 Nigeria,43.70%
 Malawi,43.50%
 Guinea,43.40%
 Senegal,42.80%
 Afghanistan,42.50%
 Cameroon,42.40%
 Benin,42.20%
 Guinea-Bissau,42.20%
 Zimbabwe,42.20%
 Sao Tome and Principe,42.10%
 Cote d'Ivoire,41.70%
 South Sudan,41.60%
 Congo,41.50%
 Togo,41.00%
 Liberia,40.80%
 Sierra Leone,40.70%
 Madagascar,40.40%
 Ethiopia,40.30%
 Sudan,40.20%
 Solomon Islands,40.10%
 Mauritania,39.90%
 Rwanda,39.80%
 Comoros,39.30%
 Kenya,39.20%
 Yemen,39.20%
 Vanuatu,38.70%
 Iraq,38.00%
 Samoa,37.90%
 Eswatini,37.80%
 Ghana,37.40%
 Timor-Leste,37.30%
 Gabon,37.20%
 Tajikistan,37.10%
 Equatorial Guinea,37.00%
 Namibia,36.90%
 Kiribati,35.80%
 Papua New Guinea,35.50%
 Pakistan,35.10%
Tonga,35.10%
 Guatemala,33.90%
 Botswana,33.80%
 Egypt,33.80%
 Jordan,33.60%
 Haiti,32.90%
 Kyrgyzstan,32.50%
 Lesotho,32.50%
 Laos,32.30%
 Micronesia,31.50%
 Honduras,31.20%
 Cambodia,31.10%
 Syria,31.10%
 Mongolia,30.80%
 Turkmenistan,30.80%
 Bolivia,30.60%
 Algeria,30.60%
 Philippines,30.50%
 Nicaragua,29.90%
 Belize,29.70%
 Nepal,29.60%
 Fiji,29.30%
 Djibouti,29.20%
 Paraguay,29.20%
 South Africa,29.00%
 Kazakhstan,28.90%
 Uzbekistan,28.80%
 Cape Verde,28.40%
 Libya,28.10%
 Guyana,27.90%
 Israel,27.90%
 Dominican Republic,27.70%
 Ecuador,27.70%
 Venezuela,27.40%
 Bangladesh,27.20%
 Morocco,27.00%
 El Salvador,26.90%
 Suriname,26.90%
 Panama,26.80%
 India,26.60%
 Indonesia,26.20%
 Mexico,26.20%
 Myanmar,25.90%
 Lebanon,25.60%
 Bhutan,25.30%
 Peru,25.30%
 Saudi Arabia,24.90%
 Iran,24.70%
 Argentina,24.60%
 Turkey,24.30%
 Tunisia,24.20%
 Guam,24.10%
 Sri Lanka,24.00%
 Grenada,23.70%
 Malaysia,23.70%
 Seychelles,23.70%
 Jamaica,23.50%
Azerbaijan,23.40%
 Vietnam,23.20%
 Brunei,22.60%
 Colombia,22.60%
 French Polynesia,22.60%
 New Caledonia,22.40%
 Oman,22.40%
 St. Vincent and the Grenadines,22.20%
 Bahamas,22.10%
 Antigua and Barbuda,22.00%
 Kuwait,21.60%
 Ireland,21.20%
 Costa Rica,21.10%
 Brazil,21.00%
 Armenia,20.80%
 Uruguay,20.50%
 Trinidad and Tobago,20.30%
 Georgia,20.00%
 North Korea,20.00%
 Maldives,19.90%
 Iceland,19.60%
 New Zealand,19.60%
 Chile,19.50%
 U.S. Virgin Islands,19.50%
 Australia,19.30%
 Bahrain,18.70%
 Curacao,18.50%
 United States,18.50%
 St. Lucia,18.20%
 Montenegro,18.20%
 Russia,18.20%
 China,17.80%
 France,17.80%
 United Kingdom,17.70%
 Aruba,17.60%
 Sweden,17.60%
 Albania,17.40%
 Norway,17.40%
 Mauritius,17.30%
 Belgium,17.10%
 Barbados,17.10%
 Belarus,17.00%
 Thailand,16.80%
 Cyprus,16.70%
 Estonia,16.50%
 Denmark,16.40%
 North Macedonia,16.40%
 Latvia,16.30%
 Puerto Rico,16.30%
 Cuba,16.00%
 Finland,16.00%
 Moldova,15.90%
 Netherlands,15.90%
 Ukraine,15.90%
 Canada,15.80%
 Czech Republic,15.70%
 Luxembourg,15.70%
 Romania,15.60%
 Serbia,15.50%
 Slovakia,15.50%
 Poland,15.20%
Channel Islands,15.10%
 Lithuania,15.10%
 Slovenia,15.10%
 Switzerland,14.90%
 United Arab Emirates,14.70%
 Bulgaria,14.70%
 Bosnia and Herzegovina,14.70%
 Spain,14.60%
 Croatia,14.60%
 Austria,14.40%
 Hungary,14.40%
 Malta,14.30%
" Macao SAR, China",14.00%
 Greece,13.90%
 Germany,13.80%
 Qatar,13.60%
 Portugal,13.30%
 Italy,13.20%
 South Korea,12.70%
 Japan,12.60%
" Hong Kong SAR, China",12.30%
 Singapore,12.30%
