Country,"Share of Population Older Than 65 (% of total, 2019)"
 Japan,28.00%
 Italy,23.00%
 Portugal,22.40%
 Finland,22.10%
 Greece,21.90%
 Germany,21.50%
 Bulgaria,21.20%
 Croatia,20.80%
 Malta,20.80%
 France,20.30%
 Latvia,20.30%
 Sweden,20.10%
 Slovenia,20.10%
 Lithuania,20.10%
 Estonia,19.90%
 Denmark,19.90%
 U.S. Virgin Islands,19.80%
 Czech Republic,19.80%
 Puerto Rico,19.60%
 Hungary,19.60%
 Spain,19.60%
 Netherlands,19.60%
 Austria,19.00%
 Belgium,19.00%
 Switzerland,18.80%
 Romania,18.70%
 Serbia,18.70%
 United Kingdom,18.50%
 Poland,18.10%
 Canada,17.60%
Channel Islands,17.60%
" Hong Kong SAR, China",17.40%
 Norway,17.20%
 Bosnia and Herzegovina,17.20%
 Curaçao,17.10%
 Ukraine,16.70%
 Barbados,16.20%
 United States,16.20%
 Slovakia,16.10%
 New Zealand,15.90%
 Australia,15.90%
 Cuba,15.50%
 Montenegro,15.30%
 Belarus,15.20%
 Iceland,15.10%
 Russia,15.00%
 Georgia,15.00%
 South Korea,15.00%
 Uruguay,14.90%
 Luxembourg,14.20%
 Ireland,14.20%
 Albania,14.20%
 North Macedonia,14.00%
 Aruba,14.00%
 Cyprus,14.00%
 Thailand,12.40%
 Singapore,12.30%
 Israel,12.20%
 Moldova,12.00%
 Mauritius,11.90%
 Chile,11.80%
 Armenia,11.40%
 China,11.40%
 Argentina,11.20%
" Macao SAR, China",11.20%
 Trinidad and Tobago,11.10%
 Sri Lanka,10.80%
 Guam,10.10%
 St. Lucia,10.00%
 Costa Rica,9.80%
 St. Vincent and the Grenadines,9.70%
 Grenada,9.60%
 New Caledonia,9.40%
 North Korea,9.20%
 Brazil,9.20%
 Antigua and Barbuda,9.00%
 Jamaica,8.90%
 Colombia,8.70%
 Turkey,8.70%
 French Polynesia,8.60%
 Tunisia,8.50%
 El Salvador,8.40%
 Peru,8.30%
 Panama,8.30%
 Seychelles,7.80%
 Kazakhstan,7.60%
 Venezuela,7.60%
 Vietnam,7.50%
 Bahamas,7.40%
 Mexico,7.40%
 Ecuador,7.30%
 Bolivia,7.30%
 Morocco,7.30%
 Dominican Republic,7.20%
 Lebanon,7.20%
 Suriname,7.00%
 Malaysia,6.90%
 Guyana,6.70%
 Paraguay,6.60%
 Algeria,6.50%
 Azerbaijan,6.40%
 India,6.30%
 Iran,6.30%
 Bhutan,6.00%
 Indonesia,6.00%
 Myanmar,6.00%
 Tonga,5.90%
 Nepal,5.70%
 Fiji,5.60%
 Nicaragua,5.40%
 South Africa,5.40%
 Philippines,5.30%
 Egypt,5.20%
 Brunei,5.20%
 Bangladesh,5.10%
 Haiti,5.00%
 Samoa,4.90%
 Guatemala,4.90%
 Lesotho,4.90%
 Belize,4.80%
 Honduras,4.80%
 Cambodia,4.70%
 Cape Verde,4.60%
 Syria,4.60%
 Djibouti,4.60%
 Kyrgyzstan,4.60%
 Uzbekistan,4.50%
 Turkmenistan,4.50%
 Libya,4.40%
 Botswana,4.30%
 Pakistan,4.30%
 Timor-Leste,4.20%
 Micronesia,4.10%
 Mongolia,4.10%
 Laos,4.10%
 Kiribati,4.00%
 Eswatini,4.00%
 Jordan,3.80%
 Maldives,3.60%
 Solomon Islands,3.60%
 Sudan,3.60%
 Vanuatu,3.60%
 Namibia,3.60%
 Gabon,3.50%
 Ethiopia,3.50%
 Papua New Guinea,3.50%
 Saudi Arabia,3.40%
 Iraq,3.30%
 South Sudan,3.30%
 Liberia,3.20%
 Benin,3.20%
 Mauritania,3.10%
 Senegal,3.00%
 Ghana,3.00%
 Tajikistan,3.00%
 Comoros,3.00%
 Madagascar,3.00%
 Rwanda,3.00%
 Democratic Republic of the Congo,3.00%
 Zimbabwe,2.90%
 Sao Tome and Principe,2.90%
 Sierra Leone,2.90%
 Guinea,2.90%
 Yemen,2.90%
 Somalia,2.80%
 Togo,2.80%
 Mozambique,2.80%
 Cote d'Ivoire,2.80%
 Guinea-Bissau,2.80%
 Central African Republic,2.80%
 Kuwait,2.70%
 Nigeria,2.70%
 Cameroon,2.70%
 Congo,2.70%
 Malawi,2.60%
 Tanzania,2.60%
 Afghanistan,2.60%
 Niger,2.50%
 The Gambia,2.50%
 Bahrain,2.50%
 Mali,2.40%
 Chad,2.40%
 Oman,2.40%
 Equatorial Guinea,2.40%
 Kenya,2.40%
 Burkina Faso,2.40%
 Burundi,2.30%
 Angola,2.10%
 Zambia,2.10%
 Uganda,1.90%
 Qatar,1.50%
 United Arab Emirates,1.10%
