"year","value","country"
"1951",0,"Afghanistan"
"1951",0,"Azerbaijan"
"1951",0,"Colombia"
"1951",0,"Côte d'Ivoire"
"1951",0,"Dem. Rep. of the Congo"
"1951",290000,"France"
"1951",265000,"Germany"
"1951",0,"Iran (Islamic Rep. of)"
"1951",0,"Iraq"
"1951",0,"Kenya"
"1951",0,"Pakistan"
"1951",0,"Russian Federation"
"1951",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1951",0,"Somalia"
"1951",0,"Sudan"
"1951",0,"Syria"
"1951",0,"Thailand"
"1951",0,"Uganda"
"1951",0,"United Rep. of Tanzania"
"1951",350000,"United States of America"
"1952",0,"Afghanistan"
"1952",0,"Azerbaijan"
"1952",0,"Colombia"
"1952",0,"Côte d'Ivoire"
"1952",0,"Dem. Rep. of the Congo"
"1952",280000,"France"
"1952",240000,"Germany"
"1952",0,"Iran (Islamic Rep. of)"
"1952",0,"Iraq"
"1952",0,"Kenya"
"1952",0,"Pakistan"
"1952",0,"Russian Federation"
"1952",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1952",0,"Somalia"
"1952",0,"Sudan"
"1952",0,"Syria"
"1952",0,"Thailand"
"1952",0,"Uganda"
"1952",0,"United Rep. of Tanzania"
"1952",500000,"United States of America"
"1953",0,"Afghanistan"
"1953",0,"Azerbaijan"
"1953",0,"Colombia"
"1953",0,"Côte d'Ivoire"
"1953",0,"Dem. Rep. of the Congo"
"1953",270000,"France"
"1953",228000,"Germany"
"1953",0,"Iran (Islamic Rep. of)"
"1953",0,"Iraq"
"1953",0,"Kenya"
"1953",0,"Pakistan"
"1953",0,"Russian Federation"
"1953",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1953",0,"Somalia"
"1953",0,"Sudan"
"1953",0,"Syria"
"1953",0,"Thailand"
"1953",0,"Uganda"
"1953",0,"United Rep. of Tanzania"
"1953",500000,"United States of America"
"1954",0,"Afghanistan"
"1954",0,"Azerbaijan"
"1954",0,"Colombia"
"1954",0,"Côte d'Ivoire"
"1954",0,"Dem. Rep. of the Congo"
"1954",263000,"France"
"1954",225000,"Germany"
"1954",0,"Iran (Islamic Rep. of)"
"1954",0,"Iraq"
"1954",0,"Kenya"
"1954",0,"Pakistan"
"1954",0,"Russian Federation"
"1954",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1954",0,"Somalia"
"1954",0,"Sudan"
"1954",0,"Syria"
"1954",0,"Thailand"
"1954",0,"Uganda"
"1954",0,"United Rep. of Tanzania"
"1954",500000,"United States of America"
"1955",0,"Afghanistan"
"1955",0,"Azerbaijan"
"1955",0,"Colombia"
"1955",0,"Côte d'Ivoire"
"1955",0,"Dem. Rep. of the Congo"
"1955",345415,"France"
"1955",219000,"Germany"
"1955",0,"Iran (Islamic Rep. of)"
"1955",0,"Iraq"
"1955",0,"Kenya"
"1955",0,"Pakistan"
"1955",0,"Russian Federation"
"1955",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1955",0,"Somalia"
"1955",0,"Sudan"
"1955",0,"Syria"
"1955",0,"Thailand"
"1955",0,"Uganda"
"1955",0,"United Rep. of Tanzania"
"1955",500000,"United States of America"
"1956",0,"Afghanistan"
"1956",0,"Azerbaijan"
"1956",0,"Colombia"
"1956",0,"Côte d'Ivoire"
"1956",0,"Dem. Rep. of the Congo"
"1956",363290,"France"
"1956",221000,"Germany"
"1956",0,"Iran (Islamic Rep. of)"
"1956",0,"Iraq"
"1956",0,"Kenya"
"1956",0,"Pakistan"
"1956",0,"Russian Federation"
"1956",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1956",0,"Somalia"
"1956",0,"Sudan"
"1956",0,"Syria"
"1956",0,"Thailand"
"1956",0,"Uganda"
"1956",0,"United Rep. of Tanzania"
"1956",500000,"United States of America"
"1957",0,"Afghanistan"
"1957",0,"Azerbaijan"
"1957",0,"Colombia"
"1957",0,"Côte d'Ivoire"
"1957",0,"Dem. Rep. of the Congo"
"1957",389480,"France"
"1957",217000,"Germany"
"1957",0,"Iran (Islamic Rep. of)"
"1957",0,"Iraq"
"1957",0,"Kenya"
"1957",0,"Pakistan"
"1957",0,"Russian Federation"
"1957",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1957",0,"Somalia"
"1957",0,"Sudan"
"1957",0,"Syria"
"1957",0,"Thailand"
"1957",0,"Uganda"
"1957",0,"United Rep. of Tanzania"
"1957",500000,"United States of America"
"1958",0,"Afghanistan"
"1958",0,"Azerbaijan"
"1958",0,"Colombia"
"1958",0,"Côte d'Ivoire"
"1958",0,"Dem. Rep. of the Congo"
"1958",381152,"France"
"1958",212000,"Germany"
"1958",0,"Iran (Islamic Rep. of)"
"1958",0,"Iraq"
"1958",0,"Kenya"
"1958",0,"Pakistan"
"1958",0,"Russian Federation"
"1958",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1958",0,"Somalia"
"1958",0,"Sudan"
"1958",0,"Syria"
"1958",0,"Thailand"
"1958",0,"Uganda"
"1958",0,"United Rep. of Tanzania"
"1958",500000,"United States of America"
"1959",0,"Afghanistan"
"1959",0,"Azerbaijan"
"1959",0,"Colombia"
"1959",0,"Côte d'Ivoire"
"1959",0,"Dem. Rep. of the Congo"
"1959",387201,"France"
"1959",205000,"Germany"
"1959",0,"Iran (Islamic Rep. of)"
"1959",0,"Iraq"
"1959",0,"Kenya"
"1959",0,"Pakistan"
"1959",0,"Russian Federation"
"1959",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1959",0,"Somalia"
"1959",0,"Sudan"
"1959",0,"Syria"
"1959",0,"Thailand"
"1959",0,"Uganda"
"1959",0,"United Rep. of Tanzania"
"1959",500000,"United States of America"
"1960",0,"Afghanistan"
"1960",0,"Azerbaijan"
"1960",0,"Colombia"
"1960",0,"Côte d'Ivoire"
"1960",150000,"Dem. Rep. of the Congo"
"1960",245935,"France"
"1960",197000,"Germany"
"1960",0,"Iran (Islamic Rep. of)"
"1960",0,"Iraq"
"1960",0,"Kenya"
"1960",0,"Pakistan"
"1960",0,"Russian Federation"
"1960",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1960",0,"Somalia"
"1960",0,"Sudan"
"1960",0,"Syria"
"1960",0,"Thailand"
"1960",0,"Uganda"
"1960",0,"United Rep. of Tanzania"
"1960",500000,"United States of America"
"1961",0,"Afghanistan"
"1961",0,"Azerbaijan"
"1961",0,"Colombia"
"1961",0,"Côte d'Ivoire"
"1961",203000,"Dem. Rep. of the Congo"
"1961",253375,"France"
"1961",190000,"Germany"
"1961",0,"Iran (Islamic Rep. of)"
"1961",0,"Iraq"
"1961",0,"Kenya"
"1961",0,"Pakistan"
"1961",0,"Russian Federation"
"1961",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1961",0,"Somalia"
"1961",0,"Sudan"
"1961",0,"Syria"
"1961",0,"Thailand"
"1961",52000,"Uganda"
"1961",12000,"United Rep. of Tanzania"
"1961",500000,"United States of America"
"1962",0,"Afghanistan"
"1962",0,"Azerbaijan"
"1962",0,"Colombia"
"1962",0,"Côte d'Ivoire"
"1962",223000,"Dem. Rep. of the Congo"
"1962",259740,"France"
"1962",185000,"Germany"
"1962",2000,"Iran (Islamic Rep. of)"
"1962",0,"Iraq"
"1962",0,"Kenya"
"1962",0,"Pakistan"
"1962",0,"Russian Federation"
"1962",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1962",0,"Somalia"
"1962",0,"Sudan"
"1962",0,"Syria"
"1962",0,"Thailand"
"1962",52000,"Uganda"
"1962",12000,"United Rep. of Tanzania"
"1962",500000,"United States of America"
"1963",0,"Afghanistan"
"1963",0,"Azerbaijan"
"1963",0,"Colombia"
"1963",0,"Côte d'Ivoire"
"1963",237000,"Dem. Rep. of the Congo"
"1963",174057,"France"
"1963",182000,"Germany"
"1963",1500,"Iran (Islamic Rep. of)"
"1963",0,"Iraq"
"1963",0,"Kenya"
"1963",0,"Pakistan"
"1963",0,"Russian Federation"
"1963",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1963",0,"Somalia"
"1963",0,"Sudan"
"1963",0,"Syria"
"1963",0,"Thailand"
"1963",59000,"Uganda"
"1963",12000,"United Rep. of Tanzania"
"1963",500000,"United States of America"
"1964",0,"Afghanistan"
"1964",0,"Azerbaijan"
"1964",0,"Colombia"
"1964",0,"Côte d'Ivoire"
"1964",236000,"Dem. Rep. of the Congo"
"1964",175861,"France"
"1964",180000,"Germany"
"1964",0,"Iran (Islamic Rep. of)"
"1964",0,"Iraq"
"1964",0,"Kenya"
"1964",0,"Pakistan"
"1964",0,"Russian Federation"
"1964",0,"Serbia and Kosovo (S/RES/1244 (1999))"
"1964",0,"Somalia"
"1964",0,"Sudan"
"1964",0,"Syria"
"1964",0,"Thailand"
"1964",113000,"Uganda"
"1964",25000,"United Rep. of Tanzania"
"1964",500000,"United States of America"
"1965",0,"Afghanistan"
"1965",0,"Azerbaijan"
"1965",0,"Colombia"
"1965",0,"Côte d'Ivoire"
"1965",266300,"Dem. Rep. of the Congo"
"1965",177665,"France"
"1965",180000,"Germany"
"1965",0,"Iran (Islamic Rep. of)"
"1965",0,"Iraq"
"1965",0,"Kenya"
"1965",0,"Pakistan"
"1965",0,"Russian Federation"
"1965",25820,"Serbia and Kosovo (S/RES/1244 (1999))"
"1965",0,"Somalia"
"1965",0,"Sudan"
"1965",0,"Syria"
"1965",0,"Thailand"
"1965",154400,"Uganda"
"1965",31000,"United Rep. of Tanzania"
"1965",510000,"United States of America"
"1966",0,"Afghanistan"
"1966",0,"Azerbaijan"
"1966",0,"Colombia"
"1966",0,"Côte d'Ivoire"
"1966",357100,"Dem. Rep. of the Congo"
"1966",179468,"France"
"1966",140000,"Germany"
"1966",0,"Iran (Islamic Rep. of)"
"1966",0,"Iraq"
"1966",0,"Kenya"
"1966",0,"Pakistan"
"1966",0,"Russian Federation"
"1966",26100,"Serbia and Kosovo (S/RES/1244 (1999))"
"1966",0,"Somalia"
"1966",0,"Sudan"
"1966",0,"Syria"
"1966",0,"Thailand"
"1966",157000,"Uganda"
"1966",36150,"United Rep. of Tanzania"
"1966",500000,"United States of America"
"1967",0,"Afghanistan"
"1967",0,"Azerbaijan"
"1967",0,"Colombia"
"1967",0,"Côte d'Ivoire"
"1967",434100,"Dem. Rep. of the Congo"
"1967",177200,"France"
"1967",112000,"Germany"
"1967",0,"Iran (Islamic Rep. of)"
"1967",0,"Iraq"
"1967",0,"Kenya"
"1967",0,"Pakistan"
"1967",0,"Russian Federation"
"1967",26210,"Serbia and Kosovo (S/RES/1244 (1999))"
"1967",0,"Somalia"
"1967",33000,"Sudan"
"1967",0,"Syria"
"1967",0,"Thailand"
"1967",162760,"Uganda"
"1967",39950,"United Rep. of Tanzania"
"1967",480000,"United States of America"
"1968",0,"Afghanistan"
"1968",0,"Azerbaijan"
"1968",0,"Colombia"
"1968",0,"Côte d'Ivoire"
"1968",475400,"Dem. Rep. of the Congo"
"1968",176736,"France"
"1968",110000,"Germany"
"1968",300,"Iran (Islamic Rep. of)"
"1968",0,"Iraq"
"1968",0,"Kenya"
"1968",0,"Pakistan"
"1968",0,"Russian Federation"
"1968",26270,"Serbia and Kosovo (S/RES/1244 (1999))"
"1968",0,"Somalia"
"1968",38300,"Sudan"
"1968",0,"Syria"
"1968",0,"Thailand"
"1968",175730,"Uganda"
"1968",46050,"United Rep. of Tanzania"
"1968",498000,"United States of America"
"1969",0,"Afghanistan"
"1969",0,"Azerbaijan"
"1969",0,"Colombia"
"1969",12000,"Côte d'Ivoire"
"1969",496550,"Dem. Rep. of the Congo"
"1969",175242,"France"
"1969",113000,"Germany"
"1969",300,"Iran (Islamic Rep. of)"
"1969",0,"Iraq"
"1969",0,"Kenya"
"1969",0,"Pakistan"
"1969",0,"Russian Federation"
"1969",26120,"Serbia and Kosovo (S/RES/1244 (1999))"
"1969",0,"Somalia"
"1969",38300,"Sudan"
"1969",0,"Syria"
"1969",0,"Thailand"
"1969",177650,"Uganda"
"1969",55150,"United Rep. of Tanzania"
"1969",500000,"United States of America"
"1970",0,"Afghanistan"
"1970",0,"Azerbaijan"
"1970",1500,"Colombia"
"1970",0,"Côte d'Ivoire"
"1970",493000,"Dem. Rep. of the Congo"
"1970",158543,"France"
"1970",115000,"Germany"
"1970",0,"Iran (Islamic Rep. of)"
"1970",0,"Iraq"
"1970",930,"Kenya"
"1970",0,"Pakistan"
"1970",0,"Russian Federation"
"1970",26120,"Serbia and Kosovo (S/RES/1244 (1999))"
"1970",0,"Somalia"
"1970",61200,"Sudan"
"1970",0,"Syria"
"1970",0,"Thailand"
"1970",180370,"Uganda"
"1970",71700,"United Rep. of Tanzania"
"1970",500000,"United States of America"
"1971",0,"Afghanistan"
"1971",0,"Azerbaijan"
"1971",1400,"Colombia"
"1971",300,"Côte d'Ivoire"
"1971",484250,"Dem. Rep. of the Congo"
"1971",141844,"France"
"1971",125000,"Germany"
"1971",0,"Iran (Islamic Rep. of)"
"1971",0,"Iraq"
"1971",2600,"Kenya"
"1971",0,"Pakistan"
"1971",0,"Russian Federation"
"1971",24000,"Serbia and Kosovo (S/RES/1244 (1999))"
"1971",0,"Somalia"
"1971",61140,"Sudan"
"1971",0,"Syria"
"1971",0,"Thailand"
"1971",182560,"Uganda"
"1971",71530,"United Rep. of Tanzania"
"1971",530000,"United States of America"
"1972",0,"Afghanistan"
"1972",0,"Azerbaijan"
"1972",1350,"Colombia"
"1972",0,"Côte d'Ivoire"
"1972",510250,"Dem. Rep. of the Congo"
"1972",98900,"France"
"1972",125000,"Germany"
"1972",0,"Iran (Islamic Rep. of)"
"1972",0,"Iraq"
"1972",2640,"Kenya"
"1972",0,"Pakistan"
"1972",0,"Russian Federation"
"1972",26700,"Serbia and Kosovo (S/RES/1244 (1999))"
"1972",0,"Somalia"
"1972",57610,"Sudan"
"1972",0,"Syria"
"1972",0,"Thailand"
"1972",184900,"Uganda"
"1972",165000,"United Rep. of Tanzania"
"1972",530000,"United States of America"
"1973",0,"Afghanistan"
"1973",0,"Azerbaijan"
"1973",1450,"Colombia"
"1973",0,"Côte d'Ivoire"
"1973",496060,"Dem. Rep. of the Congo"
"1973",101830,"France"
"1973",125000,"Germany"
"1973",0,"Iran (Islamic Rep. of)"
"1973",0,"Iraq"
"1973",3220,"Kenya"
"1973",0,"Pakistan"
"1973",0,"Russian Federation"
"1973",26290,"Serbia and Kosovo (S/RES/1244 (1999))"
"1973",0,"Somalia"
"1973",50900,"Sudan"
"1973",0,"Syria"
"1973",0,"Thailand"
"1973",168250,"Uganda"
"1973",181070,"United Rep. of Tanzania"
"1973",530000,"United States of America"
"1974",0,"Afghanistan"
"1974",0,"Azerbaijan"
"1974",1200,"Colombia"
"1974",0,"Côte d'Ivoire"
"1974",503250,"Dem. Rep. of the Congo"
"1974",105538,"France"
"1974",123000,"Germany"
"1974",0,"Iran (Islamic Rep. of)"
"1974",0,"Iraq"
"1974",2740,"Kenya"
"1974",0,"Pakistan"
"1974",0,"Russian Federation"
"1974",26300,"Serbia and Kosovo (S/RES/1244 (1999))"
"1974",0,"Somalia"
"1974",53700,"Sudan"
"1974",0,"Syria"
"1974",0,"Thailand"
"1974",118610,"Uganda"
"1974",200290,"United Rep. of Tanzania"
"1974",530000,"United States of America"
"1975",0,"Afghanistan"
"1975",0,"Azerbaijan"
"1975",0,"Colombia"
"1975",300000,"Côte d'Ivoire"
"1975",510000,"Dem. Rep. of the Congo"
"1975",109882,"France"
"1975",122000,"Germany"
"1975",0,"Iran (Islamic Rep. of)"
"1975",0,"Iraq"
"1975",2450,"Kenya"
"1975",0,"Pakistan"
"1975",0,"Russian Federation"
"1975",26300,"Serbia and Kosovo (S/RES/1244 (1999))"
"1975",0,"Somalia"
"1975",95500,"Sudan"
"1975",0,"Syria"
"1975",75940,"Thailand"
"1975",112630,"Uganda"
"1975",208060,"United Rep. of Tanzania"
"1975",530000,"United States of America"
"1976",0,"Afghanistan"
"1976",0,"Azerbaijan"
"1976",0,"Colombia"
"1976",500070,"Côte d'Ivoire"
"1976",515000,"Dem. Rep. of the Congo"
"1976",114634,"France"
"1976",122000,"Germany"
"1976",0,"Iran (Islamic Rep. of)"
"1976",0,"Iraq"
"1976",2940,"Kenya"
"1976",0,"Pakistan"
"1976",0,"Russian Federation"
"1976",26000,"Serbia and Kosovo (S/RES/1244 (1999))"
"1976",0,"Somalia"
"1976",110100,"Sudan"
"1976",0,"Syria"
"1976",82870,"Thailand"
"1976",113130,"Uganda"
"1976",157470,"United Rep. of Tanzania"
"1976",500000,"United States of America"
"1977",0,"Afghanistan"
"1977",0,"Azerbaijan"
"1977",1800,"Colombia"
"1977",0,"Côte d'Ivoire"
"1977",530300,"Dem. Rep. of the Congo"
"1977",119413,"France"
"1977",120000,"Germany"
"1977",0,"Iran (Islamic Rep. of)"
"1977",0,"Iraq"
"1977",6010,"Kenya"
"1977",0,"Pakistan"
"1977",0,"Russian Federation"
"1977",2000,"Serbia and Kosovo (S/RES/1244 (1999))"
"1977",500000,"Somalia"
"1977",151100,"Sudan"
"1977",0,"Syria"
"1977",97600,"Thailand"
"1977",113570,"Uganda"
"1977",164610,"United Rep. of Tanzania"
"1977",684700,"United States of America"
"1978",0,"Afghanistan"
"1978",0,"Azerbaijan"
"1978",1500,"Colombia"
"1978",0,"Côte d'Ivoire"
"1978",713330,"Dem. Rep. of the Congo"
"1978",126229,"France"
"1978",83500,"Germany"
"1978",0,"Iran (Islamic Rep. of)"
"1978",0,"Iraq"
"1978",6500,"Kenya"
"1978",0,"Pakistan"
"1978",0,"Russian Federation"
"1978",1970,"Serbia and Kosovo (S/RES/1244 (1999))"
"1978",608880,"Somalia"
"1978",270090,"Sudan"
"1978",170,"Syria"
"1978",138950,"Thailand"
"1978",113680,"Uganda"
"1978",160960,"United Rep. of Tanzania"
"1978",734000,"United States of America"
"1979",0,"Afghanistan"
"1979",0,"Azerbaijan"
"1979",2000,"Colombia"
"1979",0,"Côte d'Ivoire"
"1979",780480,"Dem. Rep. of the Congo"
"1979",119489,"France"
"1979",87000,"Germany"
"1979",130100,"Iran (Islamic Rep. of)"
"1979",400,"Iraq"
"1979",7210,"Kenya"
"1979",400000,"Pakistan"
"1979",0,"Russian Federation"
