,Africa Life Expectancy + Population,,,,,
country,life expectancy 1960,life expectancy 1990,life expectancy 2015,population,source,URL
AFRICA AVERAGE,41.4,53.3,62.2,"1,172,224,352",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Algeria,46.1,66.7,75.9,"40,100,000",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Angola,33.2,41.7,61.2,"24,383,301",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Benin,37.3,53.7,60.6,"10,008,749",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Botswana,50.5,61.8,65.8,"2,024,904",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Burkina Faso,34.5,49.4,59.8,"18,450,494",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Burundi,41.2,48,57.1,"9,823,828",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Cabo Verde,48.9,64.7,72.4,"491,875",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Cameroon,41.5,52.2,57.6,"21,917,602",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Central African Republic,36.5,48.7,51.4,"3,859,139",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Chad,38,46.9,52.6,"11,039,873",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Comoros,41.4,56.7,63.5,"806,200",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
"Congo, Dem. Rep.",41,49,59.2,"86,026,000",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
"Congo, Rep.",48.6,55.9,64.1,"3,697,490",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Cote d'Ivoire,36.9,52.6,53.1,"22,671,331",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Djibouti,44,56.7,62.2,"864,618",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Egypt,48,64.5,71.3,"96,983,083",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Equatorial Guinea,36.7,48.2,57.5,"1,222,442",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Eritrea,38.4,49.6,64.6,"6,536,000",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Eswatini (formerly Swaziland),44.2,60.2,56.9,"1,119,375",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Ethiopia,38.4,47.1,65,"99,391,000",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Gabon,39.6,61.1,65.7,"1,802,278",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
"Gambia, The",32,52.2,61,"1,882,450",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Ghana,45.8,56.8,62.4,"27,043,093",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Guinea,34.9,49.9,59.4,"10,628,972",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Guinea-Bissau,37.8,49,57,"1,530,673",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Kenya,46.4,57.5,66.6,"45,533,000",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Lesotho,46.5,59.1,53.6,"1,894,194",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Liberia,34.8,47.2,62,"3,476,608",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Libya,42.6,68.6,71.8,"5,298,152",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Madagascar,40,51,65.5,"22,434,363",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Malawi,37.8,46.5,62.5,"16,832,900",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Mali,28.2,45.7,57.5,"14,528,662",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Mauritania,43.5,58.4,63,"3,718,678",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Mauritius,58.7,69.4,74.4,"1,261,208",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Morocco,48.4,64.7,75.5,"33,337,529",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Mozambique,35,42.8,57.6,"28,013,000",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Namibia,46.9,61.5,63.6,"2,280,700",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Niger,35,43.5,59.7,"17,138,707",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Nigeria,37,45.9,53,"193,392,517",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Rwanda,42.2,34.2,66.6,"10,515,973",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Sao Tome & Principe,50.5,61.8,66.4,"179,200",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Senegal,38.2,57.2,66.7,"14,354,690",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
Sierra Leone,30.3,37.4,51.4,"6,348,350",World Bank,https://data.worldbank.org/indicator/SP.DYN.LE00.IN
