department,i,ii,iii
AIN,67,43,40
AISNE,56,71,66
ALLIER,65,45,57
Bses ALPES,15,8,12
Htes ALPES,16,8,13
ALPES Mmes,31,61,122
ARDECHE,48,32,25
ARDENNES,25,53,35
ARIEGE,33,17,14
AUBE,28,48,36
AUDE,50,20,32
AVEYRON,70,32,29
BOUCHES DU RH.,42,143,226
CALVADOS,70,55,69
CANTAL,45,13,20
CHARENTE,65,36,38
CHARENTE Mme,79,39,65
CHER,43,41,36
CORREZE,64,23,29
COTE D'OR,43,41,59
COTES DU NORD,131,35,62
CREUSE,58,13,17
DORDOGNE,104,34,41
DOUBS,35,67,39
DROME,46,38,35
EURE,48,52,45
EURE & LOIR,44,27,38
FINISTERE,164,76,89
GARD,40,51,52
HAUTE GARONNE,64,67,84
GERS,63,10,16
GIRONDE,115,107,170
HERAULT,62,40,71
ILLE & V.,137,60,82
INDRE,54,30,32
INDRE & L.,61,41,55
ISERE,68,136,78
JURA,39,34,27
LANDES,70,25,28
LOIR & CHER,51,27,30
LOIRE,56,160,82
Hte LOIRE,52,23,22
LOIRE INF.,101,108,105
LOIRET,51,51,54
LOT,41,10,16
LOT & GAR.,70,24,30
LOZERE,22,5,7
MAINE & L.,104,65,65
MANCHE,116,42,56
MARNE,44,57,67
Hte MARNE,25,28,28
MAYENNE,74,23,28
MEURTHE & M.,23,127,91
MEUSE,24,31,27
MORBIHAN,132,47,59
MOSELLE,36,173,94
NIEVRE,34,27,33
NORD,81,483,296
OISE,40,69,55
ORNE,65,30,35
P.D.C.,94,242,137
PUY DE DOME,80,79,63
Bses PYRENEES,80,49,62
Htes PYRENEES,37,27,28
PYRENEES ORIENT.,35,20,33
BAS-RHIN,76,122,114
Ht-RHIN,40,121,74
RHONE,44,215,194
Hte SAONE,34,32,23
SAONE & L.,94,77,62
SARTHE,87,45,58
SAVOIE,44,38,35
Hte SAVOIE,52,42,45
PARIS,2,575,940
SEINE,8,574,550
SEINE INF.,75,152,174
SEINE & M.,37,72,76
SEINE & O.,46,328,356
DEUX-SEVRES,71,29,33
SOMME,57,68,61
TARN,55,47,33
TARN & G.,44,13,18
VAR,33,50,81
VAUCLUSE,40,30,41
VENDEE,110,38,40
VIENNE,60,29,39
Hte VIENNE,64,47,45
VOSGES,36,95,43
YONNE,41,28,37
BELFORT,3,25,13
