under_five_mortality_rate,% change 1950-2015
South Korea,-98.40%
Mayotte,-98.30%
Reunion,-98.30%
Portugal,-98.01%
Maldives,-97.72%
United Arab Emirates,-97.72%
Hong Kong,-97.53%
Singapore,-97.41%
Belarus,-97.39%
Oman,-97.34%
Estonia,-97.20%
Lithuania,-97.10%
Bahrain,-97.04%
Spain,-96.60%
Japan,-96.57%
Bosnia & Herzegovina,-96.45%
Taiwan,-96.18%
Italy,-96.16%
Croatia,-96.12%
Macao,-96.11%
Guadeloupe,-96.08%
French Polynesia,-95.80%
Saudi Arabia,-95.50%
Kuwait,-95.43%
Czech Republic,-95.40%
Qatar,-95.38%
Montenegro,-95.36%
Poland,-95.30%
Austria,-95.03%
Iran,-95.03%
Malaysia,-95.01%
Chile,-94.93%
Egypt,-94.87%
Russia,-94.72%
Latvia,-94.71%
Cyprus,-94.64%
Finland,-94.64%
Cuba,-94.61%
Martinique,-94.56%
Germany,-94.45%
Sri Lanka,-94.44%
Turkey,-94.43%
Macedonia,-94.39%
Hungary,-94.30%
China,-94.19%
Slovakia,-94.14%
Thailand,-94.11%
Ireland,-94.08%
Greece,-93.94%
Brunei,-93.88%
France,-93.88%
Tunisia,-93.85%
Luxembourg,-93.51%
Ukraine,-93.40%
Iceland,-93.22%
Saint Lucia,-93.21%
French Guiana,-93.19%
Mauritius,-93.19%
Costa Rica,-93.14%
Belgium,-93.13%
Bulgaria,-92.98%
Jordan,-92.94%
Israel,-92.83%
Serbia,-92.58%
Albania,-92.44%
New Caledonia,-92.37%
El Salvador,-92.33%
Barbados,-92.23%
Libya,-92.10%
Puerto Rico,-91.98%
Grenada,-91.97%
Nicaragua,-91.93%
Norway,-91.92%
Malta,-91.87%
Guam,-91.64%
Brazil,-91.62%
Romania,-91.61%
North Korea,-91.59%
Antigua & Barbuda,-91.57%
Mongolia,-91.40%
Indonesia,-91.24%
Syria,-91.14%
Bhutan,-91.05%
Slovenia,-90.86%
Venezuela,-90.59%
Iraq,-90.40%
Peru,-90.30%
Dominican Republic,-90.10%
Seychelles,-90.00%
Lebanon,-89.91%
Vanuatu,-89.90%
Sweden,-89.82%
Kazakhstan,-89.77%
Algeria,-89.70%
Palestine,-89.65%
Nepal,-89.61%
Switzerland,-89.60%
Mexico,-89.57%
Bangladesh,-89.55%
Belize,-89.53%
Denmark,-89.40%
Netherlands,-89.36%
Canada,-89.02%
Morocco,-88.73%
Ecuador,-88.71%
Curacao,-88.64%
Fiji,-88.63%
Western Sahara,-88.62%
Kyrgyzstan,-88.60%
Colombia,-88.53%
Guatemala,-88.37%
United States Virgin Islands,-88.34%
Polynesia,-88.20%
Bahamas,-88.09%
Samoa,-87.98%
Georgia,-87.76%
Timor,-87.65%
Cape Verde,-87.49%
United Kingdom,-87.25%
Vietnam,-86.92%
Australia,-86.79%
Honduras,-86.76%
Cambodia,-86.62%
Jamaica,-86.49%
Saint Vincent & the Grenadines,-86.21%
Panama,-86.01%
Moldova,-85.80%
Solomon Islands,-85.78%
Senegal,-85.52%
Armenia,-85.40%
New Zealand,-85.34%
Eritrea,-85.15%
Namibia,-84.95%
Aruba,-84.89%
Yemen,-84.28%
Myanmar,-84.24%
Madagascar,-83.92%
India,-83.39%
Gabon,-83.26%
Argentina,-82.99%
United States,-82.39%
Ethiopia,-82.34%
Afghanistan,-82.30%
Suriname,-82.13%
Gambia,-81.82%
Botswana,-81.63%
Azerbaijan,-81.41%
Philippines,-81.07%
Kenya,-80.25%
World,-80.05%
South Africa,-80.02%
Tajikistan,-79.86%
Rwanda,-79.83%
Channel Islands,-79.66%
Laos,-79.63%
Haiti,-79.03%
Uzbekistan,-79.00%
Liberia,-78.85%
Uruguay,-78.44%
Bolivia,-78.41%
Pakistan,-78.17%
Tanzania,-78.16%
Cote d'Ivoire,-77.88%
Malawi,-77.64%
Burkina Faso,-76.76%
Congo,-76.63%
Melanesia,-76.50%
Swaziland,-76.28%
Togo,-76.27%
Ghana,-75.69%
Papua New Guinea,-75.20%
Comoros,-75.04%
Trinidad & Tobago,-74.75%
Angola,-74.56%
Guinea,-74.01%
Mozambique,-73.95%
Mali,-73.73%
Kiribati,-73.37%
Turkmenistan,-73.30%
South Sudan,-73.27%
Lesotho,-73.00%
Micronesia,-72.92%
Benin,-72.06%
Sao Tome & Principe,-72.06%
Zambia,-71.81%
Tonga,-71.70%
Sierra Leone,-71.20%
Sudan,-70.48%
Djibouti,-70.26%
Equatorial Guinea,-69.95%
Mauritania,-69.95%
Uganda,-69.04%
Zimbabwe,-68.95%
Nigeria,-67.37%
Cameroon,-67.11%
Paraguay,-66.89%
Niger,-66.11%
Somalia,-64.20%
Burundi,-64.20%
Central African Republic,-64.20%
Chad,-64.20%
Democratic Republic of Congo,-64.20%
Guinea-Bissau,-64.20%
Guyana,-64.20%
