Name,"Height, Cm","Height, Feet and inches (rounded to nearest)",Country (leader of)
Abdelaziz Bouteflika,159,5'2,Algeria
Cristina Fernandez de Kirchner,164,5'4,Argentina
Julia Eileen Gillard,166,5'5,Australia
Stephen Harper,188,6'2,Canada
Fidel Castro,190,6'3,Cuba
Tarja Halonen,172,5'8,Finland
François Hollande,170,5'7,France
Nicolas Sarkozy,165,5'5,France
Napoleon,168,5'6,France
Jacques Chirac,189,6'2,France
François Mitterrand,172,5'7,France
Valéry Giscard d’Estaing,189,6'2,France
Georges Pompidou,181,5'11,France
Charles de Gaulle,196,6'5,France
Angela Merkel,165,5'5,Germany
Gerhard Schröder,174,5'8,Germany
Helmut Kohl,193,6'4,Germany
Adolf Hitler,173,5'8,Germany
Viktor Orban,174,5'8,Hungary
Mahmoud Ahmadinejad,157,5'2,Iran
Saddam Hussein,188,6'2,Iraq
David Ben Gurion,152,5'0,Israel
Silvio Berlusconi,165,5'5,Italy
Benito Mussolini,169,5'6,Italy
Yasuo Fukuda,169,5'6,Japan
Kim Yong Ill,160,5'3,Korea (North)
Muammar Gaddafi,183,6'0,Libya
Benito Juarez,137,4'6,Mexico
Josef Stalin,165,5'5,Russia
Dmitry Medvedev,163,5'4,Russia
Vladimir Putin,170,5'7,Russia
Boris Yeltsin,187,6'1,Russia
Vladimir Lenin,165,5'5,Russia
Tony Blair,183,6'0,UK
David Cameron,185,6'1,UK
Winston Churchill,168,5'6,UK
Gordon Brown,180,5'11,UK
Nick Clegg,185,6'1,UK
Margaret Thatcher,165,5'5,UK
Robert Gascoyne-Cecil,193,6'4,UK
Sir Alec Douglas-Home,185,6'1,UK
James Callaghan,185,6'1,UK
Edward Heath,183,6'0,UK
John Major,180,5'11,UK
Queen Elizabeth II,163,5'4,UK
Harold Wilson,173,5'8,UK
George W. Bush,182,5'11,USA
Barack Obama,185,6'1,USA
John F Kennedy,183,6'0,USA
George Washington,187,6'2,USA
Abraham Lincoln,193,6'4,USA
Ronald Reagan,185,6'1,USA
Bill Clinton,184,6'2,USA
George H.W Bush,188,6'2,USA
Gerald Ford,183,6'0,USA
Richard Nixon,182,5'11,USA
Hugo Chávez,173,5'8,Venezuela
