Territory,km2
Macau,32.9
Monaco,2.02
Singapore,722.5
Hong Kong,"1,106"
Gibraltar,6.8
Bahrain,778
Malta,316
Maldives,298
Bermuda,52
Sint Maarten,34
Bangladesh,"143,998"
Guernsey,63.5
Vatican City,0.49
Jersey,120
Palestine,"6,020"
Mayotte,374
Lebanon,"10,452"
Barbados,430
Saint Martin,53.2
Taiwan,"36,197"
Mauritius,"2,040"
Aruba,180
San Marino,61
Nauru,21
South Korea,"100,210"
Saint Barthélemy,21
Rwanda,"26,338"
Comoros,"1,861"
Netherlands,"41,526"
Israel,"22,072"
Haiti,"27,065"
India,"3,287,263"
Burundi,"27,816"
Tuvalu,26
Belgium,"30,689"
Philippines,"300,000"
Curaçao,444
Puerto Rico,"9,104"
Réunion,"2,503.70"
Sri Lanka,"65,610"
Japan,"377,975"
Martinique,"1,128"
Guam,541
El Salvador,"21,040"
Grenada,344
Marshall Islands,181
United States Virgin Islands,352
Saint Lucia,617
Vietnam,"331,212"
American Samoa,197
Saint Vincent and the Grenadines,389
United Kingdom,"242,495"
Pakistan,"803,940"
Trinidad and Tobago,"5,155"
Cayman Islands,259
Jamaica,"10,991"
Kuwait,"17,818"
Liechtenstein,160
Guadeloupe,"1,628.40"
Luxembourg,"2,586"
Qatar,"11,571"
Antigua and Barbuda,442
Germany,"357,168"
Nigeria,"923,768"
Dominican Republic,"47,875"
British Virgin Islands,151
Seychelles,455
North Korea,"120,540"
Saint Kitts and Nevis,270
Gambia,"10,690"
Switzerland,"41,285"
São Tomé and Príncipe,"1,001"
Nepal,"147,516"
Italy,"301,308"
Uganda,"241,551"
Kosovo,"10,910"
Andorra,464
Guatemala,"108,889"
Kiribati,811
Sint Eustatius,21
Federated States of Micronesia,701
Saba,13
Malawi,"118,484"
Isle of Man,572
China,"9,640,821"
Indonesia,"1,904,569"
Tokelau,10
Anguilla,96
Tonga,720
Cape Verde,"4,033"
Czech Republic,"78,867"
Denmark,"43,098"
Togo,"56,600"
Thailand,"513,120"
Ghana,"238,533"
Northern Mariana Islands,457
France,"543,965"
Poland,"312,685"
Jordan,"89,342"
United Arab Emirates,"83,600"
Azerbaijan,"86,600"
Transnistria,"4,163"
Portugal,"92,090"
Slovakia,"49,036"
Sierra Leone,"71,740"
Austria,"83,879"
Turkey,"783,562"
Hungary,"93,029"
Benin,"112,622"
Slovenia,"20,273"
Cuba,"109,884"
Ethiopia,"1,063,652"
Egypt,"1,002,450"
Albania,"28,703"
Armenia,"29,743"
Malaysia,"330,803"
Costa Rica,"51,100"
Dominica,739
Cyprus,"9,251"
Spain,"505,990"
Syria,"185,180"
Cambodia,"181,035"
Iraq,"438,317"
Serbia,"77,474"
Senegal,"196,722"
Kenya,"581,834"
Wallis & Futuna,142
Honduras,"112,492"
Romania,"238,391"
Greece,"131,957"
Morocco,"446,550"
North Macedonia,"25,713"
Myanmar,"676,577"
Ivory Coast,"322,921"
French Polynesia,"3,521"
Moldova,"33,843"
Timor-Leste,"14,919"
Turks and Caicos Islands,497
Burkina Faso,"270,764"
Lesotho,"30,355"
Brunei,"5,765"
Uzbekistan,"447,400"
Croatia,"56,542"
Tunisia,"163,610"
Samoa,"2,831"
Ireland,"70,273"
Ukraine,"603,000"
Bosnia and Herzegovina,"51,209"
Eswatini,"17,364"
Bonaire,288
Mexico,"1,967,138"
Cook Islands,237
Tajikistan,"143,100"
Ecuador,"276,841"
Yemen,"455,000"
Bulgaria,"111,002"
Tanzania,"945,087"
Panama,"74,177"
Georgia,"69,700"
