Nationality/ Country of Origin,Domestic Servitude,Labour Exploitation,Sexual Exploitation,Unknown Exploitation,2016 Total,2015-2016 % Change
United Kingdom,0,35,216,4,255,100.80%
Albania,1,151,26,49,227,10.20%
Vietnam,15,122,21,69,227,-8.50%
Afghanistan,3,19,10,42,74,80.50%
Eritrea,11,11,9,17,48,14.30%
Nigeria,19,3,7,14,43,0%
Iran,1,8,4,29,42,200%
Slovakia,1,25,2,7,35,150%
Iraq,1,6,1,21,29,163.60%
Romania,0,6,13,8,27,22.70%
Sudan,0,22,0,2,24,166.70%
China,4,10,3,5,22,29.40%
Somalia,6,6,1,3,16,77.80%
Egypt,0,3,2,9,14,100%
Pakistan,5,6,0,3,14,75%
Democratic Republic of the Congo,3,1,2,7,13,18.20%
Syria,0,1,1,10,12,100%
Bangladesh,6,3,1,1,11,-42.10%
India,1,4,3,2,10,150%
Ethiopia,1,5,0,3,9,-35.70%
Czech Republic,3,0,3,2,8,-42.90%
Ghana,2,1,3,2,8,0%
Poland,0,4,3,1,8,300%
Hungary,1,0,4,1,6,N/A
Latvia,0,0,3,3,6,200%
Cameroon,1,1,0,3,5,400%
Uganda,2,0,2,1,5,66.70%
Zimbabwe,2,0,0,3,5,25%
Angola,3,1,0,0,4,-55.60%
Gambia,2,0,0,2,4,300%
Namibia,1,0,1,2,4,300%
Zambia,0,1,2,1,4,100%
Algeria,0,1,1,1,3,200%
Bulgaria,0,1,0,2,3,-50%
Ivory Coast,1,0,2,0,3,50%
Canada,0,0,0,2,2,N/A
Jamaica,1,1,0,0,2,N/A
Kuwait,0,1,0,1,2,N/A
Lithuania,0,1,1,0,2,-50%
Malawi,0,0,1,1,2,N/A
Philippines,0,0,1,1,2,N/A
Sierra Leone,1,0,1,0,2,0%
Spain,0,0,2,0,2,0%
Sri Lanka,1,0,0,1,2,-50%
Turkey,0,1,1,0,2,-50%
United States of America,0,0,0,2,2,-60%
Unknown,0,0,2,0,2,-60%
Benin,1,0,0,0,1,N/A
Bosnia and Herzegovina,0,1,0,0,1,N/A
Burundi,0,0,0,1,1,N/A
Congo,0,0,0,1,1,N/A
Cuba,0,0,0,1,1,N/A
France,0,0,1,0,1,N/A
Germany,0,0,1,0,1,N/A
Guinea,0,0,0,1,1,-50%
Guyana,0,0,0,1,1,N/A
Indonesia,1,0,0,0,1,N/A
Jordan,0,1,0,0,1,N/A
Kosovo,0,1,0,0,1,N/A
Lebanon,0,0,0,1,1,N/A
Mauritius,0,0,1,0,1,N/A
Mexico,0,0,0,1,1,N/A
Morocco,0,1,0,0,1,-50%
Mozambique,1,0,0,0,1,N/A
Netherlands,0,0,1,0,1,-66.70%
Rwanda,0,0,1,0,1,N/A
Sao Tome & Principe,0,1,0,0,1,N/A
St Lucia,0,0,1,0,1,N/A
Tanzania,0,0,0,1,1,N/A
Thailand,0,0,1,0,1,N/A
Togo,1,0,0,0,1,N/A
Tunisia,0,1,0,0,1,0%
Ukraine,0,1,0,0,1,N/A
Total,103,468,362,345,1278,
