Country of Origin,Female,Male,Total,2013 - 2014 % Change
Albania,34,83,117,109%
Vietnam,33,76,109,43%
United Kingdom,70,5,75,19%
Slovakia,42,30,72,1100%
Nigeria,38,16,54,69%
Bangladesh,9,11,20,100%
Eritrea,7,11,18,200%
Romania,13,4,17,-39%
Afghanistan,2,14,16,78%
China,3,11,14,17%
Democratic Republic of the Congo,12,2,14,100%
Hungary,2,6,8,167%
Zimbabwe,4,4,8,167%
Syria,3,4,7,N/A
Morocco,1,6,7,N/A
Ghana,5,1,6,-33%
Bulgaria,5,1,6,200%
Sierra Leone,3,3,6,100%
Lithuania,4,1,5,67%
Ethiopia,5,0,5,67%
Pakistan,0,4,4,-43%
Portugal,3,1,4,300%
Sri Lanka,1,3,4,300%
Jamaica,2,2,4,33%
Somalia,3,1,4,-56%
Angola,2,2,4,33%
Germany,2,2,4,300%
Turkey,3,1,4,-43%
Poland,3,0,3,-25%
Czech Republic,2,1,3,200%
Sudan,0,3,3,N/A
Gambia,2,1,3,0%
Guinea,3,0,3,0%
India,1,1,2,-50%
Uganda,2,0,2,-67%
Latvia,2,0,2,-33%
Iran,1,1,2,-33%
Egypt,0,2,2,N/A
Iraq,2,0,2,N/A
Mali,1,1,2,N/A
Namibia,1,1,2,N/A
United States of America,2,0,2,N/A
Cameroon,0,1,1,-50%
Thailand,1,0,1,0%
Malawi,1,0,1,-67%
Burma,1,0,1,N/A
Ivory Coast,1,0,1,-67%
South Africa,1,0,1,0%
Zambia,1,0,1,0%
Guinea Bissau,1,0,1,0%
Ireland,1,0,1,-80%
Kuwait,1,0,1,N/A
Malaysia,0,1,1,N/A
Not known,0,1,1,N/A
Spain,0,1,1,N/A
Benin,1,0,1,N/A
Botswana,1,0,1,0%
Burundi,1,0,1,N/A
Congo,1,0,1,-86%
Holland,1,0,1,0%
Panama,0,1,1,N/A
South Korea,0,1,1,N/A
Taiwan,1,0,1,N/A
Western Sahara,0,1,1,0%
Total,348,323,671,
