Cause ID,Cause Name,Parent ID,Parent Name,Level,Cause Outline,Sort Order,YLL Only,YLD Only
294,All causes,294,All causes,0,Total,1,,
295,"Communicable, maternal, neonatal, and nutritional diseases",294,All causes,1,A,2,,
955,HIV/AIDS and sexually transmitted infections,295,"Communicable, maternal, neonatal, and nutritional diseases",2,A.1,3,,
298,HIV/AIDS,955,HIV/AIDS and sexually transmitted infections,3,A.1.1,4,,
948,HIV/AIDS - Drug-susceptible Tuberculosis,298,HIV/AIDS,4,A.1.1.1,5,,
949,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,298,HIV/AIDS,4,A.1.1.2,6,,
950,HIV/AIDS - Extensively drug-resistant Tuberculosis,298,HIV/AIDS,4,A.1.1.3,7,,
300,HIV/AIDS resulting in other diseases,298,HIV/AIDS,4,A.1.1.4,8,,
393,Sexually transmitted infections excluding HIV,955,HIV/AIDS and sexually transmitted infections,3,A.1.2,9,,
394,Syphilis,393,Sexually transmitted infections excluding HIV,4,A.1.2.1,10,,
395,Chlamydial infection,393,Sexually transmitted infections excluding HIV,4,A.1.2.2,11,,
396,Gonococcal infection,393,Sexually transmitted infections excluding HIV,4,A.1.2.3,12,,
397,Trichomoniasis,393,Sexually transmitted infections excluding HIV,4,A.1.2.4,13,,X
398,Genital herpes,393,Sexually transmitted infections excluding HIV,4,A.1.2.5,14,,X
399,Other sexually transmitted infections,393,Sexually transmitted infections excluding HIV,4,A.1.2.6,15,,
956,Respiratory infections and tuberculosis,295,"Communicable, maternal, neonatal, and nutritional diseases",2,A.2,16,,
297,Tuberculosis,956,Respiratory infections and tuberculosis,3,A.2.1,17,,
954,Latent tuberculosis infection,297,Tuberculosis,4,A.2.1.1,18,,X
934,Drug-susceptible tuberculosis,297,Tuberculosis,4,A.2.1.2,19,,
946,Multidrug-resistant tuberculosis without extensive drug resistance,297,Tuberculosis,4,A.2.1.3,20,,
947,Extensively drug-resistant tuberculosis,297,Tuberculosis,4,A.2.1.4,21,,
322,Lower respiratory infections,956,Respiratory infections and tuberculosis,3,A.2.2,22,,
328,Upper respiratory infections,956,Respiratory infections and tuberculosis,3,A.2.3,23,,
329,Otitis media,956,Respiratory infections and tuberculosis,3,A.2.4,24,,
957,Enteric infections,295,"Communicable, maternal, neonatal, and nutritional diseases",2,A.3,25,,
302,Diarrheal diseases,957,Enteric infections,3,A.3.1,26,,
958,Typhoid and paratyphoid,957,Enteric infections,3,A.3.2,27,,
319,Typhoid fever,958,Typhoid and paratyphoid,4,A.3.2.1,28,,
320,Paratyphoid fever,958,Typhoid and paratyphoid,4,A.3.2.2,29,,
959,Invasive Non-typhoidal Salmonella (iNTS),957,Enteric infections,3,A.3.3,30,,
321,Other intestinal infectious diseases,957,Enteric infections,3,A.3.4,31,,
344,Neglected tropical diseases and malaria,295,"Communicable, maternal, neonatal, and nutritional diseases",2,A.4,32,,
345,Malaria,344,Neglected tropical diseases and malaria,3,A.4.1,33,,
346,Chagas disease,344,Neglected tropical diseases and malaria,3,A.4.2,34,,
347,Leishmaniasis,344,Neglected tropical diseases and malaria,3,A.4.3,35,,
348,Visceral leishmaniasis,347,Leishmaniasis,4,A.4.3.1,36,,
349,Cutaneous and mucocutaneous leishmaniasis,347,Leishmaniasis,4,A.4.3.2,37,,X
350,African trypanosomiasis,344,Neglected tropical diseases and malaria,3,A.4.4,38,,
351,Schistosomiasis,344,Neglected tropical diseases and malaria,3,A.4.5,39,,
352,Cysticercosis,344,Neglected tropical diseases and malaria,3,A.4.6,40,,
353,Cystic echinococcosis,344,Neglected tropical diseases and malaria,3,A.4.7,41,,
354,Lymphatic filariasis,344,Neglected tropical diseases and malaria,3,A.4.8,42,,X
355,Onchocerciasis,344,Neglected tropical diseases and malaria,3,A.4.9,43,,X
356,Trachoma,344,Neglected tropical diseases and malaria,3,A.4.10,44,,X
357,Dengue,344,Neglected tropical diseases and malaria,3,A.4.11,45,,
358,Yellow fever,344,Neglected tropical diseases and malaria,3,A.4.12,46,,
359,Rabies,344,Neglected tropical diseases and malaria,3,A.4.13,47,,
360,Intestinal nematode infections,344,Neglected tropical diseases and malaria,3,A.4.14,48,,
361,Ascariasis,360,Intestinal nematode infections,4,A.4.14.1,49,,
362,Trichuriasis,360,Intestinal nematode infections,4,A.4.14.2,50,,X
363,Hookworm disease,360,Intestinal nematode infections,4,A.4.14.3,51,,X
364,Food-borne trematodiases,344,Neglected tropical diseases and malaria,3,A.4.15,52,,X
405,Leprosy,344,Neglected tropical diseases and malaria,3,A.4.16,53,,X
843,Ebola,344,Neglected tropical diseases and malaria,3,A.4.17,54,,
935,Zika virus,344,Neglected tropical diseases and malaria,3,A.4.18,55,,
936,Guinea worm disease,344,Neglected tropical diseases and malaria,3,A.4.19,56,,X
365,Other neglected tropical diseases,344,Neglected tropical diseases and malaria,3,A.4.20,57,,
961,Other infectious diseases,295,"Communicable, maternal, neonatal, and nutritional diseases",2,A.5,58,,
332,Meningitis,961,Other infectious diseases,3,A.5.1,59,,
337,Encephalitis,961,Other infectious diseases,3,A.5.2,60,,
338,Diphtheria,961,Other infectious diseases,3,A.5.3,61,,
