YEAR,POUNDS GRADED,PRIME,%,CHOICE,%,SELECT,%,STNDRD,%,COMRCL,%,UTILITY,%,CUTTER,%,CANNER,%,S/H,%  of FEDERAL  SLAUGHTER	 BEEF,Y1,%,Y2,%,Y3,%,Y4,%,Y5,%
1930,69,,,,,,,,,,,,,,,,,,1.2%,,,,,,,,,,
1931,159,,,,,,,,,,,,,,,,,,2.7%,,,,,,,,,,
1932,208,,,,,,,,,,,,,,,,,,3.8%,,,,,,,,,,
1933,238,,,,,,,,,,,,,,,,,,3.9%,,,,,,,,,,
1934,262,,,,,,,,,,,,,,,,,,3.3%,,,,,,,,,,
1935,268,,,,,,,,,,,,,,,,,,4.2%,,,,,,,,,,
1936,450,,,,,,,,,,,,,,,,,,6.3%,,,,,,,,,,
1937,408,,,,,,,,,,,,,,,,,,6.2%,,,,,,,,,,
1938,598,27,4.5%,283,47.3%,187,31.3%,,,54,9.0%,34,5.7%,11,1.8%,2,0.33%,,9.0%,,,,,,,,,,
1939,509,10,2.0%,232,45.6%,176,34.6%,,,55,10.8%,29,5.7%,6,1.2%,1,0.20%,,7.5%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,579,12,2.1%,230,39.7%,234,40.4%,,,69,11.9%,25,4.3%,7,1.2%,2,0.35%,,8.3%,,,,,,,,,,
1941,789,13,1.6%,308,39.0%,344,43.6%,,,86,10.9%,26,3.3%,9,1.1%,3,0.38%,,10.1%,,,,,,,,,,
1942,"1,478",,,439,29.7%,560,37.9%,,,284,19.2%,173,11.7%,15,1.0%,7,0.47%,,17.3%,,,,,,,,,,
1943,"6,691",,,"1,297",19.4%,"2,081",31.1%,,,"1,544",23.1%,984,14.7%,785,11.7%,,,,80.8%,,,,,,,,,,
1944,"8,328",,,865,10.4%,"2,329",28.0%,,,"2,104",25.3%,"1,560",18.7%,"1,470",17.7%,,,,94.9%,,,,,,,,,,
1945,"9,067",,,"1,258",13.9%,"2,791",30.8%,,,"2,421",26.7%,"1,506",16.6%,"1,091",12.0%,,,,92.4%,,,,,,,,,,
1946,"6,681",,,"1,049",15.7%,"2,512",37.6%,,,"1,710",25.6%,869,13.0%,541,8.1%,,,,76.0%,,,,,,,,,,
1947,"2,932",6,0.2%,305,10.4%,"1,536",52.4%,,,695,23.7%,252,8.6%,138,4.7%,,,,29.0%,,,,,,,,,,
1948,"2,022",,,,,,,,,,,,,,,,,,23.1%,,,,,,,,,,
1949,"2,280",,,,,,,,,,,,,,,,,,24.9%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,"2,262",,,,,,,,,,,,,,,,,,24.5%,,,,,,,,,,
1951,"6,250",,,,,,,,,,,,,,,,,,73.1%,,,,,,,,,,
1952,"8,784",,,,,,,,,,,,,,,,,,94.1%,,,,,,,,,,
1953,"6,529",,,,,,,,,,,,,,,,,,54.2%,,,,,,,,,,
1954,"5,708",,,,,,,,,,,,,,,,,,45.3%,,,,,,,,,,
1955,"6,050",,,,,,,,,,,,,,,,,,45.8%,,,,,,,,,,
