Member_State,Date_of_Admission
Afghanistan,19-11-1946
Albania,14-12-1955
Algeria,8-10-1962
Andorra,28-07-1993
Angola,1-12-1976
Antigua and Barbuda,11-11-1981
Argentina,24-10-1945
Armenia,2-03-1992
Australia,1-11-1945
Austria,14-12-1955
Azerbaijan,2-03-1992
Bahrain,21-09-1971
Bangladesh,17-09-1974
Barbados,9-12-1966
Belarus,24-10-1945
Belgium,27-12-1945
Belize,25-09-1981
Benin,20-09-1960
Bhutan,21-09-1971
Bolivia (Plurinational State of),14-11-1945
Bosnia and Herzegovina,22-05-1992
Botswana,17-10-1966
Brazil,24-10-1945
Brunei Darussalam,21-09-1984
Bulgaria,14-12-1955
Burkina Faso,20-09-1960
Burundi,18-09-1962
Cambodia,14-12-1955
Cameroon,20-09-1960
Canada,9-11-1945
Cabo Verde,16-09-1975
Central African Republic,20-09-1960
Chad,20-09-1960
Chile,24-10-1945
China,24-10-1945
Colombia,5-11-1945
Comoros,12-11-1975
Costa Rica,2-11-1945
Croatia,22-05-1992
Cuba,24-10-1945
Cyprus,20-09-1960
Czech Republic,19-01-1993
Democratic Republic of the Congo,20-09-1960
Denmark,24-10-1945
Djibouti,20-09-1977
Dominica,18-12-1978
Dominican Republic,24-10-1945
Timor-Leste,27-09-2002
Ecuador,21-12-1945
Egypt,24-10-1945
El Salvador,24-10-1945
Equatorial Guinea,12-11-1968
Eritrea,28-05-1993
Estonia,17-09-1991
Eswatini,24-09-1968
Ethiopia,13-11-1945
Micronesia (Federated States of),17-09-1991
Fiji,13-10-1970
Finland,14-12-1955
France,24-10-1945
Gabon,20-09-1960
Georgia,31-07-1992
Germany,18-09-1973
Ghana,8-03-1957
Greece,25-10-1945
Grenada,17-09-1974
Guatemala,21-11-1945
Guinea,12-12-1958
Guinea-Bissau,17-09-1974
Guyana,20-09-1966
Haiti,24-10-1945
Honduras,17-12-1945
Hungary,14-12-1955
Iceland,19-11-1946
India,30-10-1945
Indonesia,28-09-1950
Iran (Islamic Republic of),24-10-1945
Iraq,21-12-1945
Israel,11-05-1949
Italy,14-12-1955
Côte d'Ivoire,20-09-1960
Jamaica,18-09-1962
Japan,18-12-1956
Jordan,14-12-1955
Kazakhstan,2-03-1992
Kenya,16-12-1963
Netherlands,10-12-1945
Kiribati,14-09-1999
Kuwait,14-05-1963
Kyrgyzstan,2-03-1992
Lao People's Democratic Republic,14-12-1955
Latvia,17-09-1991
Lebanon,24-10-1945
Lesotho,17-10-1966
Liberia,2-11-1945
Libya,14-12-1955
Liechtenstein,18-09-1990
Lithuania,17-09-1991
Luxembourg,24-10-1945
Madagascar,20-09-1960
Malawi,1-12-1964
Malaysia,17-09-1957
Maldives,21-09-1965
Mali,28-09-1960
Malta,1-12-1964
Marshall Islands,17-09-1991
Mauritania,27-10-1961
Mauritius,24-04-1968
Mexico,7-11-1945
Republic of Moldova,2-03-1992
Monaco,28-05-1993
Mongolia,27-10-1961
Montenegro,28-06-2006
Morocco,12-11-1956
Mozambique,16-09-1975
Myanmar,19-04-1948
Namibia,23-04-1990
Nauru,14-09-1999
Nepal,14-12-1955
New Zealand,24-10-1945
Nicaragua,24-10-1945
Niger,20-09-1960
Nigeria,7-10-1960
Democratic People's Republic of Korea,17-09-1991
North Macedonia,8-04-1993
Norway,27-11-1945
Oman,7-10-1971
Pakistan,30-09-1947
Palau,15-12-1994
Panama,13-11-1945
Papua New Guinea,10-10-1975
Paraguay,24-10-1945
Peru,31-10-1945
Philippines,24-10-1945
Poland,24-10-1945
Portugal,14-12-1955
Qatar,21-09-1971
Ireland,14-12-1955
Congo,20-09-1960
Romania,14-12-1955
Russian Federation,24-10-1945
Rwanda,18-09-1962
St. Kitts and Nevis,23-09-1983
St. Lucia,18-09-1979
St. Vincent and the Grenadines,16-09-1980
Samoa,15-12-1976
San Marino,2-03-1992
São Tomé and Príncipe,16-09-1975
Saudi Arabia,24-10-1945
Senegal,28-09-1960
Serbia,1-11-2000
Seychelles,21-09-1976
Sierra Leone,27-09-1961
Singapore,21-09-1965
Slovakia,19-01-1993
Slovenia,22-05-1992
Solomon Islands,19-09-1978
Somalia,20-09-1960
South Africa,7-11-1945
Republic of Korea,17-09-1991
South Sudan,14-07-2011
Spain,14-12-1955
Sri Lanka,14-12-1955
Sudan,12-11-1956
Suriname,4-12-1975
Sweden,19-11-1946
Switzerland,10-09-2002
Syrian Arab Republic,24-10-1945
Tajikistan,2-03-1992
United Republic of Tanzania,14-12-1961
Thailand,16-12-1946
Bahamas,18-09-1973
Gambia,21-09-1965
Togo,20-09-1960
Tonga,14-09-1999
Trinidad and Tobago,18-09-1962
Tunisia,12-11-1956
Turkey,24-10-1945
Turkmenistan,2-03-1992
Tuvalu,5-09-2000
Uganda,25-10-1962
Ukraine,24-10-1945
United Arab Emirates,9-12-1971
United Kingdom of Great Britain and Northern Ireland,24-10-1945
United States of America,24-10-1945
Uruguay,18-12-1945
Uzbekistan,2-03-1992
Vanuatu,15-09-1981
Venezuela (Bolivarian Republic of),15-11-1945
Viet Nam,20-09-1977
Yemen,30-09-1947
Zambia,1-12-1964
Zimbabwe,25-08-1980
