"event_id_cnty","event_date","year","event_type","source_scale","notes","location","latitude","longitude","fatalities"
"MLI2170","28-Jul-18",2018,"Violence against civilians","Other","On July 28, presumed Katiba Macina militants abducted the village chief of Koundioli.","Koundioli",14.595,-3.8739,0
"MLI2171","28-Jul-18",2018,"Violence against civilians","Other-Subnational","On July 28, unknown gunmen intercepted a pirogue carrying election workers and voting material near Nana on the river in the area of Gourma-Rharous, the voting material was seized and burned while the election workers were released.","Nana",16.849,-2.0315,0
"ZIM6096","28-Jul-18",2018,"Violence against civilians","Subnational","On 28 July, ZANU PF militants led by Tongai Mnangagwa came to Shadreck Mashayamombe's offices in Mbare. They beat his workers and threw them in the pond multiple times. Then they set the offices alight. The workers are being treated in hospital. Mashayamombe is a former ZANU G40 leader who is running for MP under the Alliance.","Mbare",-17.8581,31.0372,0
"IND33731","28-Jul-18",2018,"Violence against civilians","National","On July 28, a ""tribal"" man was allegedly killed by Maoists on suspicion of being a police informer near the Andhra Pradesh-Odisha border, in the Chukka Goyyi tribal hamlet located in the forested areas of Visakhapatnam's Gudem Kotha Veedhi village.","Gudem Kotha Veedhi",17.8635,82.1959,1
"IND33732","28-Jul-18",2018,"Violence against civilians","National","On July 28, in the Chukka Goyyi area of Gudem Kotha Veedhi block (Visakhapatnam, AP), Maoists killed a tribal leader on suspicion of being a police informer.","Gudem Kotha Veedhi",17.8619,82.197,1
"IND33736","28-Jul-18",2018,"Violence against civilians","Subnational","On July 28, a local BJP leader was killed by unidentified assailants in the area of Mandirbazar city (South 24 Paraganas, WB).","Mandirbazar",22.1669,88.2822,1
"PSE3479","28-Jul-18",2018,"Violence against civilians","National","A group of settlers assaulted on July 28 a 60-year-old Palestinian man in the southern West Bank city of Hebron. The man said the settlers threw stones at him and his children while they were in their home. He was admitted to hospital in Hebron, where he was reported in stable condition.","Hebron",31.5294,35.0938,0
"TUR6303","28-Jul-18",2018,"Violence against civilians","National","On July 28, PKK militants detonated a roadside IED and opened fire on a civilian truck on Kadi Tepesi hill near Igdir town.The driver was killed.","Igdir",39.9237,44.045,1
"SYR43232","28-Jul-18",2018,"Violence against civilians","Other-Local","Turkish Gendarmerie shot and killed 2 civilians, 1 originally from southern Hama countryside and 1 from Rural Damascus, attempting to illegally cross the borders into Turkey likely from Idleb, while 3 others, originally from Rural Damascus, were wounded.","Bab El Hawa",36.2308,36.692,2
"BFO1065","27-Jul-18",2018,"Violence against civilians","Subnational","On July 27, presumed Ansaroul Islam abducted a nurse in Gomde-Mossi (coded as Gomde-Fulbe at geoprecision 2), the nurse was released the following day.","Gomde-Fulbe",14.422,-1.183,0
"CAO1490","27-Jul-18",2018,"Violence against civilians","Subnational","On 27 July a farmer was killed by Boko Haram militants in his field located in Zeneme, Mozogo, Extreme-Nord. A similar attack occurred a week before in Mozogo.","Mozogo",10.9638,13.9065,1
"KEN6397","27-Jul-18",2018,"Violence against civilians","Regional","27 July. The mother of a Kenyan man, who allegedly mutilated his wife, is stoned to death by a mob in Jerusalem village of Kirinyaga County. The woman was targeted the vigilantes suspected she was hiding her son.","Kirinyaga",-0.1667,37.3,1
"NIG12878","27-Jul-18",2018,"Violence against civilians","National","27 July. Gunmen suspected to be assassins in the early hours murdered the All Progressives Congress chairman in Ideato North Local Government of Imo state, Sunny Ejiagwu.","Akokwa",5.9088,7.1106,1
"SSD5153","27-Jul-18",2018,"Violence against civilians","National","On or before 27th July, a Darfuri trader was killed by unknown gunmen in Bentiu (Unity state).","Bentiu",9.2525,29.7883,1
"SUD11454","27-Jul-18",2018,"Violence against civilians","Subnational","On 27th July, militiamen attacked the village of Kibe in East Jebel Marra (coordinates for East Jebel Marra, Central Darfur, used). They killed four civilians (including one child), and injured another civilian. The attackers also stole dozens of livestock, and burned down houses.","East Jebel Marra",13.1667,24.3667,4
"ZIM6095","27-Jul-18",2018,"Violence against civilians","Local","On 27 July, 3 MDC activists were camapaigning in Mbizo. ZANU youths attacked them with machetes. They are critically injured.","Mbizo",-19.2166,27.5167,0
"IND33711","27-Jul-18",2018,"Violence against civilians","National","On July 27, a BJP block-level leader was hacked to death by unidentified people at Mandir Bazar, in South 24 Parganas district, West Bengal. BJP members accused the Trinamool Congress of being involved in the murder.","Mandirbazar",22.1669,88.2822,1
"IND33713","27-Jul-18",2018,"Violence against civilians","National","On 27 Jul, one civilian and two guards were injured when suspected militants opened fire during a failed bank robbery at Mohandpur (Kulgam, J&K). The guards did not return fire.","Mohandpur",33.6818,74.9748,0
"IND33714","27-Jul-18",2018,"Violence against civilians","National","On 27 Jul, a special police officer working as a cook at a police post in Awantipora was abducted from his home village of Chankatar in Tral (Pulwama, J&K). He was released the following day after a plea by his mother.","Tral",33.9271,75.1159,0
"PSE3466","27-Jul-18",2018,"Violence against civilians","Subnational-Regional","Settlers set fire to farmlands and several houses in Khillet al Wusta area between Jalud and Qusra south of Nablus on July 27. Settlers also reportedly opened fire on Palestinians but did not cause any reported injuries.","Jalud",32.0668,35.3166,0
"PSE3473","27-Jul-18",2018,"Violence against civilians","Subnational","Four Palestinians were injured when Israeli forces opened live fire on peaceful demonstrators in Kufr Qaddum on July 27.","Kafr Qaddum",32.2216,35.1447,0
"SYR43192","27-Jul-18",2018,"Violence against civilians","Other-Local","Pro-regime gunmen executed an IS member in As-Sweida and hanged his body in the city amid a civilian crowd after the fighter had been captured and hospitalized following the IS attack on 25 July, 2018.","As-Sweida",32.7068,36.568,1
"SYR43194","27-Jul-18",2018,"Violence against civilians","Other-Local","The body of a male was found in the orchards on the outskirts of Batabu in western Aleppo countryside, having been killed under unknown circumstances.","Batabu",36.1345,36.7389,1
"BUR8094","26-Jul-18",2018,"Violence against civilians","National","Between 22-28 July, suspected armed Imbonerakure with machetes was reported in the Nkenga-Busoro district of Kanyosha in Bujumbura Town Hall. Residents in this area report that two people were injured with machetes in separate attacks on that week by this group. Coded as two separare events at different points between July 22-28.","Nkenga",-3.438,29.3655,0
"ETH4701","26-Jul-18",2018,"Violence against civilians","Other-international","On 26th July, the body of the chief engineer of the Grand Ethiopian Renaissance Dam - Eng Simegnew - was discovered in his car in Addis Ababa. He was shot in the back of the head. Protests erupted in his hometown in Amhara after his suspected murder. The construction of the dam has caused a long-standing dispute with Egypt, which fears the dam could reduce its share of the Nile waters.","Addis Ababa",9.0333,38.7,1
