"DATE","COUNTRY","DAILY_CONFIRMED","MA"
"2020-01-22","Austria",,
"2020-01-23","Austria",0,
"2020-01-24","Austria",0,
"2020-01-25","Austria",0,
"2020-01-26","Austria",0,
"2020-01-27","Austria",0,
"2020-01-28","Austria",0,
"2020-01-29","Austria",0,0
"2020-01-30","Austria",0,0
"2020-01-31","Austria",0,0
"2020-02-01","Austria",0,0
"2020-02-02","Austria",0,0
"2020-02-03","Austria",0,0
"2020-02-04","Austria",0,0
"2020-02-05","Austria",0,0
"2020-02-06","Austria",0,0
"2020-02-07","Austria",0,0
"2020-02-08","Austria",0,0
"2020-02-09","Austria",0,0
"2020-02-10","Austria",0,0
"2020-02-11","Austria",0,0
"2020-02-12","Austria",0,0
"2020-02-13","Austria",0,0
"2020-02-14","Austria",0,0
"2020-02-15","Austria",0,0
"2020-02-16","Austria",0,0
"2020-02-17","Austria",0,0
"2020-02-18","Austria",0,0
"2020-02-19","Austria",0,0
"2020-02-20","Austria",0,0
"2020-02-21","Austria",0,0
"2020-02-22","Austria",0,0
"2020-02-23","Austria",0,0
"2020-02-24","Austria",0,0
"2020-02-25","Austria",0.2220643098241251,0.03172347283201787
"2020-02-26","Austria",0,0.03172347283201787
"2020-02-27","Austria",0.11103215491206254,0.0475852092480268
"2020-02-28","Austria",0,0.0475852092480268
"2020-02-29","Austria",0.6661929294723753,0.1427556277440804
"2020-03-01","Austria",0.5551607745603128,0.22206430982412506
"2020-03-02","Austria",0.4441286196482502,0.2855112554881608
"2020-03-03","Austria",0.33309646473618765,0.3013729919041698
"2020-03-04","Austria",0.8882572392965004,0.42826688323224127
"2020-03-05","Austria",1.3323858589447506,0.6027459838083395
"2020-03-06","Austria",1.5544501687688757,0.8248102936324646
"2020-03-07","Austria",2.664771717889501,1.1103215491206255
"2020-03-08","Austria",2.7758038728015637,1.4275562774408042
"2020-03-09","Austria",2.9978681826256888,1.7923762150090097
"2020-03-10","Austria",5.66263990051519,2.5537395629774386
"2020-03-11","Austria",7.106057914372003,3.441996802273939
"2020-03-12","Austria",6.217800675075503,4.139913204578332
"2020-03-13","Austria",22.428495292236633,7.121919650788011
"2020-03-14","Austria",16.765855391721445,9.136360175621146
"2020-03-15","Austria",22.76159175697282,11.991472730502753
"2020-03-16","Austria",17.54308047610588,14.069360200999924
"2020-03-17","Austria",34.864096642387636,18.24099687841027
"2020-03-18","Austria",34.864096642387636,22.206430982412506
"2020-03-19","Austria",40.74880085272695,27.139431007791284
"2020-03-20","Austria",41.63705809202345,29.883511407760828
"2020-03-21","Austria",47.29969799253864,34.24548892216328
"2020-03-22","Austria",85.27269497246404,43.17564652437631
"2020-03-23","Austria",99.04068218155979,54.81816105372687
"2020-03-24","Austria",89.8250133238586,62.66972057965129
"2020-03-25","Austria",33.864807248179076,62.52696495190721
"2020-03-26","Austria",146.67347663883461,77.65906149277973
"2020-03-27","Austria",83.05205187422278,83.57548917595106
"2020-03-28","Austria",68.1737431160064,86.55749562216074
"2020-03-29","Austria",57.403624089536336,82.5761997817425
"2020-03-30","Austria",92.1566885770119,81.59277212394994
"2020-03-31","Austria",62.40007106057915,77.67492322919574
"2020-04-01","Austria",58.95807425830521,81.25967565921376
"2020-04-02","Austria",46.41144075324214,66.93652767555768
"2020-04-03","Austria",43.857701190264706,61.33733472070653
"2020-04-04","Austria",28.535263812400075,55.67469482019134
"2020-04-05","Austria",29.978681826256885,51.75684592543713
"2020-04-06","Austria",27.313910108367384,42.49359185848792
"2020-04-07","Austria",37.97299697992539,39.00400984696595
"2020-04-08","Austria",33.64274293835495,35.387533944115916
"2020-04-09","Austria",33.53171078344289,33.54757251985888
"2020-04-10","Austria",34.53100017765145,32.21518666091413
"2020-04-11","Austria",27.869070882927698,32.120016242418075
"2020-04-12","Austria",15.433469532776693,30.042128771920904
"2020-04-13","Austria",10.659086871558005,27.662868309519563
"2020-04-14","Austria",20.54094865873157,25.17257569220616
"2020-01-22","Belgium",,
"2020-01-23","Belgium",0,
"2020-01-24","Belgium",0,
"2020-01-25","Belgium",0,
"2020-01-26","Belgium",0,
"2020-01-27","Belgium",0,
"2020-01-28","Belgium",0,
"2020-01-29","Belgium",0,0
"2020-01-30","Belgium",0,0
"2020-01-31","Belgium",0,0
"2020-02-01","Belgium",0,0
"2020-02-02","Belgium",0,0
"2020-02-03","Belgium",0,0
"2020-02-04","Belgium",0.08628413572977742,0.012326305104253915
"2020-02-05","Belgium",0,0.012326305104253915
"2020-02-06","Belgium",0,0.012326305104253915
"2020-02-07","Belgium",0,0.012326305104253915
"2020-02-08","Belgium",0,0.012326305104253915
"2020-02-09","Belgium",0,0.012326305104253915
"2020-02-10","Belgium",0,0.012326305104253915
"2020-02-11","Belgium",0,0
"2020-02-12","Belgium",0,0
"2020-02-13","Belgium",0,0
"2020-02-14","Belgium",0,0
"2020-02-15","Belgium",0,0
"2020-02-16","Belgium",0,0
"2020-02-17","Belgium",0,0
"2020-02-18","Belgium",0,0
"2020-02-19","Belgium",0,0
"2020-02-20","Belgium",0,0
"2020-02-21","Belgium",0,0
"2020-02-22","Belgium",0,0
"2020-02-23","Belgium",0,0
"2020-02-24","Belgium",0,0
"2020-02-25","Belgium",0,0
"2020-02-26","Belgium",0,0
"2020-02-27","Belgium",0,0
"2020-02-28","Belgium",0,0
"2020-02-29","Belgium",0,0
"2020-03-01","Belgium",0.08628413572977742,0.012326305104253915
"2020-03-02","Belgium",0.5177048143786646,0.08628413572977743
"2020-03-03","Belgium",0.4314206786488871,0.14791566125104702
"2020-03-04","Belgium",0.8628413572977742,0.2711787122935862
"2020-03-05","Belgium",2.3296716647039903,0.6039889501084419
"2020-03-06","Belgium",5.090764008056868,1.331240951259423
"2020-03-07","Belgium",5.177048143786645,2.070819257514658
"2020-03-08","Belgium",2.6748082076231,2.4406084106422754
"2020-03-09","Belgium",3.3650812934613192,2.8473764790826546
"2020-03-10","Belgium",2.4159558004337676,3.1308814964804945
"2020-03-11","Belgium",4.055354379299539,3.5869547853378894
"2020-03-12","Belgium",0,3.2541445475230337
"2020-03-13","Belgium",21.139613253795467,5.546837296914262
"2020-03-14","Belgium",11.216937644871065,6.409678654212036
"2020-03-15","Belgium",16.99797473876615,8.455845301518186
"2020-03-16","Belgium",14.840871345521716,10.095243880383958
"2020-03-17","Belgium",15.962565110008823,12.030473781751823
"2020-03-18","Belgium",20.967044982335914,14.44642958218559
"2020-03-19","Belgium",26.661797940501224,18.25525785940005
"2020-03-20","Belgium",39.86327070715717,20.93006606702315
"2020-03-21","Belgium",48.1465477372158,26.205724651643827
"2020-03-22","Belgium",50.56250353764957,31.0006573371986
"2020-03-23","Belgium",29.50917441958388,33.096129204921766
"2020-03-24","Belgium",45.38545539386292,37.29939924547235
"2020-03-25","Belgium",57.637802667491314,42.538078914780264
"2020-03-26","Belgium",111.99680817725108,54.72879466288739
"2020-03-27","Belgium",90.51205838053652,61.964335759084435
"2020-03-28","Belgium",159.62565110008822,77.88992195378049
"2020-03-29","Belgium",146.85559901208117,91.64607845012786
"2020-03-30","Belgium",91.72003628075339,100.53334443029493
"2020-03-31","Belgium",75.58490289928501,104.8475512167838
"2020-04-01","Belgium",102.59183738270535,111.2695561761001
"2020-04-02","Belgium",119.41724385001194,112.32961841506594
"2020-04-03","Belgium",122.69604100774349,116.92733021895265
"2020-04-04","Belgium",143.3179494471603,114.59765855424865
"2020-04-05","Belgium",108.71801101951955,109.14943169816843
"2020-04-06","Belgium",96.89708442454004,109.88901000442367
"2020-04-07","Belgium",119.07210730709284,116.10146777696764
"2020-04-08","Belgium",104.3175200973009,116.34799387905272
"2020-04-09","Belgium",136.32893445304833,118.76394967948649
"2020-04-10","Belgium",145.30248456894518,121.99344161680101
"2020-04-11","Belgium",116.56986737092929,118.1722870344823
"2020-04-12","Belgium",140.5568571038074,122.720693617952
"2020-04-13","Belgium",81.27965585745032,120.48963239408204
"2020-04-14","Belgium",45.730591936782034,110.01227305546621
"2020-01-22","Denmark",,
"2020-01-23","Denmark",0,
"2020-01-24","Denmark",0,
"2020-01-25","Denmark",0,
"2020-01-26","Denmark",0,
"2020-01-27","Denmark",0,
"2020-01-28","Denmark",0,
"2020-01-29","Denmark",0,0
"2020-01-30","Denmark",0,0
"2020-01-31","Denmark",0,0
"2020-02-01","Denmark",0,0
"2020-02-02","Denmark",0,0
"2020-02-03","Denmark",0,0
"2020-02-04","Denmark",0,0
"2020-02-05","Denmark",0,0
"2020-02-06","Denmark",0,0
"2020-02-07","Denmark",0,0
"2020-02-08","Denmark",0,0
"2020-02-09","Denmark",0,0
"2020-02-10","Denmark",0,0
"2020-02-11","Denmark",0,0
"2020-02-12","Denmark",0,0
"2020-02-13","Denmark",0,0
"2020-02-14","Denmark",0,0
"2020-02-15","Denmark",0,0
"2020-02-16","Denmark",0,0
"2020-02-17","Denmark",0,0
"2020-02-18","Denmark",0,0
"2020-02-19","Denmark",0,0
"2020-02-20","Denmark",0,0
"2020-02-21","Denmark",0,0
"2020-02-22","Denmark",0,0
"2020-02-23","Denmark",0,0
"2020-02-24","Denmark",0,0
"2020-02-25","Denmark",0,0
"2020-02-26","Denmark",0,0
"2020-02-27","Denmark",0.17264588274962045,0.024663697535660063
"2020-02-28","Denmark",0,0.024663697535660063
"2020-02-29","Denmark",0.3452917654992409,0.0739910926069802
"2020-03-01","Denmark",0.17264588274962045,0.09865479014264025
"2020-03-02","Denmark",0,0.09865479014264025
"2020-03-03","Denmark",0.3452917654992409,0.1479821852139604
"2020-03-04","Denmark",0.8632294137481024,0.27130067289226073
"2020-03-05","Denmark",0,0.24663697535660067
"2020-03-06","Denmark",2.244396475745066,0.5672650433201816
"2020-03-07","Denmark",0,0.5179376482488615
"2020-03-08","Denmark",2.244396475745066,0.8139020186767822
"2020-03-09","Denmark",9.495523551229125,2.170405383138086
"2020-03-10","Denmark",29.695091832934718,6.3632339642002975
"2020-03-11","Denmark",31.076258894931684,10.67938103294081
"2020-03-12","Denmark",29.86773771568434,14.94620070661
"2020-03-13","Denmark",32.284780074179025,19.23768407781485
"2020-03-14","Denmark",5.524668247987854,20.026922398955975
