title,date,image,nationality,country,color
The Baptism of Christ,1645,https://images.metmuseum.org/CRDImages/ep/web-large/DT10696.jpg,French,,"[65, 57, 45]"
A Classical Landscape,1660,https://images.metmuseum.org/CRDImages/ep/web-large/DP123839.jpg,French,,"[72, 59, 40]"
A Woman Playing a Harp,1788,https://images.metmuseum.org/CRDImages/ep/web-large/DP327724.jpg,French(?),,"[203, 198, 192]"
The Man of Sorrows,1520,https://images.metmuseum.org/CRDImages/ep/web-large/DP375525.jpg,,,"[51, 28, 20]"
Portrait of a Young Boy,1636,https://images.metmuseum.org/CRDImages/ep/web-large/ep49.7.39.bw.R.jpg,French,,"[27, 27, 27]"
The Mourning Virgin; The Man of Sorrows,1520,https://images.metmuseum.org/CRDImages/ep/web-large/DT241954.jpg,,,"[48, 34, 30]"
Head of Saint John the Baptist on a Charger,1495,https://images.metmuseum.org/CRDImages/ep/web-large/DP345354.jpg,Netherlandish,,"[39, 27, 20]"
Portrait of a Man,1465,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14975-001.jpg,Netherlandish,,"[27, 31, 31]"
Virgin and Child,1495,https://images.metmuseum.org/CRDImages/ep/web-large/DP164802.jpg,German,,"[74, 42, 18]"
Portrait of a Man,1785,https://images.metmuseum.org/CRDImages/ep/web-large/57123.jpg,French,,"[233, 233, 233]"
Virgin and Child,1455,https://images.metmuseum.org/CRDImages/ep/web-large/DT1481.jpg,Netherlandish,,"[191, 143, 98]"
Virgin and Child,1475,https://images.metmuseum.org/CRDImages/ep/web-large/ep49.7.18.bw.R.jpg,Netherlandish,,"[63, 63, 63]"
Virgin and Child,1475,https://images.metmuseum.org/CRDImages/ep/web-large/DT7240.jpg,Netherlandish,,"[63, 36, 24]"
Madonna and Child,1507,https://images.metmuseum.org/CRDImages/ep/web-large/DT5282.jpg,Italian,,"[145, 115, 79]"
The Spinner,1653,https://images.metmuseum.org/CRDImages/ep/web-large/DP143193.jpg,Dutch,,"[50, 35, 20]"
The Preaching of John the Baptist,1634,https://images.metmuseum.org/CRDImages/ep/web-large/DP145412.jpg,Dutch,,"[76, 66, 52]"
The Judgment of Solomon,1640,https://images.metmuseum.org/CRDImages/ep/web-large/DP145897.jpg,Dutch,,"[50, 40, 20]"
Sentimental Conversation,1660,https://images.metmuseum.org/CRDImages/ep/web-large/DP145925.jpg,Dutch,,"[46, 35, 23]"
The Weeders,1868,https://images.metmuseum.org/CRDImages/ep/web-large/DT2155.jpg,French,,"[198, 181, 118]"
A Peasant Girl Knitting,1865,https://images.metmuseum.org/CRDImages/ep/web-large/ep87.15.21.R.jpg,French,,"[49, 45, 32]"
Kynance,1888,https://images.metmuseum.org/CRDImages/ep/web-large/DP169651.jpg,British,,"[205, 187, 163]"
Portrait of a Man,1685,https://images.metmuseum.org/CRDImages/ep/web-large/28871.jpg,British,,"[192, 192, 192]"
Portrait of a Woman,1595,https://images.metmuseum.org/CRDImages/ep/web-large/DP167132.jpg,British,,"[65, 60, 51]"
Joseph Interpreting the Dreams of Pharaoh,1534,https://images.metmuseum.org/CRDImages/ep/web-large/DP164851.jpg,German,,"[140, 115, 82]"
Sir John Shurley of Isfield (1565–1632),1588,https://images.metmuseum.org/CRDImages/ep/web-large/DP170287.jpg,British,,"[44, 35, 24]"
Portrait of a Man,1765,https://images.metmuseum.org/CRDImages/ep/web-large/89182.jpg,British,,"[65, 65, 65]"
Portrait of a Man,1745,https://images.metmuseum.org/CRDImages/ep/web-large/175440.jpg,British,,"[222, 222, 222]"
Portrait of a Man,1685,https://images.metmuseum.org/CRDImages/ep/web-large/175523.jpg,British,,"[238, 238, 238]"
A Man with the Initials RH,1775,https://images.metmuseum.org/CRDImages/ep/web-large/ep95.14.96.R.jpg,British,,"[187, 188, 192]"
Portrait of a Man,1795,https://images.metmuseum.org/CRDImages/ep/web-large/175407.jpg,British,,"[70, 70, 70]"
Portrait of a Man,1735,https://images.metmuseum.org/CRDImages/ep/web-large/175439.jpg,British,,"[93, 93, 93]"
Portrait of an Officer,1815,https://images.metmuseum.org/CRDImages/ep/web-large/175493.jpg,British,,"[59, 59, 59]"
Eye Miniature,1800,https://images.metmuseum.org/CRDImages/ep/web-large/158040.jpg,British,,"[86, 86, 86]"
Eye Miniature,1800,https://images.metmuseum.org/CRDImages/ep/web-large/158041.jpg,British,,"[230, 230, 230]"
Eye Miniature,1800,https://images.metmuseum.org/CRDImages/ep/web-large/158046.jpg,British,,"[93, 93, 93]"
Eye Miniature,1800,https://images.metmuseum.org/CRDImages/ep/web-large/158042.jpg,British,,"[71, 71, 71]"
Eye Miniature,1800,https://images.metmuseum.org/CRDImages/ep/web-large/257496.jpg,British,,"[239, 239, 239]"
A Peasant with a Bird,1626,https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.3.bw.R.jpg,Flemish,,"[52, 52, 52]"
Cosimo I de' Medici (1519–1574),1523,https://images.metmuseum.org/CRDImages/ep/web-large/DP104985.jpg,Italian,,"[27, 31, 21]"
A Peasant Woman Picking Fleas off a Dog,1626,https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.1.bw.R.jpg,Flemish,,"[55, 55, 55]"
The Brawl,1600,https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.2.bw.R.jpg,Flemish,,"[60, 60, 60]"
The Smokers,1631,https://images.metmuseum.org/CRDImages/ep/web-large/DP-15904-001.jpg,Flemish,,"[38, 29, 16]"
Aeneas and the Sibyl in the Underworld,1630,https://images.metmuseum.org/CRDImages/ep/web-large/DP234687.jpg,Flemish,,"[42, 38, 29]"
