Rank,Publication,Paid Subscriptions
1, The New York Times,"6,100,000"
2, The Washington Post,"3,000,000"
3, The Wall Street Journal,"2,400,000"
4, Game Informer,"2,100,000"
5, Financial Times,"1,100,000"
6, The Athletic,"1,000,000"
7, The Guardian,"790,000"
8, Nikkei,"769,000"
9, The Economist,"516,000"
10, Caixin,"510,000"
11, Bild,"494,000"
12, The Sunday Times,"337,000"
13, The Telegraph,"320,000"
14, The Atlantic,"300,000"
15, Corriere Della Sera,"300,000"
16, Le Monde,"300,000"
17, The Boston Globe,"270,000"
18, La Nacion,"260,000"
19, Clarin,"260,000"
20, L'equipe,"259,000"
21, Los Angeles Times,"253,000"
22, Aftonbladet,"250,000"
23, The New Yorker,"240,000"
24, Wyborcza,"240,000"
25, Folha de S.Paulo,"236,000"
26, Dagens Nyheter,"208,000"
27, Business Insider,"200,000"
28, Mediapart,"170,000"
29, VG,"150,000"
30, Wired,"142,000"
31, The Globe and Mail,"139,000"
32, Welt,"132,000"
33, Aftenposten,"119,000"
34, Le Figaro,"110,000"
35, Chicago Tribune,"100,000"
36, Star Tribune,"100,000"
37, Dagbladet,"100,000"
38, Helsingin Sanomat,"100,000"
