ID,LOCATION,CNTRY_ID,COUNTRY,LAT,LON,YEAR,MONTH,DATE_,SEVERITYCO,SEVERITY,NOTES,DEPTH,DURATION,PERCENTAGE,SPECIES,MORTALITY,RECOVERY,RB_SOURCE
1.00000,,ANT,Netherlands Antilles,5.54200,125.22100,1998.00000,,,3.00000,High,yellow,,,51-70,,,,R@RSEA: UP Marine Science In
2.00000,,PHL,Philippines,13.30200,121.53300,1998.00000,,,3.00000,High,red,,,71-100,,,,R@RSEA: UP Marine Science In
3.00000,,PHL,Philippines,12.31200,122.19600,1998.00000,,,3.00000,High,red,,,71-100,,,,R@RSEA: UP Marine Science In
4.00000,,PHL,Philippines,12.15000,122.21100,1998.00000,,,3.00000,High,red,,,71-100,,,,R@RSEA: UP Marine Science In
5.00000,,PHL,Philippines,12.36700,122.19600,1998.00000,,,3.00000,High,red,,,71-100,,,,R@RSEA: UP Marine Science In
6.00000,,PHL,Philippines,9.76000,123.74000,1998.00000,,,3.00000,High,red,,,71-100,,,,R@RSEA: UP Marine Science In
7.00000,Pamilacan Island,PHL,Philippines,9.43333,123.95000,1999.00000,,,1.00000,Low,,,,6.8-10.1,,,,R@RSEA: Alan White
8.00000,Balicasag Island,PHL,Philippines,9.51667,123.68333,1999.00000,,,2.00000,Medium,,,,9-37.7,,,,R@RSEA: Alan White
9.00000,Sumilon Island,PHL,Philippines,9.40000,123.36667,1999.00000,,,2.00000,Medium,,,,13-45.4,,,,R@RSEA: Alan White
10.00000,Apo Island,PHL,Philippines,9.08333,123.26667,1999.00000,,,2.00000,Medium,,,,26.3-49.8,,,,R@RSEA: Alan White
11.00000,Pulau Payar,MYS,Malaysia,6.05000,100.04000,1998.00000,"6",,3.00000,High,"Acropora spp, massive corals especially patches of Porites",,,,"Acropora spp, massive corals especially patches of Porites",high for Acropora spp (almost all wiped out on reef crest of main island),,Nora Ibrahim
12.00000,Pulau Payar,MYS,Malaysia,6.05000,100.04000,1998.00000,"9",,3.00000,High,Most of sea anemone bleached,,,,Sea anemonies,Most of the sea anemone recovered,,Nora Ibrahim
13.00000,Pulau Payar,MYS,Malaysia,6.05000,100.04000,1998.00000,"12",,3.00000,High,,,,,barrel sponges (bleached white and sponges disintegrated),high for barrel sponges (disappeared from reef crest of main island),,Nora Ibrahim
14.00000,Florida Keys,USA_FLO,United States - Florida,24.53420,-81.58110,1997.00000,"8",08/11/97,2.00000,Medium,,,,,,,,NOAA database
15.00000,mouth into Gulf of California,MEX,Mexico,23.43030,-109.38490,1997.00000,"8",08/11/97,2.00000,Medium,,,,,,,,NOAA database
16.00000,Florida Keys,USA_FLO,United States - Florida,24.55570,-81.51120,1997.00000,"9",09/01/97,3.00000,High,,,,,,,,NOAA database
17.00000,"Palm Island, GBR",AUS_GBR,Australia - Torres Strait & Great Barrier Reef,-18.76910,146.63050,1998.00000,"2",02/14/98,2.00000,Medium,Widespread,,,,,high mortality (GCRMN 2000),,NOAA database
18.00000,Great Barrier Reef,AUS_GBR,Australia - Torres Strait & Great Barrier Reef,-17.88470,146.59380,1998.00000,"2",02/17/98,3.00000,High,,,,,,,,NOAA database
19.00000,"Bundaberg, southernmost point",AUS,Australia,-24.92500,152.50150,1998.00000,"2",02/17/98,2.00000,Medium,,,,,,,,NOAA database
20.00000,Byron Bay (28.37 S),AUS,Australia,-28.70010,153.62090,1998.00000,"2",02/23/98,1.00000,Low,Minimal bleaching,,,,,,,NOAA database
21.00000,Wenman Island nr Galapagos Archipelago,ECU,Ecuador,0.27320,-91.62610,1998.00000,"2",02/23/98,3.00000,High,severe bleaching,,,,,,,NOAA database
22.00000,GBF (central),AUS_GBR,Australia - Torres Strait & Great Barrier Reef,-18.52530,147.14440,1998.00000,"2",02/27/98,2.00000,Medium,significant bleaching,,,,,,,NOAA database
23.00000,Great Barrier Reef (23.5 S),AUS_GBR,Australia - Torres Strait & Great Barrier Reef,-20.76930,151.04370,1998.00000,"2",02/27/98,2.00000,Medium,,,,,,,,NOAA database
24.00000,Bundaberg,AUS,Australia,-24.83620,152.48290,1998.00000,"3",03/04/98,3.00000,High,severe bleaching,,,,,,,NOAA database
25.00000,"Sebasti O, Brazil",BRA,Brazil,-16.99290,-39.14320,1998.00000,"3",03/05/98,1.00000,Low,Minimal bleaching,,,,,,,NOAA database
26.00000,"Mnazi Bay, Tanzania",TZA,Tanzania,-10.34770,40.33840,1998.00000,"5",5/15/98,2.00000,Medium,15-25%,,,,,,50%,"Wilkinson, Clive"
27.00000,"Barat National Park, Bali",IDN,Indonesia,-8.19790,114.42810,1998.00000,,"98",3.00000,High,75-100%,,,,,,,"Wilkinson, Clive"
28.00000,"Palolo Deep, nr Apia. Western Samoa",WSM,Samoa,-13.82310,-171.72610,1998.00000,"3",03/05/98,3.00000,High,60-70% bleaching Also record for 2/20/98,,,,staghorn acropora,,,NOAA database
29.00000,American Samoa,ASM,American Samoa,-14.32470,-170.69680,1998.00000,"3",03/09/98,2.00000,Medium,,,,,,,,NOAA database
30.00000,Pacific Coast of Panama,PAN,Panama,7.25820,-80.38340,1998.00000,"3",03/25/98,2.00000,Medium,,,,,,,,NOAA database
31.00000,Byron Bay (28.37S),AUS,Australia,-28.65910,153.63350,1998.00000,"3",03/30/98,2.00000,Medium,,"15",,,Pocillopora damicornis,,,NOAA database
32.00000,Central GBR,AUS_GBR,Australia - Torres Strait & Great Barrier Reef,-19.71410,149.37000,1998.00000,"4",04/01/98,3.00000,High,,,,,,high,,NOAA database
33.00000,Galapagos Archipelago,ECU,Ecuador,-0.74880,-90.76760,1998.00000,"4",04/01/98,2.00000,Medium,,,,,,,,NOAA database
34.00000,Panama,PAN,Panama,8.45220,-79.00970,1998.00000,"4",04/01/98,2.00000,Medium,,,,,,,,NOAA database
35.00000,GBR,AUS_GBR,Australia - Torres Strait & Great Barrier Reef,-19.41950,148.84770,1998.00000,"4",04/02/98,2.00000,Medium,,,,,"sarcophyton, sinularia, lobophytum",,,NOAA database
36.00000,Lamu-Kiunga area,KEN,Kenya,-1.72260,41.52220,1998.00000,"4",04/04/98,2.00000,Medium,,,,,sinularia and alcyonium genera,,significant coral re-growth and recruitment. Shift in community structure to Pocillopora spp. (CORDIO Newsletter 3 May 2001),Coral Listserver
37.00000,Sri Lanka,LKA,Sri Lanka,6.09850,81.28730,1998.00000,"4",04/15/98,2.00000,Medium,significant bleaching,,,,,,,NOAA database
38.00000,Reunion,REU,Runion,-21.11350,55.25260,1998.00000,"4",04/15/98,2.00000,Medium,"reef flats at La Reunion, Mascarene islands",,,,"Acropora, Galaxea, Pocillopora",,,Coral Listserver
39.00000,Mayotte,MYT,Mayotte,-13.06680,45.11060,1998.00000,"4",04/15/98,2.00000,Medium,started southside that is enclosed but exposed to trade winds. North side cooler waters not effected as such.,,,,,,,Coral Listserver
40.00000,northern coast of Bahia State,BRA,Brazil,-13.69520,-38.90470,1998.00000,"4",04/15/98,3.00000,High,"90% of Mussismilia hispida bleached, 80% Agaricia agaricites and 70% Siderastrea stellata bleached.",9 to 12 m,,,"Mussismilia hispida, Agaricia agaricites, Siderastrea stellata",,by October all colonies recovered,Coral Listserver
41.00000,Gulf of Chiriqui region,PAN,Panama,7.93570,-82.04780,1998.00000,"4",04/17/98,3.00000,High,50% to 90% corals experienced at least partial bleaching,,,,,,,Coral Listserver
42.00000,Seychelles,SYC,Seychelles,-4.33470,55.71770,1998.00000,"4",04/27/98,3.00000,High,,,Feb - May,,,,,NOAA database
43.00000,Lombok Island,IDN,Indonesia,-8.26010,116.68710,1998.00000,"5",05/05/98,3.00000,High,,,,,,,,NOAA database
44.00000,Seychelles,SYC,Seychelles,-4.64610,55.48450,1998.00000,"5",05/11/98,3.00000,High,severe bleaching,,Feb - May,,,,,NOAA database
45.00000,Sri Lanka,LKA,Sri Lanka,8.69610,79.86770,1998.00000,"5",05/11/98,2.00000,Medium,,,,,,,,NOAA database
46.00000,"Tulamben, Bali",IDN,Indonesia,-8.27270,115.61280,1998.00000,,"98",3.00000,High,75-100%,,,,,,,"Wilkinson, Clive"
47.00000,"Karimunjawa, Java",IDN,Indonesia,-5.90130,110.50410,1998.00000,"2",2/98,2.00000,Medium,"0-46% at 3m, 1-25% at 10m",,,,,50-60% mortality of bleached corals,,"Wilkinson, Clive"
48.00000,"Pulau Gaya, Sabah",MYS,Malaysia,6.03610,116.03220,1998.00000,"5",05/16/98,2.00000,Medium,affected 30 to 40% all live coral. Large branching acropora affected 90%,1 to 2 m,,,"Branching acropora, Porites cylindrica, P. lutea, Psammocora digitata, fungia, lobophyllia",,,Coral Listserver
49.00000,Papua New Guinea,PNG,Papua New Guinea,-9.73570,147.39750,1998.00000,"5",05/17/98,1.00000,Low,,,,,,,,NOAA database
