Country,Yes,No,Dont_know,Refused
Myanmar,96%,4%,0%,0%
Nepal,87%,13%,1%,0%
Nicaragua,87%,12%,1%,0%
Thailand,85%,8%,6%,1%
Iceland,85%,12%,3%,0%
Denmark,85%,14%,1%,0%
Laos,84%,6%,9%,0%
Ethiopia,84%,14%,2%,0%
Cambodia,84%,11%,6%,0%
Bangladesh,83%,12%,5%,0%
Egypt,83%,15%,2%,0%
India,82%,17%,1%,0%
Vietnam,81%,14%,5%,0%
Mauritius,81%,18%,2%,0%
Saudi Arabia,80%,19%,1%,0%
Sri Lanka,80%,15%,4%,1%
Tanzania,79%,19%,0%,1%
Australia,76%,23%,1%,0%
Iran,76%,22%,2%,1%
Mexico,75%,19%,5%,0%
El Salvador,75%,21%,4%,0%
United Kingdom,75%,21%,4%,0%
Costa Rica,74%,21%,4%,1%
Norway,74%,24%,2%,0%
Kenya,73%,26%,1%,0%
Peru,73%,26%,1%,0%
Zimbabwe,73%,25%,2%,0%
Germany,73%,24%,2%,1%
Ecuador,72%,23%,4%,0%
Malaysia,72%,24%,5%,0%
Guatemala,71%,19%,8%,1%
Ireland,71%,26%,3%,0%
Uzbekistan,70%,23%,7%,0%
Honduras,70%,26%,3%,0%
Indonesia,70%,27%,3%,0%
Japan,70%,28%,2%,0%
Colombia,70%,29%,1%,0%
Brazil,70%,28%,2%,0%
Malta,69%,27%,4%,0%
Portugal,68%,26%,6%,0%
United Arab Emirates,68%,25%,6%,1%
Canada,68%,29%,2%,1%
Tunisia,67%,29%,3%,1%
Venezuela,66%,29%,4%,1%
South Korea,65%,33%,2%,0%
Bolivia,65%,29%,6%,1%
Dominican Republic,65%,33%,2%,0%
Tajikistan,64%,28%,8%,0%
Italy,64%,34%,2%,0%
Zambia,63%,34%,3%,0%
Argentina,63%,32%,4%,1%
South Africa,63%,35%,2%,0%
Uganda,62%,36%,1%,1%
Hong Kong,62%,37%,1%,0%
Austria,62%,37%,1%,0%
Finland,61%,36%,3%,0%
Iraq,61%,36%,2%,0%
Uruguay,61%,34%,5%,1%
Israel,61%,26%,12%,0%
Mongolia,61%,32%,7%,0%
Chile,60%,35%,4%,0%
Sweden,59%,40%,1%,0%
Pakistan,59%,39%,2%,1%
Nigeria,58%,37%,5%,0%
Netherlands,57%,40%,3%,0%
Taiwan,57%,37%,5%,0%
France,57%,40%,3%,0%
Ghana,56%,40%,4%,0%
Georgia,56%,39%,4%,1%
Burkina Faso,56%,40%,5%,0%
Guinea,54%,37%,8%,1%
Switzerland,53%,39%,7%,0%
Belgium,53%,40%,6%,0%
United States,53%,46%,1%,0%
Bahrain,53%,41%,6%,1%
Paraguay,53%,37%,9%,1%
Congo Brazzaville,52%,45%,3%,0%
Spain,51%,46%,2%,0%
Turkey,51%,44%,5%,0%
Philippines,51%,47%,1%,0%
Slovakia,50%,44%,6%,0%
Estonia,50%,41%,9%,0%
Slovenia,49%,48%,1%,2%
Algeria,49%,40%,11%,0%
Morocco,49%,31%,20%,0%
Ivory Coast,49%,47%,4%,0%
Mali,49%,49%,2%,0%
Greece,48%,48%,5%,0%
Namibia,46%,51%,2%,1%
Ukraine,44%,51%,5%,0%
Benin,44%,45%,10%,0%
Lithuania,44%,27%,28%,2%
Lebanon,43%,51%,5%,0%
Poland,43%,52%,6%,0%
Croatia,42%,46%,11%,0%
Latvia,41%,48%,10%,0%
Kyrgyzstan,41%,45%,14%,0%
Senegal,41%,55%,4%,0%
Togo,41%,54%,5%,0%
Czech Republic,38%,53%,9%,0%
Cyprus,38%,54%,8%,0%
Russia,37%,61%,2%,0%
Romania,37%,50%,13%,0%
North Macedonia,35%,53%,12%,0%
Serbia,35%,48%,16%,1%
Albania,34%,52%,14%,0%
Montenegro,33%,50%,16%,0%
Cameroon,33%,65%,2%,0%
Bulgaria,33%,61%,6%,0%
Kosovo,32%,56%,11%,0%
Jamaica,32%,59%,8%,0%
Jordan,31%,62%,6%,0%
Bosnia and Herzegovina,30%,61%,9%,0%
Hungary,30%,61%,9%,0%
Gabon,29%,66%,5%,0%
Kazakhstan,25%,61%,15%,0%
