"Date","Close","Volumne","Open","High","Low","Close(-1)","return","R1","R2","R3","R4","R5","R6","R7","R8","Mean(return)","Standard deviation(return)"
"2015-12-07",57.525,14622,58.225,58.45,56.975,,,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-08",58.375,18011,57.075,59.7,56.625,57.525,0.014776184267709717,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-09",59.25,11168,57.9,59.45,57.7,58.375,0.014989293361884369,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-10",59.225,8946,58.825,59.55,58.825,59.25,-0.0004219409282700182,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-11",60.55,17116,59,61.75,59,59.225,0.022372308991135428,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-14",60.125,10309,60.275,60.825,59.225,60.55,-0.007018992568125469,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-15",58.925,14581,59.75,60.125,58.375,60.125,-0.019958419958420005,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-16",57.9,10982,59.2,59.25,57.35,58.925,-0.017394993635977914,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-17",55.775,19465,57.4,57.4,54.95,57.9,-0.03670120898100173,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-18",56.625,12124,56.1,58.3,56.1,55.775,0.015239802779022886,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-21",56.45,9504,56.975,57.85,56.35,56.625,-0.0030905077262692654,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-22",56.85,8021,56.6,57.5,56.6,56.45,0.007085916740478274,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-23",57.775,9474,57.375,59.175,56.775,56.85,0.01627088830255052,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-24",58.3,5410,58.6,59.35,58.2,57.775,0.009086975335352637,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-28",59.125,8456,58.55,59.65,58.4,58.3,0.014150943396226464,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-29",59.15,9009,59.025,59.475,58.625,59.125,0.0004228329809724918,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-30",59.775,9452,59.15,59.9,58.975,59.15,0.010566356720202874,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2015-12-31",59.8,11053,59.85,60.075,59.25,59.775,0.0004182350480970068,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-04",59.425,13416,59.875,60.025,58.075,59.8,-0.006270903010033445,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-05",61.1,20726,59.45,61.475,59.45,59.425,0.028186790071518794,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-06",60.825,14246,60.875,61.5,60.65,61.1,-0.004500818330605541,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-07",59.55,19719,61.025,61.425,58.95,60.825,-0.020961775585696764,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-08",59.85,20481,59.6,60.95,59.3,59.55,0.005037783375314933,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-11",59.7,16394,59.625,59.925,58.875,59.85,-0.002506265664160377,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-01-12",61.9,26590,60.175,62.05,60.125,59.7,0.03685092127303175,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-13",67.15,12948,67.425,67.875,66.525,61.9,0.08481421647819075,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-14",67.775,11147,67.15,67.975,66.75,67.15,0.009307520476545048,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-15",67.45,7043,67.5,67.675,66.55,67.775,-0.0047952784950203295,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-19",67.725,9362,67.85,68,67.45,67.45,0.0040770941438101034,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-20",67.075,9830,67.675,67.975,66.4,67.725,-0.009597637504614124,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-21",69.025,13613,67.3,69.2,66.6,67.075,0.029071934401789082,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-22",69,11762,68.7,69.675,68.675,69.025,-0.00036218761318371147,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-25",68.775,13234,69.375,69.85,68.575,69,-0.0032608695652173087,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-26",69.6,10132,69,69.85,68.5,68.775,0.011995637949836256,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-27",70.475,12262,69.9,70.55,69.75,69.6,0.01257183908045977,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-28",69.7,17310,70.475,70.975,69.125,70.475,-0.010996807378502895,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-01-29",70.7,15355,69.9,71.025,69.8,69.7,0.014347202295552367,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-02-01",70.7,14899,70.875,71.125,69.825,70.7,0,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-02-02",69.1,15706,70.05,70.275,69,70.7,-0.02263083451202275,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-02-03",69.675,13279,69.25,69.9,69.1,69.1,0.008321273516642589,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-02-04",70.25,,70.25,70.25,70.25,69.675,0.00825260136347331,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-05",70.3,11464,70.15,70.725,69.925,70.25,0.0007117437722419524,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-08",69.725,12320,70,70.95,69.5,70.3,-0.00817923186344243,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-09",69.625,13050,69.4,70.25,69.2,69.725,-0.0014342058085334431,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-10",68.35,17994,70.2,70.4,68.2,69.625,-0.018312387791741554,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-11",69.45,18361,68.225,69.85,67.9,68.35,0.01609363569861022,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-12",70.375,15386,69.5,70.775,69.275,69.45,0.01331893448524114,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-16",70.15,11476,70.175,70.8,70.05,70.375,-0.00319715808170507,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-17",71.15,17148,70.225,71.375,69.675,70.15,0.014255167498218103,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-18",70.775,21831,71.325,72.225,70.275,71.15,-0.005270555165144061,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-19",68.9,20275,70.075,70.4,68.35,70.775,-0.026492405510420345,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-22",69.25,12345,68.8,69.4,68.35,68.9,0.005079825834542733,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-23",69.95,15629,69,70.75,68.575,69.25,0.010108303249097514,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-24",71.475,21039,70,71.575,69.225,69.95,0.021801286633309384,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-25",71.125,13483,71.6,71.85,70.725,71.475,-0.004896817068905133,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-26",70.85,13723,71.15,71.2,70.05,71.125,-0.0038664323374341747,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-02-29",69.975,17036,70.475,70.7,69.675,70.85,-0.012350035285815103,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-03-01",70.4,10354,70.25,70.475,69.725,69.975,0.006073597713469259,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-03-02",70.05,11269,70.775,70.8,69.9,70.4,-0.00497159090909103,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-03-03",70.35,16234,70.025,70.575,69.125,70.05,0.004282655246252636,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-03-04",70.8,15512,70.725,71.375,70.45,70.35,0.006396588486140766,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-03-07",70.05,20782,70.85,70.95,69.275,70.8,-0.010593220338983052,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-03-08",69.775,16401,70.175,70.2,69.475,70.05,-0.003925767309064832,0,0,0,0,0,0,1,0,0.0005481472586105693,0.029618346155110366
"2016-03-09",72.1,28845,69.85,72.2,69.475,69.775,0.03332139018273004,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-03-10",82.9,17271,82.425,83.225,82.175,72.1,0.14979195561719852,1,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-03-11",83.075,14602,83.2,83.475,82.65,82.9,0.002110977080820231,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-03-14",83.225,10007,82.9,83.225,82,83.075,0.001805597351790448,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-03-15",83.35,9374,83.175,83.5,82.7,83.225,0.00150195253829979,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-03-16",83.8,9627,83.125,83.8,82.725,83.35,0.005398920215956843,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
"2016-03-17",83.8,10813,83.7,83.85,83.025,83.8,0,0,0,0,0,0,0,0,0,0.0005481472586105693,0.029618346155110366
