"Deaths; suicide (residents), various themes"
""
"";"";""
"";"";"Sex";"Total men and women";"Total men and women";"Total men and women";"Total men and women";"Total men and women";"Total men and women";"Men";"Men";"Men";"Men";"Men";"Men";"Women";"Women";"Women";"Women";"Women";"Women"
"Topic";"Age";"Periods";"2000";"2010";"2016";"2017";"2018";"2019*";"2000";"2010";"2016";"2017";"2018";"2019*";"2000";"2010";"2016";"2017";"2018";"2019*"
"Total suicides";"Total all ages";"number";"1500";"1600";"1893";"1917";"1829";"1811";"999";"1124";"1279";"1304";"1176";"1232";"501";"476";"614";"613";"653";"579"
"Total suicides";"Younger than 20 years ";"number";"48";"55";"48";"81";"51";"67";"40";"42";"30";"50";"30";"43";"8";"13";"18";"31";"21";"24"
"Total suicides";"20 to 29 years";"number";"154";"148";"175";"195";"222";"200";"118";"112";"124";"146";"146";"127";"36";"36";"51";"49";"76";"73"
"Total suicides";"30 to 39 years";"number";"282";"198";"240";"205";"242";"226";"193";"130";"167";"142";"169";"155";"89";"68";"73";"63";"73";"71"
"Total suicides";"40 to 49 years";"number";"367";"397";"336";"357";"298";"305";"242";"285";"233";"253";"198";"225";"125";"112";"103";"104";"100";"80"
"Total suicides";"50 to 59 years";"number";"266";"369";"447";"472";"432";"399";"172";"260";"306";"328";"271";"263";"94";"109";"141";"144";"161";"136"
"Total suicides";"60 to 69 years";"number";"169";"240";"337";"326";"299";"320";"100";"169";"225";"206";"185";"217";"69";"71";"112";"120";"114";"103"
"Total suicides";"70 to 79 years";"number";"124";"109";"186";"169";"176";"180";"74";"76";"121";"108";"106";"120";"50";"33";"65";"61";"70";"60"
"Total suicides";"80 years or older";"number";"90";"84";"124";"112";"109";"114";"60";"50";"73";"71";"71";"82";"30";"34";"51";"41";"38";"32"
"Relative figures|Total suicides";"Total all ages";"Per 100 000 of the average population";"9.4";"9.6";"11.1";"11.2";"10.6";"10.4";"12.7";"13.7";"15.1";"15.3";"13.7";"14.3";"6.2";"5.7";"7.2";"7.1";"7.5";"6.6"
"Relative figures|Total suicides";"Younger than 20 years ";"Per 100 000 of the average population";"1.2";"1.4";"1.3";"2.1";"1.3";"1.8";"2.0";"2.1";"1.5";"2.6";"1.5";"2.2";"0.4";"0.7";"1.0";"1.7";"1.1";"1.3"
"Relative figures|Total suicides";"20 to 29 years";"Per 100 000 of the average population";"7.3";"7.3";"8.2";"9.0";"10.1";"9.0";"11.1";"11.0";"11.4";"13.3";"13.2";"11.3";"3.5";"3.6";"4.8";"4.6";"7.0";"6.7"
"Relative figures|Total suicides";"30 to 39 years";"Per 100 000 of the average population";"10.7";"9.2";"11.8";"9.9";"11.6";"10.6";"14.3";"12.1";"16.3";"13.7";"16.1";"14.5";"6.9";"6.3";"7.2";"6.1";"7.0";"6.7"
"Relative figures|Total suicides";"40 to 49 years";"Per 100 000 of the average population";"15.5";"15.3";"14.1";"15.3";"13.0";"13.6";"20.2";"21.8";"19.6";"21.7";"17.4";"20.2";"10.7";"8.7";"8.6";"8.9";"8.7";"7.1"
"Relative figures|Total suicides";"50 to 59 years";"Per 100 000 of the average population";"13.1";"16.2";"18.2";"19.0";"17.3";"15.8";"16.7";"22.8";"24.8";"26.3";"21.6";"20.8";"9.4";"9.6";"11.5";"11.6";"12.9";"10.8"
"Relative figures|Total suicides";"60 to 69 years";"Per 100 000 of the average population";"12.3";"12.8";"16.1";"15.7";"14.3";"15.2";"14.9";"18.1";"21.6";"19.9";"17.9";"20.8";"9.7";"7.6";"10.6";"11.5";"10.9";"9.7"
"Relative figures|Total suicides";"70 to 79 years";"Per 100 000 of the average population";"12.3";"9.7";"13.9";"11.9";"11.8";"11.6";"17.4";"14.8";"19.1";"15.9";"14.8";"16.1";"8.5";"5.4";"9.3";"8.2";"9.0";"7.5"
"Relative figures|Total suicides";"80 years or older";"Per 100 000 of the average population";"17.7";"12.8";"16.4";"14.5";"13.8";"14.1";"38.8";"22.4";"26.0";"24.4";"23.5";"26.1";"8.5";"7.8";"10.7";"8.5";"7.8";"6.5"
"Source: CBS"
