id,relid,year,start_year,end_year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,iso3,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
30367,UGA-2011-1-151-27,2011,2011,2011,1,Clear,1,314,314,Uganda: Government,688,688,Government of Uganda - LRA,90,90,Government of Uganda,488,488,LRA,-1,LRA Crisis Tracker,,,,,1,Raga town,Raga,West Bahr-al-Ghazal state,Raga county,8.466667,SSD,25.683333,POINT (25.683333 8.466667),141532,South Sudan,626,Africa,1,1,2011-09-17 00:00:00.000,2011-09-17 00:00:00.000,0,4,0,0,4,4,4,500,
29185,SUD-2012-3-625-5,2012,2012,2012,1,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,-1,"All Africa 2012-08-19 ""Warmongering Sudan Attacked Upper Nile Agricultural Project - Governor",,,,,3,Renk county,Renk county of Upper Nile state,Upper Nile state,Renk county,11.830000,SSD,32.800000,POINT (32.800000 11.830000),146586,South Sudan,626,Africa,2,2,2012-08-12 00:00:00.000,2012-08-17 00:00:00.000,0,0,3,0,3,3,3,625,
63833,SUD-2013-3-625-0,2013,2013,2013,1,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""All Africa,2013-03-27,South Accuses Sudan of Killing Three People in N. Bahr El Ghazal""",All Africa,2013-03-27,South Accuses Sudan of Killing Three People in N. Bahr El Ghazal,,4,North Bahr-al-Ghazal state,"Rual horic, east of the disputed Kiir Adem are, Northern Bahr el Ghazal",North Bahr-al-Ghazal state,,8.850000,SSD,27.000000,POINT (27.000000 8.850000),142255,South Sudan,626,Africa,1,1,2013-03-27 00:00:00.000,2013-03-27 00:00:00.000,0,0,0,0,0,3,0,625,
32099,UGA-2012-3-1336-1,2012,2012,2012,1,Clear,3,488,559,LRA - Civilians,488,1026,LRA - Civilians,488,488,LRA,9999,1,Civilians,-1,"All Africa 7/1-12, ""LRA Kills Two Persons in WBG, Fetches Supplies From Sudan",,,,The Governor of Western Bahr-el-Ghazal State Rizik Zakaria Hassan,1,Mboro village,Mboro town,West Bahr-al-Ghazal state,Wau county,7.263800,SSD,27.852780,POINT (27.852780 7.263800),140096,South Sudan,626,Africa,1,2,2012-01-04 00:00:00.000,2012-01-06 00:00:00.000,0,0,2,0,2,2,2,,
66540,CEN-2013-3-1336-16,2013,2013,2013,1,Clear,3,488,559,LRA - Civilians,488,1026,LRA - Civilians,488,488,LRA,9999,1,Civilians,1,"""LRA Crisis Tracker,2013-11-05,LRA Crisis Tracker""",LRA Crisis Tracker,2013-11-05,LRA Crisis Tracker,,2,Tambura town,"Nabaria between Tambura and Namutina, South Sudan",West Equatoria state,Tambura county,5.600000,SSD,27.466666,POINT (27.466666 5.600000),137935,South Sudan,626,Africa,1,1,2013-11-05 00:00:00.000,2013-11-05 00:00:00.000,0,0,1,0,1,1,1,,
66537,CEN-2013-3-1336-15,2013,2013,2013,1,Clear,3,488,559,LRA - Civilians,488,1026,LRA - Civilians,488,488,LRA,9999,1,Civilians,1,"""Gurtong,2013-11-07,One Person Killed As Suspected LRA Rebels Attack Ezo County, Abducting Three""",Gurtong,2013-11-07,"One Person Killed As Suspected LRA Rebels Attack Ezo County, Abducting Three",,3,Ezo county,"Ezo County, Western Equatoria, South Sudan",West Equatoria state,Ezo county,5.000000,SSD,27.500000,POINT (27.500000 5.000000),137216,South Sudan,626,Africa,1,1,2013-11-07 00:00:00.000,2013-11-07 00:00:00.000,0,0,1,0,1,1,1,,
176089,CEN-2015-3-1336-0,2015,2015,2015,1,Clear,3,488,559,LRA - Civilians,488,1026,LRA - Civilians,488,488,LRA,9999,1,Civilians,2,"""Voice of America Press Releases and Documents,2015-01-26,South Sudan: 11 Killed, Four Wounded in Brutal Attack"";""Al Jazeera English,2015-01-27,Several dead as convoy ambushed in South Sudan""",Voice of America Press Releases and Documents;Al Jazeera English,2015-01-26;2015-01-27,"South Sudan: 11 Killed, Four Wounded in Brutal Attack;Several dead as convoy ambushed in South Sudan",Col. Philip Aguer Panyang,2,Raga town,near the town of Raga in Western Bahr el Ghazal state in South Sudan,West Bahr-al-Ghazal state,Raga county,8.466667,SSD,25.683333,POINT (25.683333 8.466667),141532,South Sudan,626,Africa,1,1,2015-01-26 00:00:00.000,2015-01-26 00:00:00.000,0,0,0,0,0,13,0,,
211709,CEN-2015-3-1336-8,2015,2015,2015,1,Clear,3,488,559,LRA - Civilians,488,1026,LRA - Civilians,488,488,LRA,9999,1,Civilians,1,"""Radio Okapi,2015-12-17,Des présumés LRA tuent 3 personnes dans le Haut-Uelé""",Radio Okapi,2015-12-17,Des présumés LRA tuent 3 personnes dans le Haut-Uelé,sources from the local civil society,1,Nabiapay village,near Nabiapay (which is a market village on the border with South Sudan),West Equatoria state,Yambio county,4.384083,SSD,28.577305,POINT (28.577305 4.384083),135778,South Sudan,626,Africa,2,2,2015-12-12 00:00:00.000,2015-12-17 00:00:00.000,0,0,2,1,3,3,3,,
31909,SSD-2012-3-626-1,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,-1,"AP 2012-05-24 ""South Sudan military kills, tortures a disliked minority tribe, and no UN response, groups say",,,,,4,Jonglei state,Jonglei,Jonglei state,,7.400000,SSD,32.400000,POINT (32.400000 7.400000),140105,South Sudan,626,Africa,2,4,2012-03-01 00:00:00.000,2012-03-30 00:00:00.000,0,0,4,7,11,11,11,626,
31908,SSD-2012-3-626-2,2012,2012,2012,1,Clear,3,113,708,Government of South Sudan - Civilians,113,1175,Government of South Sudan - Civilians,113,113,Government of South Sudan,9999,1,Civilians,-1,"AP 2012-05-25 ""Minority teen killed by South Sudan army; military vows to continue disarmament campaign",,,,,4,Jonglei state,Jonglei,Jonglei state,,7.400000,SSD,32.400000,POINT (32.400000 7.400000),140105,South Sudan,626,Africa,1,1,2012-05-25 00:00:00.000,2012-05-25 00:00:00.000,0,0,1,0,1,1,1,626,
