Level,Indicator,Value,Region,Subregion,Territory,Year,Source,Source Description
Country,Homicide count,1115,Asia,Southern Asia,Afghanistan,2009,NSO,National Statistical Office
Country,Homicide count,983,Asia,Southern Asia,Afghanistan,2010,NSO,National Statistical Office
Country,Homicide count,1231,Asia,Southern Asia,Afghanistan,2011,NSO,National Statistical Office
Country,Homicide count,1948,Asia,Southern Asia,Afghanistan,2012,NSO,National Statistical Office
Country,Homicide count,3367,Asia,Southern Asia,Afghanistan,2015,NSO,National Statistical Office
Country,Homicide count,2318,Asia,Southern Asia,Afghanistan,2016,NSO,National Statistical Office
Country,Homicide count,2424,Asia,Southern Asia,Afghanistan,2017,NSO,National Statistical Office
Country,Homicide count,2474,Asia,Southern Asia,Afghanistan,2018,NSO,National Statistical Office
Country,Homicide rate,3.9267744953,Asia,Southern Asia,Afghanistan,2009,NSO,National Statistical Office
Country,Homicide rate,3.3681096075,Asia,Southern Asia,Afghanistan,2010,NSO,National Statistical Office
Country,Homicide rate,4.0873367236,Asia,Southern Asia,Afghanistan,2011,NSO,National Statistical Office
Country,Homicide rate,6.2513281666,Asia,Southern Asia,Afghanistan,2012,NSO,National Statistical Office
Country,Homicide rate,9.7839217823,Asia,Southern Asia,Afghanistan,2015,NSO,National Statistical Office
Country,Homicide rate,6.5511634561,Asia,Southern Asia,Afghanistan,2016,NSO,National Statistical Office
Country,Homicide rate,6.6784014409,Asia,Southern Asia,Afghanistan,2017,NSO,National Statistical Office
Country,Homicide rate,6.6555611518,Asia,Southern Asia,Afghanistan,2018,NSO,National Statistical Office
Country,Homicide count,130,Europe,Southern Europe,Albania,1992,MD,World Health Organization Mortality Database
Country,Homicide count,191,Europe,Southern Europe,Albania,1993,MD,World Health Organization Mortality Database
Country,Homicide count,112,Europe,Southern Europe,Albania,1994,MD,World Health Organization Mortality Database
Country,Homicide count,259,Europe,Southern Europe,Albania,1995,MD,World Health Organization Mortality Database
Country,Homicide count,272,Europe,Southern Europe,Albania,1996,MD,World Health Organization Mortality Database
Country,Homicide count,1334,Europe,Southern Europe,Albania,1997,MD,World Health Organization Mortality Database
Country,Homicide count,660,Europe,Southern Europe,Albania,1998,MD,World Health Organization Mortality Database
Country,Homicide count,532,Europe,Southern Europe,Albania,1999,MD,World Health Organization Mortality Database
Country,Homicide count,131,Europe,Southern Europe,Albania,2000,MD,World Health Organization Mortality Database
Country,Homicide count,220,Europe,Southern Europe,Albania,2001,MD,World Health Organization Mortality Database
Country,Homicide count,216,Europe,Southern Europe,Albania,2002,MD,World Health Organization Mortality Database
Country,Homicide count,166,Europe,Southern Europe,Albania,2003,MD,World Health Organization Mortality Database
Country,Homicide count,131,Europe,Southern Europe,Albania,2004,MD,World Health Organization Mortality Database
Country,Homicide count,154,Europe,Southern Europe,Albania,2005,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,95,Europe,Southern Europe,Albania,2006,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,105,Europe,Southern Europe,Albania,2007,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,93,Europe,Southern Europe,Albania,2008,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,85,Europe,Southern Europe,Albania,2009,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,127,Europe,Southern Europe,Albania,2010,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,142,Europe,Southern Europe,Albania,2011,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
Country,Homicide count,157,Europe,Southern Europe,Albania,2012,CTS,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS)
