"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"1","s1","TV Show","3%","","João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi","Brazil","August 14, 2020",2020,"TV-MA","4 Seasons","International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","in a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor."
"2","s2","Movie","7:19","Jorge Michel Grau","Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato","Mexico","December 23, 2016",2016,"TV-MA","93 min","Dramas, International Movies","after a devastating earthquake hits mexico city, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive."
"3","s3","Movie","23:59","Gilbert Chan","Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim","Singapore","December 20, 2018",2011,"R","78 min","Horror Movies, International Movies","when an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp."
"4","s4","Movie","9","Shane Acker","Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane","United States","November 16, 2017",2009,"PG-13","80 min","Action & Adventure, Independent Movies, Sci-Fi & Fantasy","in a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group."
"5","s5","Movie","21","Robert Luketic","Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin","United States","January 1, 2020",2008,"PG-13","123 min","Dramas","a brilliant group of students become card-counting experts with the intent of swindling millions out of las vegas casinos by playing blackjack."
"6","s6","TV Show","46","Serdar Akar","Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu","Turkey","July 1, 2017",2016,"TV-MA","1 Season","International TV Shows, TV Dramas, TV Mysteries","a genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect."
"7","s7","Movie","122","Yasir Al Yasiri","Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad","Egypt","June 1, 2020",2019,"TV-MA","95 min","Horror Movies, International Movies","after an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape — before death finds them."
"8","s8","Movie","187","Kevin Reynolds","Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana","United States","November 1, 2019",1997,"R","119 min","Dramas","after one of his high school students attacks him, dedicated teacher trevor garfield grows weary of the gang warfare in the new york city school system and moves to california to teach there, thinking it must be a less hostile environment."
"9","s9","Movie","706","Shravan Kumar","Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak","India","April 1, 2019",2019,"TV-14","118 min","Horror Movies, International Movies","when a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on."
"10","s10","Movie","1920","Vikram Bhatt","Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas","India","December 15, 2017",2008,"TV-MA","143 min","Horror Movies, International Movies, Thrillers","an architect and his wife move into a castle that is slated to become a luxury hotel. but something inside is determined to stop the renovation."
"11","s11","Movie","1922","Zak Hilditch","Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard, Bob Frazer, Brian d'Arcy James, Neal McDonough","United States","October 20, 2017",2017,"TV-MA","103 min","Dramas, Thrillers","a farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. based on stephen king's novella."
"12","s12","TV Show","1983","","Robert Więckiewicz, Maciej Musiał, Michalina Olszańska, Andrzej Chyra, Clive Russell, Zofia Wichłacz, Edyta Olszówka, Mateusz Kościukiewicz, Ewa Błaszczyk, Vu Le Hong, Tomasz Włosok, Krzysztof Wach","Poland, United States","November 30, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas","in this dark alt-history thriller, a na�ve law student and a world-weary detective uncover a conspiracy that has tyrannized poland for decades."
"13","s13","TV Show","1994","Diego Enrique Osorno","","Mexico","May 17, 2019",2019,"TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows","archival video and new interviews examine mexican politics in 1994, a year marked by the rise of the ezln and the assassination of luis donaldo colosio."
"14","s14","Movie","2,215","Nottapon Boonprakob","Artiwara Kongmalai","Thailand","March 1, 2019",2018,"TV-MA","89 min","Documentaries, International Movies, Sports Movies","this intimate documentary follows rock star artiwara kongmalai on his historic, 2,215-kilometer charity run across thailand in 2017."
"15","s15","Movie","3022","John Suits","Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman","United States","March 19, 2020",2019,"R","91 min","Independent Movies, Sci-Fi & Fantasy, Thrillers","stranded when the earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds."
"16","s16","Movie","Oct-01","Kunle Afolayan","Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole, Fabian Adeoye Lojede, Nick Rhys, Kunle Afolayan, Colin David Reese, Ibrahim Shatta, Femi Adebayo, Kanayo O. Kanayo, Lawrence Stubbings, Ademola Adedoyin","Nigeria","September 1, 2019",2014,"TV-14","149 min","Dramas, International Movies, Thrillers","against the backdrop of nigeria's looming independence from britain, detective danladi waziri races to capture a killer terrorizing local women."
"17","s17","TV Show","Feb-09","","Shahd El Yaseen, Shaila Sabt, Hala, Hanadi Al-Kandari, Salma Salem, Ibrahim Al-Harbi, Mahmoud Boushahri, Yousef Al Balushi, Ghorour, Abdullah Al-bloshi","","March 20, 2019",2018,"TV-14","1 Season","International TV Shows, TV Dramas","as a psychology professor faces alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy."
"18","s18","Movie","22-Jul","Paul Greengrass","Anders Danielsen Lie, Jon Øigarden, Jonas Strand Gravli, Ola G. Furuseth, Maria Bock, Thorbjørn Harr, Jaden Smith","Norway, Iceland, United States","October 10, 2018",2018,"R","144 min","Dramas, Thrillers","after devastating terror attacks in norway, a young survivor, grieving families and the country rally for justice and healing. based on a true story."
"19","s19","Movie","15-Aug","Swapnaneel Jayakar","Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale, Jaywant Wadkar, Satish Pulekar, Naina Apte, Uday Tikekar","India","March 29, 2019",2019,"TV-14","124 min","Comedies, Dramas, Independent Movies","on india's independence day, a zany mishap in a mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy."
"20","s20","Movie","'89","","Lee Dixon, Ian Wright, Paul Merson","United Kingdom","May 16, 2018",2017,"TV-PG","87 min","Sports Movies","mixing old footage with interviews, this is the story of arsenal's improbable win versus liverpool in the final moments of the 1989 championship game."
"21","s21","Movie","​​Kuch Bheege Alfaaz","Onir","Geetanjali Thapa, Zain Khan Durrani, Shray Rai Tiwari, Mona Ambegaonkar, Chandreyee Ghosh, Barun Chanda, Saheb Bhattacharjee, Shefali Chauhan","India","September 1, 2018",2018,"TV-14","110 min","Dramas, Independent Movies, International Movies","after accidentally connecting over the internet, two strangers form a tight friendship – not knowing they already share a bond."
"22","s22","Movie","​Goli Soda 2","Vijay Milton","Samuthirakani, Bharath Seeni, Vinoth, Esakki Barath, Chemban Vinod Jose, Gautham Menon, Krisha Kurup, Subiksha","India","September 15, 2018",2018,"TV-14","128 min","Action & Adventure, Dramas, International Movies","a taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers."
"23","s23","Movie","​Maj Rati ​​Keteki","Santwana Bardoloi","Adil Hussain, Shakil Imtiaz, Mahendra Rabha, Sulakshana Baruah, Rahul Gautam Sarma, Kulada Bhattacharjya, Indu Mohan Das, Moumita Talukdar","India","September 15, 2018",2017,"TV-14","117 min","Dramas, International Movies","a successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks."
"24","s24","Movie","​Mayurakshi","Atanu Ghosh","Soumitra Chatterjee, Prasenjit Chatterjee, Indrani Haldar, Sudipta Chakraborty, Suman Banerjee, Gargi Roychowdhury","India","September 15, 2018",2017,"TV-14","100 min","Dramas, International Movies","when a middle-aged divorcee returns to kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them."
"25","s25","TV Show","​SAINT SEIYA: Knights of the Zodiac","","Bryson Baugus, Emily Neves, Blake Shepard, Patrick Poole, Luci Christian, Adam Gibbs, Masakazu Morita, Fumiko Orikasa, Takahiro Sakurai, Hiroaki Miura, Satomi Sato, Katsuyuki Konishi","Japan","January 23, 2020",2020,"TV-14","2 Seasons","Anime Series, International TV Shows","seiya and the knights of the zodiac rise again to protect the reincarnation of the goddess athena, but a dark prophecy hangs over them all."
"26","s26","Movie","(T)ERROR","Lyric R. Cabral, David Felix Sutcliffe","","United States","June 30, 2016",2015,"NR","84 min","Documentaries","this real-life look at fbi counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target."
"27","s27","TV Show","(Un)Well","","","United States","August 12, 2020",2020,"TV-MA","1 Season","Reality TV","this docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. but do the products live up to the promises?"
"28","s28","Movie","#Alive","Cho Il","Yoo Ah-in, Park Shin-hye","South Korea","September 8, 2020",2020,"TV-MA","99 min","Horror Movies, International Movies, Thrillers","as a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out."
"29","s29","Movie","#AnneFrank - Parallel Stories","Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti","Italy","July 1, 2020",2019,"TV-14","95 min","Documentaries, International Movies","through her diary, anne frank's story is retold alongside those of five holocaust survivors in this poignant documentary from oscar winner helen mirren."
"30","s30","TV Show","#blackAF","","Kenya Barris, Rashida Jones, Iman Benson, Genneya Walton, Scarlet Spencer, Justin Claiborne, Ravi Cabot-Conyers","United States","April 17, 2020",2020,"TV-MA","1 Season","TV Comedies","kenya barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series."
