Nationality/ Country of Origin,Domestic Servitude,Labour Exploitation,Organ Harvesting,Sexual Exploitation,Unknown Exploitation,2016 Total,2015-2016 % Change
Albania,4,43,0,407,18,472,19.80%
Vietnam,15,185,0,67,25,292,27%
China,7,129,0,64,19,219,167.10%
Nigeria,58,29,0,102,11,200,-6.50%
Romania,6,124,0,41,4,175,2.90%
Poland,7,136,0,8,4,155,-1.90%
India,16,59,0,6,9,90,34.30%
United Kingdom,3,50,0,17,1,71,10.90%
Eritrea,16,30,0,9,6,61,-35.80%
Pakistan,26,16,0,13,1,56,14.30%
Sudan,2,53,0,0,0,55,-25.70%
Bangladesh,18,9,1,9,6,43,72%
Philippines,31,5,0,4,3,43,53.60%
Slovakia,2,32,0,2,2,38,-48.60%
Ghana,10,7,0,19,1,37,37%
Lithuania,1,27,0,8,0,36,-14.30%
Ethiopia,16,12,0,4,0,32,-31.90%
Hungary,2,19,0,8,1,30,-11.80%
Czech Republic,2,18,0,9,0,29,0%
Thailand,0,2,0,20,0,22,37.50%
Somalia,6,9,0,5,1,21,75%
Bulgaria,4,12,0,2,0,18,-52.60%
Iran,3,3,0,10,2,18,80%
Kenya,8,1,0,6,3,18,28.60%
Uganda,6,0,0,9,1,16,-30.40%
Latvia,0,13,0,2,0,15,36.40%
Zimbabwe,6,1,0,5,2,14,7.70%
Burma / Myanmar,3,9,0,0,1,13,-31.60%
Cameroon,4,2,0,5,1,12,-29.40%
Jamaica,3,5,0,2,2,12,50%
Iraq,1,5,0,2,2,10,150%
South Africa,3,1,0,6,0,10,42.90%
Afghanistan,2,2,0,2,3,9,28.60%
Democratic Republic of the Congo,2,2,0,3,2,9,-10%
Gambia,3,0,0,6,0,9,80%
Malawi,2,3,0,3,1,9,-25%
Brazil,1,0,0,7,0,8,300%
Ivory Coast,0,1,0,5,1,7,133.30%
Senegal,3,0,0,4,0,7,250%
Sierra Leone,2,2,0,3,0,7,-61.10%
Egypt,1,3,0,1,0,5,66.70%
Guinea,0,1,0,3,1,5,-28.60%
Malaysia,0,3,0,2,0,5,0%
Morocco,1,0,0,3,1,5,-16.70%
Sri Lanka,0,3,0,2,0,5,-64.30%
East Timor,0,4,0,0,0,4,N/A
North Korea,1,1,0,1,1,4,-20%
Syria,2,1,0,0,1,4,N/A
Tanzania,1,0,0,3,0,4,100%
United States of America,0,2,0,2,0,4,N/A
Algeria,0,2,0,1,0,3,50%
Angola,1,0,0,2,0,3,-62.50%
Botswana,1,2,0,0,0,3,-25%
Ireland,0,3,0,0,0,3,N/A
Kosovo,0,1,0,1,1,3,50%
Mongolia,0,1,0,2,0,3,200%
Nepal,2,0,0,1,0,3,-40%
Portugal,0,0,0,2,1,3,-50%
Russia,1,1,0,1,0,3,N/A
Taiwan,0,2,0,1,0,3,N/A
Trinidad & Tobago,0,0,0,3,0,3,200%
Ukraine,0,1,0,2,0,3,50%
Zambia,1,0,0,1,1,3,50%
France,0,1,0,1,0,2,100%
Grenada,1,1,0,0,0,2,0%
Hong Kong,0,1,0,1,0,2,N/A
Indonesia,2,0,0,0,0,2,-50%
Liberia,0,0,0,1,1,2,N/A
Macedonia,0,2,0,0,0,2,N/A
Mauritius,1,1,0,0,0,2,N/A
St Lucia,1,0,0,1,0,2,100%
Tunisia,0,1,0,1,0,2,N/A
Turkey,1,0,0,1,0,2,0%
Unknown,0,0,0,2,0,2,0%
Armenia,0,0,0,1,0,1,N/A
Australia,0,1,0,0,0,1,0%
Bahamas,0,1,0,0,0,1,N/A
Barbados,0,1,0,0,0,1,N/A
Belarus,0,0,0,1,0,1,N/A
Cambodia,0,1,0,0,0,1,0%
Denmark,0,0,0,1,0,1,N/A
Dominican Republic,1,0,0,0,0,1,N/A
Georgia,0,1,0,0,0,1,-50%
Germany,0,0,0,1,0,1,N/A
Germany / Poland,0,1,0,0,0,1,N/A
Greece,0,1,0,0,0,1,-96.30%
Italy,1,0,0,0,0,1,N/A
Jordan,0,0,0,1,0,1,N/A
Lebanon,0,0,0,0,1,1,0%
Mauritania,1,0,0,0,0,1,N/A
Moldova,0,1,0,0,0,1,N/A
Netherlands,0,1,0,0,0,1,0%
Netherlands / Sri Lanka,0,1,0,0,0,1,N/A
Niger,0,1,0,0,0,1,N/A
Rwanda,1,0,0,0,0,1,N/A
South Korea,0,1,0,0,0,1,0%
St Vincent & Grenadines,0,1,0,0,0,1,N/A
Total,326,1107,1,951,142,2527,
