Country / Dependency,Total in km² (mi²),Percentage of Earth's Surface
Russia,"17,098,246 (6,601,670)",3.35%
Antarctica,"14,000,000 (5,400,000)",2.75%
Canada,"9,984,670 (3,855,100)",1.96%
China,"9,596,961 (3,705,407)",1.88%
United States,"9,525,067 (3,677,649)",1.87%
Brazil,"8,515,767 (3,287,956)",1.67%
Australia,"7,692,024 (2,969,907)",1.51%
India,"3,287,263 (1,269,219)",0.64%
Argentina,"2,780,400 (1,073,500)",0.55%
Kazakhstan,"2,724,900 (1,052,100)",0.53%
Algeria,"2,381,741 (919,595)",0.47%
D.R. Congo,"2,344,858 (905,355)",0.46%
Greenland (Denmark),"2,166,086 (836,330)",0.43%
Saudi Arabia,"2,149,690 (830,000)",0.42%
Mexico,"1,964,375 (758,449)",0.39%
Indonesia,"1,910,931 (737,815)",0.38%
Sudan,"1,861,484 (718,723)",0.37%
Libya,"1,759,540 (679,360)",0.35%
Iran,"1,648,195 (636,372)",0.32%
Mongolia,"1,564,110 (603,910)",0.31%
Peru,"1,285,216 (496,225)",0.25%
Chad,"1,284,000 (496,000)",0.25%
Niger,"1,267,000 (489,000)",0.25%
Angola,"1,246,700 (481,400)",0.24%
Mali,"1,240,192 (478,841)",0.24%
South Africa,"1,221,037 (471,445)",0.24%
Colombia,"1,141,748 (440,831)",0.22%
Ethiopia,"1,104,300 (426,400)",0.22%
Bolivia,"1,098,581 (424,164)",0.22%
Mauritania,"1,030,700 (398,000)",0.20%
Egypt,"1,002,450 (387,050)",0.20%
Tanzania,"945,087 (364,900)",0.19%
Nigeria,"923,768 (356,669)",0.18%
Venezuela,"916,445 (353,841)",0.18%
Pakistan,"907,843 (350,520)",0.18%
Namibia,"825,615 (318,772)",0.16%
Mozambique,"801,590 (309,500)",0.16%
Turkey,"783,562 (302,535)",0.15%
Chile,"756,102 (291,933)",0.15%
Zambia,"752,612 (290,585)",0.15%
Myanmar,"676,578 (261,228)",0.13%
Afghanistan,"652,230 (251,830)",0.13%
South Sudan,"644,329 (248,777)",0.13%
Somalia,"637,657 (246,201)",0.13%
Central African Republic,"622,984 (240,535)",0.12%
Ukraine,"603,500 (233,000)",0.12%
Madagascar,"587,041 (226,658)",0.12%
Botswana,"581,730 (224,610)",0.11%
Kenya,"580,367 (224,081)",0.11%
France,"543,940 (210,020)",0.11%
Yemen,"527,968 (203,850)",0.10%
Thailand,"513,120 (198,120)",0.10%
Spain,"505,992 (195,365)",0.10%
Turkmenistan,"488,100 (188,500)",0.10%
Cameroon,"475,442 (183,569)",0.09%
Papua New Guinea,"462,840 (178,700)",0.09%
Sweden,"450,295 (173,860)",0.09%
Uzbekistan,"447,400 (172,700)",0.09%
Morocco,"446,550 (172,410)",0.09%
Iraq,"438,317 (169,235)",0.09%
Paraguay,"406,752 (157,048)",0.08%
Zimbabwe,"390,757 (150,872)",0.08%
Norway,"385,207 (148,729)",0.08%
Japan,"377,976 (145,937)",0.07%
Germany,"357,114 (137,882)",0.07%
Republic of the Congo,"342,000 (132,000)",0.07%
Finland,"338,424 (130,666)",0.07%
Vietnam,"331,212 (127,882)",0.07%
Malaysia,"330,803 (127,724)",0.07%
Ivory Coast,"322,463 (124,504)",0.06%
Poland,"312,696 (120,733)",0.06%
Oman,"309,500 (119,500)",0.06%
Italy,"301,339 (116,348)",0.06%
Philippines,"300,000 (120,000)",0.06%
Ecuador,"276,841 (106,889)",0.05%
Burkina Faso,"274,222 (105,878)",0.05%
New Zealand,"270,467 (104,428)",0.05%
Gabon,"267,668 (103,347)",0.05%
Guinea,"245,857 (94,926)",0.05%
United Kingdom,"242,495 (93,628)",0.05%
Uganda,"241,550 (93,260)",0.05%
Ghana,"238,533 (92,098)",0.05%
Romania,"238,397 (92,046)",0.05%
Laos,"236,800 (91,400)",0.05%
Guyana,"214,969 (83,000)",0.04%
Belarus,"207,600 (80,200)",0.04%
Kyrgyzstan,"199,951 (77,202)",0.04%
Senegal,"196,722 (75,955)",0.04%
Syria,"185,180 (71,500)",0.04%
Cambodia,"181,035 (69,898)",0.04%
Uruguay,"176,215 (68,037)",0.04%
Somaliland,"176,120 (68,000)",0.04%
Suriname,"163,820 (63,250)",0.03%
Tunisia,"163,610 (63,170)",0.03%
Bangladesh,"148,460 (57,320)",0.03%
Nepal,"147,181 (56,827)",0.03%
Tajikistan,"143,100 (55,300)",0.03%
Greece,"131,957 (50,949)",0.03%
Nicaragua,"130,373 (50,337)",0.03%
North Korea,"120,540 (46,540)",0.02%
Malawi,"118,484 (45,747)",0.02%
Eritrea,"117,600 (45,400)",0.02%
Benin,"114,763 (44,310)",0.02%
Honduras,"112,492 (43,433)",0.02%
Liberia,"111,369 (43,000)",0.02%
Bulgaria,"111,002 (42,858)",0.02%
Cuba,"109,884 (42,426)",0.02%
Guatemala,"108,889 (42,042)",0.02%
Iceland,"103,000 (40,000)",0.02%
South Korea,"100,210 (38,690)",0.02%
Hungary,"93,028 (35,918)",0.02%
Portugal,"92,226 (35,609)",0.02%
Jordan,"89,342 (34,495)",0.02%
Serbia,"88,361 (34,116)",0.02%
Azerbaijan,"86,600 (33,400)",0.02%
Austria,"83,871 (32,383)",0.02%
United Arab Emirates,"83,600 (32,300)",0.02%
Czech Republic,"78,865 (30,450)",0.02%
Panama,"75,417 (29,119)",0.02%
Sierra Leone,"71,740 (27,700)",0.01%
Ireland,"70,273 (27,133)",0.01%
Georgia,"69,700 (26,900)",0.01%
Sri Lanka,"65,610 (25,330)",0.01%
Lithuania,"65,300 (25,200)",0.01%
Latvia,"64,559 (24,926)",0.01%
Togo,"56,785 (21,925)",0.01%
Croatia,"56,594 (21,851)",0.01%
Bosnia and Herzegovina,"51,209 (19,772)",0.01%
Costa Rica,"51,100 (19,700)",0.01%
Slovakia,"49,037 (18,933)",0.01%
Dominican Republic,"48,671 (18,792)",0.01%
