Country,NULL Highlight,Pivot Field Names,Pivot Field Values
Afghanistan,,Females Married by 15,0.042
Afghanistan,,Females Married by 18,0.283
Afghanistan,,Males Married by 18,0.073
Albania,,Females Married by 15,0.014
Albania,,Females Married by 18,0.118
Albania,,Males Married by 18,0.012
Algeria,,Females Married by 15,0.004
Algeria,,Females Married by 18,0.025
Algeria,,Males Married by 18,
Angola,,Females Married by 15,0.079
Angola,,Females Married by 18,0.303
Angola,,Males Married by 18,0.060
Armenia,,Females Married by 15,0.000
Armenia,,Females Married by 18,0.053
Armenia,,Males Married by 18,0.004
Azerbaijan,,Females Married by 15,0.019
Azerbaijan,,Females Married by 18,0.110
Azerbaijan,,Males Married by 18,0.004
Bangladesh,,Females Married by 15,0.224
Bangladesh,,Females Married by 18,0.586
Bangladesh,,Males Married by 18,0.044
Barbados,,Females Married by 15,0.077
Barbados,,Females Married by 18,0.292
Barbados,,Males Married by 18,
Belarus,,Females Married by 15,0.000
Belarus,,Females Married by 18,0.050
Belarus,,Males Married by 18,0.009
Belize,,Females Married by 15,0.063
Belize,,Females Married by 18,0.335
Belize,,Males Married by 18,0.222
Benin,,Females Married by 15,0.094
Benin,,Females Married by 18,0.306
Benin,,Males Married by 18,0.048
Bhutan,,Females Married by 15,0.062
Bhutan,,Females Married by 18,0.258
Bhutan,,Males Married by 18,
Bolivia (Plurinational State of),,Females Married by 15,0.034
Bolivia (Plurinational State of),,Females Married by 18,0.197
Bolivia (Plurinational State of),,Males Married by 18,0.084
Bosnia and Herzegovina,,Females Married by 15,0.002
Bosnia and Herzegovina,,Females Married by 18,0.035
Bosnia and Herzegovina,,Males Married by 18,0.001
Brazil,,Females Married by 15,0.059
Brazil,,Females Married by 18,0.262
Brazil,,Males Married by 18,
Burkina Faso,,Females Married by 15,0.102
Burkina Faso,,Females Married by 18,0.516
Burkina Faso,,Males Married by 18,0.039
Burundi,,Females Married by 15,0.028
Burundi,,Females Married by 18,0.190
Burundi,,Males Married by 18,0.014
Cabo Verde,,Females Married by 15,0.028
Cabo Verde,,Females Married by 18,0.180
Cabo Verde,,Males Married by 18,0.030
Cambodia,,Females Married by 15,0.019
Cambodia,,Females Married by 18,0.185
Cambodia,,Males Married by 18,0.036
Cameroon,,Females Married by 15,0.102
Cameroon,,Females Married by 18,0.310
Cameroon,,Males Married by 18,0.038
Central African Republic,,Females Married by 15,0.291
Central African Republic,,Females Married by 18,0.679
Central African Republic,,Males Married by 18,0.279
Chad,,Females Married by 15,0.297
Chad,,Females Married by 18,0.669
Chad,,Males Married by 18,0.080
Colombia,,Females Married by 15,0.049
Colombia,,Females Married by 18,0.234
Colombia,,Males Married by 18,0.067
Comoros,,Females Married by 15,0.100
Comoros,,Females Married by 18,0.316
Comoros,,Males Married by 18,0.119
Congo,,Females Married by 15,0.069
Congo,,Females Married by 18,0.273
Congo,,Males Married by 18,0.059
Costa Rica,,Females Married by 15,0.068
Costa Rica,,Females Married by 18,0.212
Costa Rica,,Males Married by 18,
Cote d'Ivoire,,Females Married by 15,0.070
Cote d'Ivoire,,Females Married by 18,0.270
Cote d'Ivoire,,Males Married by 18,0.035
Cuba,,Females Married by 15,0.047
Cuba,,Females Married by 18,0.260
Cuba,,Males Married by 18,0.107
Democratic People's Republic of Korea,,Females Married by 15,0.000
Democratic People's Republic of Korea,,Females Married by 18,0.001
Democratic People's Republic of Korea,,Males Married by 18,0.000
Democratic Republic of the Congo,,Females Married by 15,0.100
Democratic Republic of the Congo,,Females Married by 18,0.373
Democratic Republic of the Congo,,Males Married by 18,0.057
Djibouti,,Females Married by 15,0.013
Djibouti,,Females Married by 18,0.053
Djibouti,,Males Married by 18,
Dominican Republic,,Females Married by 15,0.123
Dominican Republic,,Females Married by 18,0.359
Dominican Republic,,Males Married by 18,0.080
Ecuador,,Females Married by 15,0.025
Ecuador,,Females Married by 18,0.204
Ecuador,,Males Married by 18,
Egypt,,Females Married by 15,0.020
Egypt,,Females Married by 18,0.174
Egypt,,Males Married by 18,0.002
El Salvador,,Females Married by 15,0.058
El Salvador,,Females Married by 18,0.255
El Salvador,,Males Married by 18,
Equatorial Guinea,,Females Married by 15,0.086
Equatorial Guinea,,Females Married by 18,0.295
Equatorial Guinea,,Males Married by 18,0.035
Eritrea,,Females Married by 15,0.129
Eritrea,,Females Married by 18,0.407
Eritrea,,Males Married by 18,0.023
Eswatini,,Females Married by 15,0.008
Eswatini,,Females Married by 18,0.053
Eswatini,,Males Married by 18,0.010
Ethiopia,,Females Married by 15,0.141
Ethiopia,,Females Married by 18,0.403
Ethiopia,,Males Married by 18,0.050
Gabon,,Females Married by 15,0.056
Gabon,,Females Married by 18,0.219
Gabon,,Males Married by 18,0.047
Gambia,,Females Married by 15,0.075
Gambia,,Females Married by 18,0.257
Gambia,,Males Married by 18,0.002
Georgia,,Females Married by 15,0.003
Georgia,,Females Married by 18,0.139
Georgia,,Males Married by 18,0.005
Ghana,,Females Married by 15,0.049
Ghana,,Females Married by 18,0.205
Ghana,,Males Married by 18,0.023
Guatemala,,Females Married by 15,0.062
Guatemala,,Females Married by 18,0.295
Guatemala,,Males Married by 18,0.096
Guinea,,Females Married by 15,0.170
Guinea,,Females Married by 18,0.465
Guinea,,Males Married by 18,0.019
Guinea-Bissau,,Females Married by 15,0.063
Guinea-Bissau,,Females Married by 18,0.244
Guinea-Bissau,,Males Married by 18,0.020
Guyana,,Females Married by 15,0.036
Guyana,,Females Married by 18,0.302
Guyana,,Males Married by 18,0.085
Haiti,,Females Married by 15,0.021
Haiti,,Females Married by 18,0.149
Haiti,,Males Married by 18,0.016
Honduras,,Females Married by 15,0.076
Honduras,,Females Married by 18,0.336
Honduras,,Males Married by 18,0.122
India,,Females Married by 15,0.066
India,,Females Married by 18,0.273
India,,Males Married by 18,0.042
Indonesia,,Females Married by 15,0.020
Indonesia,,Females Married by 18,0.163
Indonesia,,Males Married by 18,0.053
Iran (Islamic Republic of),,Females Married by 15,0.027
Iran (Islamic Republic of),,Females Married by 18,0.167
Iran (Islamic Republic of),,Males Married by 18,
Iraq,,Females Married by 15,0.072
Iraq,,Females Married by 18,0.279
Iraq,,Males Married by 18,
Jamaica,,Females Married by 15,0.014
Jamaica,,Females Married by 18,0.079
Jamaica,,Males Married by 18,
Jordan,,Females Married by 15,0.015
Jordan,,Females Married by 18,0.097
Jordan,,Males Married by 18,0.001
