"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"ASI","Asia","AUS","Australia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",28.7,,
"ALL","All regions","AUS","Australia","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",28.7,,
"EUR","Europe","AUT","Austria","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",34.4,,
"ALL","All regions","AUT","Austria","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",34.4,,
"EUR","Europe","BEL","Belgium","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38,,
"ALL","All regions","BEL","Belgium","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",38,,
"AME","Americas","CAN","Canada","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",27,,
"ALL","All regions","CAN","Canada","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",27,,
"EUR","Europe","CZE","Czech Republic","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",22,,
"ALL","All regions","CZE","Czech Republic","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",22,,
"EUR","Europe","DNK","Denmark","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",37.4,,
"ALL","All regions","DNK","Denmark","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",37.4,,
"EUR","Europe","FIN","Finland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",42,,
"ALL","All regions","FIN","Finland","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",42,,
"EUR","Europe","FRA","France","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",39,,
"ALL","All regions","FRA","France","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",39,,
"EUR","Europe","DEU","Germany","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",30.7,,
"ALL","All regions","DEU","Germany","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",30.7,,
"EUR","Europe","GRC","Greece","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",18.3,,
"ALL","All regions","GRC","Greece","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",18.3,,
"EUR","Europe","HUN","Hungary","HIN","High income","RCL_PV_PRACT","Practice","2019","2019",10.1,,
