"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.6,
"AUT","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",2.8,
"BEL","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",2.2,
"CAN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",1.7,
"CZE","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.2,
"DNK","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.1,
"FIN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.3,
"FRA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",2.8,
"DEU","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.4,
"GRC","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",1.9,
"HUN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.7,
"ISL","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.5,
"IRL","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.3,
"ITA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.2,
"JPN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.6,
"KOR","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.2,
"LUX","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",1.1,
"MEX","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",19,
"NLD","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.1,
"NZL","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.8,
"NOR","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.1,
"POL","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",1.2,
"PRT","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.7,
"SVK","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",1.1,
"ESP","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",4,
"SWE","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.3,
"CHE","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.4,
"TUR","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",6.7,
"GBR","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",3,
"USA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",2.1,
"ALB","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",7.2,
"DZA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",3.1,
"ARG","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",12.9,
"ARM","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",4.8,
"AZE","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",9,
"BGD","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",45.2,
"BLR","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",8.4,
"BIH","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.7,
"BRA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",15.4,
"BGR","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",1.5,
"KHM","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",16.6,
"CHL","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",5.9,
"CHN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",3.2,
"COL","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",14.5,
"HRV","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",2,
"CYP","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",3.2,
"EGY","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",14.8,
"EST","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.5,
"ETH","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",22.5,
"GEO","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",14.4,
"GHA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",8,
"HTI","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",6.7,
"HKG","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.5,
"IND","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",21.5,
"IDN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",13.8,
"IRN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",21.4,
"ISR","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",2.5,
"KAZ","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",6.5,
"LVA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.7,
"LTU","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0,
"MKD","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",4.3,
"MYS","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",6.1,
"MDA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",11.5,
"MOZ","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",41,
"NGA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",30.4,
"PAK","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",13.4,
"PRY","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",13.2,
"PER","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",12.9,
"PHL","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",4.8,
"ROU","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",6.8,
"RUS","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",7.9,
"SAU","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",5.8,
"SGP","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.4,
"SVN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",0.2,
"ZAF","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",6.3,
"SDN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",21.2,
"TZA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",25.3,
"THA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",17.1,
"UKR","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",7.2,
"ARE","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",6.8,
"URY","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",12,
"VNM","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",10.3,
"ZMB","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",18.6,
"SRB","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",3.5,
"AFG","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",35,
"AGO","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",24.7,
"BHR","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",5.5,
"BEN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",16.6,
"BTN","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",16.3,
"BOL","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",12,
"BWA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",7.1,
"BFA","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",32.4,
"BDI","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",9.9,
"CMR","DISCRIMFAMCODE","EARMARRIAGE","PC","A","2019",22.3,
