short name,full name,google hits,AKA,Born,middle age,Field,quick summary,Specific contributions,gap,when?,Western equivalent discovery -where possible,quality of link,Extras/general,Died,Location,Sources,The House of Wisdom' by Jim al-Khalili,Lost History' by Michael Hamilton Morgan,,http://www.iep.utm.edu/ibnrushd/,https://www.britannica.com/biography/Ibn-Zuhr,https://www.britannica.com/biography/al-Battani,,,,
al-Khwārizmi,Abū Abdullah Muhammad ibn Mūsa al-Khwārizmi,2910000,Algorithmus,780,815,"mathematics, astronomy",Hindu numerals,"With Al-Kindi, introduced Hindu numerals to the Arab world (using characters representing 0-9, that can be arranged to show any number). Prior to the Hindu decimal system there were only two ways of working with numbers: the finger counting method and a complicated process of using Arabic letter characters. ",161,976,"The first record of numerals in the west are found in the Codex Vigilanus of 976. Pope Sylvester II tried to spread knowledge of numerals in Europe from the 980s, & Fibonacci promoted numerals in his Liber Abaci published 1202.",direct,"The word algebra is derived from the title of his book, 'Kitab al-Jebr'. ",850,Possibly from Uzbekistan. ,,,,,,,,,,,
Abū Kāmil,Abū Kāmil Shujā,490000,The Egyptian Calculator,850,890,mathematics,several,"First Arabic mathematician to solve indeterminate problems, first to work freely with irrational coefficients, extended the range of geometric proofs, worked with higher powers of the unknown than x squared, right up to x to the power of 8... ",312,1202,"Abu Kamil Shuja's work was a major source for Fibonacci's treatment of algebra in Liber abbaci, De practica geometrie and Flos. Many of the problems & solutions laid out in Abu Kamil's book appear in Liber abbaci. ",direct,,930,Egypt,,,,,,,,,,,
al-Bīrūni,Abū Rayhān al-Bīrūni,2170000,,973,1011,mathematics,cubic equations,Developed mathematic techniques for solving cubic equations and extracting numerical roots. ,192,1202,"Fibonacci provided a positive solution to the cubic equation in 1202, which was 3 thrillionths off the correct value. Scipione del Ferro found a solution for a specific class of cubic equations, but kept it secret until just before his death in 1526. In the late 16th c François Viète discovered the trigonometric solution for the cubic with 3 real roots, & Descartes extended his work. ",direct,,1048,Uzbekistan,,,,,,,,,,,
Ibn al-Haytham,Abū Ali al-Hassan Ibn al-Haytham,291000,"Alhacen, Alhazen",965,1003,physics,the moon illusion,Described the motion of the planets. First to explain the moon illusion (the way we see the moon as larger when it's near the horizon) as an illusion of perception – the 'size-distance invariance principle'.,265,1267,"Building on Alhazen's work, Roger Bacon was the first to explain the moon illusion through the enlarged apparent distance of the horizon by the presence of intervening objects. ",direct,,1040,"Born Basra, spent his productive years in Egypt. ",,,,,,,,,,,
Ibn al-Haytham,Abū Ali al-Hassan Ibn al-Haytham,291000,"Alhacen, Alhazen",965,1003,physics,refraction & dispersion of light,"One of the first to experiment with the colours in light, shadows, rainbows and eclipses. Described the refraction and dispersion of light into constituent colours.",265,1267,Roger Bacon theorized (but couldn't prove) that rainbows were a function of reflection & refraction of sunlight through raindrops. Newton proved that white light is made up of colours through his prism experiments (1665). ,direct,,1040,"Born Basra, spent his productive years in Egypt. ",,,,,,,,,,,
al-Uqlīdisi,Abū al-Hassan al-Uqlīdisi,34300,,920,950,mathematics,decimal fractions,First mathematician known to use decimal fractions (although some suggest he didn't recognise their importance or do much with them). ,400,1350,"Immanuel Bonfils used decimal fractions in 1350, but did not create a symbol to represent them. Simon Stevin was thought to be the first to present a thorough account of demical fractions, & to use them in mathematics, until 1948 when P. Luckey showed that Al-Kashi's account of decimal fractions was just as clear & thorough as Stevin's. ",associative,The 'al-Uqlidisi' part of his name refers to Euclid. ,980,Damascus,,,,,,,,,,,
al-Qalasādi,Abū al-Hasan ibn al-Qalasādi,16000,,1412,1449,mathematics,algebraic symbolism,Developed algebraic symbolism by using short Arabic words or letters as mathematical symbols. ,40,1489,"The + & - mathematical symbols first appeared in print in Johannes Widman's 1489 text. Michael Stifel's Arithmetica integra (1544) used symbols for mathematical notation. In the 18th & 19 centuries Euler, Leibniz, Cantor, Wallis & Gauss came up with many of the symbols still used today.",direct,,1486,"Born Bastah, died Tunisia",,,,,,,,,,,
al-Farghāni,Abū al-Abbās Ahmed ibn Muhammad ibn Kathīr al-Farghāni,71600,Alfraganus,800,831,geography,circumference of the Earth,Estimated the circumference of the earth far more accurately than Ptolemy's figure. ,661,1491,Columbus (incorrectly - failed to convert Arabic miles to Roman miles) used al-Farghani's value for the earth's circumference to persuade backers to fund his voyage. ,direct,,861,,,,,,,,,,,,
al-Uqlīdisi,Abū al-Hassan al-Uqlīdisi,34300,,920,950,mathematics,decimal point,Credited with the invention of a symbol for the decimal point. ,580,1530,"Francesco Pellos or Pellizzati was the first to use the decimal point in a printed work, although he did not recognise its significance. Christoff Rudolf used a decimal symbol (the bar) in 1530. Unlike Pellos, he understood how to use it. ",direct,,980,Damascus,,,,,,,,,,,
Abū Ma'shar al-Balkhi,Abū Ma'shar Ja'far ibn Muhammad ibn Umar al-Balkhi,194000,Albumasar,787,837,astronomy,heliocentricity,"Created a new planetary model, suggesting that all planets except earth orbit the sun. At the time it was commonly thought that celestial bodies orbitted the earth. ",707,1543,"Nicolaus Copernicus published his heliocentric model of the universe in 1543, describing the sun as a motionless body that earth & other planets orbit. This was radical for the time, when Greek geocentric models prevailed. ",direct,,886,Persia,,,,,,,,,,,
