Appendix Table 6c. Relative risks used by age and sex for each outcome for alcohol use globally,,,,
Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,All ages
,,,,
Alcohol use,,,,
Tuberculosis,72 g/day,Both,Both,"3.507
(2.596 to 4.474)"
Tuberculosis,60 g/day,Both,Both,"2.994
(1.972 to 4.204)"
Tuberculosis,48 g/day,Both,Both,"2.535
(1.701 to 3.51)"
Tuberculosis,36 g/day,Both,Both,"2.058
(1.485 to 2.795)"
Tuberculosis,24 g/day,Both,Both,"1.531
(1.165 to 1.98)"
Tuberculosis,12 g/day,Both,Both,"1.101
(0.815 to 1.425)"
Tuberculosis,0 g/day,Both,Both,"1.0
(1.0 to 1.0)"
Lower respiratory infections,72 g/day,Both,Both,"1.357
(1.113 to 1.648)"
Lower respiratory infections,60 g/day,Both,Both,"1.226
(1.036 to 1.423)"
Lower respiratory infections,48 g/day,Both,Both,"1.127
(0.936 to 1.327)"
Lower respiratory infections,36 g/day,Both,Both,"1.064
(0.928 to 1.219)"
Lower respiratory infections,24 g/day,Both,Both,"1.026
(0.901 to 1.167)"
Lower respiratory infections,12 g/day,Both,Both,"1.013
(0.951 to 1.084)"
Lower respiratory infections,0 g/day,Both,Both,"1.0
(1.0 to 1.0)"
Oesophageal cancer,72 g/day,Both,Both,"2.669
(2.074 to 3.348)"
Oesophageal cancer,60 g/day,Both,Both,"2.452
(1.905 to 3.094)"
Oesophageal cancer,48 g/day,Both,Both,"2.202
(1.73 to 2.703)"
Oesophageal cancer,36 g/day,Both,Both,"1.815
(1.468 to 2.222)"
Oesophageal cancer,24 g/day,Both,Both,"1.466
(1.209 to 1.764)"
Oesophageal cancer,12 g/day,Both,Both,"1.212
(1.031 to 1.439)"
Oesophageal cancer,0 g/day,Both,Both,"1.0
(1.0 to 1.0)"
Liver cancer due to alcohol use,72 g/day,Both,Both,"1.424
(1.088 to 1.855)"
Liver cancer due to alcohol use,60 g/day,Both,Both,"1.372
(1.093 to 1.692)"
Liver cancer due to alcohol use,48 g/day,Both,Both,"1.31
(1.036 to 1.639)"
Liver cancer due to alcohol use,36 g/day,Both,Both,"1.225
(1.009 to 1.455)"
Liver cancer due to alcohol use,24 g/day,Both,Both,"1.14
(0.934 to 1.359)"
Liver cancer due to alcohol use,12 g/day,Both,Both,"1.067
(0.936 to 1.207)"
Liver cancer due to alcohol use,0 g/day,Both,Both,"1.0
(1.0 to 1.0)"
Larynx cancer,72 g/day,Both,Both,"2.461
(1.758 to 3.228)"
Larynx cancer,60 g/day,Both,Both,"2.144
(1.46 to 2.935)"
Larynx cancer,48 g/day,Both,Both,"1.813
(1.3 to 2.421)"
Larynx cancer,36 g/day,Both,Both,"1.531
(1.126 to 2.061)"
Larynx cancer,24 g/day,Both,Both,"1.304
(1.006 to 1.659)"
Larynx cancer,12 g/day,Both,Both,"1.12
(0.903 to 1.386)"
Larynx cancer,0 g/day,Both,Both,"1.0
(1.0 to 1.0)"
Breast cancer,72 g/day,Both,Both,"1.476
(1.282 to 1.691)"
Breast cancer,60 g/day,Both,Both,"1.452
(1.312 to 1.599)"
Breast cancer,48 g/day,Both,Both,"1.443
(1.348 to 1.542)"
Breast cancer,36 g/day,Both,Both,"1.433
(1.311 to 1.551)"
Breast cancer,24 g/day,Both,Both,"1.329
(1.237 to 1.419)"
Breast cancer,12 g/day,Both,Both,"1.17
(1.081 to 1.265)"
Breast cancer,0 g/day,Both,Both,"1.0
(1.0 to 1.0)"
Colon and rectum cancer,72 g/day,Both,Both,"1.616
(1.38 to 1.861)"
Colon and rectum cancer,60 g/day,Both,Both,"1.468
(1.329 to 1.615)"
Colon and rectum cancer,48 g/day,Both,Both,"1.323
(1.156 to 1.501)"
Colon and rectum cancer,36 g/day,Both,Both,"1.237
(1.148 to 1.336)"
Colon and rectum cancer,24 g/day,Both,Both,"1.156
(1.067 to 1.248)"
Colon and rectum cancer,12 g/day,Both,Both,"1.078
(1.034 to 1.124)"
Colon and rectum cancer,0 g/day,Both,Both,"1.0
(1.0 to 1.0)"
Lip and oral cavity cancer,72 g/day,Both,Both,"4.858
(3.74 to 6.076)"
Lip and oral cavity cancer,60 g/day,Both,Both,"3.766
(2.839 to 4.9)"
Lip and oral cavity cancer,48 g/day,Both,Both,"2.991
(2.283 to 3.896)"
Lip and oral cavity cancer,36 g/day,Both,Both,"2.311
(1.757 to 2.929)"
Lip and oral cavity cancer,24 g/day,Both,Both,"1.738
(1.383 to 2.161)"
Lip and oral cavity cancer,12 g/day,Both,Both,"1.293
(1.076 to 1.551)"
Lip and oral cavity cancer,0 g/day,Both,Both,"1.0
(1.0 to 1.0)"
Nasopharynx cancer,72 g/day,Both,Both,"4.545
(4.1 to 4.982)"
Nasopharynx cancer,60 g/day,Both,Both,"3.803
(3.509 to 4.102)"
Nasopharynx cancer,48 g/day,Both,Both,"3.062
(2.873 to 3.258)"
Nasopharynx cancer,36 g/day,Both,Both,"2.385
(2.25 to 2.552)"
Nasopharynx cancer,24 g/day,Both,Both,"1.839
(1.77 to 1.907)"
Nasopharynx cancer,12 g/day,Both,Both,"1.371
(1.341 to 1.398)"
Nasopharynx cancer,0 g/day,Both,Both,"1.0
(1.0 to 1.0)"
Other pharynx cancer,72 g/day,Both,Both,"4.764
(3.315 to 6.576)"
Other pharynx cancer,60 g/day,Both,Both,"3.972
(2.813 to 5.354)"
Other pharynx cancer,48 g/day,Both,Both,"3.199
(2.202 to 4.407)"
Other pharynx cancer,36 g/day,Both,Both,"2.519
(1.843 to 3.299)"
Other pharynx cancer,24 g/day,Both,Both,"1.943
(1.467 to 2.484)"
Other pharynx cancer,12 g/day,Both,Both,"1.472
(1.234 to 1.742)"
Other pharynx cancer,0 g/day,Both,Both,"1.0
(1.0 to 1.0)"
Ischaemic heart disease,72 g/day,Both,Male,"1.091
(0.933 to 1.271)"
Ischaemic heart disease,60 g/day,Both,Male,"0.993
(0.883 to 1.105)"
Ischaemic heart disease,48 g/day,Both,Male,"0.906
(0.797 to 1.035)"
Ischaemic heart disease,36 g/day,Both,Male,"0.871
(0.788 to 0.964)"
Ischaemic heart disease,24 g/day,Both,Male,"0.857
(0.779 to 0.943)"
Ischaemic heart disease,12 g/day,Both,Male,"0.865
(0.79 to 0.948)"
Ischaemic heart disease,0 g/day,Both,Male,"1.0
(1.0 to 1.0)"
Ischaemic heart disease,72 g/day,Both,Female,"1.107
(0.894 to 1.341)"
Ischaemic heart disease,60 g/day,Both,Female,"1.012
(0.869 to 1.174)"
Ischaemic heart disease,48 g/day,Both,Female,"0.932
(0.786 to 1.113)"
Ischaemic heart disease,36 g/day,Both,Female,"0.882
(0.781 to 0.997)"
Ischaemic heart disease,24 g/day,Both,Female,"0.846
(0.749 to 0.948)"
Ischaemic heart disease,12 g/day,Both,Female,"0.823
(0.733 to 0.926)"
Ischaemic heart disease,0 g/day,Both,Female,"1.0
(1.0 to 1.0)"
Ischaemic stroke,72 g/day,Both,Male,"1.451
(1.228 to 1.69)"
Ischaemic stroke,60 g/day,Both,Male,"1.312
(1.167 to 1.471)"
Ischaemic stroke,48 g/day,Both,Male,"1.159
(0.98 to 1.353)"
Ischaemic stroke,36 g/day,Both,Male,"1.057
(0.931 to 1.192)"
Ischaemic stroke,24 g/day,Both,Male,"0.97
(0.862 to 1.088)"
Ischaemic stroke,12 g/day,Both,Male,"0.938
(0.83 to 1.054)"
Ischaemic stroke,0 g/day,Both,Male,"1.0
(1.0 to 1.0)"
Ischaemic stroke,72 g/day,Both,Female,"1.43
(1.147 to 1.771)"
Ischaemic stroke,60 g/day,Both,Female,"1.3
(1.121 to 1.496)"
Ischaemic stroke,48 g/day,Both,Female,"1.145
(0.946 to 1.359)"
Ischaemic stroke,36 g/day,Both,Female,"0.985
(0.834 to 1.149)"
Ischaemic stroke,24 g/day,Both,Female,"0.85
(0.726 to 0.985)"
