"Appendix Table 6a. Relative risks used by age and sex for each outcome for all risk factors except for ambient air pollution, alcohol, and smoking",,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,Ages,,,,,,,,,,,,,,,,,,,,,,,
,,,,All-age,0-6 days,7-27 days,28-364 days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95+ years
Unsafe water source,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhoeal diseases,"Unimproved, untreated",Both,Both,,"11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)","11.501
(2.761 to 31.282)"
Diarrhoeal diseases,"Unimproved, chlorinated",Both,Both,,"7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)","7.914
(1.971 to 21.188)"
Diarrhoeal diseases,"Unimproved, filter",Both,Both,,"4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)","4.789
(1.204 to 12.752)"
Diarrhoeal diseases,"Improved, untreated",Both,Both,,"9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)","9.428
(2.782 to 23.028)"
Diarrhoeal diseases,"Improved, chlorinated",Both,Both,,"6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)","6.488
(1.997 to 15.677)"
Diarrhoeal diseases,"Improved, filtered",Both,Both,,"3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)","3.926
(1.22 to 9.401)"
Diarrhoeal diseases,"Piped, untreated",Both,Both,,"8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)","8.431
(2.533 to 20.446)"
Diarrhoeal diseases,"Piped, chlorinated",Both,Both,,"5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)","5.802
(1.807 to 13.843)"
Diarrhoeal diseases,"Piped, filtered",Both,Both,,"3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)","3.511
(1.107 to 8.331)"
Diarrhoeal diseases,"High quality (HQ) piped, untreated",Both,Both,,"2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)","2.401
(2.037 to 2.818)"
Diarrhoeal diseases,"HQ piped, chlorinated",Both,Both,,"1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)","1.653
(1.56 to 1.748)"
Diarrhoeal diseases,"HQ piped, filtered",Both,Both,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Unsafe sanitation,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhoeal diseases,Unimproved & untreated,Both,Both,,"3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)","3.242
(2.528 to 4.067)"
