Appendix Table 6d. Relative risks used by age and sex for each outcome for smoking globally,,,,,,,,,,,,,,,,,
Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,Age,,,,,,,,,,,,,
,,,,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus
Smoking,,,,,,,,,,,,,,,,,
Latent tuberculosis infection,0 Cigarettes Per Smoker Per Day,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Latent tuberculosis infection,0 Cigarettes Per Smoker Per Day,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Latent tuberculosis infection,9 Cigarettes Per Smoker Per Day,Both,Male,"2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)"
Latent tuberculosis infection,9 Cigarettes Per Smoker Per Day,Both,Female,"2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)","2.073
(1.605 to 2.549)"
Latent tuberculosis infection,18 Cigarettes Per Smoker Per Day,Both,Male,"2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)"
Latent tuberculosis infection,18 Cigarettes Per Smoker Per Day,Both,Female,"2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)","2.311
(1.808 to 2.921)"
Latent tuberculosis infection,27 Cigarettes Per Smoker Per Day,Both,Male,"3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)","3.029
(2.315 to 3.969)"
