"ï..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"MMR202","11-March-2011",2011,"Riots","Violent demonstration","Rioters (Myanmar)","Students (Myanmar)","","","Southeast Asia","Myanmar","Mandalay","Mandalay","","Mandalay",21.975,96.084,"BBC News","International","More than 50 university students gathered at the Electric Power Cooperation Office in Ngantay Ward and the township office of electrical engineering in Mandalay Ward. A source in Mandalay Ward said some students threw stones at the electrical office, breaking glass.",0
"MMR203","11-March-2011",2011,"Riots","Violent demonstration","Rioters (Myanmar)","Students (Myanmar)","","","Southeast Asia","Myanmar","Mon","Mawlamyine","Mawlamyine","Mawlamyine",16.456,97.647,"BBC News","International","University students in Moulmein in Mon State demonstrated and threw stones at electrical services offices on Tuesday in protest against cuts in electricity during their graduation exams period.",0
"MMR7275","27-June-2011",2011,"Riots","Mob violence","Rioters (Myanmar)","Burman Ethnic Group (Myanmar)","Rioters (Myanmar)","Chinese Ethnic Group (Myanmar)","Southeast Asia","Myanmar","Mandalay","Mandalay","Mahaaungmyay","Mahaaungmyay",21.959,96.091,"Radio Free Asia","Regional","On 27 June 2011, in Mahaaungmyay Township, in Mandalay Region, Chinese traders and Burmese traders clashed after the Burmese trader was beaten by 5 Chinese gem traders. Police dispersed the crowd, but this led to another clash between the police and the public. [size=no report]",0
"MMR7318","01-June-2012",2012,"Riots","Violent demonstration","Rioters (Myanmar)","Labour Group (Myanmar)","Rioters (Myanmar)","Labour Group (Myanmar)","Southeast Asia","Myanmar","Yangon","Yangon-North","Hlaingtharya-East","Hlaingtharya",16.854,96.069,"Radio Free Asia","Regional","On 1 June 2012, in Hlaingthayar Township, in Yangon Region, workers of the Hallmark Garment factory who had been demonstrating clashed with people from employer's side. [size=no report]",0
"MMR822","03-June-2012",2012,"Riots","Mob violence","Rioters (Myanmar)","Rakhine Ethnic Group (Myanmar); Buddhist Group (Myanmar)","Civilians (Myanmar)","Muslim Group (Myanmar)","Southeast Asia","Myanmar","Rakhine","Thandwe","Toungup","Toungup",18.856,94.241,"Kaladan Press","Subnational","On 03-June-2012, in Ramree township, Rakhine state, a group of Rakhine Buddhists attacked a bus of Muslim pilgrims, killing 10 people.",10
"MMR821","03-June-2012",2012,"Riots","Mob violence","Police Forces of Myanmar (2011-2016)","","Rioters (Myanmar)","","Southeast Asia","Myanmar","Rakhine","Sittwe","Sittwe","Sittwe",20.146,92.898,"BBC News","International","On 3 June 2012, the police fired rubber bullets at rioters who attacked a police station in Sittwe (Rakhine). At least 10 people were injured.",0
"MMR828","08-June-2012",2012,"Riots","Mob violence","Rioters (Myanmar)","Rohingya Muslim Group (Myanmar)","Civilians (Myanmar)","Rakhine Ethnic Group (Myanmar); Buddhist Group (Myanmar)","Southeast Asia","Myanmar","Rakhine","Maungdaw","Maungdaw","Maungdaw",20.826,92.366,"AFP","International","On June 8, in Maungdaw Township (Maungdaw, Rakhine), a crowd of Rohingya Muslims threw stones at regime buildings and local businesses after Friday prayers at a local mosque. The crowd then set fire to homes of Rakhine Buddhists in the area.",0
"MMR825","08-June-2012",2012,"Riots","Mob violence","Rioters (Myanmar)","Rakhine Ethnic Group (Myanmar); Buddhist Group (Myanmar)","Rioters (Myanmar)","Rohingya Muslim Group (Myanmar)","Southeast Asia","Myanmar","Rakhine","Maungdaw","Buthidaung","Buthidaung",20.875,92.527,"Irrawaddy","National","On 8 June 2012, violent clashes continued between Buddhists and Muslim groups, rioters torched villages in Buthidaung townships, Rakhine State. No information on fatalities.",0
"MMR839","12-June-2012",2012,"Riots","Mob violence","Rioters (Myanmar)","Police Forces of Myanmar (2011-2016); Buddhist Group (Myanmar)","Civilians (Myanmar)","Rohingya Muslim Group (Myanmar)","Southeast Asia","Myanmar","Rakhine","Sittwe","Sittwe","Sittwe",20.146,92.898,"HRW","Other","On June 12, in Sittwe township (Sittwe, Rakhine), a 400 strong group of Buddhists along with riot police attacked the Rohingya Narzi Bazaar quarter of Sittwe.",0
"MMR7324","16-June-2012",2012,"Riots","Mob violence","Rioters (Myanmar)","Rakhine Ethnic Group (Myanmar); Buddhist Group (Myanmar)","Rioters (Myanmar)","Rohingya Muslim Group (Myanmar)","Southeast Asia","Myanmar","Rakhine","Mrauk-U","Kyauktaw","Kyauktaw",20.844,92.973,"Radio Free Asia","Regional","On 16 June 2012, in Thankhar Taung, in Kyauktaw Township, in Rakhine State, there were clashes between the Rohingya and ethnic Rakhine people during which 9 people who were providing security at the monastery were arrested and monks were threatened. [size=no report]",0
