ISO3,Country,Indicator_Id,Indicator,2018
AFG,Afghanistan,41794,Absence of corruption (Global States of Democracy),0.236799154
AFG,Afghanistan,41795,Access to justice ,0.304748823
AFG,Afghanistan,41796,Access to justice for men ,0.297157948
AFG,Afghanistan,41797,Access to justice for women ,0.384745322
AFG,Afghanistan,41798,Barriers to parties ,0.473684211
AFG,Afghanistan,41799,Basic welfare ,0.394133266
AFG,Afghanistan,41825,Checks on government ,0.539710076
AFG,Afghanistan,41826,Civil liberties ,0.570567093
AFG,Afghanistan,41827,Civil society participation ,0.668254096
AFG,Afghanistan,41828,Clean Elections ,0.401147956
AFG,Afghanistan,41841,Competition ,0
AFG,Afghanistan,41842,Competitiveness of executive recruitment ,0
AFG,Afghanistan,41843,Competitiveness of participation ,0
AFG,Afghanistan,41844,Compliance with High Court ,0.526315789
AFG,Afghanistan,41845,Compliance with judiciary ,0.263157895
AFG,Afghanistan,41855,Critical Print / broadcast media ,0.52540165
AFG,Afghanistan,41856,CSO  participatory environment ,0.691685179
AFG,Afghanistan,41857,CSO entry and exit ,0.584735754
AFG,Afghanistan,41858,CSO participatory environment ,0.608682855
AFG,Afghanistan,41859,CSO repression ,0.72636466
AFG,Afghanistan,41860,CSO women s participation ,0.052631579
AFG,Afghanistan,41865,Direct  Democracy ,0.01707213
AFG,Afghanistan,41866,Direct democracy ,0.025608195
AFG,Afghanistan,41867,Educational equality ,0.052631579
AFG,Afghanistan,41868,Effective parliament ,0.591386412
AFG,Afghanistan,41869,Elected executive index ,1
AFG,Afghanistan,41870,Elected Government ,0.649970764
AFG,Afghanistan,41871,Election free and fair ,0.412204036
AFG,Afghanistan,41872,Election government intimidation ,0.480887463
AFG,Afghanistan,41873,Election other voting irregularities ,0.241518578
AFG,Afghanistan,41874,Election voter registry ,0.366720281
AFG,Afghanistan,41875,Election women in the cabinet ,0.470588235
AFG,Afghanistan,41876,Elections multiparty ,0.35
AFG,Afghanistan,41877,Electoral,0.666666667
AFG,Afghanistan,41878,Electoral participation ,0.2181
AFG,Afghanistan,41879,EMB autonomy ,0.340247678
AFG,Afghanistan,41880,EMB capacity ,0.147836538
AFG,Afghanistan,41881,Engaged society ,0.621712943
AFG,Afghanistan,41882,Executive bribery and corrupt exchanges ,0.210526316
AFG,Afghanistan,41883,Executive constraints ,0.5
AFG,Afghanistan,41884,Executive embezzlement and theft ,0.157894737
AFG,Afghanistan,41885,Executive oversight ,0.5
AFG,Afghanistan,41886,Executive respects constitution ,0.473684211
AFG,Afghanistan,41895,Fair trial ,0
AFG,Afghanistan,41896,Female vs. male mean years of schooling ,0
AFG,Afghanistan,41913,Free Political Parties ,0.466250782
AFG,Afghanistan,41914,Freedom from forced labour for men ,0.263157895
AFG,Afghanistan,41915,Freedom from forced labour for women ,0.473684211
AFG,Afghanistan,41916,Freedom from political killings ,0.421052632
AFG,Afghanistan,41917,Freedom from torture ,0.421052632
AFG,Afghanistan,41918,Freedom of academic and cultural expression ,0.539293538
AFG,Afghanistan,41919,Freedom of assembly and association ,0.666666667
AFG,Afghanistan,41920,Freedom of association and assembly ,0.65969921
AFG,Afghanistan,41921,Freedom of discussion for men ,0.565983553
AFG,Afghanistan,41922,Freedom of discussion for women ,0.546914984
AFG,Afghanistan,41923,Freedom of domestic movement for men ,0.583517197
AFG,Afghanistan,41924,Freedom of domestic movement for women ,0.432949712
AFG,Afghanistan,41925,Freedom of expression ,0.552249073
AFG,Afghanistan,41926,Freedom of foreign movement ,0.722012579
AFG,Afghanistan,41927,Freedom of movement ,0.571402715
AFG,Afghanistan,41928,Freedom of movement and residence ,0.333333333
AFG,Afghanistan,41929,Freedom of opinion and expression ,0.333333333
AFG,Afghanistan,41930,Freedom of religion ,0.442501547
AFG,Afghanistan,41931,"Freedom of thought, conscience and religion ",0.333333333
AFG,Afghanistan,41932,Fundamental rights ,0.361359494
AFG,Afghanistan,41933,Gender equality ,0.350701882
AFG,Afghanistan,41938,Harassment of journalists ,0.467128517
AFG,Afghanistan,41939,Health equality ,0.263157895
AFG,Afghanistan,41940,High Court independence ,0.473684211
AFG,Afghanistan,41943,Human rights protection scores ,0
AFG,Afghanistan,41944,Impartial administration ,0.332619303
AFG,Afghanistan,41945,Inclusive  Suffrage ,0.78890676
AFG,Afghanistan,41946,Inclusive suffrage ,1
AFG,Afghanistan,41949,Infant mortality rate ,0.368421053
AFG,Afghanistan,41951,Judicial accountability ,0.408530242
AFG,Afghanistan,41952,Judicial corruption decision ,0.210242194
