Country,Current_Legal_Status,Legalization,Pollster,Year,For,Against,Neither,Margin_of_Error
 Andorra,Civil unions or registered partnerships nationwide,,Institut d'Estudis Andorrans,2013,0.7,0.19,0.11,
 Antigua and Barbuda,Same-sex sexual activity is illegal,,AmericasBarometer,2017,0.12,,,
 Argentina,Same-sex marriage performed nationwide,2010,Ipsos,2021,0.73,0.19,(another 9% support some rights),±4.8%
 Armenia,,,Pew Research Center,2015,0.03,0.96,0.01,±3%
 Australia,Same-sex marriage performed nationwide,2017,Ipsos,2021,0.62,0.27,(another 14% support some rights),±3.5%
 Austria,Same-sex marriage performed nationwide,2019,Eurobarometer,2019,0.66,0.3,0.04,
 Bahamas,,,AmericasBarometer,2015,0.11,,,
 Belarus,,,Pew Research Center,2015,0.16,0.81,0.03,±4%
 Belgium,Same-sex marriage performed nationwide,2003,Eurobarometer,2019,0.82,0.17,0.01,
 Belgium,Same-sex marriage performed nationwide,2003,Ipsos,2021,0.72,0.19,(another 12% support some rights),±3.5%
 Belize,,,AmericasBarometer,2014,0.08,,,
 Bolivia,,,AmericasBarometer,2017,0.35,0.65,,±1.0%
 Bosnia and Herzegovina,,,Pew Research Center,2015–2016,0.13,0.84,0.04,±4%
 Brazil,Same-sex marriage performed nationwide,2013,Ipsos,2021,0.55,0.32,(another 14% support some rights),±3.5% [+ more urban/educated than representative]
 Bulgaria,,,Eurobarometer,2019,0.16,0.74,0.1,
 Cambodia,,,TNS Cambodia,2015,0.55,0.3,0.15,
 Canada,Same-sex marriage performed nationwide,2005,Ipsos,2021,0.75,0.15,(another 7% support some rights),±3.5%
 Chile,Civil unions or registered partnerships nationwide,,Plaza Pública-Cadem,2021,0.74,0.24,0.02,
 Chile,,,Ipsos,2021,0.65,0.25,(another 17% support some rights),±4.8% [+ more urban/educated than representative]
 China,,,Ipsos,2021,0.43,0.39,(another 20% support some rights),±3.5% [+ more urban/educated than representative]
 Colombia,Same-sex marriage performed nationwide,2016,Ipsos,2021,0.46,0.38,(another 21% support some rights),±4.8% [+ more urban/educated than representative]
 Costa Rica,Same-sex marriage performed nationwide,2020,CIEP,2018,0.22,0.44,34%[383],±2.3%
 Costa Rica,Same-sex marriage performed nationwide,2020,AmericasBarometer,2017,0.35,0.65,,±1.2%
 Croatia,Civil unions or registered partnerships nationwide,,Eurobarometer,2019,0.39,0.55,0.06,
 Cyprus,Civil unions or registered partnerships nationwide,,Eurobarometer,2019,0.36,0.6,0.04,
 Czech Republic,Civil unions or registered partnerships nationwide,,Median agency,2019,0.67,,,
 Cuba,,,Apretaste,2019,0.63,0.37,,
 Denmark,Same-sex marriage performed nationwide,2012,Eurobarometer,2019,0.89,0.08,0.03,
 Dominica,Same-sex sexual activity is illegal,,AmericasBarometer,2017,0.1,0.9,,±1.1%
 Dominican Republic,,,AmericasBarometer,2016,0.27,0.73,,±1.0%
 Ecuador,Same-sex marriage performed nationwide,2019,AmericasBarometer,2019,0.23,0.51,0.26,
 Ecuador,Same-sex marriage performed nationwide,2019,,2017,0.33,0.67,,±0.9%
 El Salvador,,,AmericasBarometer,2017,0.19,0.81,,±0.9%
 Estonia,Civil unions or registered partnerships nationwide,,Eurobarometer,2019,0.41,0.51,0.08,
 Finland,Same-sex marriage performed nationwide,2015,Eurobarometer,2019,0.76,0.21,0.03,
 France,Same-sex marriage performed nationwide,2013,Ipsos,2021,0.59,0.22,(another 15% support some rights),±3.5%
 France,Same-sex marriage performed nationwide,2013,Eurobarometer,2019,0.79,0.15,0.06,
 Georgia,,,Pew Research Center,2016,0.03,0.95,0.02,
 Germany,Same-sex marriage performed nationwide,2017,Ipsos,2021,0.68,0.23,(another 13% support some rights),±3.5%
 Germany,Same-sex marriage performed nationwide,2017,Eurobarometer,2019,0.84,0.12,0.04,
 Greece,Civil unions or registered partnerships nationwide,,Kapa Research,2020,0.56,0.4,0.04,±3%
 Grenada,Same-sex sexual activity is illegal,,AmericasBarometer,2017,0.12,0.88,,±1.4%
 Guatemala,,,AmericasBarometer,2017,0.23,0.77,,±1.1%
 Guyana,Same-sex sexual activity is illegal,,AmericasBarometer,2017,0.21,0.79,,±1.3%
 Haiti,,,AmericasBarometer,2017,0.05,0.95,,±0.3%
 Honduras,,,CID Gallup,2018,0.17,0.75,0.08,
 Honduras,,,AmericasBarometer,2017,0.21,0.79,,±0.8%
 Hungary,Civil unions or registered partnerships nationwide,,Ipsos,2021,0.46,0.38,(another 20% support some rights),±4.8%
 Hungary,Civil unions or registered partnerships nationwide,,Eurobarometer,2019,0.33,0.61,0.06,
 Iceland,Same-sex marriage performed nationwide,2010,Gallup,2006,0.89,0.11,,
 India,,,Ipsos,2021,0.44,0.32,(another 14% support some rights),±4.8% [+ more urban/educated than representative]
 India,,,Mood of the Nation,2019,0.24,0.62,0.14,
 Ireland,Same-sex marriage performed nationwide,2015,Eurobarometer,2019,0.79,0.13,0.08,
 Israel,,,Hiddush,2019,0.55,0.45,,±4.5%
 Italy,Civil unions or registered partnerships nationwide,,Ipsos,2021,0.63,0.3,(another 20% support some rights),±3.5%
 Jamaica,Same-sex sexual activity is illegal,,AmericasBarometer,2017,0.16,0.84,,±1.0%
 Japan,,,Asahi Shimbun,2021,0.65,0.22,0.13,
 Japan,,,Ipsos,2021,0.4,0.35,(another 29% support some rights),±3.5%
 Kazakhstan,,,Pew Research Center,2016,0.07,0.89,0.04,
 Latvia,,,Eurobarometer,2019,0.24,0.7,0.06,
 Liechtenstein,Civil unions or registered partnerships nationwide,,Liechtenstein Institut,2021,0.72,0.28,0,
 Lithuania,,,Eurobarometer,2019,0.3,0.63,0.07,
 Luxembourg,Same-sex marriage performed nationwide,2014,Eurobarometer,2019,0.85,0.09,0.06,
 Malaysia,,,Ipsos,2021,0.08,0.73,(another 8% support some rights),±4.8% [+ more urban/educated than representative]
 Malta,Same-sex marriage performed nationwide,2017,Eurobarometer,2019,0.67,0.25,0.08,
 Mexico,Same-sex marriage performed in some parts of the country,,Ipsos,2021,0.63,0.23,(another 13% support some rights),±4.8% [+ more urban/educated than representative]
 Moldova,,,Pew Research Center,2015,0.05,0.92,0.03,±4%
 Mozambique (3 cities),,,Lambda,2017,0.28,0.6,0.12,
 Netherlands,Same-sex marriage performed nationwide,2000,Eurobarometer,2019,0.92,0.08,0,
 Netherlands,Same-sex marriage performed nationwide,2000,Ipsos,2021,0.84,0.09,(another 6% support some rights),±4.8%
 New Zealand,Same-sex marriage performed nationwide,2013,Colmar Brunton,2012,0.63,0.31,0.05,
 New Zealand,Same-sex marriage performed nationwide,2013,Herald DigiPoll,2013,0.5,0.48,2%?,±3.6%
 Nicaragua,,,AmericasBarometer,2017,0.25,0.75,,±1.0%
