"word","pos"
"abracadabra","!"
"ach-y-fi","!"
"action stations","!"
"action","!"
"adieu","!"
"adios","!"
"adsum","!"
"aha","!"
"ahchoo","!"
"ahem","!"
"ahoy","!"
"ah","!"
"aikona","!"
"alack","!"
"alannah","!"
"alas","!"
"all hail","!"
"alleluia","!"
"aloha","!"
"amen","!"
"aneuch","!"
"aroint thee","!"
"arrivederci","!"
"attaboy","!"
"attention","!"
"au revoir","!"
"auf Wiedersehen","!"
"avast","!"
"avaunt","!"
"ave","!"
"away","!"
"aw","!"
"ay","!"
"bags","!"
"bah","!"
"ballocks","!"
"balls","!"
"banzai","!"
"barley","!"
"bar","!"
"beauty","!"
"beaut","!"
"begad","!"
"begone","!"
"begorra","!"
"bejabers","!"
"benedicite","!"
"big deal","!"
"bingo","!"
"bismillah","!"
"bis","!"
"bitte","!"
"blast","!"
"blimey","!"
"blimy","!"
"boh","!"
"bon voyage","!"
"bonjour","!"
"bonsoir","!"
"boo","!"
"botheration","!"
"bother","!"
"bottoms up!","!"
"boy","!"
"bo","!"
"brava","!"
"bravissimo","!"
"bravo","!"
"break","!"
"brother","!"
"bueno","!"
"bugger","!"
"bully","!"
"bye-bye","!"
"carpe diem","!"
"cave","!"
"cease-fire","!"
"checkmate","!"
"check","!"
"cheerio","!"
"cheero","!"
"cheers","!"
"chin-chin","!"
"chooky","!"
"Christ","!"
"ciao","!"
"cobblers","!"
"cock-a-doodle-doo","!"
"come","!"
"congrats","!"
"congratulations","!"
"congratulation","!"
"contact","!"
"content","!"
"cooee","!"
"coo","!"
"cor blimey","!"
"corblimey","!"
"cor","!"
"crikey","!"
"cripes","!"
"crud","!"
"crumbs","!"
"cuckoo","!"
"curses","!"
"dammit","!"
"damnation","!"
"damn","!"
"dam","!"
"dang","!"
"darn","!"
"dash","!"
"dear","!"
"deuce","!"
"do-si-do","!"
"doggone","!"
"done","!"
"drat","!"
"egad","!"
"eh","!"
"eleuin","!"
"en garde","!"
"encore","!"
"er","!"
"eureka","!"
"exactly","!"
"excelsior","!"
"eyes front","!"
"eyes left","!"
"eyes right","!"
"fab","!"
"faith","!"
"fancy","!"
"far","!"
"fast","!"
"faugh","!"
"fiddle-de-dee","!"
"fiddle-faddle","!"
"fiddlesticks","!"
"fiddlestick","!"
"fie","!"
"foh","!"
"fore","!"
"fucking","!"
"fuck","!"
"fudge","!"
"Gadsbodikins","!"
"Gadswoons","!"
"gadzooks","!"
"Gadzooks","!"
"Gad","!"
"gangway","!"
"gardyloo","!"
"gee","!"
"gee","!"
"Geronimo","!"
"gesundheit","!"
"get along","!"
"get away","!"
"get on","!"
"giddap","!"
"glory","!"
"go on","!"
"go to","!"
"gobble","!"
"goddamnit","!"
"goddamn","!"
"Godspeed","!"
"God","!"
"goldarn","!"
"golly","!"
"good-oh","!"
"goodby","!"
"goodness","!"
"goody","!"
"good","!"
"gorblimey","!"
"gor","!"
"gosh","!"
"gracias","!"
"gracious","!"
"gramercy","!"
"gude","!"
"h'm","!"
"ha-ha","!"
"hadaway","!"
"haeremai","!"
"hah","!"
"hail","!"
"hallelujah","!"
"hallo","!"
"hallo","!"
"halt","!"
"happy","!"
"harambee","!"
"hard cheese","!"
"hard lines","!"
"harkee","!"
"havers","!"
"haw-haw","!"
"haw","!"
"ha","!"
"heads","!"
"health","!"
"heave-ho","!"
"heck","!"
"heehaw","!"
"heh","!"
"heigh-ho","!"
"heigh","!"
"heil","!"
"hell","!"
"help","!"
"hence","!"
"hey","!"
"he","!"
"hic","!"
"highty-tighty","!"
"hip","!"
"hiss","!"
"hist","!"
"hi","!"
"hoicks","!"
"hold on","!"
"hollo","!"
"honestly","!"
"hooey","!"
"hooray","!"
"hooray","!"
"hoot","!"
"horrors","!"
"horsefeathers","!"
"hosanna","!"
"hotcha","!"
"howdy","!"
"how","!"
"hoy","!"
"ho","!"
"huh","!"
"huic","!"
"humph","!"
"hum","!"
"hushaby","!"
"hush","!"
"huzzah","!"
"hwt","!"
"indeed","!"
"j'adoube","!"
"jambo","!"
"jeepers","!"
"jeez","!"
"jee","!"
"Jesus","!"
"jiggers","!"
"jiminy","!"
"lackaday","!"
"lawks","!"
"la","!"
"looky","!"
"lordy","!"
"Lord","!"
"lor","!"
"lo","!"
"lud","!"
"lumme","!"
"mamzer","!"
"man","!"
"maranatha","!"
"marry","!"
"meow","!"
"miaou","!"
"moo","!"
"mush","!"
"my","!"
"nerts","!"
"never","!"
"night-night","!"
"nighty-night","!"
"nil desperandum","!"
"nix","!"
"no-ball","!"
"nonsense","!"
"nuts","!"
"oars","!"
"ochone","!"
"och","!"
"ohone","!"
"oho","!"
"oh","!"
"oink","!"
"ol","!"
"ooh","!"
"oops","!"
"order arms","!"
"order","!"
"ouch","!"
"outasight","!"
"out","!"
"ow","!"
"oyez","!"
"O","!"
"pah","!"
"pardi","!"
"pardon","!"
"pardy","!"
"pass","!"
"pax","!"
"perdie","!"
"phew","!"
"phooey","!"
"pish","!"
"plonk","!"
"plop","!"
"plunk","!"
"pooh","!"
"pop","!"
"pow","!"
"pray","!"
"prithee","!"
"prosit","!"
"pshaw","!"
"psst","!"
"quaere","!"
"quick march","!"
"quick","!"
"quits","!"
"quote","!"
"quotha","!"
"rah","!"
"rats","!"
"really","!"
"rhubarb","!"
"right-oh","!"
"righto","!"
"right","!"
"roger","!"
"salugi","!"
"sayonara","!"
"say","!"
"shalom aleichem","!"
"shalom","!"
"shh","!"
"shit","!"
"shoot","!"
"shoo","!"
"shucks","!"
"shush","!"
"sh","!"
"sir-reverence","!"
"sirree","!"
"skoal","!"
"sl","!"
"snap","!"
"snip","!"
"sod","!"
"soft","!"
"soho","!"
"sooey","!"
"sorry","!"
"so","!"
"steady","!"
"strewth","!"
"sucks","!"
"super","!"
"swounds","!"
"tails","!"
"tallyho","!"
"ta","!"
"te-hee","!"
"thank you","!"
"thankee","!"
"thanks","!"
"there","!"
"thwack","!"
"timbale iron","!"
"timber","!"
"toodle-oo","!"
"top-hole","!"
"touch<U+FFFD>","!"
"touch","!"
"tu quoque","!"
"tu-whit tu-whoo","!"
"tush","!"
"tut-tut","!"
"tut","!"
"tweet","!"
"ugh","!"
"um","!"
"unquote","!"
"upsadaisy","!"
"upsy-daisy","!"
"Vale","!"
"view halloo","!"
"viva","!"
"vive","!"
"voetsek","!"
"voil<U+FFFD>","!"
"vroom","!"
"waesucks","!"
"wae","!"
"Welcomed","!"
"Welcoming","!"
"wellaway","!"
"well","!"
"whack","!"
"what","!"
"whee","!"
"whew","!"
"whillikers","!"
"whist","!"
"Whiz Kid","!"
"whoa","!"
"whoopee","!"
"whoops","!"
"why","!"
"wilco","!"
"wirra","!"
"woe","!"
"woof","!"
"wow","!"
"yager","!"
"yah","!"
"yap","!"
"yipe","!"
"yippee","!"
"yo-heave-ho","!"
"yo-ho-ho","!"
"yo-ho","!"
"yoicks","!"
"yoo-hoo","!"
"yuk","!"
"zap","!"
"zounds","!"
"3-D","A"
"4-H","A"
"a cappella","A"
"a gogo","A"
"a la carte","A"
"a la king","A"
"a la mode","A"
"a posteriori","A"
"a priori","A"
"a tempo","A"
"a'","A"
"A-line","A"
"A-OK","A"
"A1","A"
"Aaronical","A"
"Aaronic","A"
"Aaronitic","A"
"abactinal","A"
"abaised","A"
"abandonable","A"
"abandoned","A"
"abased","A"
"abasic","A"
"abatable","A"
"abaxial","A"
"abbatial","A"
"Abbevillian","A"
"abdicable","A"
"abdicant","A"
"abdicative","A"
"abdominal","A"
"abdominous","A"
"abducent","A"
"abecedarian","A"
"abecedary","A"
"Abelian","A"
"Aberdeen","A"
"aberrant","A"
"aberrational","A"
"abessive","A"
"abeyant","A"
"abhominable","A"
"abhorrent","A"
"abiding","A"
"abient","A"
"abiogenetic","A"
"abiotic","A"
"abiotrophic","A"
"abirritant","A"
"abirritative","A"
"abjective","A"
"abject","A"
"abjuratory","A"
"ablatival","A"
"ablative","A"
"able-bodied","A"
"ablepharous","A"
"ableptical","A"
"abler","A"
"ablest","A"
"able","A"
"abloom","A"
"abluent","A"
"ablush","A"
"ablutionary","A"
"abnormal","A"
"abolishable","A"
"abolitionary","A"
"abolition","A"
"abominable","A"
"aboral","A"
"aboriginal","A"
"Aboriginal","A"
"abortifacient","A"
"abortional","A"
"abortive","A"
"aboulic","A"
"about","A"
"above board","A"
"aboveboard","A"
"aboveground","A"
"above","A"
"abox","A"
"abo","A"
"abradant","A"
"abranchiate","A"
"abrasive","A"
"abreast","A"
"abridgable","A"
"abridgeable","A"
"abridged","A"
"abroach","A"
"abrogable","A"
"abrogative","A"
"abrupt","A"
"abscessed","A"
"absent-minded","A"
"absent","A"
"absinthial","A"
"absinthian","A"
"absolute","A"
"absolutistic","A"
"absolutory","A"
"absolvable","A"
"absolvent","A"
"absonant","A"
"absorbable","A"
"absorbed","A"
"absorbefacient","A"
"absorbent","A"
"absorbing","A"
"absorptiometric","A"
"absorptive","A"
"abstemious","A"
"abstentious","A"
"abstergent","A"
"abstersive","A"
"abstinent","A"
"abstracted","A"
"abstractional","A"
