Country,Region,% Women in National Cabinet
Afghanistan,Asia-Pacific,9.7
Albania,Europe,53.3
Algeria,Middle East/North Africa,15.2
Andorra,Europe,50
Angola,Sub-Saharan Africa,40
Antigua and Barbuda,Americas,15.4
Argentina,Americas,22.7
Armenia,Europe,7.1
Australia,Asia-Pacific,26.7
Austria,Europe,57.1
Azerbaijan,Europe,3
Bahamas,Americas,6.7
Bahrain,Middle East/North Africa,4.4
Bangladesh,Asia-Pacific,7.7
Barbados,Americas,26.1
Belarus,Europe,3.5
Belgium,Europe,25
Belize,Americas,6.3
Benin,Sub-Saharan Africa,20.8
Bhutan,Asia-Pacific,10
Bolivia,Americas,25
Bosnia and Herzegovina,Europe,22.2
Botswana,Sub-Saharan Africa,21.1
Brazil,Americas,9.1
Brunei,Asia-Pacific,0
Bulgaria,Europe,36.8
Burkina Faso,Sub-Saharan Africa,14.3
Burundi,Sub-Saharan Africa,26.1
Cambodia,Asia-Pacific,9.4
Cameroon,Sub-Saharan Africa,14.9
Canada,Americas,50
Cape Verde,Sub-Saharan Africa,21.4
Central African Republic,Sub-Saharan Africa,20
Chad,Sub-Saharan Africa,25.9
Chile,Americas,33.3
China,Asia-Pacific,6.5
Colombia,Americas,57.9
Comoros,Sub-Saharan Africa,8.3
Costa Rica,Americas,50
Cote d'Ivoire,Sub-Saharan Africa,12.8
Croatia,Europe,20
Cuba,Americas,21.9
Cyprus,Europe,15.4
Czech Republic,Europe,28.6
Democratic Republic of Congo,Sub-Saharan Africa,17.4
Denmark,Europe,31.6
Djibouti,Sub-Saharan Africa,13
Dominica,Americas,31.3
Dominican Republic,Americas,17.4
East Timor,Asia-Pacific,18.2
Ecuador,Americas,37.9
Egypt,Middle East/North Africa,24.2
El Salvador,Americas,47.1
Equatorial Guinea,Sub-Saharan Africa,7.1
Eritrea,Sub-Saharan Africa,17.7
Estonia,Europe,14.3
Eswatini,Sub-Saharan Africa,31.6
Ethiopia,Sub-Saharan Africa,47.6
Fiji,Asia-Pacific,23.1
Finland,Europe,61.1
France,Europe,52.9
Gabon,Sub-Saharan Africa,26.1
Gambia,Sub-Saharan Africa,22.2
Georgia,Europe,45.5
Germany,Europe,40
Ghana,Sub-Saharan Africa,25
Greece,Europe,11.1
Grenada,Americas,41.7
Guatemala,Americas,13.3
Guinea,Sub-Saharan Africa,10.8
Guinea-Bissau,Sub-Saharan Africa,50
Guyana,Americas,40
Haiti,Americas,-
Honduras,Americas,33.3
Hungary,Europe,15.4
Iceland,Europe,40
India,Asia-Pacific,12.5
Indonesia,Asia-Pacific,14.3
Iran,Middle East/North Africa,6.5
Iraq,Middle East/North Africa,4.6
Ireland,Europe,26.7
Israel,Middle East/North Africa,16.7
Italy,Europe,33.3
Jamaica,Americas,23.5
Japan,Asia-Pacific,15.8
Jordan,Middle East/North Africa,13.8
Kazakhstan,Russia/Central Asia,5
Kenya,Sub-Saharan Africa,26.1
Kiribati,Asia-Pacific,0
Kosovo,Europe,-
Kuwait,Middle East/North Africa,21.4
Kyrgyzstan,Russia/Central Asia,9.5
Laos,Asia-Pacific,11.1
Latvia,Europe,23.1
Lebanon,Middle East/North Africa,31.6
Lesotho,Sub-Saharan Africa,7.4
Liberia,Sub-Saharan Africa,22.2
Libya,Middle East/North Africa,-
Liechtenstein,Europe,40
Lithuania,Europe,7.7
Luxembourg,Europe,29.4
Madagascar,Sub-Saharan Africa,30
Malawi,Sub-Saharan Africa,11.1
Malaysia,Asia-Pacific,18.5
Maldives,Asia-Pacific,25.9
Mali,Sub-Saharan Africa,25
Malta,Europe,11.8
Marshall Islands,Asia-Pacific,10
Mauritania,Sub-Saharan Africa,20
Mauritius,Sub-Saharan Africa,12.5
Mexico,Americas,35
Micronesia,Asia-Pacific,22.2
Moldova,Europe,11.1
Monaco,Europe,20
Mongolia,Asia-Pacific,6.7
Montenegro,Europe,22.2
Morocco,Middle East/North Africa,15.8
Mozambique,Sub-Saharan Africa,42.9
Myanmar,Asia-Pacific,3.9
Namibia,Sub-Saharan Africa,14.8
Nauru,Asia-Pacific,14.3
Nepal,Asia-Pacific,10.5
Netherlands,Europe,44.4
New Zealand,Asia-Pacific,30
Nicaragua,Americas,58.8
Niger,Sub-Saharan Africa,12.8
Nigeria,Sub-Saharan Africa,10.3
North Korea,Asia and the Pacific,-
North Macedonia,Europe,21.7
Norway,Europe,42.9
Oman,Middle East/North Africa,11.1
Pakistan,Asia-Pacific,12
Palau,Asia-Pacific,25
Panama,Americas,31.6
Papua New Guinea,Asia-Pacific,0
Paraguay,Americas,29.4
Peru,Americas,55
Philippines,Asia-Pacific,8.6
Poland,Europe,17.4
Portugal,Europe,42.1
Qatar,Middle East/North Africa,7.1
Republic of Congo,Sub-Saharan Africa,21.2
Romania,Europe,17.7
Russia,Russia/Central Asia,12.9
Rwanda,Sub-Saharan Africa,53.6
Saint Kitts and Nevis,Americas,11.1
Saint Lucia,Americas,15.4
Saint Vincent and the Grenadines,Americas,0
Samoa,Asia-Pacific,16.7
San Marino,Europe,10
Sao Tome and Principe,Sub-Saharan Africa,33.3
Saudi Arabia,Middle East/North Africa,0
Senegal,Sub-Saharan Africa,21.9
Serbia,Europe,19.1
Seychelles,Sub-Saharan Africa,45.5
Sierra Leone,Sub-Saharan Africa,17.2
Singapore,Asia-Pacific,16.7
Slovakia,Europe,26.7
Slovenia,Europe,23.5
Solomon Islands,Asia-Pacific,5
Somalia,Sub-Saharan Africa,18.5
South Africa,Sub-Saharan Africa,48.3
South Korea,Asia-Pacific,33.3
South Sudan,Sub-Saharan Africa,15.6
Spain,Europe,66.7
Sri Lanka,Asia-Pacific,6.3
Sudan,Sub-Saharan Africa,20
Suriname,Americas,17.7
Sweden,Europe,54.6
Switzerland,Europe,42.9
Syria,Middle East/North Africa,13.3
Taiwan,Asia-Pacific,-
Tajikistan,Russia/Central Asia,5.9
Tanzania,Sub-Saharan Africa,21.7
Thailand,Asia-Pacific,0
Togo,Sub-Saharan Africa,24
Tonga,Asia-Pacific,8.3
Trinidad and Tobago,Americas,33.3
Tunisia,Middle East/North Africa,6.9
Turkey,Europe,11.8
Turkmenistan,Russia/Central Asia,3.7
Tuvalu,Asia-Pacific,0
Uganda,Sub-Saharan Africa,33.3
Ukraine,Europe,35.3
United Arab Emirates,Middle East/North Africa,16.7
United Kingdom,Europe,30.4
United States,Americas,17.4
Uruguay,Americas,33.3
Uzbekistan,Russia/Central Asia,8
Vanuatu,Asia-Pacific,0
Venezuela,Americas,23.5
Vietnam,Asia-Pacific,0
Yemen,Middle East/North Africa,6.3
Zambia,Sub-Saharan Africa,32.3
Zimbabwe,Sub-Saharan Africa,20.8
